order_id,order_type,trial_alias,order_status,fing_batch,ly_number,fing_material,pcn,bom_item_category,bom_item_p,bom_item_b,bom_item_l,unit,order_quantity,single_panel_qty,booklet_panel_qty,package_form,qty_planned,qty_delivered,mrp_controller,purchase_document_number,mrp_group_desc,order_start_confirm,order_start_planned,planned_end_date,planned_enddate_qa_disposition_date,order_start_days_off,order_complete_days_off,order_delivery_day_off,start_delivery_date,booklet_label,plant,planned_or_process,plant_desc,operation_number,qa_disposition_date,date_of_last_change,recipe_id,supply_type,vendor_id,vendor_name,ud_change_date,ud_code,ud_code_use_date,teco_flag,shop_order,start_day_off,first_goods_receipt_date,delivery_type,deliver_date,actual_goods_issue_date,shared_across
F52B62BD-E91,ZDOM,CT-3395-UCM,Created,LOT-62442527,LY3486062,MAT-40706,PCN-86834,Foreign,Leave,Region,And,EA,122,388,186,PK-840671,118,121,MRP-103,9123967471,G1 Clinical,Economic,2025-04-16,2025-06-06,2024-09-09,5,9,2026-10-11,2024-10-14,Safe,US01,Indicate,US01 Manufacturing,OP16,2025-04-18,2024-12-31,RC1658,Backup,V432998,Ross PLC Pharma,2026-10-24,jX-4070,2026-04-03,No,SO-867323,2023-11-19,2025-05-02,Express,2025-05-18,2025-05-06,Study Only
D465FA61-668,ZPP2,CT-1696-SCY,Closed,LOT-46656333,LY7726303,MAT-78401,PCN-68394,Group,Glass,Live,Network,EA,197,349,66,PK-318312,205,193,MRP-103,7158037148,G1 Clinical,Officer,2025-02-12,2025-03-16,2025-06-15,10,4,2023-12-21,2024-07-21,Share,US01,Family,US01 Manufacturing,OP37,2025-05-29,2026-09-13,RC2766,Primary,V156800,Watson-Harris Pharma,2024-01-13,zG-8054,2026-09-01,No,SO-838919,2025-09-28,2025-02-28,Standard,2025-03-01,2025-02-24,Global
BAFF899E-7D4,ZDOM,CT-6592-IDY,Closed,LOT-66123852,LY4096230,MAT-49508,PCN-78836,Write,Letter,Than,Sign,EA,12,477,286,PK-119187,8,11,MRP-116,9472016249,G1 Clinical,Road,2024-11-04,2024-12-22,2024-08-31,22,23,2025-01-27,2025-12-26,Peace,LAT04,Forget,LAT04 Manufacturing,OP55,2024-04-08,2026-08-18,RC3597,Backup,V447288,Lewis-Maynard Pharma,2024-06-18,rU-4552,2024-05-05,Yes,SO-767038,2025-11-22,2024-11-23,Express,2024-12-08,2024-11-23,Study Only
082EC977-749,ZPP2,CT-3472-PNG,Closed,LOT-59019698,LY5658813,MAT-22152,PCN-30685,Collection,Training,Could,Always,EA,242,400,61,PK-964719,247,237,MRP-129,4312568223,G3 Pilot,Defense,2025-08-20,2025-10-07,2025-03-29,22,2,2026-10-21,2024-02-21,Cup,US01,List,US01 Manufacturing,OP19,2024-07-08,2024-03-25,RC7844,Backup,V736183,"Melendez, Warren and Sullivan Pharma",2024-12-12,Vt-2580,2024-03-12,Yes,SO-860490,2025-05-24,2025-09-06,Standard,2025-10-01,2025-09-07,Regional
1DE4A4D7-80D,ZPP2,CT-8742-ECD,Released,LOT-54560092,LY1552087,MAT-15875,PCN-44657,Economic,Need,Likely,Value,EA,171,279,491,PK-494710,173,169,MRP-138,7872932817,G1 Clinical,Camera,2025-10-08,2025-11-29,2026-06-25,19,4,2023-11-19,2025-07-28,Radio,EU02,Design,EU02 Manufacturing,OP60,2024-01-30,2025-07-30,RC1478,Primary,V632391,Carson Inc Pharma,2024-01-08,IT-1726,2025-08-25,Yes,SO-312648,2025-04-07,2025-10-26,Standard,2025-11-10,2025-10-23,Study Only
4FFC728A-450,ZPP2,CT-7487-KNX,In Progress,LOT-31152831,LY8976188,MAT-59372,PCN-69050,Together,International,Hotel,Girl,EA,23,52,493,PK-449143,22,19,MRP-126,7900198067,G3 Pilot,Call,2025-09-24,2025-10-22,2026-10-19,30,25,2024-05-07,2025-07-01,Daughter,US01,Cultural,US01 Manufacturing,OP21,2024-01-01,2026-01-02,RC7450,Primary,V564248,Fernandez-Hensley Pharma,2026-09-14,WC-9661,2024-08-18,Yes,SO-752249,2026-01-28,2025-10-04,Express,2025-10-15,2025-10-09,Regional
BE0807F8-705,ZPP2,CT-6551-IBW,Released,LOT-89806740,LY2304854,MAT-79992,PCN-26590,From,Say,Follow,View,EA,175,182,32,PK-897376,185,171,MRP-115,3376188239,G3 Pilot,Father,2025-03-27,2025-05-11,2026-02-23,4,12,2025-03-10,2026-05-17,People,EU02,Continue,EU02 Manufacturing,OP34,2024-10-31,2026-02-10,RC3249,Backup,V178919,Klein LLC Pharma,2026-06-28,Wj-1300,2025-02-17,Yes,SO-432452,2025-05-25,2025-04-13,Standard,2025-04-27,2025-04-10,Global
C863EED3-4DE,ZPP2,CT-9781-BYC,Created,LOT-91403277,LY9991166,MAT-31615,PCN-18014,Each,Benefit,Take,Station,EA,107,254,225,PK-822895,116,107,MRP-122,5767150076,G2 Commercial,Common,2025-02-13,2025-04-07,2026-10-09,8,12,2025-06-28,2025-09-02,Reason,EU02,End,EU02 Manufacturing,OP37,2026-09-02,2024-08-27,RC6480,Primary,V340406,Scott-Thomas Pharma,2025-12-06,By-0065,2024-10-25,Yes,SO-139301,2023-11-21,2025-02-26,Express,2025-03-26,2025-02-26,Regional
1591A2AC-D6F,ZPP2,CT-9831-IEW,Released,LOT-46257312,LY6578105,MAT-49651,PCN-98569,Institution,Bill,Behavior,Run,EA,16,170,171,PK-489753,13,14,MRP-112,9357894587,G1 Clinical,Six,2024-12-18,2025-01-31,2024-04-09,15,29,2025-10-05,2026-05-03,Anything,AP03,Forward,AP03 Manufacturing,OP25,2025-06-05,2026-09-25,RC9705,Backup,V670844,Brown-Graves Pharma,2025-04-08,FQ-3652,2025-05-01,No,SO-419633,2025-05-03,2025-01-04,Standard,2025-01-22,2024-12-31,Study Only
805781A7-E1A,ZPP1,CT-7484-BIH,Completed,LOT-26012891,LY8807714,MAT-66257,PCN-31687,Me,Difficult,Enter,Think,EA,229,459,116,PK-689925,234,228,MRP-133,7010085879,G1 Clinical,Car,2025-04-02,2025-05-11,2026-10-01,12,23,2025-08-15,2024-06-12,Effect,LAT04,Position,LAT04 Manufacturing,OP43,2024-03-29,2025-12-04,RC1004,Backup,V101162,Smith LLC Pharma,2024-02-10,tP-5228,2026-05-18,No,SO-829434,2025-01-13,2025-04-16,Express,2025-05-06,2025-04-15,Study Only
13D53FD1-2EA,ZPP2,CT-8742-ECD,In Progress,LOT-45571743,LY4794226,MAT-16848,PCN-21044,However,Term,Something,Sense,EA,20,255,22,PK-172461,24,18,MRP-106,7614252132,G3 Pilot,Knowledge,2025-09-14,2025-10-26,2026-04-12,28,20,2024-11-16,2026-04-21,Work,LAT04,Agreement,LAT04 Manufacturing,OP52,2026-04-22,2024-02-14,RC9457,Primary,V158514,Brown PLC Pharma,2025-06-28,QR-7265,2026-02-01,Yes,SO-871072,2025-12-22,2025-09-30,Express,2025-10-12,2025-10-01,Regional
354C0CEF-9FF,ZPP1,CT-3230-HFO,Completed,LOT-10539218,LY5136202,MAT-73628,PCN-88843,Order,Personal,Left,Whatever,EA,67,452,62,PK-123257,65,62,MRP-138,7239764711,G1 Clinical,Value,2025-03-07,2025-04-17,2025-03-03,18,22,2025-01-10,2026-03-22,Society,US01,Effort,US01 Manufacturing,OP50,2026-06-09,2024-12-19,RC8802,Backup,V290503,Gallegos Group Pharma,2024-03-21,SH-3068,2026-02-13,No,SO-614734,2024-02-25,2025-03-20,Standard,2025-04-03,2025-03-19,Study Only
48F49FFF-6F5,ZPP1,CT-8742-ECD,Released,LOT-61778837,LY2068947,MAT-15875,PCN-27489,Alone,Check,Street,Others,EA,79,477,23,PK-854183,74,77,MRP-138,6236302108,G1 Clinical,Data,2024-12-07,2025-01-14,2025-02-12,19,25,2024-11-04,2024-11-12,Current,EU02,Want,EU02 Manufacturing,OP76,2024-01-17,2026-02-10,RC2538,Backup,V286480,Chambers Group Pharma,2024-12-06,LI-2916,2024-03-30,Yes,SO-538236,2025-01-22,2024-12-20,Standard,2025-01-01,2024-12-17,Global
37399508-4AE,ZPP2,CT-2004-PSX,Closed,LOT-75185716,LY9735910,MAT-97442,PCN-83672,Cause,Capital,Such,When,EA,237,311,393,PK-758740,234,233,MRP-101,4962532383,G3 Pilot,Lawyer,2025-10-05,2025-11-11,2026-10-09,13,28,2024-03-12,2026-01-31,Near,EU02,Bed,EU02 Manufacturing,OP51,2024-10-29,2024-10-19,RC8837,Backup,V674175,Ramsey-Hernandez Pharma,2026-02-13,fM-6725,2023-11-26,Yes,SO-631159,2023-11-22,2025-10-25,Express,2025-11-01,2025-10-20,Regional
9CBEBD35-414,ZPP2,CT-8970-PLO,Created,LOT-24616505,LY4181902,MAT-86920,PCN-40270,Spring,Generation,Everything,Result,EA,190,427,470,PK-868662,187,187,MRP-105,5193254388,G1 Clinical,Significant,2025-03-10,2025-04-05,2025-09-15,24,15,2025-11-06,2024-02-06,Cultural,US01,Gas,US01 Manufacturing,OP71,2024-04-04,2024-03-12,RC8271,Primary,V661634,"Kent, Turner and Garcia Pharma",2024-07-21,tX-9413,2025-03-23,Yes,SO-226144,2026-10-05,2025-03-27,Express,2025-03-28,2025-03-21,Regional
0559EAA9-2EA,ZPP1,CT-6910-RDE,In Progress,LOT-34166590,LY7054835,MAT-22108,PCN-90501,History,Quite,Foreign,Country,EA,54,26,232,PK-835154,56,52,MRP-102,7245536160,G1 Clinical,Century,2025-03-19,2025-05-01,2024-06-09,2,26,2026-04-02,2026-07-29,Human,US01,Never,US01 Manufacturing,OP15,2023-12-31,2026-06-25,RC2423,Backup,V324977,Beck Inc Pharma,2024-03-08,jv-8174,2025-06-07,Yes,SO-131837,2025-01-05,2025-03-30,Standard,2025-04-24,2025-04-05,Study Only
AAD7229E-CD6,ZPP2,CT-8742-ECD,Created,LOT-83111741,LY2647164,MAT-47254,PCN-11612,Hour,Suddenly,Something,Professor,EA,212,418,200,PK-396904,211,209,MRP-136,2495324796,G1 Clinical,Simple,2024-12-10,2025-01-30,2024-03-05,13,13,2024-08-28,2025-09-21,Send,EU02,Control,EU02 Manufacturing,OP61,2024-01-21,2025-05-16,RC5787,Primary,V161824,Foster Ltd Pharma,2025-02-02,PE-2310,2024-10-10,Yes,SO-804586,2025-07-21,2024-12-26,Standard,2025-01-12,2024-12-19,Study Only
7ECBBF33-951,ZPP2,CT-3636-AVP,Closed,LOT-27778437,LY2901726,MAT-54383,PCN-71230,Effort,Someone,Economy,Entire,EA,98,346,323,PK-989767,103,96,MRP-108,2649215652,G2 Commercial,Already,2025-01-17,2025-02-25,2025-01-07,28,16,2024-05-22,2026-06-30,Information,EU02,Ask,EU02 Manufacturing,OP81,2026-02-11,2024-08-31,RC6673,Backup,V410587,"Gomez, Johnson and Stewart Pharma",2024-06-17,EF-2733,2025-04-14,No,SO-368965,2024-05-06,2025-01-25,Standard,2025-02-15,2025-01-26,Global
F892BADA-B88,ZPP2,CT-6551-IBW,In Progress,LOT-28144033,LY5808459,MAT-75647,PCN-39621,Close,Speech,All,Process,EA,177,264,139,PK-408378,172,176,MRP-124,7067243911,G3 Pilot,Mr,2025-07-02,2025-08-12,2025-04-29,3,14,2024-07-22,2026-02-13,Opportunity,EU02,Move,EU02 Manufacturing,OP56,2026-02-12,2024-10-21,RC1987,Backup,V296596,Johnson PLC Pharma,2025-04-22,tD-3460,2026-01-30,Yes,SO-249149,2024-12-28,2025-07-09,Standard,2025-07-23,2025-07-11,Study Only
216A0628-CE4,ZPP2,CT-8015-GMQ,Closed,LOT-49095565,LY3180391,MAT-74459,PCN-41509,Its,Direction,Bit,Ten,EA,268,398,335,PK-652874,268,266,MRP-114,9402113613,G1 Clinical,Serve,2025-06-10,2025-07-16,2025-07-23,25,25,2025-06-17,2023-12-18,Probably,US01,Church,US01 Manufacturing,OP36,2024-01-19,2024-05-20,RC8180,Primary,V846796,Welch Group Pharma,2023-12-11,XD-1282,2024-12-15,No,SO-330614,2026-07-17,2025-07-03,Standard,2025-07-05,2025-06-28,Global
661396B5-BE2,ZDOM,CT-3472-PNG,Released,LOT-36766763,LY4803523,MAT-22152,PCN-86064,Smile,Push,Road,Join,EA,269,53,393,PK-237197,267,269,MRP-129,6702715615,G3 Pilot,Mention,2025-05-08,2025-06-12,2025-10-18,1,29,2025-04-18,2024-03-07,Power,US01,Significant,US01 Manufacturing,OP49,2024-10-09,2025-04-26,RC2530,Primary,V666277,Watson-Brandt Pharma,2023-11-19,ba-6724,2024-07-11,No,SO-130597,2024-08-05,2025-05-21,Express,2025-05-24,2025-05-19,Global
C1EDEFA4-014,ZDOM,CT-3636-AVP,Completed,LOT-86551756,LY7566100,MAT-54383,PCN-20493,Culture,Land,Certainly,City,EA,237,298,277,PK-416974,235,233,MRP-108,8108200574,G2 Commercial,Certain,2025-10-25,2025-12-11,2024-03-01,5,13,2026-03-27,2026-08-07,Business,EU02,Hot,EU02 Manufacturing,OP77,2023-11-13,2026-06-15,RC6528,Primary,V165028,"Harvey, Goodwin and Phillips Pharma",2024-07-30,Yy-1728,2026-03-28,Yes,SO-458211,2025-06-15,2025-11-09,Express,2025-11-26,2025-11-06,Study Only
6779AAB3-F3B,ZPP2,CT-5014-EEP,Released,LOT-35809899,LY8838172,MAT-39627,PCN-82396,Why,Base,Right,Discover,EA,149,71,6,PK-829195,158,145,MRP-123,4571179066,G1 Clinical,Find,2025-07-30,2025-09-22,2024-08-24,16,3,2024-07-07,2025-05-26,Such,LAT04,Manage,LAT04 Manufacturing,OP85,2026-06-23,2026-01-07,RC9793,Primary,V262014,Manning and Sons Pharma,2025-02-26,vw-2047,2025-01-06,Yes,SO-190881,2025-12-03,2025-08-16,Express,2025-09-05,2025-08-12,Study Only
C39FF96A-D71,ZPP2,CT-5014-EEP,Released,LOT-27803441,LY6383499,MAT-53554,PCN-45371,Never,Democrat,Employee,Standard,EA,182,351,26,PK-449351,177,179,MRP-103,5339489712,G2 Commercial,Mention,2025-05-01,2025-05-27,2026-07-14,1,5,2026-03-12,2023-12-07,Popular,LAT04,Agency,LAT04 Manufacturing,OP54,2025-08-20,2026-04-09,RC4480,Backup,V583735,Hudson-Brown Pharma,2026-05-25,kj-9015,2025-06-12,Yes,SO-461776,2024-12-30,2025-05-21,Standard,2025-05-21,2025-05-19,Regional
23447E8F-F1B,ZPP1,CT-6551-IBW,Created,LOT-11280930,LY8801578,MAT-75647,PCN-98366,Blood,Off,Into,Race,EA,133,238,454,PK-731955,138,130,MRP-124,4194811553,G3 Pilot,Resource,2025-07-07,2025-08-12,2024-07-29,2,14,2024-11-14,2025-07-12,Whatever,EU02,Behind,EU02 Manufacturing,OP43,2025-03-12,2026-09-08,RC6608,Backup,V541867,"Ross, Ward and Stevenson Pharma",2024-12-07,Sp-4682,2025-05-25,Yes,SO-379941,2026-07-16,2025-07-19,Express,2025-07-26,2025-07-21,Regional
D620F7F5-660,ZDOM,CT-6592-IDY,Created,LOT-28252003,LY2227328,MAT-49508,PCN-27477,Director,He,Senior,Kid,EA,263,111,232,PK-720738,273,259,MRP-116,4136941879,G1 Clinical,However,2025-03-12,2025-04-21,2025-01-27,20,18,2024-12-23,2024-11-28,War,LAT04,Scene,LAT04 Manufacturing,OP51,2025-01-26,2025-12-02,RC7865,Primary,V839759,"Gutierrez, Sherman and Peterson Pharma",2025-12-15,CT-1317,2026-01-06,Yes,SO-364072,2026-01-07,2025-03-28,Standard,2025-04-16,2025-03-27,Study Only
9D1D8DAF-160,ZPP2,CT-6551-IBW,In Progress,LOT-89806740,LY5543216,MAT-79992,PCN-16924,Clear,Security,These,Song,EA,168,414,75,PK-930799,176,163,MRP-115,3412795102,G3 Pilot,Right,2024-12-09,2025-01-18,2025-04-17,24,28,2026-01-29,2026-01-04,Skill,EU02,Structure,EU02 Manufacturing,OP33,2025-12-27,2025-05-16,RC9838,Primary,V779435,Gomez-Cole Pharma,2024-11-27,KI-4980,2024-08-04,No,SO-206525,2024-03-06,2024-12-25,Express,2025-01-07,2024-12-30,Study Only
CCD65B39-FFB,ZPP1,CT-3228-ZKT,Created,LOT-38707248,LY3569832,MAT-58266,PCN-29609,Sit,Politics,Maybe,Later,EA,36,363,141,PK-298713,31,31,MRP-114,4344250050,G1 Clinical,Whatever,2024-12-01,2025-01-31,2025-07-19,29,26,2024-08-04,2025-04-07,Case,EU02,Fly,EU02 Manufacturing,OP41,2026-05-09,2025-12-05,RC2394,Primary,V803526,Gomez-Mejia Pharma,2024-08-04,Xz-8756,2025-03-07,No,SO-739325,2026-05-27,2024-12-16,Express,2025-01-13,2024-12-20,Global
D9F20807-A58,ZDOM,CT-1696-SCY,Created,LOT-46656333,LY5373779,MAT-78401,PCN-55419,Positive,Run,National,Local,EA,110,186,361,PK-501250,111,105,MRP-103,3023782638,G2 Commercial,Industry,2025-03-10,2025-04-07,2024-06-30,23,2,2024-01-07,2024-05-09,Law,US01,Total,US01 Manufacturing,OP34,2025-04-26,2026-09-26,RC3792,Backup,V442804,Dominguez-Hunter Pharma,2025-08-23,wE-4220,2026-10-11,Yes,SO-895851,2023-12-19,2025-03-24,Standard,2025-03-28,2025-03-20,Global
053A9347-DD8,ZPP2,CT-3636-AVP,Completed,LOT-41301239,LY3350586,MAT-46171,PCN-19081,Tend,Participant,Turn,Raise,EA,114,464,287,PK-250011,124,110,MRP-136,8742192722,G1 Clinical,Trial,2025-01-24,2025-03-02,2025-01-05,8,17,2024-12-30,2026-07-20,Physical,AP03,Power,AP03 Manufacturing,OP54,2024-08-25,2025-04-17,RC1562,Backup,V652584,Elliott-Green Pharma,2023-11-21,Lm-8818,2025-01-08,Yes,SO-471504,2024-10-22,2025-02-14,Express,2025-02-24,2025-02-11,Global
33A5606D-712,ZPP1,CT-6910-RDE,Released,LOT-34198332,LY5659407,MAT-22108,PCN-27271,Fall,Water,Source,Different,EA,254,192,137,PK-804472,260,252,MRP-102,6487233526,G3 Pilot,Operation,2025-05-03,2025-06-21,2025-03-17,16,25,2026-08-24,2024-03-11,Wear,US01,Camera,US01 Manufacturing,OP48,2025-02-21,2025-05-06,RC4183,Backup,V931471,"Jones, Brown and Kidd Pharma",2024-12-09,rc-2872,2026-10-08,Yes,SO-750322,2026-11-04,2025-05-17,Express,2025-06-16,2025-05-20,Global
EC2064DF-354,ZPP2,CT-9771-CZL,Released,LOT-83383410,LY5403222,MAT-22610,PCN-22279,Thousand,Success,Person,Unit,EA,230,446,76,PK-965208,227,229,MRP-108,5594264928,G2 Commercial,Father,2024-11-27,2024-12-26,2025-05-06,25,2,2025-10-10,2023-12-02,Manage,LAT04,Receive,LAT04 Manufacturing,OP97,2024-02-26,2025-04-09,RC1073,Primary,V549911,"Rhodes, Byrd and Simmons Pharma",2024-08-01,Wi-6090,2024-07-13,No,SO-455302,2026-04-03,2024-12-16,Express,2024-12-10,2024-12-10,Global
C061C212-E16,ZDOM,CT-3230-HFO,In Progress,LOT-32873081,LY9938067,MAT-73628,PCN-23767,Term,She,Week,Action,EA,291,49,470,PK-397361,301,288,MRP-138,6625119073,G1 Clinical,Natural,2025-08-09,2025-09-16,2025-01-30,18,23,2025-12-22,2023-12-31,According,US01,Street,US01 Manufacturing,OP20,2024-12-09,2025-12-01,RC9359,Backup,V485908,"Malone, Pratt and Smith Pharma",2024-06-15,ZD-8153,2026-10-09,Yes,SO-871954,2026-02-05,2025-09-01,Standard,2025-08-30,2025-08-27,Study Only
333F654A-085,ZPP2,CT-7487-KNX,Closed,LOT-31152831,LY4436905,MAT-59372,PCN-90943,Have,About,Hear,Cup,EA,45,326,433,PK-772304,43,42,MRP-126,4190146286,G1 Clinical,Take,2025-07-14,2025-08-24,2026-09-12,29,9,2024-04-04,2026-07-07,Firm,US01,Foot,US01 Manufacturing,OP63,2024-02-15,2026-10-19,RC5293,Primary,V945186,Griffith Ltd Pharma,2024-03-17,oi-6151,2025-07-23,Yes,SO-784284,2024-05-12,2025-07-24,Express,2025-08-06,2025-07-26,Global
91976714-574,ZDOM,CT-6910-RDE,Created,LOT-34198332,LY3145764,MAT-22108,PCN-77449,Foreign,Watch,Only,Explain,EA,235,282,94,PK-817846,240,232,MRP-102,1023734342,G3 Pilot,Remain,2025-07-11,2025-09-03,2026-08-04,29,7,2024-12-24,2026-07-05,Up,US01,Character,US01 Manufacturing,OP67,2026-09-21,2026-10-08,RC5382,Primary,V111536,"Lawrence, Wright and Kidd Pharma",2026-01-31,EE-8154,2026-10-09,Yes,SO-126850,2025-12-13,2025-08-01,Express,2025-08-14,2025-07-30,Study Only
43A721B6-D4D,ZPP1,CT-8872-GKR,Released,LOT-60549611,LY5726068,MAT-66331,PCN-84367,Score,Country,Although,Billion,EA,248,429,11,PK-177826,246,244,MRP-111,5059237352,G2 Commercial,Type,2025-09-15,2025-10-23,2024-07-24,22,30,2025-07-23,2026-03-30,Clearly,LAT04,Size,LAT04 Manufacturing,OP42,2026-04-22,2026-04-25,RC3924,Primary,V992138,Lopez-Williams Pharma,2025-02-21,xa-7054,2026-09-01,Yes,SO-709255,2025-06-06,2025-10-04,Express,2025-10-13,2025-09-28,Global
