Order Number,Trial Alias,IWRS Number,Site Number,Ship To Country Code,Country Name,Lot Number,Expiration Date,Actual Qty,Carrier Code,Order Confirm Date,Actual Ship Date,Actual Delivery Date,Order Status,Warehouse ID,Ship To Number,Fit For Use
F52B62BD-E91,CT-3395-UCM,IWRS-3583530,SITE-218,LY,Turkey,LOT-62442527,2025-09-06,121,Kuehne+Nagel,2025-04-30,2025-05-03,2025-05-09,Created,WH-294,SITE-218,Yes
D465FA61-668,CT-1696-SCY,IWRS-1940479,SITE-147,KN,Haiti,LOT-46656333,2026-12-03,197,FedEx,2025-02-18,2025-02-24,2025-03-10,Closed,WH-294,SITE-147,No
BAFF899E-7D4,CT-6592-IDY,IWRS-9932471,SITE-110,IL,Barbados,LOT-66123852,2028-07-06,11,UPS,2024-11-19,2024-11-29,2024-12-03,Closed,WH-294,SITE-110,Yes
082EC977-749,CT-3472-PNG,IWRS-6972634,SITE-303,VU,Haiti,LOT-59019698,2026-07-17,242,FedEx,2025-09-04,2025-09-13,2025-09-24,Closed,WH-294,SITE-303,Yes
1DE4A4D7-80D,CT-8742-ECD,IWRS-4078666,SITE-176,TV,San Marino,LOT-54560092,2026-11-06,169,DHL,2025-10-20,2025-10-23,2025-10-27,Released,WH-294,SITE-176,Yes
4FFC728A-450,CT-7487-KNX,IWRS-7963278,SITE-278,CL,Cuba,LOT-31152831,2025-09-07,18,FedEx,2025-10-03,2025-10-11,2025-10-18,In Progress,WH-294,SITE-278,Yes
BE0807F8-705,CT-6551-IBW,IWRS-6564549,SITE-291,PK,Italy,LOT-89806740,2026-07-09,170,Kuehne+Nagel,2025-04-08,2025-04-18,2025-04-28,Released,WH-294,SITE-291,Yes
C863EED3-4DE,CT-9781-BYC,IWRS-1810403,SITE-306,AZ,Albania,LOT-91403277,2025-11-01,106,DHL,2025-02-23,2025-02-27,2025-03-13,Created,WH-294,SITE-306,No
1591A2AC-D6F,CT-9831-IEW,IWRS-7174143,SITE-211,CV,Pitcairn Islands,LOT-46257312,2027-11-30,14,Kuehne+Nagel,2024-12-27,2024-12-31,2025-01-04,Released,WH-294,SITE-211,No
805781A7-E1A,CT-7484-BIH,IWRS-2612735,SITE-268,CV,Niger,LOT-26012891,2026-02-19,225,DHL,2025-04-11,2025-04-18,2025-04-22,Completed,WH-294,SITE-268,No
13D53FD1-2EA,CT-8742-ECD,IWRS-7291252,SITE-178,HT,San Marino,LOT-45571743,2025-05-24,15,UPS,2025-09-26,2025-09-28,2025-10-02,In Progress,WH-294,SITE-178,Yes
354C0CEF-9FF,CT-3230-HFO,IWRS-7572681,SITE-285,KI,Libyan Arab Jamahiriya,LOT-10539218,2028-01-17,66,WorldCourier,2025-03-14,2025-03-17,2025-03-20,Completed,WH-294,SITE-285,No
48F49FFF-6F5,CT-8742-ECD,IWRS-6957904,SITE-173,MW,Korea,LOT-61778837,2025-11-20,75,FedEx,2024-12-12,2024-12-22,2025-01-04,Released,WH-294,SITE-173,No
37399508-4AE,CT-2004-PSX,IWRS-3548895,SITE-106,BR,Guinea-Bissau,LOT-75185716,2026-06-14,236,FedEx,2025-10-15,2025-10-21,2025-10-30,Closed,WH-294,SITE-106,Yes
9CBEBD35-414,CT-8970-PLO,IWRS-3647522,SITE-113,FR,Liechtenstein,LOT-24616505,2027-04-30,187,FedEx,2025-03-19,2025-03-24,2025-04-07,Created,WH-294,SITE-113,No
0559EAA9-2EA,CT-6910-RDE,IWRS-2202124,SITE-171,LC,Russian Federation,LOT-34166590,2027-08-23,53,DHL,2025-03-29,2025-03-31,2025-04-13,In Progress,WH-294,SITE-171,Yes
AAD7229E-CD6,CT-8742-ECD,IWRS-7077471,SITE-176,SR,San Marino,LOT-83111741,2027-07-24,208,DHL,2024-12-16,2024-12-18,2024-12-24,Created,WH-294,SITE-176,No
7ECBBF33-951,CT-3636-AVP,IWRS-7658863,SITE-261,LR,Estonia,LOT-27778437,2025-04-09,97,FedEx,2025-01-22,2025-01-27,2025-02-07,Closed,WH-294,SITE-261,Yes
F892BADA-B88,CT-6551-IBW,IWRS-2907044,SITE-293,VC,Madagascar,LOT-28144033,2027-05-02,172,FedEx,2025-07-07,2025-07-11,2025-07-14,In Progress,WH-294,SITE-293,Yes
216A0628-CE4,CT-8015-GMQ,IWRS-6133938,SITE-133,IN,Morocco,LOT-49095565,2026-06-14,264,UPS,2025-06-24,2025-07-03,2025-07-14,Closed,WH-294,SITE-133,Yes
661396B5-BE2,CT-3472-PNG,IWRS-5054232,SITE-295,LR,Puerto Rico,LOT-36766763,2026-01-11,264,Kuehne+Nagel,2025-05-14,2025-05-17,2025-05-27,Released,WH-294,SITE-295,No
C1EDEFA4-014,CT-3636-AVP,IWRS-4082324,SITE-259,AF,Estonia,LOT-86551756,2028-07-28,235,Kuehne+Nagel,2025-11-02,2025-11-11,2025-11-21,Completed,WH-294,SITE-259,No
6779AAB3-F3B,CT-5014-EEP,IWRS-1468279,SITE-244,MT,Jordan,LOT-35809899,2026-06-17,148,WorldCourier,2025-08-06,2025-08-13,2025-08-22,Released,WH-294,SITE-244,Yes
C39FF96A-D71,CT-5014-EEP,IWRS-3459369,SITE-250,CI,Mauritius,LOT-27803441,2026-11-22,180,UPS,2025-05-13,2025-05-19,2025-06-02,Released,WH-294,SITE-250,No
23447E8F-F1B,CT-6551-IBW,IWRS-2346354,SITE-293,BW,Madagascar,LOT-11280930,2025-06-12,128,FedEx,2025-07-17,2025-07-20,2025-08-02,Created,WH-294,SITE-293,No
D620F7F5-660,CT-6592-IDY,IWRS-9736793,SITE-110,KW,Barbados,LOT-28252003,2027-04-18,262,DHL,2025-03-20,2025-03-25,2025-04-04,Created,WH-294,SITE-110,No
9D1D8DAF-160,CT-6551-IBW,IWRS-8250443,SITE-293,AU,Madagascar,LOT-89806740,2026-07-09,163,UPS,2024-12-24,2024-12-31,2025-01-12,In Progress,WH-294,SITE-293,Yes
CCD65B39-FFB,CT-3228-ZKT,IWRS-7017323,SITE-159,ES,Thailand,LOT-38707248,2027-04-24,33,UPS,2024-12-14,2024-12-24,2024-12-28,Created,WH-294,SITE-159,Yes
D9F20807-A58,CT-1696-SCY,IWRS-7664985,SITE-152,KW,Dominican Republic,LOT-46656333,2026-12-03,107,FedEx,2025-03-17,2025-03-19,2025-04-02,Created,WH-294,SITE-152,Yes
053A9347-DD8,CT-3636-AVP,IWRS-2380800,SITE-252,EG,Burundi,LOT-41301239,2025-12-18,113,Kuehne+Nagel,2025-02-08,2025-02-10,2025-02-23,Completed,WH-294,SITE-252,No
33A5606D-712,CT-6910-RDE,IWRS-2189136,SITE-171,CD,Russian Federation,LOT-34198332,2026-11-08,249,FedEx,2025-05-15,2025-05-21,2025-06-03,Released,WH-294,SITE-171,No
EC2064DF-354,CT-9771-CZL,IWRS-8227785,SITE-235,RS,British Virgin Islands,LOT-83383410,2027-04-27,230,FedEx,2024-12-06,2024-12-11,2024-12-15,Released,WH-294,SITE-235,Yes
C061C212-E16,CT-3230-HFO,IWRS-7391685,SITE-285,SC,Libyan Arab Jamahiriya,LOT-32873081,2027-11-06,291,Kuehne+Nagel,2025-08-23,2025-09-01,2025-09-07,In Progress,WH-294,SITE-285,Yes
333F654A-085,CT-7487-KNX,IWRS-2264083,SITE-276,AR,Cyprus,LOT-31152831,2025-09-07,45,FedEx,2025-07-20,2025-07-23,2025-07-30,Closed,WH-294,SITE-276,Yes
91976714-574,CT-6910-RDE,IWRS-8878450,SITE-165,MN,Pakistan,LOT-34198332,2026-11-08,235,FedEx,2025-07-26,2025-07-31,2025-08-03,Created,WH-294,SITE-165,No
43A721B6-D4D,CT-8872-GKR,IWRS-4481473,SITE-145,NP,Cambodia,LOT-60549611,2027-09-25,243,WorldCourier,2025-09-25,2025-10-01,2025-10-11,Released,WH-294,SITE-145,Yes
CDED8377-18B,CT-3472-PNG,IWRS-4718998,SITE-296,CV,Puerto Rico,LOT-14377768,2027-01-10,181,DHL,2025-06-30,2025-07-04,2025-07-12,In Progress,WH-294,SITE-296,Yes
E1DECF3D-AD6,CT-7487-KNX,IWRS-4036297,SITE-279,JM,Cuba,LOT-17450919,2027-02-13,199,WorldCourier,2025-03-16,2025-03-24,2025-04-06,Closed,WH-294,SITE-279,No
F5EA0FB0-86D,CT-3230-HFO,IWRS-9981142,SITE-281,CV,Gibraltar,LOT-32873081,2027-11-06,143,WorldCourier,2025-04-03,2025-04-09,2025-04-20,Closed,WH-294,SITE-281,No
A66ABC3D-ED8,CT-9831-IEW,IWRS-6893589,SITE-207,SO,Jersey,LOT-46257312,2027-11-30,169,FedEx,2025-10-14,2025-10-22,2025-11-03,In Progress,WH-294,SITE-207,No
95696318-323,CT-3228-ZKT,IWRS-6855948,SITE-160,CY,Comoros,LOT-63418468,2027-01-01,122,WorldCourier,2025-01-04,2025-01-10,2025-01-20,Created,WH-294,SITE-160,No
A7AEB7DC-2CF,CT-5014-EEP,IWRS-1371500,SITE-249,GH,Azerbaijan,LOT-29384973,2027-05-26,206,WorldCourier,2025-07-15,2025-07-23,2025-07-26,In Progress,WH-294,SITE-249,No
D4D67F91-29D,CT-9831-IEW,IWRS-3501776,SITE-208,MR,Tanzania,LOT-82476241,2025-06-26,93,WorldCourier,2025-02-23,2025-02-25,2025-03-07,Released,WH-294,SITE-208,Yes
06816510-E5D,CT-8970-PLO,IWRS-1375253,SITE-116,CO,Mozambique,LOT-43759862,2026-10-16,93,FedEx,2025-08-03,2025-08-08,2025-08-16,Closed,WH-294,SITE-116,No
1466B603-499,CT-8015-GMQ,IWRS-1739891,SITE-131,VC,Serbia,LOT-23670572,2026-05-20,227,Kuehne+Nagel,2024-12-02,2024-12-08,2024-12-18,Released,WH-294,SITE-131,No
092A544D-1B7,CT-9781-BYC,IWRS-5049092,SITE-311,NP,Moldova,LOT-37532398,2026-09-16,279,FedEx,2025-03-07,2025-03-13,2025-03-17,Completed,WH-294,SITE-311,Yes
D991D9F7-CFE,CT-7487-KNX,IWRS-8195966,SITE-272,PY,Burundi,LOT-70758392,2027-07-12,205,UPS,2025-07-18,2025-07-25,2025-07-31,Released,WH-294,SITE-272,No
79E2FD5B-55E,CT-8742-ECD,IWRS-6957779,SITE-176,AO,San Marino,LOT-97576608,2028-01-14,34,DHL,2025-10-18,2025-10-25,2025-10-28,Created,WH-294,SITE-176,No
B8C67610-950,CT-9771-CZL,IWRS-7794997,SITE-235,BY,British Virgin Islands,LOT-83383410,2027-04-27,259,DHL,2025-06-16,2025-06-26,2025-07-07,Released,WH-294,SITE-235,Yes
9E01693A-016,CT-3472-PNG,IWRS-2199307,SITE-303,SE,Haiti,LOT-89268420,2026-12-16,247,WorldCourier,2025-07-24,2025-08-01,2025-08-09,Completed,WH-294,SITE-303,No
6C1C5C9C-E11,CT-5806-JWO,IWRS-8139537,SITE-121,JO,Algeria,LOT-26730959,2026-03-16,21,UPS,2025-08-04,2025-08-10,2025-08-14,Closed,WH-294,SITE-121,Yes
43F442CA-654,CT-7487-KNX,IWRS-2964133,SITE-274,NG,Niger,LOT-31152831,2025-09-07,287,Kuehne+Nagel,2025-01-29,2025-02-02,2025-02-07,Closed,WH-294,SITE-274,Yes
19165D8C-A56,CT-5806-JWO,IWRS-2135070,SITE-128,AG,Bulgaria,LOT-26730959,2026-03-16,119,DHL,2025-01-15,2025-01-22,2025-02-03,Created,WH-294,SITE-128,No
84747643-3B7,CT-5014-EEP,IWRS-5336258,SITE-248,DK,Azerbaijan,LOT-35809899,2026-06-17,25,Kuehne+Nagel,2025-09-17,2025-09-22,2025-09-26,Created,WH-294,SITE-248,Yes
1237E7EE-E08,CT-5014-EEP,IWRS-9929889,SITE-244,LS,Jordan,LOT-27803441,2026-11-22,27,Kuehne+Nagel,2025-03-26,2025-04-05,2025-04-12,Created,WH-294,SITE-244,Yes
423FCCAC-9C3,CT-3395-UCM,IWRS-7640306,SITE-215,MA,Comoros,LOT-62442527,2025-09-06,34,Kuehne+Nagel,2024-12-08,2024-12-14,2024-12-26,Released,WH-294,SITE-215,No
9313CC9E-3F2,CT-4229-AWU,IWRS-4748081,SITE-223,AG,New Caledonia,LOT-12068529,2025-11-10,60,UPS,2024-12-15,2024-12-19,2024-12-24,Closed,WH-294,SITE-223,No
6EDC0958-393,CT-7047-GQC,IWRS-2681310,SITE-180,MK,India,LOT-66613397,2025-11-03,189,Kuehne+Nagel,2025-01-28,2025-02-01,2025-02-06,Released,WH-294,SITE-180,No
3927BB78-AC5,CT-6592-IDY,IWRS-3679351,SITE-110,PH,Barbados,LOT-69596629,2026-12-31,228,FedEx,2025-03-22,2025-03-31,2025-04-03,In Progress,WH-294,SITE-110,No
71D8D50F-7AE,CT-9831-IEW,IWRS-2049261,SITE-209,BO,Wallis and Futuna,LOT-26376337,2026-09-04,191,DHL,2025-06-28,2025-07-06,2025-07-19,Closed,WH-294,SITE-209,Yes
16279966-43F,CT-3230-HFO,IWRS-1506577,SITE-290,MV,Switzerland,LOT-58463446,2027-04-08,152,DHL,2024-11-30,2024-12-03,2024-12-10,Completed,WH-294,SITE-290,Yes
3B0FDA9F-884,CT-9831-IEW,IWRS-1747521,SITE-208,CY,Tanzania,LOT-82476241,2025-06-26,251,UPS,2025-07-30,2025-08-09,2025-08-18,In Progress,WH-294,SITE-208,No
A7510327-2D1,CT-3636-AVP,IWRS-2978707,SITE-261,IQ,Estonia,LOT-27778437,2025-04-09,163,UPS,2025-05-21,2025-05-27,2025-06-08,Created,WH-294,SITE-261,Yes
CE77A960-CDA,CT-7047-GQC,IWRS-9452082,SITE-186,RW,Indonesia,LOT-73100049,2026-06-22,282,Kuehne+Nagel,2025-04-24,2025-05-04,2025-05-09,Completed,WH-294,SITE-186,Yes
13D23ECC-032,CT-4229-AWU,IWRS-1142386,SITE-231,MM,Bouvet Island (Bouvetoya),LOT-85774109,2026-09-07,255,UPS,2025-09-20,2025-09-28,2025-10-08,Closed,WH-294,SITE-231,No
DB096D51-BDC,CT-3228-ZKT,IWRS-8902802,SITE-159,NL,Thailand,LOT-63567190,2027-08-13,214,FedEx,2025-09-29,2025-10-08,2025-10-20,Closed,WH-294,SITE-159,Yes
5B47E6AA-FAF,CT-5014-EEP,IWRS-8541251,SITE-245,MC,Jordan,LOT-27803441,2026-11-22,217,WorldCourier,2025-08-26,2025-09-05,2025-09-15,Created,WH-294,SITE-245,No
ECA8CBD1-E04,CT-6551-IBW,IWRS-1790461,SITE-293,SA,Madagascar,LOT-34574127,2027-11-14,296,Kuehne+Nagel,2024-11-18,2024-11-28,2024-12-06,In Progress,WH-294,SITE-293,No
D5E639AD-82A,CT-7487-KNX,IWRS-5310852,SITE-276,LS,Cyprus,LOT-31152831,2025-09-07,247,Kuehne+Nagel,2025-05-11,2025-05-17,2025-05-29,Released,WH-294,SITE-276,Yes
7C05434F-BD5,CT-2004-PSX,IWRS-8903820,SITE-101,NA,Zimbabwe,LOT-75185716,2026-06-14,77,Kuehne+Nagel,2025-03-02,2025-03-10,2025-03-16,In Progress,WH-294,SITE-101,No
75038E9B-BA2,CT-3395-UCM,IWRS-9496219,SITE-216,AG,Comoros,LOT-30151730,2027-03-31,90,UPS,2024-11-23,2024-11-30,2024-12-06,Completed,WH-294,SITE-216,Yes
60F22C34-AA2,CT-5014-EEP,IWRS-7636893,SITE-247,SI,Azerbaijan,LOT-35809899,2026-06-17,192,UPS,2025-10-23,2025-10-27,2025-11-01,In Progress,WH-294,SITE-247,Yes
44597FDE-ED2,CT-2004-PSX,IWRS-4655375,SITE-101,VC,Zimbabwe,LOT-39555641,2027-05-20,101,FedEx,2025-06-15,2025-06-18,2025-06-22,Completed,WH-294,SITE-101,No
9853B6AB-C01,CT-6109-EDZ,IWRS-3608154,SITE-204,BT,Ecuador,LOT-70811881,2026-09-05,268,FedEx,2025-06-21,2025-07-01,2025-07-09,Released,WH-294,SITE-204,No
2D1D3AF0-A99,CT-8015-GMQ,IWRS-2412426,SITE-138,PE,Anguilla,LOT-21570201,2026-12-22,265,DHL,2025-10-06,2025-10-13,2025-10-18,Released,WH-294,SITE-138,No
19B119B0-986,CT-2004-PSX,IWRS-4818469,SITE-101,KH,Zimbabwe,LOT-32180264,2025-07-01,108,WorldCourier,2025-06-29,2025-07-05,2025-07-15,In Progress,WH-294,SITE-101,Yes
8733D49D-751,CT-9781-BYC,IWRS-8417203,SITE-310,PS,Moldova,LOT-27880910,2026-11-19,84,UPS,2025-07-09,2025-07-11,2025-07-23,Completed,WH-294,SITE-310,Yes
DC77B20F-464,CT-6109-EDZ,IWRS-7409048,SITE-205,LB,Cambodia,LOT-49441641,2026-07-19,132,DHL,2025-05-02,2025-05-05,2025-05-18,Created,WH-294,SITE-205,No
7BB74C9C-D85,CT-3395-UCM,IWRS-7098746,SITE-217,DK,Turkey,LOT-10817867,2025-11-17,40,FedEx,2025-03-30,2025-04-07,2025-04-16,Released,WH-294,SITE-217,No
3FCA798E-FD6,CT-9781-BYC,IWRS-3752979,SITE-306,SD,Albania,LOT-27880910,2026-11-19,48,UPS,2025-10-13,2025-10-19,2025-10-25,Released,WH-294,SITE-306,Yes
B83CFAB5-B68,CT-1696-SCY,IWRS-2528296,SITE-154,CR,Kazakhstan,LOT-46656333,2026-12-03,256,Kuehne+Nagel,2025-03-12,2025-03-20,2025-03-27,Closed,WH-294,SITE-154,Yes
6BF20FDB-A43,CT-8872-GKR,IWRS-4396312,SITE-142,PT,Philippines,LOT-51166600,2028-06-14,61,Kuehne+Nagel,2025-04-06,2025-04-09,2025-04-13,Closed,WH-294,SITE-142,No
835C170B-558,CT-8742-ECD,IWRS-6414666,SITE-175,SI,Nauru,LOT-99482219,2027-01-22,170,Kuehne+Nagel,2025-08-02,2025-08-10,2025-08-19,Closed,WH-294,SITE-175,No
88D93C9A-BB6,CT-6109-EDZ,IWRS-1239822,SITE-204,PT,Ecuador,LOT-31019227,2026-06-17,138,Kuehne+Nagel,2025-07-04,2025-07-08,2025-07-12,In Progress,WH-294,SITE-204,Yes
81962565-3BA,CT-8015-GMQ,IWRS-4638853,SITE-137,TM,Guam,LOT-23670572,2026-05-20,166,DHL,2025-07-17,2025-07-20,2025-07-25,Completed,WH-294,SITE-137,No
84171620-97D,CT-3472-PNG,IWRS-3453911,SITE-301,KE,Trinidad and Tobago,LOT-14377768,2027-01-10,20,Kuehne+Nagel,2025-01-14,2025-01-21,2025-01-25,Created,WH-294,SITE-301,No
276063F6-554,CT-4229-AWU,IWRS-4578348,SITE-233,AM,Bouvet Island (Bouvetoya),LOT-12068529,2025-11-10,11,WorldCourier,2025-03-16,2025-03-20,2025-03-26,Released,WH-294,SITE-233,Yes
4D00FA38-F44,CT-1816-RCG,IWRS-3197947,SITE-190,KP,United States of America,LOT-60968631,2026-10-17,280,Kuehne+Nagel,2025-01-15,2025-01-25,2025-02-07,Created,WH-294,SITE-190,No
B9D604CE-B27,CT-3228-ZKT,IWRS-3631251,SITE-157,BS,Sudan,LOT-73483649,2026-06-15,255,DHL,2024-12-03,2024-12-11,2024-12-23,Closed,WH-294,SITE-157,Yes
88381E6F-DB8,CT-3636-AVP,IWRS-7045930,SITE-252,NG,Burundi,LOT-47865891,2028-02-08,54,Kuehne+Nagel,2024-12-18,2024-12-24,2025-01-03,In Progress,WH-294,SITE-252,Yes
F82FA87C-017,CT-1696-SCY,IWRS-1677681,SITE-153,PL,Dominican Republic,LOT-65372587,2025-02-09,187,DHL,2025-10-05,2025-10-09,2025-10-19,Released,WH-294,SITE-153,Yes
0B269C0B-68B,CT-9781-BYC,IWRS-2846668,SITE-307,LY,Albania,LOT-91403277,2025-11-01,225,WorldCourier,2024-11-30,2024-12-05,2024-12-13,Closed,WH-294,SITE-307,Yes
53E512B4-F07,CT-7487-KNX,IWRS-5196121,SITE-279,TN,Cuba,LOT-31152831,2025-09-07,48,Kuehne+Nagel,2025-02-12,2025-02-21,2025-03-04,Created,WH-294,SITE-279,Yes
21ED0BE4-ED0,CT-3230-HFO,IWRS-3236461,SITE-283,HU,Antarctica (the territory South of 60 deg S),LOT-46366370,2025-11-01,151,DHL,2025-06-05,2025-06-13,2025-06-22,Completed,WH-294,SITE-283,Yes
C9553C30-3C9,CT-7047-GQC,IWRS-4314474,SITE-182,CM,India,LOT-73100049,2026-06-22,64,FedEx,2025-07-26,2025-08-05,2025-08-18,Released,WH-294,SITE-182,Yes
C93ED8AD-5FB,CT-3472-PNG,IWRS-8783394,SITE-301,AE,Trinidad and Tobago,LOT-36766763,2026-01-11,150,FedEx,2025-01-20,2025-01-29,2025-02-08,Closed,WH-294,SITE-301,Yes
56F016D1-42A,CT-9831-IEW,IWRS-1011341,SITE-208,CN,Tanzania,LOT-70273170,2025-03-21,217,FedEx,2025-05-07,2025-05-10,2025-05-23,Created,WH-294,SITE-208,Yes
DC6732A6-B32,CT-3395-UCM,IWRS-9498304,SITE-213,PT,Belize,LOT-52789053,2026-04-29,247,WorldCourier,2025-04-19,2025-04-22,2025-05-03,Created,WH-294,SITE-213,No
1C290466-294,CT-1816-RCG,IWRS-9100688,SITE-192,TJ,Barbados,LOT-19895402,2026-05-19,244,WorldCourier,2025-06-11,2025-06-16,2025-06-26,Released,WH-294,SITE-192,Yes
302EBFD8-75D,CT-1816-RCG,IWRS-1594372,SITE-191,AM,Barbados,LOT-60968631,2026-10-17,21,UPS,2025-07-23,2025-08-01,2025-08-10,Created,WH-294,SITE-191,No
137379DF-53E,CT-7484-BIH,IWRS-4275966,SITE-269,HN,Niger,LOT-26012891,2026-02-19,206,DHL,2024-11-28,2024-12-04,2024-12-11,In Progress,WH-294,SITE-269,Yes
E70B0CD9-41B,CT-1696-SCY,IWRS-8706744,SITE-148,BE,Haiti,LOT-44491067,2028-06-07,241,UPS,2025-06-13,2025-06-22,2025-06-27,Completed,WH-294,SITE-148,Yes
C3C4CA8C-DA3,CT-7484-BIH,IWRS-3028131,SITE-267,VE,Niger,LOT-16159838,2025-09-01,270,Kuehne+Nagel,2025-06-05,2025-06-07,2025-06-16,Released,WH-294,SITE-267,Yes
7D85A9BB-51A,CT-9771-CZL,IWRS-5735985,SITE-239,CV,Central African Republic,LOT-16473868,2027-01-28,171,UPS,2025-04-08,2025-04-18,2025-04-22,Created,WH-294,SITE-239,No
9F746DC7-45B,CT-8015-GMQ,IWRS-5960164,SITE-131,NP,Serbia,LOT-21570201,2026-12-22,161,UPS,2025-02-08,2025-02-17,2025-02-28,Closed,WH-294,SITE-131,No
F07DEB5E-390,CT-5014-EEP,IWRS-1549667,SITE-250,SE,Mauritius,LOT-29384973,2027-05-26,49,Kuehne+Nagel,2025-02-03,2025-02-09,2025-02-15,Closed,WH-294,SITE-250,No
DA07F536-CAB,CT-1696-SCY,IWRS-8687879,SITE-147,GW,Haiti,LOT-48273549,2025-03-04,77,FedEx,2025-08-06,2025-08-11,2025-08-14,Created,WH-294,SITE-147,Yes
2F2C7D94-2CE,CT-3230-HFO,IWRS-9815314,SITE-287,TG,Libyan Arab Jamahiriya,LOT-28229614,2026-12-14,14,FedEx,2025-09-29,2025-10-01,2025-10-10,Closed,WH-294,SITE-287,No
46866D25-F7F,CT-2004-PSX,IWRS-7474851,SITE-103,SN,Puerto Rico,LOT-39555641,2027-05-20,272,DHL,2025-05-14,2025-05-16,2025-05-21,Completed,WH-294,SITE-103,Yes
657B8A24-549,CT-5014-EEP,IWRS-5597973,SITE-242,CH,Sudan,LOT-29384973,2027-05-26,225,DHL,2025-05-12,2025-05-21,2025-05-24,Created,WH-294,SITE-242,No
721F5CBB-8FF,CT-8970-PLO,IWRS-6594757,SITE-116,ZA,Mozambique,LOT-74101873,2025-10-17,50,Kuehne+Nagel,2025-03-22,2025-03-25,2025-04-05,Released,WH-294,SITE-116,No
3C28F46E-D2C,CT-4229-AWU,IWRS-1703003,SITE-228,UY,Brunei Darussalam,LOT-81143076,2027-03-08,295,FedEx,2025-06-20,2025-06-22,2025-07-06,In Progress,WH-294,SITE-228,No
B4AACE38-46A,CT-5014-EEP,IWRS-6024122,SITE-248,UA,Azerbaijan,LOT-27607761,2026-08-18,169,UPS,2025-02-23,2025-02-27,2025-03-06,Created,WH-294,SITE-248,No
40399FB4-B0C,CT-7487-KNX,IWRS-3103053,SITE-272,NO,Burundi,LOT-75893896,2025-12-12,68,WorldCourier,2025-02-01,2025-02-03,2025-02-10,Closed,WH-294,SITE-272,Yes
7B08EEA7-A6C,CT-3228-ZKT,IWRS-3847587,SITE-159,CI,Thailand,LOT-24674076,2025-05-05,237,DHL,2025-03-29,2025-04-05,2025-04-12,Created,WH-294,SITE-159,Yes
7697D79B-3FA,CT-8742-ECD,IWRS-6943009,SITE-176,LY,San Marino,LOT-94846184,2026-06-19,243,UPS,2025-01-24,2025-01-26,2025-02-09,Created,WH-294,SITE-176,Yes
30986C0B-785,CT-9771-CZL,IWRS-6508936,SITE-241,SI,Central African Republic,LOT-29648706,2026-06-22,289,WorldCourier,2025-01-09,2025-01-17,2025-01-20,In Progress,WH-294,SITE-241,No
E09D9D69-D6E,CT-4229-AWU,IWRS-8369335,SITE-233,IR,Bouvet Island (Bouvetoya),LOT-66136964,2026-11-16,46,FedEx,2025-07-21,2025-07-23,2025-08-06,Closed,WH-294,SITE-233,Yes
272CA541-8B2,CT-8742-ECD,IWRS-3127491,SITE-175,SK,Nauru,LOT-61778837,2025-11-20,195,Kuehne+Nagel,2025-10-12,2025-10-22,2025-10-26,Completed,WH-294,SITE-175,Yes
