name_v,filename_v,health_authority_division_c,type_v,status_v,approved_date_c,major_version_number_v,approver_v,lilly_receipt_date_c,clinical_study_v,ly_number_c,submission_outcome
City Program Submission,health_84.pdf,EMA,CTA,Submitted,2025-02-13,4,James Collins,2024-09-10,CT-6109-EDZ,LY783975,Pending Questions
City Program Submission,network_91.pdf,EMA,ANDA,Submitted,2025-07-03,2,Melody Walsh,2025-08-29,CT-6109-EDZ,LY466360,Rejected
Myself Program Submission,one_12.pdf,MHRA,CTA,Approved,2025-04-25,6,Caitlin Jones,2024-02-17,CT-9831-IEW,LY613380,Rejected
Myself Program Submission,now_81.pdf,FDA,CTA,Approved,2025-08-29,3,Johnny Lewis,2025-07-11,CT-9831-IEW,LY825295,Pending Questions
Myself Program Submission,sister_98.pdf,PMDA,ANDA,Approved,2025-07-09,4,Jonathan Smith,2024-09-08,CT-9831-IEW,LY752584,Accepted
Majority Trial Submission,four_64.pdf,EMA,CTA,In Review,2025-08-08,2,Jerry Fernandez,2025-03-24,CT-3395-UCM,LY568630,Pending Questions
Majority Trial Submission,building_86.pdf,MHRA,ANDA,In Review,2025-04-01,5,Erika Harris,2025-01-01,CT-3395-UCM,LY591631,Rejected
Majority Trial Submission,stock_67.pdf,PMDA,IND,Submitted,2025-01-31,5,Julian Evans,2025-02-11,CT-3395-UCM,LY438173,Rejected
Front Study Submission,bad_71.pdf,FDA,CTA,Approved,2025-07-26,1,Charles Wallace,2025-01-20,CT-4229-AWU,LY555236,Pending Questions
Front Study Submission,do_69.pdf,MHRA,Protocol Amendment,In Review,2025-11-02,6,James Anderson,2024-08-17,CT-4229-AWU,LY111884,Pending Questions
Front Study Submission,wide_28.pdf,EMA,ANDA,In Review,2024-12-29,1,Kelsey Wilson,2024-06-20,CT-4229-AWU,LY136280,Rejected
Job Trial Submission,teacher_50.pdf,MHRA,Protocol Amendment,Approved,2025-03-15,6,Barbara Doyle,2024-05-13,CT-9771-CZL,LY476117,Rejected
Job Trial Submission,management_94.pdf,MHRA,IND,In Review,2025-06-30,3,Danielle Hughes,2024-09-23,CT-9771-CZL,LY871968,Accepted
Attorney Study Submission,window_19.pdf,EMA,Protocol Amendment,Approved,2025-09-28,4,Monique Long,2024-08-25,CT-5014-EEP,LY602004,Rejected
Attorney Study Submission,design_71.pdf,MHRA,CTA,In Review,2024-04-30,2,Cynthia Davis,2025-06-04,CT-5014-EEP,LY550980,Accepted
Attorney Study Submission,save_17.pdf,MHRA,IND,In Review,2024-04-23,3,Heather Bryan,2025-03-18,CT-5014-EEP,LY783527,Rejected
Wear Program Submission,head_81.pdf,EMA,IND,Submitted,2023-12-29,4,David Clark,2025-03-09,CT-3636-AVP,LY513977,Rejected
Wear Program Submission,deep_45.pdf,FDA,ANDA,Approved,2024-02-12,1,Dr. Thomas Robles,2024-05-04,CT-3636-AVP,LY888470,Accepted
Wear Program Submission,deep_59.pdf,EMA,IND,Submitted,2024-06-12,2,Tracy Arnold,2025-02-16,CT-3636-AVP,LY164254,Accepted
Member Trial Submission,southern_85.pdf,PMDA,CTA,In Review,2025-11-24,6,Kristin Walsh,2025-03-17,CT-7484-BIH,LY813742,Pending Questions
Recent Trial Submission,yeah_41.pdf,MHRA,ANDA,Submitted,2025-01-09,3,James Haynes,2024-12-16,CT-7487-KNX,LY509568,Accepted
Recent Trial Submission,avoid_80.pdf,MHRA,ANDA,In Review,2024-09-01,2,Lauren Little,2024-05-23,CT-7487-KNX,LY525760,Accepted
Recent Trial Submission,whether_90.pdf,MHRA,CTA,Approved,2024-11-12,5,Jennifer Smith,2023-12-28,CT-7487-KNX,LY929242,Accepted
Talk Trial Submission,consumer_93.pdf,PMDA,CTA,In Review,2025-04-12,3,Nicole Dorsey,2024-11-28,CT-3230-HFO,LY478396,Pending Questions
Camera Trial Submission,wish_1.pdf,EMA,Protocol Amendment,Approved,2024-11-07,2,Joseph Hunter,2024-01-17,CT-6551-IBW,LY530534,Pending Questions
Camera Trial Submission,hair_19.pdf,FDA,Protocol Amendment,In Review,2024-12-14,5,Kelly Smith,2024-07-02,CT-6551-IBW,LY136035,Accepted
Put Trial Submission,physical_3.pdf,FDA,Protocol Amendment,Submitted,2025-08-31,2,Amy Mcdonald,2024-10-10,CT-3472-PNG,LY504406,Accepted
Put Trial Submission,trip_76.pdf,FDA,ANDA,Submitted,2024-01-21,2,Angela Wang,2024-08-14,CT-3472-PNG,LY217008,Accepted
Put Trial Submission,back_83.pdf,PMDA,IND,Submitted,2024-10-31,2,Janice Martin,2024-10-30,CT-3472-PNG,LY602501,Pending Questions
None Trial Submission,then_69.pdf,EMA,IND,Submitted,2024-02-02,1,Ryan Rivera,2024-11-16,CT-9781-BYC,LY730051,Pending Questions
None Trial Submission,reveal_45.pdf,MHRA,IND,Approved,2025-11-18,1,Andrew Hamilton,2024-02-03,CT-9781-BYC,LY425687,Rejected
None Trial Submission,east_1.pdf,PMDA,Protocol Amendment,Approved,2025-07-28,6,Elizabeth Wallace,2023-11-26,CT-9781-BYC,LY608190,Rejected
