trial_alias,order_number,batch_number,material_number,material_type,plant,inspection_type,inspection_start_date,end_date_of_the_inspection,inspection_lot_number,usage_decision_has_been_made,object_status,usage_decision_code,date_of_code_used_for_usage_decision
CT-9781-BYC,C863EED3-4DE,LOT-91403277,MAT-31615,Comparator,EU02,Routine,2025-02-20,2025-02-25,IL21433299,No,Open,C,2025-02-28
CT-9831-IEW,1591A2AC-D6F,LOT-46257312,MAT-49651,Investigational Product,AP03,Triggered,2024-12-24,2024-12-29,IL19462902,No,Open,B,2025-01-01
CT-7484-BIH,805781A7-E1A,LOT-26012891,MAT-66257,Comparator,LAT04,Triggered,2025-04-08,2025-04-13,IL89251474,No,Closed,B,2025-04-16
CT-8742-ECD,13D53FD1-2EA,LOT-45571743,MAT-16848,Comparator,LAT04,Triggered,2025-09-23,2025-09-28,IL94791558,Yes,Open,A,2025-10-01
CT-3230-HFO,354C0CEF-9FF,LOT-10539218,MAT-73628,Ancillary Supply,US01,Triggered,2025-03-11,2025-03-16,IL63816086,No,Closed,C,2025-03-19
CT-8742-ECD,48F49FFF-6F5,LOT-61778837,MAT-15875,Ancillary Supply,EU02,Initial,2024-12-09,2024-12-14,IL61537105,Yes,Open,B,2024-12-17
CT-2004-PSX,37399508-4AE,LOT-75185716,MAT-97442,Comparator,EU02,Triggered,2025-10-12,2025-10-17,IL53890892,No,Open,B,2025-10-20
CT-8970-PLO,9CBEBD35-414,LOT-24616505,MAT-86920,Investigational Product,US01,Initial,2025-03-16,2025-03-21,IL43260577,No,In Progress,A,2025-03-24
CT-6910-RDE,0559EAA9-2EA,LOT-34166590,MAT-22108,Comparator,US01,Triggered,2025-03-26,2025-03-31,IL22214591,No,Open,C,2025-04-03
CT-8742-ECD,AAD7229E-CD6,LOT-83111741,MAT-47254,Comparator,EU02,Routine,2024-12-13,2024-12-18,IL14030359,No,Closed,A,2024-12-21
CT-3636-AVP,7ECBBF33-951,LOT-27778437,MAT-54383,Comparator,EU02,Routine,2025-01-19,2025-01-24,IL87159716,No,Closed,A,2025-01-27
CT-6551-IBW,F892BADA-B88,LOT-28144033,MAT-75647,Ancillary Supply,EU02,Routine,2025-07-04,2025-07-09,IL94286558,Yes,Open,A,2025-07-12
CT-8015-GMQ,216A0628-CE4,LOT-49095565,MAT-74459,Investigational Product,US01,Initial,2025-06-21,2025-06-26,IL86238768,No,Closed,C,2025-06-29
CT-3472-PNG,661396B5-BE2,LOT-36766763,MAT-22152,Ancillary Supply,US01,Routine,2025-05-11,2025-05-16,IL41248373,No,In Progress,A,2025-05-19
CT-3636-AVP,C1EDEFA4-014,LOT-86551756,MAT-54383,Comparator,EU02,Routine,2025-10-30,2025-11-04,IL83465433,Yes,Closed,C,2025-11-07
CT-5014-EEP,6779AAB3-F3B,LOT-35809899,MAT-39627,Comparator,LAT04,Initial,2025-08-03,2025-08-08,IL91673169,Yes,In Progress,A,2025-08-11
CT-5014-EEP,C39FF96A-D71,LOT-27803441,MAT-53554,Ancillary Supply,LAT04,Triggered,2025-05-10,2025-05-15,IL63549359,Yes,In Progress,A,2025-05-18
CT-6551-IBW,23447E8F-F1B,LOT-11280930,MAT-75647,Ancillary Supply,EU02,Routine,2025-07-14,2025-07-19,IL14299188,Yes,Open,A,2025-07-22
CT-6592-IDY,D620F7F5-660,LOT-28252003,MAT-49508,Ancillary Supply,LAT04,Initial,2025-03-17,2025-03-22,IL32607618,Yes,Closed,A,2025-03-25
CT-6551-IBW,9D1D8DAF-160,LOT-89806740,MAT-79992,Ancillary Supply,EU02,Routine,2024-12-21,2024-12-26,IL75607027,No,Open,C,2024-12-29
CT-3228-ZKT,CCD65B39-FFB,LOT-38707248,MAT-58266,Ancillary Supply,EU02,Routine,2024-12-11,2024-12-16,IL24837136,Yes,In Progress,A,2024-12-19
CT-1696-SCY,D9F20807-A58,LOT-46656333,MAT-78401,Ancillary Supply,US01,Routine,2025-03-14,2025-03-19,IL50393873,No,Open,B,2025-03-22
CT-3636-AVP,053A9347-DD8,LOT-41301239,MAT-46171,Ancillary Supply,AP03,Initial,2025-02-05,2025-02-10,IL71932592,Yes,Open,A,2025-02-13
CT-6910-RDE,33A5606D-712,LOT-34198332,MAT-22108,Comparator,US01,Routine,2025-05-12,2025-05-17,IL41211967,No,Open,A,2025-05-20
CT-9771-CZL,EC2064DF-354,LOT-83383410,MAT-22610,Ancillary Supply,LAT04,Initial,2024-12-03,2024-12-08,IL12941213,No,Closed,A,2024-12-11
CT-3230-HFO,C061C212-E16,LOT-32873081,MAT-73628,Ancillary Supply,US01,Initial,2025-08-20,2025-08-25,IL82622793,Yes,Open,A,2025-08-28
CT-7487-KNX,333F654A-085,LOT-31152831,MAT-59372,Ancillary Supply,US01,Initial,2025-07-17,2025-07-22,IL24490798,No,Open,A,2025-07-25
CT-6910-RDE,91976714-574,LOT-34198332,MAT-22108,Comparator,US01,Routine,2025-07-23,2025-07-28,IL42642977,Yes,Closed,A,2025-07-31
CT-8872-GKR,43A721B6-D4D,LOT-60549611,MAT-66331,Investigational Product,LAT04,Routine,2025-09-22,2025-09-27,IL62913203,No,Closed,C,2025-09-30
CT-3472-PNG,CDED8377-18B,LOT-14377768,MAT-45907,Ancillary Supply,LAT04,Triggered,2025-06-27,2025-07-02,IL37771539,Yes,In Progress,A,2025-07-05
CT-7487-KNX,E1DECF3D-AD6,LOT-17450919,MAT-18458,Ancillary Supply,EU02,Initial,2025-03-13,2025-03-18,IL16975776,No,Open,B,2025-03-21
CT-3230-HFO,F5EA0FB0-86D,LOT-32873081,MAT-73628,Ancillary Supply,US01,Triggered,2025-03-31,2025-04-05,IL38115636,Yes,Open,C,2025-04-08
CT-9831-IEW,A66ABC3D-ED8,LOT-46257312,MAT-49651,Investigational Product,AP03,Routine,2025-10-11,2025-10-16,IL58576946,Yes,Open,C,2025-10-19
CT-3228-ZKT,95696318-323,LOT-63418468,MAT-61362,Ancillary Supply,US01,Initial,2025-01-01,2025-01-06,IL30830920,Yes,In Progress,A,2025-01-09
CT-5014-EEP,A7AEB7DC-2CF,LOT-29384973,MAT-53554,Ancillary Supply,LAT04,Routine,2025-07-12,2025-07-17,IL13724728,No,Open,B,2025-07-20
CT-9831-IEW,D4D67F91-29D,LOT-82476241,MAT-16078,Comparator,LAT04,Initial,2025-02-20,2025-02-25,IL32986467,Yes,In Progress,C,2025-02-28
CT-8970-PLO,06816510-E5D,LOT-43759862,MAT-84265,Ancillary Supply,EU02,Routine,2025-07-31,2025-08-05,IL93885644,Yes,Closed,A,2025-08-08
CT-8015-GMQ,1466B603-499,LOT-23670572,MAT-91309,Comparator,LAT04,Triggered,2024-11-29,2024-12-04,IL72656107,Yes,Closed,C,2024-12-07
CT-9781-BYC,092A544D-1B7,LOT-37532398,MAT-98864,Ancillary Supply,AP03,Initial,2025-03-04,2025-03-09,IL41269983,No,Closed,B,2025-03-12
CT-7487-KNX,D991D9F7-CFE,LOT-70758392,MAT-56157,Comparator,EU02,Initial,2025-07-15,2025-07-20,IL26128927,Yes,Closed,C,2025-07-23
CT-8742-ECD,79E2FD5B-55E,LOT-97576608,MAT-47140,Comparator,US01,Initial,2025-10-15,2025-10-20,IL27070987,No,Open,B,2025-10-23
CT-9771-CZL,B8C67610-950,LOT-83383410,MAT-22610,Ancillary Supply,LAT04,Initial,2025-06-13,2025-06-18,IL33866297,No,Closed,B,2025-06-21
CT-3472-PNG,9E01693A-016,LOT-89268420,MAT-84153,Comparator,US01,Initial,2025-07-21,2025-07-26,IL28190065,Yes,In Progress,A,2025-07-29
CT-5806-JWO,6C1C5C9C-E11,LOT-26730959,MAT-81584,Comparator,US01,Triggered,2025-08-01,2025-08-06,IL96355055,Yes,Closed,B,2025-08-09
CT-7487-KNX,43F442CA-654,LOT-31152831,MAT-59372,Ancillary Supply,US01,Triggered,2025-01-26,2025-01-31,IL66710070,No,Closed,A,2025-02-03
CT-5806-JWO,19165D8C-A56,LOT-26730959,MAT-81584,Comparator,US01,Triggered,2025-01-12,2025-01-17,IL63312349,No,Open,B,2025-01-20
CT-5014-EEP,84747643-3B7,LOT-35809899,MAT-39627,Comparator,LAT04,Initial,2025-09-14,2025-09-19,IL44474668,Yes,In Progress,B,2025-09-22
CT-5014-EEP,1237E7EE-E08,LOT-27803441,MAT-53554,Ancillary Supply,LAT04,Triggered,2025-03-23,2025-03-28,IL89780956,Yes,Open,B,2025-03-31
CT-3395-UCM,423FCCAC-9C3,LOT-62442527,MAT-40706,Investigational Product,US01,Initial,2024-12-05,2024-12-10,IL15098190,Yes,Open,B,2024-12-13
CT-4229-AWU,9313CC9E-3F2,LOT-12068529,MAT-47986,Investigational Product,AP03,Routine,2024-12-12,2024-12-17,IL19803029,Yes,Open,B,2024-12-20
CT-7047-GQC,6EDC0958-393,LOT-66613397,MAT-18097,Investigational Product,AP03,Initial,2025-01-25,2025-01-30,IL79842830,Yes,In Progress,B,2025-02-02
CT-6592-IDY,3927BB78-AC5,LOT-69596629,MAT-49508,Ancillary Supply,LAT04,Routine,2025-03-19,2025-03-24,IL95494876,Yes,In Progress,A,2025-03-27
CT-9831-IEW,71D8D50F-7AE,LOT-26376337,MAT-33775,Ancillary Supply,LAT04,Triggered,2025-06-25,2025-06-30,IL86596439,Yes,Open,B,2025-07-03
CT-3230-HFO,16279966-43F,LOT-58463446,MAT-54713,Ancillary Supply,AP03,Initial,2024-11-27,2024-12-02,IL26705185,Yes,Open,A,2024-12-05
CT-9831-IEW,3B0FDA9F-884,LOT-82476241,MAT-16078,Comparator,LAT04,Routine,2025-07-27,2025-08-01,IL33586688,No,In Progress,A,2025-08-04
CT-3636-AVP,A7510327-2D1,LOT-27778437,MAT-54383,Comparator,EU02,Initial,2025-05-18,2025-05-23,IL86982413,Yes,Open,C,2025-05-26
CT-7047-GQC,CE77A960-CDA,LOT-73100049,MAT-58634,Ancillary Supply,EU02,Routine,2025-04-21,2025-04-26,IL23144567,No,Closed,C,2025-04-29
CT-4229-AWU,13D23ECC-032,LOT-85774109,MAT-22354,Investigational Product,LAT04,Initial,2025-09-17,2025-09-22,IL38529410,Yes,In Progress,B,2025-09-25
CT-3228-ZKT,DB096D51-BDC,LOT-63567190,MAT-30703,Investigational Product,AP03,Initial,2025-09-26,2025-10-01,IL25425256,Yes,Open,A,2025-10-04
CT-5014-EEP,5B47E6AA-FAF,LOT-27803441,MAT-53554,Ancillary Supply,LAT04,Triggered,2025-08-23,2025-08-28,IL64772556,Yes,In Progress,B,2025-08-31
CT-6551-IBW,ECA8CBD1-E04,LOT-34574127,MAT-79992,Ancillary Supply,EU02,Routine,2024-11-15,2024-11-20,IL85419370,Yes,In Progress,C,2024-11-23
CT-7487-KNX,D5E639AD-82A,LOT-31152831,MAT-59372,Ancillary Supply,US01,Initial,2025-05-08,2025-05-13,IL91967808,No,Open,C,2025-05-16
CT-2004-PSX,7C05434F-BD5,LOT-75185716,MAT-97442,Comparator,EU02,Initial,2025-02-27,2025-03-04,IL91088909,No,Open,B,2025-03-07
CT-3395-UCM,75038E9B-BA2,LOT-30151730,MAT-40706,Investigational Product,US01,Triggered,2024-11-20,2024-11-25,IL80920779,Yes,Closed,A,2024-11-28
CT-5014-EEP,60F22C34-AA2,LOT-35809899,MAT-39627,Comparator,LAT04,Initial,2025-10-20,2025-10-25,IL40584988,No,Closed,A,2025-10-28
CT-2004-PSX,44597FDE-ED2,LOT-39555641,MAT-32011,Comparator,EU02,Triggered,2025-06-12,2025-06-17,IL63325718,Yes,Open,B,2025-06-20
CT-6109-EDZ,9853B6AB-C01,LOT-70811881,MAT-86168,Investigational Product,AP03,Initial,2025-06-18,2025-06-23,IL50430051,Yes,Closed,C,2025-06-26
CT-8015-GMQ,2D1D3AF0-A99,LOT-21570201,MAT-74459,Investigational Product,US01,Routine,2025-10-03,2025-10-08,IL91745818,No,Closed,A,2025-10-11
CT-2004-PSX,19B119B0-986,LOT-32180264,MAT-60599,Ancillary Supply,EU02,Triggered,2025-06-26,2025-07-01,IL16258004,Yes,Open,C,2025-07-04
CT-9781-BYC,8733D49D-751,LOT-27880910,MAT-98864,Ancillary Supply,AP03,Triggered,2025-07-06,2025-07-11,IL77681491,Yes,Closed,C,2025-07-14
CT-6109-EDZ,DC77B20F-464,LOT-49441641,MAT-86168,Investigational Product,AP03,Initial,2025-04-29,2025-05-04,IL15180038,No,Open,C,2025-05-07
CT-3395-UCM,7BB74C9C-D85,LOT-10817867,MAT-34899,Investigational Product,US01,Triggered,2025-03-27,2025-04-01,IL72264962,No,Open,A,2025-04-04
CT-9781-BYC,3FCA798E-FD6,LOT-27880910,MAT-98864,Ancillary Supply,AP03,Routine,2025-10-10,2025-10-15,IL99198689,Yes,In Progress,C,2025-10-18
CT-1696-SCY,B83CFAB5-B68,LOT-46656333,MAT-78401,Ancillary Supply,US01,Initial,2025-03-09,2025-03-14,IL64050189,Yes,Open,B,2025-03-17
CT-8872-GKR,6BF20FDB-A43,LOT-51166600,MAT-23246,Comparator,US01,Initial,2025-04-03,2025-04-08,IL54430006,Yes,In Progress,B,2025-04-11
CT-8742-ECD,835C170B-558,LOT-99482219,MAT-47140,Comparator,US01,Routine,2025-07-30,2025-08-04,IL95076648,Yes,Open,B,2025-08-07
CT-6109-EDZ,88D93C9A-BB6,LOT-31019227,MAT-86168,Investigational Product,AP03,Triggered,2025-07-01,2025-07-06,IL58649110,No,Open,A,2025-07-09
CT-8015-GMQ,81962565-3BA,LOT-23670572,MAT-91309,Comparator,LAT04,Triggered,2025-07-14,2025-07-19,IL82817889,Yes,Closed,C,2025-07-22
CT-3472-PNG,84171620-97D,LOT-14377768,MAT-45907,Ancillary Supply,LAT04,Initial,2025-01-11,2025-01-16,IL36074395,Yes,In Progress,A,2025-01-19
CT-4229-AWU,276063F6-554,LOT-12068529,MAT-47986,Investigational Product,AP03,Triggered,2025-03-13,2025-03-18,IL37305726,No,Open,C,2025-03-21
CT-1816-RCG,4D00FA38-F44,LOT-60968631,MAT-37872,Comparator,AP03,Routine,2025-01-12,2025-01-17,IL60070448,Yes,In Progress,B,2025-01-20
CT-3228-ZKT,B9D604CE-B27,LOT-73483649,MAT-58266,Ancillary Supply,EU02,Triggered,2024-11-30,2024-12-05,IL86290447,No,Closed,C,2024-12-08
CT-3636-AVP,88381E6F-DB8,LOT-47865891,MAT-46171,Ancillary Supply,AP03,Initial,2024-12-15,2024-12-20,IL20403513,No,In Progress,C,2024-12-23
CT-1696-SCY,F82FA87C-017,LOT-65372587,MAT-14115,Comparator,EU02,Routine,2025-10-02,2025-10-07,IL94800598,No,Open,C,2025-10-10
CT-9781-BYC,0B269C0B-68B,LOT-91403277,MAT-31615,Comparator,EU02,Initial,2024-11-27,2024-12-02,IL48057582,No,Open,B,2024-12-05
CT-7487-KNX,53E512B4-F07,LOT-31152831,MAT-59372,Ancillary Supply,US01,Initial,2025-02-09,2025-02-14,IL45160077,No,In Progress,C,2025-02-17
CT-3230-HFO,21ED0BE4-ED0,LOT-46366370,MAT-68176,Comparator,EU02,Triggered,2025-06-02,2025-06-07,IL70343086,Yes,Open,A,2025-06-10
CT-7047-GQC,C9553C30-3C9,LOT-73100049,MAT-58634,Ancillary Supply,EU02,Routine,2025-07-23,2025-07-28,IL47715939,Yes,Closed,B,2025-07-31
CT-3472-PNG,C93ED8AD-5FB,LOT-36766763,MAT-22152,Ancillary Supply,US01,Initial,2025-01-17,2025-01-22,IL18851804,Yes,Closed,C,2025-01-25
CT-9831-IEW,56F016D1-42A,LOT-70273170,MAT-49651,Investigational Product,AP03,Triggered,2025-05-04,2025-05-09,IL66715239,No,Closed,B,2025-05-12
CT-3395-UCM,DC6732A6-B32,LOT-52789053,MAT-82814,Investigational Product,LAT04,Initial,2025-04-16,2025-04-21,IL49923505,Yes,Open,B,2025-04-24
CT-1816-RCG,1C290466-294,LOT-19895402,MAT-55297,Comparator,EU02,Initial,2025-06-08,2025-06-13,IL86790074,Yes,Open,B,2025-06-16
CT-1816-RCG,302EBFD8-75D,LOT-60968631,MAT-37872,Comparator,AP03,Triggered,2025-07-20,2025-07-25,IL23589336,No,Open,C,2025-07-28
CT-7484-BIH,137379DF-53E,LOT-26012891,MAT-66257,Comparator,LAT04,Triggered,2024-11-25,2024-11-30,IL78728582,Yes,In Progress,B,2024-12-03
CT-1696-SCY,E70B0CD9-41B,LOT-44491067,MAT-78401,Ancillary Supply,US01,Triggered,2025-06-10,2025-06-15,IL80715388,Yes,In Progress,C,2025-06-18
CT-7484-BIH,C3C4CA8C-DA3,LOT-16159838,MAT-66257,Comparator,LAT04,Initial,2025-06-02,2025-06-07,IL54869257,Yes,Open,B,2025-06-10
CT-9771-CZL,7D85A9BB-51A,LOT-16473868,MAT-22610,Ancillary Supply,LAT04,Triggered,2025-04-05,2025-04-10,IL74811184,Yes,In Progress,B,2025-04-13
CT-8015-GMQ,9F746DC7-45B,LOT-21570201,MAT-74459,Investigational Product,US01,Triggered,2025-02-05,2025-02-10,IL23190690,No,Closed,B,2025-02-13
CT-5014-EEP,F07DEB5E-390,LOT-29384973,MAT-53554,Ancillary Supply,LAT04,Triggered,2025-01-31,2025-02-05,IL30634304,No,In Progress,C,2025-02-08
CT-1696-SCY,DA07F536-CAB,LOT-48273549,MAT-14115,Comparator,EU02,Routine,2025-08-03,2025-08-08,IL72392702,No,Closed,B,2025-08-11
CT-3230-HFO,2F2C7D94-2CE,LOT-28229614,MAT-68176,Comparator,EU02,Triggered,2025-09-26,2025-10-01,IL70132542,Yes,In Progress,C,2025-10-04
CT-2004-PSX,46866D25-F7F,LOT-39555641,MAT-32011,Comparator,EU02,Routine,2025-05-11,2025-05-16,IL92505560,No,Closed,B,2025-05-19
CT-5014-EEP,657B8A24-549,LOT-29384973,MAT-53554,Ancillary Supply,LAT04,Triggered,2025-05-09,2025-05-14,IL22656134,No,Open,C,2025-05-17
CT-8970-PLO,721F5CBB-8FF,LOT-74101873,MAT-82398,Investigational Product,EU02,Initial,2025-03-19,2025-03-24,IL12644803,Yes,Open,C,2025-03-27
CT-4229-AWU,3C28F46E-D2C,LOT-81143076,MAT-30745,Comparator,US01,Initial,2025-06-17,2025-06-22,IL20758636,No,In Progress,B,2025-06-25
CT-5014-EEP,B4AACE38-46A,LOT-27607761,MAT-39627,Comparator,LAT04,Routine,2025-02-20,2025-02-25,IL75740366,No,Open,A,2025-02-28
CT-7487-KNX,40399FB4-B0C,LOT-75893896,MAT-18458,Ancillary Supply,EU02,Triggered,2025-01-29,2025-02-03,IL98946280,No,Open,A,2025-02-06
CT-3228-ZKT,7B08EEA7-A6C,LOT-24674076,MAT-18409,Investigational Product,AP03,Routine,2025-03-26,2025-03-31,IL54813276,Yes,In Progress,B,2025-04-03
CT-8742-ECD,7697D79B-3FA,LOT-94846184,MAT-47254,Comparator,EU02,Triggered,2025-01-21,2025-01-26,IL29411653,Yes,In Progress,A,2025-01-29
CT-9771-CZL,30986C0B-785,LOT-29648706,MAT-93544,Investigational Product,LAT04,Routine,2025-01-06,2025-01-11,IL91578612,No,In Progress,B,2025-01-14
CT-4229-AWU,E09D9D69-D6E,LOT-66136964,MAT-40089,Investigational Product,EU02,Triggered,2025-07-18,2025-07-23,IL55712751,Yes,Closed,A,2025-07-26
CT-8742-ECD,272CA541-8B2,LOT-61778837,MAT-15875,Ancillary Supply,EU02,Triggered,2025-10-09,2025-10-14,IL97519378,No,Closed,A,2025-10-17
CT-1816-RCG,0DB649CA-F40,LOT-36343625,MAT-55297,Comparator,EU02,Initial,2025-07-28,2025-08-02,IL34151380,No,Open,C,2025-08-05
CT-1816-RCG,E7347777-52D,LOT-60968631,MAT-37872,Comparator,AP03,Routine,2025-06-08,2025-06-13,IL98631103,Yes,Open,B,2025-06-16
CT-8742-ECD,3FF3E6F8-274,LOT-48781281,MAT-16848,Comparator,LAT04,Initial,2024-12-17,2024-12-22,IL87305419,No,Open,A,2024-12-25
CT-1816-RCG,DC052809-D93,LOT-73297905,MAT-37872,Comparator,AP03,Triggered,2025-01-01,2025-01-06,IL42968980,No,In Progress,A,2025-01-09
CT-1816-RCG,26C6F3AA-518,LOT-73297905,MAT-37872,Comparator,AP03,Routine,2024-12-02,2024-12-07,IL93754980,No,Open,C,2024-12-10
CT-5806-JWO,BEBE3F6F-617,LOT-91428756,MAT-42350,Comparator,AP03,Initial,2025-10-17,2025-10-22,IL69008803,Yes,Closed,A,2025-10-25
CT-6592-IDY,72B8F29D-C0E,LOT-19994803,MAT-17085,Investigational Product,LAT04,Routine,2025-01-17,2025-01-22,IL64085794,Yes,In Progress,A,2025-01-25
CT-3395-UCM,4C575DF3-DBF,LOT-16679340,MAT-82814,Investigational Product,LAT04,Initial,2025-10-02,2025-10-07,IL54136269,No,Closed,C,2025-10-10
CT-9781-BYC,362FCDC7-090,LOT-37532398,MAT-98864,Ancillary Supply,AP03,Triggered,2025-10-11,2025-10-16,IL57195499,Yes,In Progress,A,2025-10-19
CT-6109-EDZ,D822806C-DEC,LOT-70811881,MAT-86168,Investigational Product,AP03,Routine,2025-06-07,2025-06-12,IL43012349,No,Closed,A,2025-06-15
CT-1816-RCG,87528E6A-790,LOT-19895402,MAT-55297,Comparator,EU02,Triggered,2025-07-21,2025-07-26,IL44350226,Yes,Closed,C,2025-07-29
CT-9831-IEW,FF0D6EB9-415,LOT-72460791,MAT-16627,Investigational Product,US01,Routine,2025-01-24,2025-01-29,IL60029423,No,Closed,B,2025-02-01
CT-9831-IEW,CA6F43AD-A7B,LOT-46257312,MAT-49651,Investigational Product,AP03,Initial,2025-05-15,2025-05-20,IL18318926,No,In Progress,B,2025-05-23
CT-3230-HFO,215887CE-296,LOT-65730343,MAT-54713,Ancillary Supply,AP03,Triggered,2024-12-13,2024-12-18,IL81290236,No,Open,A,2024-12-21
CT-8872-GKR,6578EBA2-254,LOT-24028484,MAT-23246,Comparator,US01,Initial,2025-07-28,2025-08-02,IL98858271,Yes,In Progress,B,2025-08-05
CT-9831-IEW,C8E46777-965,LOT-82476241,MAT-16078,Comparator,LAT04,Routine,2025-02-08,2025-02-13,IL31349674,Yes,Closed,A,2025-02-16
CT-8742-ECD,FDCEFEF5-08F,LOT-45571743,MAT-16848,Comparator,LAT04,Triggered,2025-06-07,2025-06-12,IL84124213,Yes,Open,C,2025-06-15
CT-4229-AWU,84B7FABF-DFC,LOT-12068529,MAT-47986,Investigational Product,AP03,Initial,2025-09-23,2025-09-28,IL96386423,No,Closed,B,2025-10-01
CT-5806-JWO,E2E08976-B06,LOT-62532897,MAT-81584,Comparator,US01,Routine,2025-04-05,2025-04-10,IL71717516,No,Open,B,2025-04-13
CT-8742-ECD,B346DE58-18B,LOT-94846184,MAT-47254,Comparator,EU02,Triggered,2025-04-22,2025-04-27,IL63151497,Yes,In Progress,A,2025-04-30
CT-2004-PSX,24B63DC5-4E0,LOT-51070012,MAT-97442,Comparator,EU02,Triggered,2025-03-26,2025-03-31,IL11436362,No,Open,C,2025-04-03
CT-3472-PNG,A3929C23-5C7,LOT-21437748,MAT-84153,Comparator,US01,Initial,2025-10-04,2025-10-09,IL25812921,Yes,In Progress,A,2025-10-12
CT-8970-PLO,57C036FF-7C4,LOT-14354504,MAT-86920,Investigational Product,US01,Initial,2025-07-26,2025-07-31,IL59584104,No,Closed,A,2025-08-03
CT-9831-IEW,C8CA32C6-E9E,LOT-26376337,MAT-33775,Ancillary Supply,LAT04,Initial,2025-10-18,2025-10-23,IL89586888,Yes,Closed,A,2025-10-26
CT-3228-ZKT,ACC4DB4C-3ED,LOT-60873216,MAT-18409,Investigational Product,AP03,Initial,2025-09-05,2025-09-10,IL88494765,No,Open,A,2025-09-13
CT-8015-GMQ,577BCE94-FDC,LOT-92879466,MAT-91309,Comparator,LAT04,Routine,2025-03-12,2025-03-17,IL39545325,No,In Progress,A,2025-03-20
CT-3230-HFO,72E2F609-A3F,LOT-10539218,MAT-73628,Ancillary Supply,US01,Triggered,2024-12-29,2025-01-03,IL25725400,Yes,Closed,A,2025-01-06
CT-3395-UCM,5B67D985-194,LOT-62567327,MAT-82814,Investigational Product,LAT04,Routine,2025-01-01,2025-01-06,IL55125400,No,In Progress,C,2025-01-09
CT-5014-EEP,A1F0CF54-5A3,LOT-29384973,MAT-53554,Ancillary Supply,LAT04,Initial,2025-01-22,2025-01-27,IL26312362,No,Closed,A,2025-01-30
CT-5806-JWO,150CE384-BD4,LOT-62532897,MAT-81584,Comparator,US01,Routine,2025-06-14,2025-06-19,IL14214774,No,Open,A,2025-06-22
