STUDY_ID,LOT_NUMBER,PACKAGE_NUMBER,PACKAGE_DESC,RQST_DATE,EXPIRATION_DATE,PACKAGE_STATUS,SHIP_UNIT_ID,SHIPMENT_STATUS_CODE
CT-3395-UCM,LOT-62442527,PKG-83163914,Keep Capsule,2025-05-23,2025-09-06,Dispensed,SU-135667,Delivered
CT-4229-AWU,LOT-12068529,PKG-18305555,Experience Tablet,2025-06-12,2025-11-10,Available,SU-104144,Delayed
CT-7047-GQC,LOT-66613397,PKG-77306200,Enter Capsule,2025-06-27,2025-11-03,Available,SU-705719,Shipped
CT-6592-IDY,LOT-69596629,PKG-11798319,Able Patch,2025-07-27,2026-12-31,Damaged,SU-615015,Delayed
CT-6592-IDY,LOT-69596629,PKG-42326340,Able Patch,2025-08-10,2026-12-31,Quarantined,SU-762729,Planning
CT-6592-IDY,LOT-69596629,PKG-48793257,Able Patch,2025-10-01,2026-12-31,Quarantined,SU-355490,Delivered
CT-6592-IDY,LOT-69596629,PKG-21292717,Able Patch,2025-07-30,2026-12-31,Available,SU-568042,Planning
CT-9831-IEW,LOT-26376337,PKG-37060329,Something Patch,2025-08-31,2026-09-04,Available,SU-469028,Delayed
CT-3230-HFO,LOT-58463446,PKG-64871113,Free Solution,2025-05-21,2027-04-08,Damaged,SU-650485,Shipped
CT-3230-HFO,LOT-58463446,PKG-12480280,Free Solution,2025-07-14,2027-04-08,Damaged,SU-281228,Shipped
CT-3230-HFO,LOT-58463446,PKG-21947262,Free Solution,2025-08-24,2027-04-08,Dispensed,SU-761465,Shipped
CT-9831-IEW,LOT-82476241,PKG-22211958,Stock Patch,2025-09-29,2025-06-26,Available,SU-453397,Shipped
CT-9831-IEW,LOT-82476241,PKG-35065081,Stock Patch,2025-09-03,2025-06-26,Available,SU-990468,Delayed
CT-9831-IEW,LOT-82476241,PKG-49259971,Stock Patch,2025-06-01,2025-06-26,Dispensed,SU-948121,Delayed
CT-3636-AVP,LOT-27778437,PKG-73021579,Agency Injection,2025-09-12,2025-04-09,Available,SU-709359,Ready
CT-3636-AVP,LOT-27778437,PKG-76813465,Agency Injection,2025-09-08,2025-04-09,Damaged,SU-440722,Ready
CT-3636-AVP,LOT-27778437,PKG-54998278,Agency Injection,2025-09-05,2025-04-09,Available,SU-671264,Delivered
CT-3636-AVP,LOT-27778437,PKG-72390218,Agency Injection,2025-08-10,2025-04-09,Damaged,SU-530925,Shipped
CT-7047-GQC,LOT-73100049,PKG-87798465,Impact Patch,2025-07-30,2026-06-22,Dispensed,SU-742946,Shipped
CT-7047-GQC,LOT-73100049,PKG-37098137,Impact Patch,2025-08-02,2026-06-22,Available,SU-812842,Delayed
CT-4229-AWU,LOT-85774109,PKG-80239814,Light Tablet,2025-07-03,2026-09-07,Damaged,SU-875113,Delivered
CT-4229-AWU,LOT-85774109,PKG-59040051,Light Tablet,2025-09-13,2026-09-07,Dispensed,SU-103142,Planning
CT-3228-ZKT,LOT-63567190,PKG-90607040,Cold Injection,2025-10-07,2027-08-13,Damaged,SU-760945,Delayed
CT-5014-EEP,LOT-27803441,PKG-42757670,They Capsule,2025-07-20,2026-11-22,Quarantined,SU-450905,Shipped
CT-5014-EEP,LOT-27803441,PKG-52367943,They Capsule,2025-10-13,2026-11-22,Dispensed,SU-918106,Delayed
CT-5014-EEP,LOT-27803441,PKG-13619832,They Capsule,2025-09-25,2026-11-22,Damaged,SU-418922,Delayed
CT-5014-EEP,LOT-27803441,PKG-51610576,They Capsule,2025-10-05,2026-11-22,Quarantined,SU-400822,Planning
CT-6551-IBW,LOT-34574127,PKG-92472398,Anyone Tablet,2025-10-10,2027-11-14,Damaged,SU-649234,Delivered
CT-6551-IBW,LOT-34574127,PKG-56456735,Anyone Tablet,2025-06-11,2027-11-14,Available,SU-453057,Delivered
CT-6551-IBW,LOT-34574127,PKG-14197327,Anyone Tablet,2025-05-22,2027-11-14,Damaged,SU-254370,Planning
CT-6551-IBW,LOT-34574127,PKG-95606724,Anyone Tablet,2025-05-25,2027-11-14,Dispensed,SU-966523,Planning
CT-7487-KNX,LOT-31152831,PKG-70780088,Issue Patch,2025-07-22,2025-09-07,Available,SU-823356,Delayed
CT-7487-KNX,LOT-31152831,PKG-88711222,Issue Patch,2025-09-11,2025-09-07,Quarantined,SU-523655,Delivered
CT-2004-PSX,LOT-75185716,PKG-99666261,Common Patch,2025-07-01,2026-06-14,Damaged,SU-346903,Delayed
CT-3395-UCM,LOT-30151730,PKG-10397340,Keep Capsule,2025-08-18,2027-03-31,Dispensed,SU-638495,Delayed
CT-3395-UCM,LOT-30151730,PKG-40671068,Keep Capsule,2025-06-24,2027-03-31,Quarantined,SU-377104,Planning
CT-5014-EEP,LOT-35809899,PKG-16824273,Fund Tablet,2025-08-06,2026-06-17,Quarantined,SU-276468,Planning
CT-5014-EEP,LOT-35809899,PKG-49834123,Fund Tablet,2025-06-01,2026-06-17,Available,SU-388811,Shipped
CT-5014-EEP,LOT-35809899,PKG-47958315,Fund Tablet,2025-07-24,2026-06-17,Quarantined,SU-804040,Ready
CT-5014-EEP,LOT-35809899,PKG-84232038,Fund Tablet,2025-05-25,2026-06-17,Dispensed,SU-130317,Planning
CT-2004-PSX,LOT-39555641,PKG-59169441,Offer Tablet,2025-08-05,2027-05-20,Dispensed,SU-875871,Delivered
