Trial Alias,Country,Site,Year,"Months (Jan, Feb.. Dec)"
CT-7047-GQC,Tunisia,SITE-183,2025,"6, 10, 5, 0, 2, 4, 9, 5, 1, 0, 2, 10"
CT-7047-GQC,Tunisia,SITE-184,2025,"8, 7, 10, 1, 3, 0, 5, 6, 2, 9, 3, 2"
CT-7047-GQC,Indonesia,SITE-185,2025,"10, 9, 2, 3, 3, 10, 6, 8, 10, 7, 9, 9"
CT-7047-GQC,Indonesia,SITE-186,2025,"9, 1, 10, 7, 7, 8, 7, 10, 1, 10, 7, 10"
CT-7047-GQC,Czech Republic,SITE-187,2025,"1, 10, 9, 0, 0, 8, 0, 10, 6, 3, 4, 9"
CT-7047-GQC,Czech Republic,SITE-188,2025,"4, 0, 5, 2, 10, 9, 10, 8, 9, 10, 6, 2"
CT-7047-GQC,Czech Republic,SITE-189,2025,"9, 10, 9, 1, 10, 9, 8, 9, 3, 0, 9, 6"
CT-1816-RCG,United States of America,SITE-190,2025,"2, 10, 9, 3, 10, 8, 6, 4, 10, 9, 9, 9"
CT-1816-RCG,Barbados,SITE-191,2025,"8, 5, 8, 6, 5, 10, 5, 7, 5, 3, 10, 10"
CT-1816-RCG,Barbados,SITE-192,2025,"10, 7, 3, 2, 3, 0, 2, 3, 0, 9, 6, 3"
CT-6109-EDZ,Guam,SITE-193,2025,"2, 9, 5, 7, 1, 0, 8, 10, 9, 3, 7, 9"
CT-6109-EDZ,Guam,SITE-194,2025,"6, 8, 5, 3, 0, 8, 0, 7, 5, 0, 2, 7"
CT-6109-EDZ,Guam,SITE-195,2025,"1, 10, 6, 6, 6, 2, 9, 1, 9, 5, 5, 8"
CT-6109-EDZ,Latvia,SITE-196,2025,"1, 7, 3, 1, 1, 8, 6, 0, 10, 8, 4, 0"
CT-6109-EDZ,Latvia,SITE-197,2025,"2, 10, 4, 1, 0, 6, 7, 4, 5, 8, 1, 0"
CT-6109-EDZ,Belize,SITE-198,2025,"6, 6, 7, 8, 2, 5, 8, 7, 0, 4, 1, 10"
CT-6109-EDZ,Seychelles,SITE-199,2025,"3, 0, 3, 1, 2, 6, 7, 1, 7, 9, 4, 4"
CT-6109-EDZ,Seychelles,SITE-200,2025,"10, 8, 7, 7, 9, 8, 0, 10, 0, 9, 8, 8"
CT-6109-EDZ,Seychelles,SITE-201,2025,"5, 9, 1, 5, 4, 8, 1, 6, 0, 6, 4, 1"
CT-6109-EDZ,Ecuador,SITE-202,2025,"0, 3, 10, 5, 7, 6, 8, 5, 8, 9, 9, 2"
CT-6109-EDZ,Ecuador,SITE-203,2025,"3, 0, 7, 10, 1, 9, 6, 0, 3, 1, 3, 5"
CT-6109-EDZ,Ecuador,SITE-204,2025,"6, 9, 6, 6, 9, 3, 10, 6, 2, 6, 9, 4"
CT-6109-EDZ,Cambodia,SITE-205,2025,"2, 10, 6, 10, 2, 7, 0, 4, 9, 0, 5, 5"
CT-9831-IEW,Azerbaijan,SITE-206,2025,"7, 0, 6, 10, 2, 8, 9, 4, 4, 7, 5, 4"
CT-9831-IEW,Jersey,SITE-207,2025,"4, 9, 9, 5, 1, 3, 5, 7, 6, 5, 5, 4"
CT-9831-IEW,Tanzania,SITE-208,2025,"5, 6, 5, 3, 10, 7, 1, 6, 2, 0, 10, 7"
CT-9831-IEW,Wallis and Futuna,SITE-209,2025,"4, 7, 8, 2, 9, 10, 8, 9, 3, 9, 10, 0"
CT-9831-IEW,Wallis and Futuna,SITE-210,2025,"6, 1, 6, 10, 8, 8, 1, 8, 8, 10, 10, 6"
CT-9831-IEW,Pitcairn Islands,SITE-211,2025,"3, 9, 0, 6, 4, 1, 2, 6, 2, 7, 10, 4"
CT-9831-IEW,Turkey,SITE-212,2025,"6, 1, 4, 4, 6, 10, 7, 6, 8, 8, 0, 1"
CT-3395-UCM,Belize,SITE-213,2025,"5, 2, 2, 10, 8, 10, 5, 1, 5, 10, 1, 7"
CT-3395-UCM,Belize,SITE-214,2025,"7, 3, 7, 2, 3, 2, 6, 0, 10, 1, 5, 4"
CT-3395-UCM,Comoros,SITE-215,2025,"4, 3, 8, 8, 5, 8, 9, 4, 5, 5, 6, 1"
CT-3395-UCM,Comoros,SITE-216,2025,"10, 7, 8, 10, 9, 5, 7, 0, 4, 9, 0, 8"
CT-3395-UCM,Turkey,SITE-217,2025,"9, 8, 5, 4, 10, 5, 9, 5, 3, 2, 6, 9"
CT-3395-UCM,Turkey,SITE-218,2025,"4, 1, 0, 8, 6, 7, 4, 8, 3, 1, 0, 10"
CT-3395-UCM,Turkey,SITE-219,2025,"3, 3, 8, 3, 8, 4, 5, 4, 9, 6, 9, 10"
CT-4229-AWU,Uzbekistan,SITE-220,2025,"5, 2, 1, 9, 10, 2, 4, 0, 3, 3, 5, 1"
CT-4229-AWU,Uzbekistan,SITE-221,2025,"7, 2, 3, 1, 3, 9, 1, 6, 1, 4, 4, 3"
CT-4229-AWU,Uzbekistan,SITE-222,2025,"6, 5, 6, 9, 4, 9, 6, 2, 8, 2, 2, 6"
CT-4229-AWU,New Caledonia,SITE-223,2025,"5, 10, 0, 9, 7, 2, 9, 3, 2, 6, 8, 3"
CT-4229-AWU,New Caledonia,SITE-224,2025,"6, 10, 5, 4, 10, 4, 9, 5, 8, 3, 5, 1"
CT-4229-AWU,Ecuador,SITE-225,2025,"3, 2, 9, 2, 8, 5, 8, 3, 9, 0, 6, 6"
CT-4229-AWU,Ecuador,SITE-226,2025,"1, 4, 7, 10, 3, 4, 5, 3, 2, 0, 3, 4"
CT-4229-AWU,Ecuador,SITE-227,2025,"3, 7, 1, 9, 3, 5, 8, 0, 5, 9, 3, 1"
CT-4229-AWU,Brunei Darussalam,SITE-228,2025,"8, 0, 6, 0, 9, 3, 2, 10, 8, 3, 7, 9"
CT-4229-AWU,Guyana,SITE-229,2025,"1, 1, 3, 3, 8, 9, 6, 0, 1, 7, 9, 3"
CT-4229-AWU,Guyana,SITE-230,2025,"4, 1, 4, 2, 8, 1, 2, 7, 1, 6, 9, 9"
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-231,2025,"7, 2, 2, 6, 7, 0, 6, 8, 1, 5, 2, 3"
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-232,2025,"6, 5, 5, 0, 2, 7, 10, 4, 10, 5, 6, 7"
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-233,2025,"0, 7, 0, 7, 7, 5, 4, 9, 10, 6, 2, 4"
CT-9771-CZL,British Virgin Islands,SITE-234,2025,"1, 0, 10, 10, 3, 6, 4, 4, 7, 7, 10, 4"
CT-9771-CZL,British Virgin Islands,SITE-235,2025,"7, 10, 7, 3, 0, 0, 10, 0, 5, 2, 2, 4"
CT-9771-CZL,British Virgin Islands,SITE-236,2025,"4, 9, 8, 7, 2, 3, 5, 4, 9, 6, 2, 9"
CT-9771-CZL,Azerbaijan,SITE-237,2025,"4, 5, 10, 8, 0, 6, 10, 7, 4, 9, 8, 5"
CT-9771-CZL,Azerbaijan,SITE-238,2025,"10, 8, 9, 8, 0, 8, 3, 9, 9, 3, 10, 8"
CT-9771-CZL,Central African Republic,SITE-239,2025,"7, 6, 5, 8, 6, 4, 8, 3, 7, 8, 0, 0"
CT-9771-CZL,Central African Republic,SITE-240,2025,"6, 3, 5, 5, 9, 4, 5, 1, 5, 6, 2, 5"
CT-9771-CZL,Central African Republic,SITE-241,2025,"0, 7, 4, 5, 6, 6, 10, 1, 0, 3, 10, 5"
CT-5014-EEP,Sudan,SITE-242,2025,"2, 5, 5, 2, 6, 7, 10, 4, 4, 3, 2, 5"
CT-5014-EEP,Sudan,SITE-243,2025,"8, 3, 7, 3, 8, 7, 7, 8, 6, 3, 5, 9"
CT-5014-EEP,Jordan,SITE-244,2025,"3, 2, 5, 2, 3, 9, 7, 5, 9, 8, 8, 8"
CT-5014-EEP,Jordan,SITE-245,2025,"8, 7, 4, 10, 0, 8, 9, 8, 1, 5, 6, 7"
CT-5014-EEP,Jordan,SITE-246,2025,"1, 6, 0, 7, 0, 5, 6, 10, 7, 10, 5, 8"
CT-5014-EEP,Azerbaijan,SITE-247,2025,"9, 1, 2, 0, 8, 0, 9, 8, 3, 6, 5, 8"
CT-5014-EEP,Azerbaijan,SITE-248,2025,"4, 9, 2, 8, 4, 0, 2, 9, 6, 0, 1, 10"
CT-5014-EEP,Azerbaijan,SITE-249,2025,"3, 2, 4, 10, 5, 5, 0, 6, 10, 3, 0, 0"
CT-5014-EEP,Mauritius,SITE-250,2025,"6, 2, 4, 5, 6, 1, 8, 0, 7, 10, 10, 1"
CT-5014-EEP,Mauritius,SITE-251,2025,"6, 4, 8, 1, 6, 1, 1, 10, 3, 7, 2, 8"
CT-3636-AVP,Burundi,SITE-252,2025,"2, 5, 2, 8, 5, 0, 1, 3, 3, 5, 3, 3"
CT-3636-AVP,Burundi,SITE-253,2025,"0, 7, 3, 3, 0, 7, 9, 10, 2, 7, 3, 3"
CT-3636-AVP,Pitcairn Islands,SITE-254,2025,"7, 7, 5, 1, 6, 1, 4, 7, 8, 9, 5, 7"
CT-3636-AVP,Pitcairn Islands,SITE-255,2025,"7, 1, 7, 1, 2, 8, 2, 9, 1, 8, 8, 3"
CT-3636-AVP,Belize,SITE-256,2025,"9, 5, 4, 1, 5, 4, 10, 3, 7, 2, 8, 2"
CT-3636-AVP,Nicaragua,SITE-257,2025,"5, 2, 5, 10, 10, 1, 0, 7, 8, 0, 2, 8"
CT-3636-AVP,Nicaragua,SITE-258,2025,"8, 6, 5, 8, 7, 7, 4, 10, 8, 0, 7, 5"
CT-3636-AVP,Estonia,SITE-259,2025,"1, 1, 1, 2, 8, 3, 5, 10, 1, 6, 3, 8"
CT-3636-AVP,Estonia,SITE-260,2025,"4, 6, 8, 1, 5, 10, 3, 0, 9, 8, 0, 3"
CT-3636-AVP,Estonia,SITE-261,2025,"10, 10, 2, 5, 10, 2, 8, 8, 4, 9, 10, 7"
CT-7484-BIH,Belgium,SITE-262,2025,"8, 1, 9, 0, 7, 7, 7, 6, 9, 9, 1, 10"
CT-7484-BIH,Belgium,SITE-263,2025,"10, 6, 7, 1, 9, 0, 9, 8, 6, 7, 3, 8"
CT-7484-BIH,Belgium,SITE-264,2025,"4, 1, 0, 7, 8, 2, 5, 6, 0, 5, 7, 1"
CT-7484-BIH,Heard Island and McDonald Islands,SITE-265,2025,"8, 4, 0, 9, 4, 10, 6, 2, 6, 3, 0, 5"
CT-7484-BIH,Heard Island and McDonald Islands,SITE-266,2025,"2, 2, 4, 0, 9, 4, 7, 9, 9, 1, 4, 6"
CT-7484-BIH,Niger,SITE-267,2025,"1, 0, 0, 6, 0, 1, 0, 4, 2, 9, 7, 8"
CT-7484-BIH,Niger,SITE-268,2025,"6, 2, 3, 3, 8, 7, 0, 1, 2, 1, 5, 7"
CT-7484-BIH,Niger,SITE-269,2025,"7, 0, 9, 0, 2, 1, 8, 8, 0, 10, 9, 6"
CT-7487-KNX,Burundi,SITE-270,2025,"6, 8, 2, 7, 5, 1, 0, 4, 1, 3, 2, 0"
CT-7487-KNX,Burundi,SITE-271,2025,"9, 6, 2, 3, 0, 10, 3, 4, 8, 3, 1, 1"
CT-7487-KNX,Burundi,SITE-272,2025,"2, 6, 5, 1, 1, 1, 2, 2, 2, 4, 4, 1"
CT-7487-KNX,Niger,SITE-273,2025,"7, 8, 3, 8, 1, 5, 0, 1, 0, 0, 1, 4"
CT-7487-KNX,Niger,SITE-274,2025,"8, 10, 10, 9, 4, 6, 10, 9, 4, 0, 10, 1"
CT-7487-KNX,Niger,SITE-275,2025,"5, 6, 4, 4, 4, 1, 10, 2, 5, 10, 4, 5"
CT-7487-KNX,Cyprus,SITE-276,2025,"1, 8, 3, 4, 8, 9, 3, 8, 4, 6, 9, 6"
CT-7487-KNX,Cyprus,SITE-277,2025,"4, 10, 4, 4, 2, 1, 6, 9, 4, 9, 10, 1"
CT-7487-KNX,Cuba,SITE-278,2025,"7, 10, 7, 8, 9, 1, 8, 6, 1, 1, 9, 2"
CT-7487-KNX,Cuba,SITE-279,2025,"6, 0, 5, 8, 3, 5, 1, 1, 7, 7, 0, 3"
CT-3230-HFO,Serbia,SITE-280,2025,"4, 8, 7, 1, 2, 3, 7, 6, 1, 3, 3, 9"
CT-3230-HFO,Gibraltar,SITE-281,2025,"0, 2, 2, 1, 0, 1, 7, 2, 8, 8, 9, 4"
CT-3230-HFO,Gibraltar,SITE-282,2025,"0, 4, 3, 5, 7, 8, 3, 4, 0, 10, 10, 6"
CT-3230-HFO,Antarctica (the territory South of 60 deg S),SITE-283,2025,"10, 1, 6, 7, 3, 2, 10, 1, 8, 6, 8, 0"
CT-3230-HFO,Antarctica (the territory South of 60 deg S),SITE-284,2025,"0, 4, 8, 10, 0, 3, 4, 7, 1, 3, 9, 10"
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-285,2025,"5, 5, 2, 4, 5, 6, 5, 4, 4, 4, 2, 4"
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-286,2025,"5, 5, 2, 1, 7, 4, 3, 9, 5, 8, 6, 0"
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-287,2025,"5, 5, 10, 9, 9, 8, 7, 5, 2, 4, 0, 3"
CT-3230-HFO,Switzerland,SITE-288,2025,"8, 9, 4, 10, 2, 8, 5, 8, 10, 3, 7, 7"
CT-3230-HFO,Switzerland,SITE-289,2025,"10, 0, 10, 7, 10, 3, 2, 8, 7, 1, 9, 5"
CT-3230-HFO,Switzerland,SITE-290,2025,"3, 1, 5, 9, 0, 9, 6, 4, 7, 5, 10, 8"
CT-6551-IBW,Italy,SITE-291,2025,"3, 0, 6, 6, 8, 8, 3, 3, 3, 8, 0, 10"
CT-6551-IBW,Madagascar,SITE-292,2025,"0, 1, 3, 1, 10, 10, 1, 4, 7, 9, 1, 3"
CT-6551-IBW,Madagascar,SITE-293,2025,"8, 2, 1, 6, 8, 2, 8, 4, 7, 7, 3, 1"
CT-6551-IBW,Malaysia,SITE-294,2025,"10, 5, 10, 9, 6, 10, 10, 1, 10, 9, 4, 3"
CT-3472-PNG,Puerto Rico,SITE-295,2025,"8, 3, 5, 1, 6, 5, 0, 6, 6, 8, 7, 3"
CT-3472-PNG,Puerto Rico,SITE-296,2025,"0, 2, 10, 10, 4, 5, 2, 3, 8, 9, 4, 7"
CT-3472-PNG,Puerto Rico,SITE-297,2025,"6, 2, 3, 1, 2, 6, 4, 1, 5, 3, 6, 5"
CT-3472-PNG,Falkland Islands (Malvinas),SITE-298,2025,"4, 5, 6, 7, 5, 4, 8, 10, 3, 9, 5, 6"
CT-3472-PNG,Falkland Islands (Malvinas),SITE-299,2025,"10, 9, 2, 2, 6, 6, 3, 5, 0, 8, 5, 3"
CT-3472-PNG,Trinidad and Tobago,SITE-300,2025,"1, 10, 2, 1, 1, 4, 3, 2, 1, 7, 7, 0"
CT-3472-PNG,Trinidad and Tobago,SITE-301,2025,"5, 2, 7, 10, 3, 9, 5, 3, 0, 10, 7, 7"
CT-3472-PNG,Trinidad and Tobago,SITE-302,2025,"5, 7, 10, 4, 1, 0, 1, 7, 3, 9, 8, 0"
CT-3472-PNG,Haiti,SITE-303,2025,"7, 0, 1, 1, 6, 10, 2, 4, 10, 8, 10, 1"
CT-3472-PNG,Libyan Arab Jamahiriya,SITE-304,2025,"6, 6, 8, 5, 4, 9, 0, 4, 2, 2, 2, 10"
CT-3472-PNG,Libyan Arab Jamahiriya,SITE-305,2025,"5, 9, 4, 4, 7, 3, 0, 0, 6, 0, 5, 10"
CT-9781-BYC,Albania,SITE-306,2025,"4, 1, 7, 8, 8, 9, 8, 4, 7, 9, 3, 4"
CT-9781-BYC,Albania,SITE-307,2025,"8, 8, 9, 10, 5, 2, 6, 6, 8, 2, 3, 10"
CT-9781-BYC,Anguilla,SITE-308,2025,"10, 2, 0, 1, 2, 4, 8, 9, 10, 10, 10, 6"
CT-9781-BYC,Grenada,SITE-309,2025,"3, 2, 7, 0, 4, 3, 7, 3, 5, 4, 1, 5"
CT-9781-BYC,Moldova,SITE-310,2025,"6, 6, 8, 4, 7, 2, 10, 8, 0, 6, 8, 9"
CT-9781-BYC,Moldova,SITE-311,2025,"3, 3, 10, 0, 7, 3, 10, 7, 1, 3, 7, 7"
CT-9781-BYC,New Caledonia,SITE-312,2025,"4, 5, 9, 3, 5, 7, 0, 4, 9, 6, 1, 9"
