Status,Shipment,LPN#,LPN Status,Package Count,Type,Request Date,Date Accepted,Accepted By,Affiliate/Warehouse,Site,Investigator
Delivered,SHP-9372351,LPN7282396965,Damaged,2,Return,2025-05-26,2025-05-27,Megan Smith,Coreyshire Logistics Center,Matthewside Medical Center,Megan Smith
Planning,SHP-7422709,LPN4067457276,Quarantined,3,Site,2025-11-27,2025-11-21,Alyssa Guerrero,Coreyshire Logistics Center,Nolanton Medical Center,Alyssa Guerrero
Delivered,SHP-7709722,LPN9091270731,Dispensed,5,Return,2025-09-04,2025-08-22,Erica Mora,Coreyshire Logistics Center,Lake Kevinchester Medical Center,Erica Mora
Delivered,SHP-2200226,LPN9108216271,Damaged,6,Site,2025-05-24,2025-06-02,Katherine Reid,Coreyshire Logistics Center,Lake Jefferyton Medical Center,Katherine Reid
Delivered,SHP-2647211,LPN4473852572,Damaged,5,Return,2025-07-29,2025-08-02,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
Shipped,SHP-4974531,LPN6028155994,Damaged,4,Return,2025-04-16,2025-04-04,Sherry Murphy,Coreyshire Logistics Center,New Joseph Medical Center,Sherry Murphy
Delayed,SHP-1424048,LPN5509750674,Quarantined,3,Depot,2025-01-03,2025-01-12,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
Ready,SHP-8539282,LPN7657927218,Available,2,Depot,2025-01-11,2024-12-28,Kelly Nguyen,Coreyshire Logistics Center,Williamburgh Medical Center,Kelly Nguyen
Delivered,SHP-2731324,LPN4999535236,Quarantined,7,Depot,2025-03-31,2025-04-02,Kyle Schmidt,Coreyshire Logistics Center,Cherylborough Medical Center,Kyle Schmidt
Ready,SHP-7410956,LPN5585125808,Dispensed,2,Return,2025-02-25,2025-02-23,Meagan Johnson,Coreyshire Logistics Center,Smithfort Medical Center,Meagan Johnson
Delivered,SHP-6178752,LPN6927765634,Available,5,Depot,2025-06-14,2025-06-03,Jorge Pena,Coreyshire Logistics Center,North Jamie Medical Center,Jorge Pena
Ready,SHP-8391293,LPN1598366079,Quarantined,10,Return,2024-12-13,2024-12-15,Deborah Lopez,Coreyshire Logistics Center,East Alexander Medical Center,Deborah Lopez
Shipped,SHP-2518445,LPN4656760215,Quarantined,10,Site,2025-09-02,2025-09-07,Dana Goodman,Coreyshire Logistics Center,Weststad Medical Center,Dana Goodman
Shipped,SHP-3311517,LPN4266053093,Available,5,Site,2025-08-08,2025-07-30,Ryan Brown,Coreyshire Logistics Center,Newtonland Medical Center,Ryan Brown
Ready,SHP-7409824,LPN2374252821,Available,5,Return,2025-08-10,2025-08-03,Walter Clark,Coreyshire Logistics Center,Hillberg Medical Center,Walter Clark
Shipped,SHP-8897413,LPN9055733948,Quarantined,2,Site,2025-10-15,2025-10-11,Jose Wood,Coreyshire Logistics Center,North Heidi Medical Center,Jose Wood
Ready,SHP-9316999,LPN9354462207,Dispensed,7,Site,2025-07-28,2025-07-12,Thomas Morales,Coreyshire Logistics Center,South Jasonmouth Medical Center,Thomas Morales
Delivered,SHP-7678701,LPN9708881499,Dispensed,10,Site,2025-04-15,2025-04-06,Heather Lewis,Coreyshire Logistics Center,Port Malik Medical Center,Heather Lewis
Delivered,SHP-9884087,LPN7935879064,Dispensed,10,Site,2025-04-18,2025-04-20,Belinda Gibson,Coreyshire Logistics Center,Elizabethland Medical Center,Belinda Gibson
Planning,SHP-1818026,LPN6485426944,Quarantined,2,Site,2025-10-24,2025-11-03,Krista Barry,Coreyshire Logistics Center,East Edward Medical Center,Krista Barry
Delivered,SHP-4597511,LPN6036951595,Available,7,Return,2025-01-29,2025-01-20,April Rivera,Coreyshire Logistics Center,South Kenneth Medical Center,April Rivera
Delayed,SHP-4198052,LPN9229517715,Available,3,Return,2025-07-23,2025-07-26,Alexander Cox,Coreyshire Logistics Center,Lake Tiffanyport Medical Center,Alexander Cox
Delivered,SHP-2021385,LPN4535566174,Available,10,Return,2025-03-20,2025-03-07,Darius Smith,Coreyshire Logistics Center,Reyesfort Medical Center,Darius Smith
Ready,SHP-1173416,LPN1750603904,Available,5,Site,2025-08-16,2025-08-16,Renee Escobar,Coreyshire Logistics Center,Mollyland Medical Center,Renee Escobar
Planning,SHP-8357432,LPN3497593078,Available,2,Site,2024-12-24,2024-12-18,Brandy Poole,Coreyshire Logistics Center,Lake John Medical Center,Brandy Poole
Ready,SHP-3999145,LPN8062045537,Available,9,Site,2025-03-23,2025-03-17,Cameron Harris,Coreyshire Logistics Center,Lake Summerville Medical Center,Cameron Harris
Shipped,SHP-3513035,LPN6307084179,Damaged,5,Site,2025-08-11,2025-07-31,Sean Ayala,Coreyshire Logistics Center,North Sharon Medical Center,Sean Ayala
Ready,SHP-4684417,LPN5994524761,Dispensed,8,Site,2025-10-26,2025-10-28,Melanie Carter,Coreyshire Logistics Center,Nathanbury Medical Center,Melanie Carter
Delayed,SHP-8809291,LPN5384097826,Dispensed,6,Depot,2025-07-11,2025-07-07,Deborah Lopez,Coreyshire Logistics Center,East Alexander Medical Center,Deborah Lopez
Ready,SHP-7891140,LPN9853733790,Quarantined,6,Site,2025-08-12,2025-08-09,Amanda Martin,Coreyshire Logistics Center,Smithberg Medical Center,Amanda Martin
Planning,SHP-7104027,LPN3077588660,Quarantined,6,Depot,2025-08-22,2025-08-14,Daniel Nichols,Coreyshire Logistics Center,North Kerryberg Medical Center,Daniel Nichols
Planning,SHP-8152634,LPN7493981488,Available,10,Return,2025-02-05,2025-02-07,Sherry Long,Coreyshire Logistics Center,North Laurenview Medical Center,Sherry Long
Shipped,SHP-2013058,LPN4273572117,Quarantined,4,Return,2025-02-07,2025-02-03,John Moore,Coreyshire Logistics Center,Chavezview Medical Center,John Moore
Delivered,SHP-5957342,LPN3426745746,Damaged,10,Depot,2025-10-03,2025-09-26,Mr. Bryan Guerra,Coreyshire Logistics Center,Jacksonport Medical Center,Mr. Bryan Guerra
Shipped,SHP-6962345,LPN8424170890,Quarantined,7,Return,2025-04-14,2025-04-12,Erica Mora,Coreyshire Logistics Center,Lake Kevinchester Medical Center,Erica Mora
Delivered,SHP-3184055,LPN6812800393,Quarantined,10,Depot,2024-12-16,2024-12-26,Tabitha Walker,Coreyshire Logistics Center,Victorville Medical Center,Tabitha Walker
Ready,SHP-6639592,LPN5145610936,Dispensed,1,Return,2025-01-04,2024-12-24,Andrea Ford,Coreyshire Logistics Center,North Ann Medical Center,Andrea Ford
Planning,SHP-2918080,LPN1063276013,Quarantined,8,Site,2025-02-14,2025-02-06,Jessica Gutierrez,Coreyshire Logistics Center,Leeberg Medical Center,Jessica Gutierrez
Delayed,SHP-2932019,LPN5930741214,Damaged,6,Depot,2025-04-03,2025-04-03,Sherry Murphy,Coreyshire Logistics Center,New Joseph Medical Center,Sherry Murphy
Ready,SHP-3320672,LPN2417053178,Damaged,8,Depot,2025-07-19,2025-07-19,Jacob Brown,Coreyshire Logistics Center,Randolphfurt Medical Center,Jacob Brown
Ready,SHP-7173653,LPN9622703703,Available,10,Depot,2024-12-16,2024-12-10,Catherine Miller,Coreyshire Logistics Center,Brittanyshire Medical Center,Catherine Miller
Delivered,SHP-5862532,LPN8365506289,Dispensed,7,Site,2025-08-13,2025-08-18,Darius Smith,Coreyshire Logistics Center,Reyesfort Medical Center,Darius Smith
Shipped,SHP-7088934,LPN2215694829,Dispensed,4,Return,2025-06-01,2025-06-08,Brandon Randolph,Coreyshire Logistics Center,Dianetown Medical Center,Brandon Randolph
Planning,SHP-8874819,LPN5236012509,Available,8,Site,2025-05-11,2025-05-09,Eric Garner,Coreyshire Logistics Center,Jessicaville Medical Center,Eric Garner
Ready,SHP-7221906,LPN6122075980,Quarantined,6,Depot,2025-09-29,2025-10-08,Steven Robinson,Coreyshire Logistics Center,Carrieland Medical Center,Steven Robinson
Delayed,SHP-2554931,LPN9730589219,Available,4,Return,2025-10-28,2025-10-20,Kelly Nguyen,Coreyshire Logistics Center,Williamburgh Medical Center,Kelly Nguyen
Delivered,SHP-3264670,LPN6321006078,Dispensed,3,Site,2025-09-04,2025-09-15,Holly Rich,Coreyshire Logistics Center,Rhondashire Medical Center,Holly Rich
Delayed,SHP-3767097,LPN7747222782,Quarantined,9,Site,2024-12-16,2024-12-06,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
Delivered,SHP-6058224,LPN4574888145,Available,9,Depot,2025-05-21,2025-05-29,Ryan Brown,Coreyshire Logistics Center,Newtonland Medical Center,Ryan Brown
Shipped,SHP-7614745,LPN1750569426,Damaged,5,Return,2025-03-17,2025-03-16,Tabitha Aguilar,Coreyshire Logistics Center,Patricialand Medical Center,Tabitha Aguilar
Delivered,SHP-9300578,LPN3140692506,Quarantined,2,Depot,2024-12-16,2024-12-06,Wendy Boyd,Coreyshire Logistics Center,Mcleanport Medical Center,Wendy Boyd
Delayed,SHP-2452314,LPN5931290514,Damaged,8,Site,2025-11-15,2025-11-01,Linda Grimes,Coreyshire Logistics Center,Scottfort Medical Center,Linda Grimes
Delivered,SHP-3338828,LPN1196700438,Damaged,3,Return,2025-07-06,2025-06-22,Tabitha Aguilar,Coreyshire Logistics Center,Patricialand Medical Center,Tabitha Aguilar
Shipped,SHP-9984622,LPN3525496615,Dispensed,4,Return,2025-07-17,2025-07-09,Stacy Murray,Coreyshire Logistics Center,Hammondberg Medical Center,Stacy Murray
Planning,SHP-3236059,LPN7557641388,Damaged,9,Depot,2025-10-16,2025-10-18,Allen Mayer,Coreyshire Logistics Center,Lake Theresabury Medical Center,Allen Mayer
Planning,SHP-3124947,LPN8509003512,Quarantined,2,Depot,2025-07-14,2025-07-15,Tabitha Aguilar,Coreyshire Logistics Center,Patricialand Medical Center,Tabitha Aguilar
Delayed,SHP-2397689,LPN1683209464,Quarantined,1,Return,2025-07-31,2025-07-23,Deanna Miller,Coreyshire Logistics Center,Thompsontown Medical Center,Deanna Miller
Shipped,SHP-9656432,LPN7611880440,Available,7,Depot,2025-06-01,2025-05-18,Michael Parker,Coreyshire Logistics Center,New Paul Medical Center,Michael Parker
Ready,SHP-1943757,LPN2996304347,Quarantined,6,Site,2025-04-28,2025-04-16,Ruben Moore,Coreyshire Logistics Center,Joshuafurt Medical Center,Ruben Moore
Shipped,SHP-9601503,LPN5244850266,Damaged,6,Return,2025-11-11,2025-10-25,Dr. Joseph Maldonado,Coreyshire Logistics Center,West Debra Medical Center,Dr. Joseph Maldonado
Shipped,SHP-7282264,LPN1245186126,Quarantined,9,Return,2025-04-09,2025-03-27,Ralph Cabrera,Coreyshire Logistics Center,Christinabury Medical Center,Ralph Cabrera
Shipped,SHP-8095970,LPN1473417295,Damaged,5,Return,2025-04-30,2025-04-13,Joanne Taylor,Coreyshire Logistics Center,Lake Autumnfurt Medical Center,Joanne Taylor
Planning,SHP-7676278,LPN9693800865,Damaged,6,Return,2025-08-19,2025-08-19,Lisa Mcdonald,Coreyshire Logistics Center,Perryfurt Medical Center,Lisa Mcdonald
Ready,SHP-8877056,LPN1604540630,Damaged,1,Site,2025-07-31,2025-07-12,Stacy Murray,Coreyshire Logistics Center,Hammondberg Medical Center,Stacy Murray
Delivered,SHP-9144895,LPN9709990255,Dispensed,6,Return,2025-08-03,2025-07-25,Lisa Herman,Coreyshire Logistics Center,Port Teresastad Medical Center,Lisa Herman
Ready,SHP-3079354,LPN1167339087,Damaged,9,Depot,2025-02-02,2025-01-25,Rodney Ortiz,Coreyshire Logistics Center,Curtisstad Medical Center,Rodney Ortiz
Shipped,SHP-4280289,LPN9649391465,Available,4,Depot,2025-04-11,2025-03-26,Willie Moore,Coreyshire Logistics Center,Alexisfurt Medical Center,Willie Moore
Delivered,SHP-3822991,LPN3618226580,Dispensed,2,Return,2025-01-23,2025-02-07,Dakota Cook,Coreyshire Logistics Center,South Briannaport Medical Center,Dakota Cook
Delivered,SHP-7216176,LPN7094527814,Quarantined,1,Return,2025-01-02,2024-12-23,Samuel Reeves,Coreyshire Logistics Center,Loganchester Medical Center,Samuel Reeves
Delivered,SHP-2490039,LPN5025605662,Available,7,Depot,2024-12-31,2025-01-03,Meagan Johnson,Coreyshire Logistics Center,Smithfort Medical Center,Meagan Johnson
Delayed,SHP-7548457,LPN3566788813,Available,10,Depot,2025-10-23,2025-10-19,Jerry Drake,Coreyshire Logistics Center,North Danielhaven Medical Center,Jerry Drake
Delayed,SHP-6240958,LPN7059746885,Dispensed,3,Site,2024-12-12,2024-12-13,Dale Warren,Coreyshire Logistics Center,Garciashire Medical Center,Dale Warren
Planning,SHP-7592001,LPN6835670029,Damaged,9,Return,2025-03-03,2025-03-04,Heather Lewis,Coreyshire Logistics Center,Port Malik Medical Center,Heather Lewis
Planning,SHP-3019101,LPN5027619527,Damaged,2,Depot,2025-07-04,2025-06-22,Laura Sanders,Coreyshire Logistics Center,Wilkinsfurt Medical Center,Laura Sanders
Ready,SHP-7013758,LPN1878368026,Damaged,3,Depot,2025-08-10,2025-08-18,Alexander Cook,Coreyshire Logistics Center,South Bonnie Medical Center,Alexander Cook
Delayed,SHP-9281985,LPN1749018962,Quarantined,7,Depot,2025-01-31,2025-02-08,Rodney Ortiz,Coreyshire Logistics Center,Curtisstad Medical Center,Rodney Ortiz
Delayed,SHP-8002484,LPN1367434959,Damaged,8,Depot,2025-05-25,2025-05-23,Darius Smith,Coreyshire Logistics Center,Reyesfort Medical Center,Darius Smith
Planning,SHP-4783131,LPN2142516257,Quarantined,6,Depot,2025-05-01,2025-05-03,Kenneth Thomas,Coreyshire Logistics Center,North Christian Medical Center,Kenneth Thomas
Delayed,SHP-5334407,LPN4814120009,Available,4,Return,2025-07-06,2025-06-26,Luke Shelton,Coreyshire Logistics Center,Port David Medical Center,Luke Shelton
Planning,SHP-9193984,LPN1298421344,Dispensed,10,Site,2025-08-11,2025-08-10,Michael Anderson,Coreyshire Logistics Center,Kathyshire Medical Center,Michael Anderson
Delivered,SHP-8483360,LPN4276574287,Available,1,Site,2024-12-24,2024-12-11,Andrea Ross,Coreyshire Logistics Center,Martinezfurt Medical Center,Andrea Ross
Delivered,SHP-3927575,LPN2059507167,Damaged,8,Depot,2025-07-12,2025-06-27,Kimberly Bowman,Coreyshire Logistics Center,Carolfort Medical Center,Kimberly Bowman
Planning,SHP-6275384,LPN9556807804,Dispensed,2,Site,2025-06-14,2025-06-16,Nathan Fitzgerald,Coreyshire Logistics Center,Lake Charles Medical Center,Nathan Fitzgerald
Planning,SHP-5503169,LPN1331509642,Available,6,Depot,2025-04-20,2025-04-22,Jacob Sullivan,Coreyshire Logistics Center,West Kirkview Medical Center,Jacob Sullivan
Planning,SHP-7905438,LPN5142458998,Dispensed,2,Depot,2025-02-18,2025-02-28,Brandy Poole,Coreyshire Logistics Center,Lake John Medical Center,Brandy Poole
Planning,SHP-2896990,LPN8769045920,Quarantined,1,Site,2025-03-03,2025-02-15,Katherine Reid,Coreyshire Logistics Center,Lake Jefferyton Medical Center,Katherine Reid
Planning,SHP-7283210,LPN2082106614,Available,4,Site,2025-08-24,2025-08-14,Rachel Orr,Coreyshire Logistics Center,Davidberg Medical Center,Rachel Orr
Delivered,SHP-5156045,LPN8023308887,Available,10,Depot,2025-10-22,2025-10-10,Alicia Callahan,Coreyshire Logistics Center,North Davidfort Medical Center,Alicia Callahan
Delivered,SHP-7637578,LPN7097709611,Available,8,Depot,2025-05-28,2025-05-21,Megan Hicks,Coreyshire Logistics Center,East Mitchellhaven Medical Center,Megan Hicks
Shipped,SHP-4715873,LPN2111067028,Available,6,Return,2025-06-09,2025-05-24,Thomas Adams,Coreyshire Logistics Center,Carterville Medical Center,Thomas Adams
Ready,SHP-6879309,LPN6588657982,Available,7,Return,2025-04-11,2025-04-05,Renee Escobar,Coreyshire Logistics Center,Mollyland Medical Center,Renee Escobar
Planning,SHP-7475705,LPN5975939580,Damaged,7,Site,2025-07-17,2025-07-06,David Atkinson,Coreyshire Logistics Center,Manuelview Medical Center,David Atkinson
Delivered,SHP-1625415,LPN9686439781,Quarantined,7,Return,2025-03-10,2025-03-06,Mr. Bryan Guerra,Coreyshire Logistics Center,Jacksonport Medical Center,Mr. Bryan Guerra
Shipped,SHP-2558002,LPN5496358536,Quarantined,7,Site,2025-02-13,2025-02-10,Sean Ayala,Coreyshire Logistics Center,North Sharon Medical Center,Sean Ayala
Delayed,SHP-5887112,LPN4409397864,Damaged,1,Depot,2025-04-14,2025-04-12,Kelly Nguyen,Coreyshire Logistics Center,Williamburgh Medical Center,Kelly Nguyen
Ready,SHP-1924964,LPN8604516703,Quarantined,4,Return,2025-02-07,2025-02-09,Melanie Carter,Coreyshire Logistics Center,Nathanbury Medical Center,Melanie Carter
Ready,SHP-2176195,LPN7758314638,Damaged,6,Return,2025-01-19,2025-01-20,Samantha Spence,Coreyshire Logistics Center,Mercadoburgh Medical Center,Samantha Spence
Delayed,SHP-6373914,LPN6438471160,Available,10,Return,2025-08-20,2025-08-06,Willie Moore,Coreyshire Logistics Center,Alexisfurt Medical Center,Willie Moore
Ready,SHP-6434087,LPN3803527699,Damaged,10,Depot,2025-10-30,2025-10-26,Lisa Mcdonald,Coreyshire Logistics Center,Perryfurt Medical Center,Lisa Mcdonald
Planning,SHP-6648513,LPN4705336925,Dispensed,6,Depot,2025-08-19,2025-08-07,Dakota Cook,Coreyshire Logistics Center,South Briannaport Medical Center,Dakota Cook
Delivered,SHP-1866491,LPN9243561762,Dispensed,9,Return,2025-07-08,2025-06-26,Luke Shelton,Coreyshire Logistics Center,Port David Medical Center,Luke Shelton
Ready,SHP-3573815,LPN5336054555,Available,7,Depot,2025-01-08,2025-01-04,Melanie Carter,Coreyshire Logistics Center,Nathanbury Medical Center,Melanie Carter
Delayed,SHP-5461189,LPN3224041823,Dispensed,4,Site,2025-01-14,2025-01-17,Michael Anderson,Coreyshire Logistics Center,Kathyshire Medical Center,Michael Anderson
Shipped,SHP-5004045,LPN3502277518,Dispensed,9,Site,2024-12-15,2024-12-18,Michael Anderson,Coreyshire Logistics Center,Kathyshire Medical Center,Michael Anderson
Shipped,SHP-4057072,LPN1240743479,Quarantined,5,Return,2025-11-09,2025-11-05,Daniel Nichols,Coreyshire Logistics Center,North Kerryberg Medical Center,Daniel Nichols
Delivered,SHP-9146939,LPN2120598295,Dispensed,8,Return,2025-01-29,2025-02-03,Sherry Murphy,Coreyshire Logistics Center,New Joseph Medical Center,Sherry Murphy
Shipped,SHP-6986735,LPN2508742863,Dispensed,4,Site,2025-10-15,2025-10-21,Harry Walker,Coreyshire Logistics Center,Melanieview Medical Center,Harry Walker
Planning,SHP-4189652,LPN4905728315,Available,2,Site,2025-10-25,2025-10-30,Deanna Miller,Coreyshire Logistics Center,Thompsontown Medical Center,Deanna Miller
Planning,SHP-8994646,LPN1975616592,Damaged,3,Site,2025-06-27,2025-06-28,Anna Hudson,Coreyshire Logistics Center,Port Katie Medical Center,Anna Hudson
Ready,SHP-7447335,LPN2835990544,Quarantined,4,Return,2025-08-07,2025-08-07,Michael Anderson,Coreyshire Logistics Center,Kathyshire Medical Center,Michael Anderson
Delivered,SHP-1857934,LPN7031587172,Quarantined,5,Depot,2025-02-05,2025-02-07,Hannah Thompson,Coreyshire Logistics Center,South Samantha Medical Center,Hannah Thompson
Shipped,SHP-5052069,LPN5333170045,Quarantined,3,Site,2025-06-17,2025-06-06,Krista Barry,Coreyshire Logistics Center,East Edward Medical Center,Krista Barry
Planning,SHP-3810291,LPN8064259736,Available,7,Return,2025-01-01,2025-01-05,Daniel Patel,Coreyshire Logistics Center,Greenmouth Medical Center,Daniel Patel
Planning,SHP-9958689,LPN7710125327,Damaged,4,Site,2025-08-25,2025-08-15,Anna Ross,Coreyshire Logistics Center,New Matthew Medical Center,Anna Ross
Delayed,SHP-7315104,LPN4278493995,Dispensed,5,Return,2025-02-26,2025-02-25,Kevin Freeman,Coreyshire Logistics Center,North Laurie Medical Center,Kevin Freeman
Delivered,SHP-4008105,LPN7468682887,Quarantined,9,Depot,2025-07-02,2025-06-22,Jenny Hill,Coreyshire Logistics Center,Brooksburgh Medical Center,Jenny Hill
Shipped,SHP-6769376,LPN4030842327,Damaged,6,Site,2025-10-21,2025-10-16,Andrea Ford,Coreyshire Logistics Center,North Ann Medical Center,Andrea Ford
Ready,SHP-7627644,LPN6115565172,Damaged,1,Return,2025-05-02,2025-04-23,Derrick Hebert,Coreyshire Logistics Center,Desireeburgh Medical Center,Derrick Hebert
Shipped,SHP-6954055,LPN9309607139,Quarantined,7,Depot,2025-05-04,2025-05-09,Jenny Hill,Coreyshire Logistics Center,Brooksburgh Medical Center,Jenny Hill
Delayed,SHP-9953381,LPN8275175042,Damaged,1,Return,2025-04-26,2025-04-15,Kayla Gonzalez,Coreyshire Logistics Center,Amberfort Medical Center,Kayla Gonzalez
Ready,SHP-5904048,LPN6098026972,Dispensed,2,Site,2025-10-14,2025-10-27,Jennifer Henry,Coreyshire Logistics Center,Michelleville Medical Center,Jennifer Henry
Planning,SHP-4296934,LPN8639901426,Dispensed,2,Depot,2025-08-12,2025-08-09,Kimberly Richards,Coreyshire Logistics Center,Robertbury Medical Center,Kimberly Richards
Planning,SHP-9675454,LPN6476832355,Quarantined,4,Return,2025-11-08,2025-11-01,Scott Allen,Coreyshire Logistics Center,Katherinemouth Medical Center,Scott Allen
Delivered,SHP-1732330,LPN3214922408,Damaged,5,Depot,2025-09-25,2025-09-23,Samuel Reeves,Coreyshire Logistics Center,Loganchester Medical Center,Samuel Reeves
Delivered,SHP-8496979,LPN9088742756,Damaged,9,Return,2025-04-09,2025-03-31,Marvin Alexander,Coreyshire Logistics Center,West Reneestad Medical Center,Marvin Alexander
Ready,SHP-8561632,LPN1556832809,Damaged,8,Depot,2025-01-14,2025-01-14,Debbie Adams,Coreyshire Logistics Center,Spencermouth Medical Center,Debbie Adams
Planning,SHP-3288794,LPN2938854938,Damaged,3,Return,2025-02-01,2025-01-09,Harry Walker,Coreyshire Logistics Center,Melanieview Medical Center,Harry Walker
Delivered,SHP-6334950,LPN2775942443,Damaged,2,Site,2025-02-21,2025-02-17,Erica Mora,Coreyshire Logistics Center,Lake Kevinchester Medical Center,Erica Mora
Ready,SHP-5331498,LPN9647261868,Damaged,1,Return,2025-07-14,2025-07-06,Andrew Garcia,Coreyshire Logistics Center,East Jenna Medical Center,Andrew Garcia
Delivered,SHP-6304763,LPN6263887310,Available,7,Site,2025-09-13,2025-09-10,Kyle Schmidt,Coreyshire Logistics Center,Cherylborough Medical Center,Kyle Schmidt
