Trial Alias,Site Number,Country,Shipment (#),Package Description,Package Count,Request Date,Days Outstanding
CT-7487-KNX,SITE-272,Burundi,SHP-3513035,Contain Solution,6,2025-08-11,94
CT-8742-ECD,SITE-176,San Marino,SHP-4684417,Side Capsule,6,2025-10-26,18
CT-9771-CZL,SITE-235,British Virgin Islands,SHP-8809291,Us Solution,9,2025-07-11,125
CT-3472-PNG,SITE-303,Haiti,SHP-7891140,Floor Patch,4,2025-08-12,93
CT-5806-JWO,SITE-121,Algeria,SHP-7104027,Set Solution,8,2025-08-22,83
CT-7487-KNX,SITE-274,Niger,SHP-8152634,Issue Patch,2,2025-02-05,281
CT-5806-JWO,SITE-128,Bulgaria,SHP-2013058,Set Solution,8,2025-02-07,279
CT-5014-EEP,SITE-244,Jordan,SHP-6962345,They Capsule,6,2025-04-14,213
CT-4229-AWU,SITE-223,New Caledonia,SHP-6639592,Experience Tablet,4,2025-01-04,313
CT-7047-GQC,SITE-180,India,SHP-2918080,Enter Capsule,3,2025-02-14,272
CT-6592-IDY,SITE-110,Barbados,SHP-2932019,Able Patch,6,2025-04-03,224
CT-9831-IEW,SITE-209,Wallis and Futuna,SHP-3320672,Something Patch,2,2025-07-19,117
CT-3230-HFO,SITE-290,Switzerland,SHP-7173653,Free Solution,9,2024-12-16,332
CT-3636-AVP,SITE-261,Estonia,SHP-7088934,Agency Injection,4,2025-06-01,165
CT-7047-GQC,SITE-186,Indonesia,SHP-8874819,Impact Patch,5,2025-05-11,186
CT-4229-AWU,SITE-231,Bouvet Island (Bouvetoya),SHP-7221906,Light Tablet,1,2025-09-29,45
CT-3228-ZKT,SITE-159,Thailand,SHP-2554931,Cold Injection,6,2025-10-28,16
CT-6551-IBW,SITE-293,Madagascar,SHP-3767097,Anyone Tablet,3,2024-12-16,332
CT-2004-PSX,SITE-101,Zimbabwe,SHP-7614745,Common Patch,7,2025-03-17,241
CT-5014-EEP,SITE-247,Azerbaijan,SHP-2452314,Fund Tablet,6,2025-11-15,0
CT-6109-EDZ,SITE-204,Ecuador,SHP-9984622,Run Solution,2,2025-07-17,119
CT-8015-GMQ,SITE-138,Anguilla,SHP-3236059,Memory Solution,3,2025-10-16,28
CT-2004-PSX,SITE-101,Zimbabwe,SHP-3124947,Traditional Patch,4,2025-07-14,122
CT-9781-BYC,SITE-310,Moldova,SHP-2397689,Positive Injection,5,2025-07-31,105
CT-6109-EDZ,SITE-205,Cambodia,SHP-9656432,Run Solution,6,2025-06-01,165
CT-3395-UCM,SITE-217,Turkey,SHP-1943757,Continue Capsule,8,2025-04-28,199
CT-9781-BYC,SITE-306,Albania,SHP-9601503,Positive Injection,4,2025-11-11,2
CT-1696-SCY,SITE-154,Kazakhstan,SHP-7282264,Expect Tablet,3,2025-04-09,218
CT-8872-GKR,SITE-142,Philippines,SHP-8095970,Type Injection,9,2025-04-30,197
CT-8742-ECD,SITE-175,Nauru,SHP-7676278,Side Capsule,4,2025-08-19,86
CT-6109-EDZ,SITE-204,Ecuador,SHP-8877056,Run Solution,9,2025-07-31,105
CT-3472-PNG,SITE-301,Trinidad and Tobago,SHP-3079354,Speech Patch,1,2025-02-02,284
CT-4229-AWU,SITE-233,Bouvet Island (Bouvetoya),SHP-4280289,Experience Tablet,8,2025-04-11,216
CT-1696-SCY,SITE-153,Dominican Republic,SHP-7548457,Property Tablet,4,2025-10-23,21
CT-9781-BYC,SITE-307,Albania,SHP-6240958,Trouble Capsule,5,2024-12-12,336
CT-7487-KNX,SITE-279,Cuba,SHP-7592001,Issue Patch,6,2025-03-03,255
CT-3230-HFO,SITE-283,Antarctica (the territory South of 60 deg S),SHP-3019101,Treat Tablet,2,2025-07-04,132
CT-7047-GQC,SITE-182,India,SHP-7013758,Impact Patch,10,2025-08-10,95
CT-3472-PNG,SITE-301,Trinidad and Tobago,SHP-9281985,Culture Solution,6,2025-01-31,286
CT-9831-IEW,SITE-208,Tanzania,SHP-8002484,High Injection,6,2025-05-25,172
CT-3395-UCM,SITE-213,Belize,SHP-4783131,Reduce Solution,9,2025-05-01,196
CT-1816-RCG,SITE-192,Barbados,SHP-5334407,New Solution,4,2025-07-06,130
CT-1816-RCG,SITE-191,Barbados,SHP-9193984,Effort Capsule,6,2025-08-11,94
CT-7484-BIH,SITE-267,Niger,SHP-6275384,Hundred Solution,4,2025-06-14,152
CT-9771-CZL,SITE-239,Central African Republic,SHP-5503169,Us Solution,3,2025-04-20,207
CT-8015-GMQ,SITE-131,Serbia,SHP-7905438,Memory Solution,1,2025-02-18,268
CT-5014-EEP,SITE-250,Mauritius,SHP-2896990,They Capsule,10,2025-03-03,255
CT-1696-SCY,SITE-147,Haiti,SHP-7283210,Property Tablet,4,2025-08-24,81
CT-5014-EEP,SITE-242,Sudan,SHP-4715873,They Capsule,2,2025-06-09,157
CT-8970-PLO,SITE-116,Mozambique,SHP-6879309,Range Solution,6,2025-04-11,216
CT-4229-AWU,SITE-228,Brunei Darussalam,SHP-7475705,Indicate Patch,8,2025-07-17,119
CT-7487-KNX,SITE-272,Burundi,SHP-2558002,Reason Tablet,1,2025-02-13,273
CT-3228-ZKT,SITE-159,Thailand,SHP-5887112,Commercial Tablet,2,2025-04-14,213
CT-8742-ECD,SITE-176,San Marino,SHP-1924964,Article Tablet,2,2025-02-07,279
CT-9771-CZL,SITE-241,Central African Republic,SHP-2176195,Player Solution,6,2025-01-19,298
CT-4229-AWU,SITE-233,Bouvet Island (Bouvetoya),SHP-6373914,Pull Patch,10,2025-08-20,85
CT-8742-ECD,SITE-175,Nauru,SHP-6434087,Happy Solution,10,2025-10-30,14
CT-1816-RCG,SITE-190,United States of America,SHP-6648513,New Solution,4,2025-08-19,86
CT-8742-ECD,SITE-176,San Marino,SHP-3573815,Blue Patch,8,2025-01-08,309
CT-1816-RCG,SITE-191,Barbados,SHP-5461189,Effort Capsule,10,2025-01-14,303
CT-1816-RCG,SITE-191,Barbados,SHP-5004045,Effort Capsule,4,2024-12-15,333
CT-5806-JWO,SITE-121,Algeria,SHP-4057072,Figure Capsule,5,2025-11-09,4
CT-3395-UCM,SITE-218,Turkey,SHP-6986735,Reduce Solution,6,2025-10-15,29
CT-9781-BYC,SITE-310,Moldova,SHP-4189652,Positive Injection,2,2025-10-25,19
CT-6109-EDZ,SITE-198,Belize,SHP-8994646,Run Solution,8,2025-06-27,139
CT-1816-RCG,SITE-191,Barbados,SHP-7447335,New Solution,7,2025-08-07,98
CT-9831-IEW,SITE-207,Jersey,SHP-5052069,High Injection,10,2025-06-17,149
CT-3230-HFO,SITE-288,Switzerland,SHP-3810291,Free Solution,5,2025-01-01,316
CT-8872-GKR,SITE-141,Philippines,SHP-9958689,Type Injection,9,2025-08-25,80
CT-9831-IEW,SITE-206,Azerbaijan,SHP-7315104,Stock Patch,5,2025-02-26,260
CT-4229-AWU,SITE-223,New Caledonia,SHP-6769376,Experience Tablet,8,2025-10-21,23
CT-5806-JWO,SITE-129,Bulgaria,SHP-7627644,Set Solution,8,2025-05-02,195
CT-8742-ECD,SITE-178,San Marino,SHP-6954055,Article Tablet,10,2025-05-04,193
CT-2004-PSX,SITE-107,Guinea-Bissau,SHP-9953381,Common Patch,9,2025-04-26,201
CT-3472-PNG,SITE-300,Trinidad and Tobago,SHP-5904048,Floor Patch,2,2025-10-14,30
CT-8970-PLO,SITE-113,Liechtenstein,SHP-4296934,Various Solution,6,2025-08-12,93
CT-9831-IEW,SITE-212,Turkey,SHP-9675454,Something Patch,7,2025-11-08,5
CT-3230-HFO,SITE-289,Switzerland,SHP-8561632,Health Solution,1,2025-01-14,303
CT-3395-UCM,SITE-218,Turkey,SHP-3288794,Reduce Solution,9,2025-02-01,285
CT-5806-JWO,SITE-120,Algeria,SHP-5331498,Set Solution,6,2025-07-14,122
CT-7487-KNX,SITE-274,Niger,SHP-6646751,Reason Tablet,5,2024-12-26,322
CT-1696-SCY,SITE-148,Haiti,SHP-3857914,Expect Tablet,3,2025-06-18,148
CT-8970-PLO,SITE-113,Liechtenstein,SHP-6285175,Range Solution,8,2025-02-02,284
CT-8970-PLO,SITE-117,Mozambique,SHP-4286248,Various Solution,10,2025-03-07,251
CT-6551-IBW,SITE-293,Madagascar,SHP-4964314,Cell Tablet,7,2025-01-16,301
CT-6109-EDZ,SITE-201,Seychelles,SHP-4250583,Run Solution,6,2024-12-09,339
CT-1816-RCG,SITE-191,Barbados,SHP-9553602,Effort Capsule,6,2025-04-01,226
CT-9781-BYC,SITE-307,Albania,SHP-3665874,Compare Tablet,7,2025-08-22,83
CT-8970-PLO,SITE-117,Mozambique,SHP-6281663,Range Solution,3,2025-01-29,288
CT-3472-PNG,SITE-305,Libyan Arab Jamahiriya,SHP-4826000,Floor Patch,9,2025-01-15,302
CT-5806-JWO,SITE-124,Guyana,SHP-9606987,Shake Tablet,2,2025-11-20,0
CT-6592-IDY,SITE-110,Barbados,SHP-3885304,Able Patch,10,2025-02-11,275
CT-8015-GMQ,SITE-138,Anguilla,SHP-2917942,Memory Solution,1,2025-06-12,154
CT-9781-BYC,SITE-312,New Caledonia,SHP-3909369,Compare Tablet,4,2025-02-03,283
CT-8970-PLO,SITE-115,Liechtenstein,SHP-4986663,Artist Solution,7,2025-11-01,12
CT-7487-KNX,SITE-277,Cyprus,SHP-7694278,Contain Solution,5,2025-08-31,74
CT-1816-RCG,SITE-190,United States of America,SHP-9682275,Effort Capsule,7,2025-05-11,186
CT-3472-PNG,SITE-304,Libyan Arab Jamahiriya,SHP-2655995,Speech Patch,5,2025-03-28,230
CT-3395-UCM,SITE-213,Belize,SHP-6625107,Reduce Solution,1,2025-10-07,37
CT-3636-AVP,SITE-258,Nicaragua,SHP-4022412,Though Solution,8,2025-02-26,260
CT-8015-GMQ,SITE-138,Anguilla,SHP-5930785,Memory Solution,10,2025-03-03,255
CT-4229-AWU,SITE-226,Ecuador,SHP-1382518,Pull Patch,7,2025-06-18,148
CT-8015-GMQ,SITE-139,Anguilla,SHP-3644772,Memory Solution,9,2024-12-30,318
CT-9781-BYC,SITE-311,Moldova,SHP-1387707,Trouble Capsule,4,2025-07-20,116
CT-7484-BIH,SITE-265,Heard Island and McDonald Islands,SHP-9182038,Great Patch,8,2025-07-11,125
CT-9831-IEW,SITE-212,Turkey,SHP-6845535,Stock Patch,9,2024-12-20,328
CT-2004-PSX,SITE-106,Guinea-Bissau,SHP-6598865,Common Patch,10,2025-05-15,182
CT-6910-RDE,SITE-166,Hungary,SHP-7162968,Win Injection,7,2025-11-05,8
CT-6109-EDZ,SITE-193,Guam,SHP-8889301,Should Tablet,7,2025-07-29,107
CT-3228-ZKT,SITE-160,Comoros,SHP-3054749,Cold Injection,4,2025-06-23,143
CT-7487-KNX,SITE-273,Niger,SHP-9622020,Contain Solution,3,2025-02-23,263
CT-8872-GKR,SITE-145,Cambodia,SHP-9258821,Step Solution,7,2025-08-24,81
CT-5806-JWO,SITE-126,Nicaragua,SHP-1525492,Set Solution,9,2025-01-04,313
CT-1816-RCG,SITE-192,Barbados,SHP-4221413,Effort Capsule,9,2025-06-21,145
CT-9781-BYC,SITE-309,Grenada,SHP-6016626,Compare Tablet,6,2025-10-12,32
CT-6910-RDE,SITE-169,Russian Federation,SHP-3263783,Dog Patch,7,2025-03-19,239
CT-9781-BYC,SITE-309,Grenada,SHP-9686706,Positive Injection,2,2025-11-26,0
CT-2004-PSX,SITE-103,Puerto Rico,SHP-5314596,Offer Tablet,7,2025-10-04,40
CT-9771-CZL,SITE-236,British Virgin Islands,SHP-5767519,Us Solution,3,2025-01-26,291
CT-8015-GMQ,SITE-139,Anguilla,SHP-9395484,Memory Solution,4,2025-02-06,280
CT-3636-AVP,SITE-254,Pitcairn Islands,SHP-8535972,Agency Injection,4,2025-05-01,196
CT-7487-KNX,SITE-279,Cuba,SHP-2946968,Contain Solution,10,2025-12-03,0
CT-9771-CZL,SITE-235,British Virgin Islands,SHP-1290186,Us Solution,8,2025-07-26,110
CT-3395-UCM,SITE-213,Belize,SHP-3721076,Keep Capsule,1,2025-02-14,272
