study_alias,country_name,site_reference_number,enrollment_over_time_level,period_frequency,period_start_date,period_end_date,patients_screened_forecast,patients_screened_actual,patients_enrolled_forecast,patients_enrolled_actual,patients_screened_planned,patients_enrolled_planned
CT-8970-PLO,Mozambique,SITE-117,Site,Quarterly,2025-04-03,2025-07-02,53,51,60,52,37,19
CT-8970-PLO,Mozambique,SITE-118,Site,Quarterly,2025-04-18,2025-07-17,48,27,39,44,33,24
CT-5806-JWO,Papua New Guinea,SITE-119,Country,Monthly,2025-07-01,2025-09-29,36,52,58,30,72,15
CT-5806-JWO,Algeria,SITE-120,Site,Monthly,2025-08-01,2025-10-30,62,43,21,38,27,8
CT-5806-JWO,Algeria,SITE-121,Study,Quarterly,2024-10-16,2025-01-14,58,9,19,38,23,29
CT-5806-JWO,Algeria,SITE-122,Country,Quarterly,2024-12-05,2025-03-05,43,20,23,30,75,45
CT-5806-JWO,Guyana,SITE-123,Site,Monthly,2024-12-21,2025-03-21,61,6,35,54,17,45
CT-5806-JWO,Guyana,SITE-124,Site,Quarterly,2025-02-16,2025-05-17,32,7,19,23,48,25
CT-5806-JWO,Nicaragua,SITE-125,Country,Monthly,2025-06-15,2025-09-13,11,50,36,47,68,52
CT-5806-JWO,Nicaragua,SITE-126,Site,Quarterly,2025-03-16,2025-06-14,50,47,9,28,27,9
CT-5806-JWO,Pakistan,SITE-127,Study,Monthly,2024-07-19,2024-10-17,46,28,8,48,50,15
CT-5806-JWO,Bulgaria,SITE-128,Country,Monthly,2024-10-25,2025-01-23,68,70,50,27,72,44
CT-5806-JWO,Bulgaria,SITE-129,Site,Monthly,2025-08-07,2025-11-05,73,16,40,11,38,41
CT-8015-GMQ,Serbia,SITE-130,Country,Monthly,2025-06-03,2025-09-01,59,69,16,27,76,20
CT-8015-GMQ,Serbia,SITE-131,Country,Monthly,2025-04-30,2025-07-29,16,51,16,32,68,21
CT-8015-GMQ,Morocco,SITE-132,Country,Quarterly,2025-02-04,2025-05-05,65,61,30,49,13,28
CT-8015-GMQ,Morocco,SITE-133,Study,Monthly,2024-11-26,2025-02-24,59,39,52,5,24,28
CT-8015-GMQ,Marshall Islands,SITE-134,Country,Quarterly,2025-08-06,2025-11-04,65,57,55,34,27,12
CT-8015-GMQ,Marshall Islands,SITE-135,Country,Quarterly,2025-03-18,2025-06-16,33,33,43,35,73,47
CT-8015-GMQ,Marshall Islands,SITE-136,Site,Monthly,2025-06-22,2025-09-20,17,28,51,9,29,24
CT-8015-GMQ,Guam,SITE-137,Site,Quarterly,2024-08-03,2024-11-01,60,60,49,5,47,37
CT-8015-GMQ,Anguilla,SITE-138,Country,Quarterly,2025-07-03,2025-10-01,48,46,53,28,34,38
CT-8015-GMQ,Anguilla,SITE-139,Country,Monthly,2025-01-08,2025-04-08,14,47,57,48,27,17
CT-8015-GMQ,Anguilla,SITE-140,Country,Monthly,2025-07-08,2025-10-06,72,63,23,52,25,35
CT-8872-GKR,Philippines,SITE-141,Country,Quarterly,2024-10-10,2025-01-08,47,58,40,33,33,28
CT-8872-GKR,Philippines,SITE-142,Study,Monthly,2024-10-25,2025-01-23,46,29,21,46,32,32
CT-8872-GKR,Philippines,SITE-143,Country,Monthly,2024-07-04,2024-10-02,61,15,24,53,26,56
CT-8872-GKR,Cambodia,SITE-144,Site,Quarterly,2025-01-23,2025-04-23,41,23,18,10,60,35
CT-8872-GKR,Cambodia,SITE-145,Country,Monthly,2024-11-06,2025-02-04,47,57,9,34,26,18
CT-8872-GKR,British Virgin Islands,SITE-146,Country,Monthly,2025-01-23,2025-04-23,17,52,54,29,56,47
CT-1696-SCY,Haiti,SITE-147,Site,Quarterly,2024-10-04,2025-01-02,26,19,24,16,25,15
CT-1696-SCY,Haiti,SITE-148,Site,Monthly,2024-08-06,2024-11-04,29,56,44,15,44,40
CT-1696-SCY,Guyana,SITE-149,Site,Monthly,2024-06-17,2024-09-15,67,64,30,36,59,49
CT-1696-SCY,Guyana,SITE-150,Site,Monthly,2024-12-28,2025-03-28,78,33,14,6,44,53
CT-1696-SCY,Guyana,SITE-151,Study,Monthly,2025-06-19,2025-09-17,34,52,35,39,10,18
CT-1696-SCY,Dominican Republic,SITE-152,Study,Monthly,2025-02-26,2025-05-27,70,21,48,24,20,30
CT-1696-SCY,Dominican Republic,SITE-153,Country,Monthly,2024-07-10,2024-10-08,56,49,17,18,57,30
CT-1696-SCY,Kazakhstan,SITE-154,Site,Monthly,2025-04-23,2025-07-22,33,26,35,20,10,11
CT-3228-ZKT,Sudan,SITE-155,Study,Monthly,2024-07-18,2024-10-16,35,49,56,42,60,20
CT-3228-ZKT,Sudan,SITE-156,Country,Quarterly,2024-09-17,2024-12-16,34,8,24,17,31,33
CT-3228-ZKT,Sudan,SITE-157,Study,Quarterly,2024-09-16,2024-12-15,77,38,12,9,41,44
CT-3228-ZKT,Thailand,SITE-158,Site,Quarterly,2025-05-19,2025-08-17,55,23,18,17,51,40
CT-3228-ZKT,Thailand,SITE-159,Study,Quarterly,2024-12-04,2025-03-04,40,20,18,14,68,31
CT-3228-ZKT,Comoros,SITE-160,Site,Monthly,2024-07-28,2024-10-26,55,69,58,46,59,22
CT-3228-ZKT,Comoros,SITE-161,Study,Quarterly,2024-07-11,2024-10-09,72,25,60,24,64,45
CT-3228-ZKT,Comoros,SITE-162,Study,Quarterly,2024-08-03,2024-11-01,74,37,21,13,46,50
CT-3228-ZKT,South Georgia and the South Sandwich Islands,SITE-163,Country,Monthly,2024-05-29,2024-08-27,79,13,39,32,78,44
CT-3228-ZKT,South Georgia and the South Sandwich Islands,SITE-164,Country,Quarterly,2025-05-15,2025-08-13,58,36,18,49,77,19
CT-6910-RDE,Pakistan,SITE-165,Study,Monthly,2025-02-04,2025-05-05,16,66,42,27,61,42
CT-6910-RDE,Hungary,SITE-166,Site,Quarterly,2024-10-12,2025-01-10,36,29,49,36,15,60
CT-6910-RDE,Hungary,SITE-167,Site,Quarterly,2025-02-26,2025-05-27,56,64,45,26,62,25
CT-6910-RDE,Hungary,SITE-168,Country,Quarterly,2024-06-27,2024-09-25,77,36,16,13,38,17
CT-6910-RDE,Russian Federation,SITE-169,Country,Monthly,2025-05-12,2025-08-10,61,64,24,5,13,18
CT-6910-RDE,Russian Federation,SITE-170,Country,Monthly,2024-06-05,2024-09-03,26,12,19,52,21,24
CT-6910-RDE,Russian Federation,SITE-171,Site,Monthly,2025-01-29,2025-04-29,69,15,38,35,71,9
CT-8742-ECD,Korea,SITE-172,Site,Monthly,2024-08-13,2024-11-11,44,24,30,10,67,32
CT-8742-ECD,Korea,SITE-173,Site,Quarterly,2025-02-26,2025-05-27,11,29,29,36,13,55
CT-8742-ECD,Nauru,SITE-174,Site,Quarterly,2025-06-07,2025-09-05,42,38,20,39,25,41
CT-8742-ECD,Nauru,SITE-175,Study,Monthly,2025-08-09,2025-11-07,23,45,16,31,74,18
CT-8742-ECD,San Marino,SITE-176,Site,Quarterly,2024-07-10,2024-10-08,75,51,13,30,73,15
CT-8742-ECD,San Marino,SITE-177,Site,Monthly,2024-12-03,2025-03-03,25,34,50,32,63,8
CT-8742-ECD,San Marino,SITE-178,Country,Monthly,2024-11-03,2025-02-01,29,15,46,26,32,14
CT-7047-GQC,Japan,SITE-179,Study,Quarterly,2025-02-20,2025-05-21,37,63,39,19,62,24
CT-7047-GQC,India,SITE-180,Country,Monthly,2024-08-28,2024-11-26,78,40,8,52,57,45
CT-7047-GQC,India,SITE-181,Site,Quarterly,2024-05-23,2024-08-21,67,54,41,10,32,37
CT-7047-GQC,India,SITE-182,Country,Quarterly,2025-01-11,2025-04-11,47,43,32,16,76,33
CT-7047-GQC,Tunisia,SITE-183,Site,Quarterly,2024-12-10,2025-03-10,49,7,53,38,51,60
CT-7047-GQC,Tunisia,SITE-184,Site,Quarterly,2024-10-30,2025-01-28,52,23,32,10,35,59
CT-7047-GQC,Indonesia,SITE-185,Study,Quarterly,2024-11-21,2025-02-19,44,69,13,9,25,12
CT-7047-GQC,Indonesia,SITE-186,Site,Monthly,2025-01-27,2025-04-27,46,25,40,21,27,25
CT-7047-GQC,Czech Republic,SITE-187,Study,Monthly,2024-11-23,2025-02-21,33,67,38,33,74,54
CT-7047-GQC,Czech Republic,SITE-188,Site,Monthly,2024-10-31,2025-01-29,35,65,25,17,16,56
CT-7047-GQC,Czech Republic,SITE-189,Study,Monthly,2025-02-11,2025-05-12,14,35,23,38,17,12
CT-1816-RCG,United States of America,SITE-190,Site,Quarterly,2024-09-24,2024-12-23,73,68,49,48,74,29
CT-1816-RCG,Barbados,SITE-191,Study,Monthly,2024-07-20,2024-10-18,57,47,27,27,18,25
CT-1816-RCG,Barbados,SITE-192,Site,Quarterly,2025-07-28,2025-10-26,65,21,38,30,38,60
CT-6109-EDZ,Guam,SITE-193,Study,Quarterly,2024-09-20,2024-12-19,77,53,31,48,42,58
CT-6109-EDZ,Guam,SITE-194,Study,Monthly,2025-03-08,2025-06-06,62,35,49,51,39,13
CT-6109-EDZ,Guam,SITE-195,Site,Monthly,2025-01-23,2025-04-23,76,29,55,50,18,8
CT-6109-EDZ,Latvia,SITE-196,Country,Quarterly,2024-08-05,2024-11-03,22,32,16,43,34,14
CT-6109-EDZ,Latvia,SITE-197,Site,Monthly,2024-10-25,2025-01-23,75,32,43,18,16,18
CT-6109-EDZ,Belize,SITE-198,Country,Monthly,2024-08-18,2024-11-16,19,47,17,33,53,35
CT-6109-EDZ,Seychelles,SITE-199,Country,Monthly,2025-06-26,2025-09-24,49,30,53,28,21,31
CT-6109-EDZ,Seychelles,SITE-200,Country,Quarterly,2024-10-10,2025-01-08,29,45,18,18,39,8
CT-6109-EDZ,Seychelles,SITE-201,Site,Monthly,2024-06-06,2024-09-04,68,45,26,7,26,10
CT-6109-EDZ,Ecuador,SITE-202,Study,Quarterly,2024-09-19,2024-12-18,43,11,45,45,75,29
CT-6109-EDZ,Ecuador,SITE-203,Study,Monthly,2024-07-29,2024-10-27,52,11,38,29,28,23
CT-6109-EDZ,Ecuador,SITE-204,Study,Quarterly,2025-01-29,2025-04-29,60,42,33,38,71,47
CT-6109-EDZ,Cambodia,SITE-205,Country,Quarterly,2025-04-16,2025-07-15,24,31,24,54,36,59
CT-9831-IEW,Azerbaijan,SITE-206,Study,Quarterly,2025-01-30,2025-04-30,12,41,41,18,61,60
CT-9831-IEW,Jersey,SITE-207,Study,Quarterly,2025-02-01,2025-05-02,22,27,13,52,49,39
CT-9831-IEW,Tanzania,SITE-208,Country,Monthly,2025-05-19,2025-08-17,12,23,40,50,61,8
CT-9831-IEW,Wallis and Futuna,SITE-209,Country,Quarterly,2024-06-30,2024-09-28,22,37,11,37,80,21
CT-9831-IEW,Wallis and Futuna,SITE-210,Site,Quarterly,2025-03-03,2025-06-01,31,58,55,8,18,17
CT-9831-IEW,Pitcairn Islands,SITE-211,Country,Quarterly,2024-08-12,2024-11-10,79,67,20,35,35,54
CT-9831-IEW,Turkey,SITE-212,Study,Monthly,2025-01-24,2025-04-24,75,60,23,10,53,35
CT-3395-UCM,Belize,SITE-213,Study,Quarterly,2024-07-07,2024-10-05,25,10,17,51,68,51
CT-3395-UCM,Belize,SITE-214,Site,Quarterly,2024-09-01,2024-11-30,31,40,55,34,72,24
CT-3395-UCM,Comoros,SITE-215,Site,Monthly,2024-12-13,2025-03-13,30,45,38,37,70,22
CT-3395-UCM,Comoros,SITE-216,Country,Quarterly,2024-12-14,2025-03-14,73,5,30,32,28,31
CT-3395-UCM,Turkey,SITE-217,Study,Monthly,2024-07-30,2024-10-28,34,37,33,23,56,38
CT-3395-UCM,Turkey,SITE-218,Country,Monthly,2025-05-22,2025-08-20,61,49,37,22,52,35
CT-3395-UCM,Turkey,SITE-219,Site,Monthly,2024-08-05,2024-11-03,19,40,41,44,55,8
CT-4229-AWU,Uzbekistan,SITE-220,Country,Monthly,2024-11-01,2025-01-30,54,27,49,34,27,49
CT-4229-AWU,Uzbekistan,SITE-221,Site,Monthly,2024-10-19,2025-01-17,12,31,50,40,80,11
CT-4229-AWU,Uzbekistan,SITE-222,Study,Quarterly,2025-07-31,2025-10-29,39,5,38,28,49,13
CT-4229-AWU,New Caledonia,SITE-223,Site,Monthly,2024-10-10,2025-01-08,21,19,30,47,35,39
CT-4229-AWU,New Caledonia,SITE-224,Country,Monthly,2024-08-12,2024-11-10,53,53,10,38,75,27
CT-4229-AWU,Ecuador,SITE-225,Country,Quarterly,2025-01-21,2025-04-21,16,63,52,4,70,31
CT-4229-AWU,Ecuador,SITE-226,Country,Quarterly,2024-06-26,2024-09-24,32,65,43,42,24,15
CT-4229-AWU,Ecuador,SITE-227,Site,Quarterly,2024-08-22,2024-11-20,67,42,52,28,62,51
CT-4229-AWU,Brunei Darussalam,SITE-228,Study,Monthly,2024-11-30,2025-02-28,70,42,33,11,21,26
CT-4229-AWU,Guyana,SITE-229,Site,Monthly,2025-04-27,2025-07-26,13,56,23,7,71,32
CT-4229-AWU,Guyana,SITE-230,Site,Monthly,2024-06-08,2024-09-06,79,55,31,17,45,44
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-231,Country,Monthly,2025-02-07,2025-05-08,70,38,19,7,77,25
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-232,Country,Quarterly,2024-10-20,2025-01-18,10,49,10,43,60,48
CT-4229-AWU,Bouvet Island (Bouvetoya),SITE-233,Site,Monthly,2024-06-23,2024-09-21,35,56,53,50,48,19
CT-9771-CZL,British Virgin Islands,SITE-234,Site,Monthly,2025-03-11,2025-06-09,50,56,33,21,29,49
CT-9771-CZL,British Virgin Islands,SITE-235,Study,Monthly,2024-06-13,2024-09-11,37,12,43,13,12,16
CT-9771-CZL,British Virgin Islands,SITE-236,Study,Quarterly,2025-01-04,2025-04-04,11,58,21,52,31,59
CT-9771-CZL,Azerbaijan,SITE-237,Country,Quarterly,2025-05-24,2025-08-22,53,66,34,14,12,10
CT-9771-CZL,Azerbaijan,SITE-238,Study,Quarterly,2025-04-12,2025-07-11,15,34,40,52,15,44
CT-9771-CZL,Central African Republic,SITE-239,Site,Quarterly,2024-08-08,2024-11-06,11,51,60,20,35,33
CT-9771-CZL,Central African Republic,SITE-240,Site,Quarterly,2025-01-31,2025-05-01,60,38,28,9,69,11
CT-9771-CZL,Central African Republic,SITE-241,Country,Quarterly,2024-09-10,2024-12-09,49,52,43,29,10,25
CT-5014-EEP,Sudan,SITE-242,Country,Quarterly,2024-06-21,2024-09-19,30,43,54,54,76,59
CT-5014-EEP,Sudan,SITE-243,Site,Quarterly,2025-05-14,2025-08-12,20,29,18,8,36,17
CT-5014-EEP,Jordan,SITE-244,Country,Quarterly,2025-03-04,2025-06-02,43,60,25,9,55,59
CT-5014-EEP,Jordan,SITE-245,Country,Quarterly,2024-10-29,2025-01-27,61,19,34,9,73,17
CT-5014-EEP,Jordan,SITE-246,Country,Quarterly,2025-04-02,2025-07-01,64,9,25,31,56,31
CT-5014-EEP,Azerbaijan,SITE-247,Site,Monthly,2025-03-23,2025-06-21,27,47,27,19,39,52
CT-5014-EEP,Azerbaijan,SITE-248,Study,Quarterly,2025-08-14,2025-11-12,49,23,11,50,30,20
CT-5014-EEP,Azerbaijan,SITE-249,Site,Quarterly,2024-08-10,2024-11-08,80,49,50,47,56,14
CT-5014-EEP,Mauritius,SITE-250,Site,Quarterly,2024-06-24,2024-09-22,15,58,36,52,44,24
CT-5014-EEP,Mauritius,SITE-251,Site,Quarterly,2025-07-17,2025-10-15,65,11,49,39,12,41
CT-3636-AVP,Burundi,SITE-252,Site,Quarterly,2024-08-11,2024-11-09,48,61,8,44,20,11
CT-3636-AVP,Burundi,SITE-253,Study,Quarterly,2024-12-12,2025-03-12,67,25,36,11,29,56
CT-3636-AVP,Pitcairn Islands,SITE-254,Study,Monthly,2025-02-23,2025-05-24,66,63,19,46,51,27
CT-3636-AVP,Pitcairn Islands,SITE-255,Country,Quarterly,2025-05-27,2025-08-25,74,22,13,40,60,18
CT-3636-AVP,Belize,SITE-256,Country,Monthly,2025-08-11,2025-11-09,41,6,50,51,51,33
CT-3636-AVP,Nicaragua,SITE-257,Site,Quarterly,2025-08-06,2025-11-04,75,11,33,6,78,60
CT-3636-AVP,Nicaragua,SITE-258,Site,Monthly,2025-01-21,2025-04-21,24,5,39,36,76,52
CT-3636-AVP,Estonia,SITE-259,Study,Monthly,2025-01-10,2025-04-10,17,55,36,31,41,33
CT-3636-AVP,Estonia,SITE-260,Country,Quarterly,2024-05-28,2024-08-26,35,65,36,13,79,58
CT-3636-AVP,Estonia,SITE-261,Country,Quarterly,2025-06-13,2025-09-11,28,35,12,24,74,37
CT-7484-BIH,Belgium,SITE-262,Study,Quarterly,2025-08-01,2025-10-30,21,37,17,12,80,21
CT-7484-BIH,Belgium,SITE-263,Country,Quarterly,2024-12-25,2025-03-25,60,9,46,31,62,18
CT-7484-BIH,Belgium,SITE-264,Country,Monthly,2025-03-06,2025-06-04,31,39,32,21,35,22
CT-7484-BIH,Heard Island and McDonald Islands,SITE-265,Study,Quarterly,2024-10-02,2024-12-31,51,31,8,54,53,57
CT-7484-BIH,Heard Island and McDonald Islands,SITE-266,Study,Monthly,2024-12-17,2025-03-17,66,37,47,40,31,16
CT-7484-BIH,Niger,SITE-267,Study,Quarterly,2024-09-29,2024-12-28,55,27,14,19,44,45
CT-7484-BIH,Niger,SITE-268,Site,Quarterly,2024-10-12,2025-01-10,75,16,12,33,21,16
CT-7484-BIH,Niger,SITE-269,Country,Quarterly,2025-01-01,2025-04-01,15,42,46,38,67,20
CT-7487-KNX,Burundi,SITE-270,Country,Quarterly,2025-07-31,2025-10-29,46,24,24,14,57,29
CT-7487-KNX,Burundi,SITE-271,Study,Monthly,2025-02-02,2025-05-03,15,23,42,10,19,40
CT-7487-KNX,Burundi,SITE-272,Site,Quarterly,2024-12-17,2025-03-17,32,44,45,54,20,8
CT-7487-KNX,Niger,SITE-273,Site,Quarterly,2024-07-04,2024-10-02,39,62,39,34,37,10
CT-7487-KNX,Niger,SITE-274,Site,Monthly,2024-12-08,2025-03-08,11,35,9,32,48,34
CT-7487-KNX,Niger,SITE-275,Country,Monthly,2025-07-28,2025-10-26,33,63,57,8,52,57
CT-7487-KNX,Cyprus,SITE-276,Study,Quarterly,2024-08-16,2024-11-14,62,5,17,52,36,33
CT-7487-KNX,Cyprus,SITE-277,Site,Quarterly,2025-03-22,2025-06-20,73,22,45,27,13,40
CT-7487-KNX,Cuba,SITE-278,Study,Quarterly,2025-07-29,2025-10-27,32,10,47,26,59,55
CT-7487-KNX,Cuba,SITE-279,Site,Monthly,2024-06-24,2024-09-22,79,60,59,29,10,22
CT-3230-HFO,Serbia,SITE-280,Study,Monthly,2024-08-17,2024-11-15,69,46,56,41,14,18
CT-3230-HFO,Gibraltar,SITE-281,Site,Monthly,2025-06-24,2025-09-22,68,20,8,26,60,42
CT-3230-HFO,Gibraltar,SITE-282,Country,Quarterly,2025-04-01,2025-06-30,42,33,34,44,34,53
CT-3230-HFO,Antarctica (the territory South of 60 deg S),SITE-283,Country,Monthly,2024-12-04,2025-03-04,71,55,35,34,25,36
CT-3230-HFO,Antarctica (the territory South of 60 deg S),SITE-284,Country,Monthly,2024-12-27,2025-03-27,37,47,44,34,69,47
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-285,Study,Quarterly,2024-07-15,2024-10-13,80,60,15,37,54,11
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-286,Site,Monthly,2024-10-19,2025-01-17,47,14,36,21,24,40
CT-3230-HFO,Libyan Arab Jamahiriya,SITE-287,Country,Monthly,2024-08-02,2024-10-31,70,36,38,14,77,27
CT-3230-HFO,Switzerland,SITE-288,Site,Quarterly,2024-08-23,2024-11-21,24,11,16,35,49,10
CT-3230-HFO,Switzerland,SITE-289,Site,Quarterly,2025-07-03,2025-10-01,53,65,44,27,16,53
CT-3230-HFO,Switzerland,SITE-290,Study,Monthly,2025-05-07,2025-08-05,58,11,15,16,73,25
CT-6551-IBW,Italy,SITE-291,Country,Quarterly,2025-02-13,2025-05-14,51,53,23,38,16,54
CT-6551-IBW,Madagascar,SITE-292,Country,Quarterly,2025-02-08,2025-05-09,29,41,18,18,49,49
CT-6551-IBW,Madagascar,SITE-293,Country,Monthly,2025-05-27,2025-08-25,55,26,55,19,50,57
CT-6551-IBW,Malaysia,SITE-294,Site,Quarterly,2025-06-15,2025-09-13,62,22,25,39,32,54
CT-3472-PNG,Puerto Rico,SITE-295,Site,Monthly,2025-01-17,2025-04-17,30,31,15,18,68,11
CT-3472-PNG,Puerto Rico,SITE-296,Country,Monthly,2024-06-15,2024-09-13,34,29,37,18,22,22
CT-3472-PNG,Puerto Rico,SITE-297,Site,Monthly,2025-02-08,2025-05-09,37,65,43,11,44,23
CT-3472-PNG,Falkland Islands (Malvinas),SITE-298,Country,Monthly,2024-06-23,2024-09-21,43,66,27,39,69,18
CT-3472-PNG,Falkland Islands (Malvinas),SITE-299,Study,Quarterly,2024-12-10,2025-03-10,42,23,11,36,27,8
CT-3472-PNG,Trinidad and Tobago,SITE-300,Country,Monthly,2025-06-15,2025-09-13,80,51,9,20,52,39
CT-3472-PNG,Trinidad and Tobago,SITE-301,Study,Quarterly,2025-02-25,2025-05-26,70,50,37,34,30,11
CT-3472-PNG,Trinidad and Tobago,SITE-302,Country,Monthly,2025-01-13,2025-04-13,62,68,59,9,52,39
CT-3472-PNG,Haiti,SITE-303,Study,Quarterly,2025-04-10,2025-07-09,61,70,54,4,35,46
CT-3472-PNG,Libyan Arab Jamahiriya,SITE-304,Country,Quarterly,2025-01-10,2025-04-10,49,46,54,55,28,40
CT-3472-PNG,Libyan Arab Jamahiriya,SITE-305,Site,Quarterly,2024-09-17,2024-12-16,76,61,22,33,80,53
CT-9781-BYC,Albania,SITE-306,Study,Quarterly,2025-04-26,2025-07-25,73,8,44,25,69,24
CT-9781-BYC,Albania,SITE-307,Country,Monthly,2025-05-02,2025-07-31,22,38,47,17,75,19
CT-9781-BYC,Anguilla,SITE-308,Country,Quarterly,2025-08-13,2025-11-11,62,60,37,48,63,30
CT-9781-BYC,Grenada,SITE-309,Country,Monthly,2024-11-06,2025-02-04,56,17,49,9,20,14
CT-9781-BYC,Moldova,SITE-310,Site,Quarterly,2024-12-19,2025-03-19,34,68,49,44,61,13
CT-9781-BYC,Moldova,SITE-311,Site,Quarterly,2024-10-06,2025-01-04,67,40,45,27,22,43
CT-9781-BYC,New Caledonia,SITE-312,Study,Monthly,2025-08-12,2025-11-10,39,55,33,52,45,47
