Trial Alias,Plant ID,Planning Plant,Material ID,Material,MRP element data,MRP element number,Abbreviation for MRP element,Account Number of Vendor or Creditor,Availability indicator,Calendar Day,Calendar Year,Calendar Year/Week,Customer name,Source number for order,Customer Number,Delivery/order finish date,Quantity received or quantity required,Issuing/Receiving Storage Location,Exception message number,Receipt/issue indicator,Receipt/Requirements date,Request Transaction Sequence Number,Rescheduling date,Start/release date,Storage Location,Tracking Number,Vendor name
CT-8742-ECD,EU02,EU02,MAT-47254,Article Tablet,Order,AAD7229E-CD6,MRP-40,52,Health,2025-10-29,Term,Minute,Burns-Palmer,216A0628-CE4,5294294,2025-01-07,212,Many,323778402,Perform,2025-01-12,26828278,2026-01-07,2024-06-22,School,TRK38877990,Wagner PLC Pharma
CT-3636-AVP,EU02,EU02,MAT-54383,Agency Injection,Order,7ECBBF33-951,MRP-13,349,Adult,2024-07-07,Same,And,Smith-Wolfe,7E8BFE7E-71C,2827154,2025-02-16,98,Eat,217252647,Article,2025-02-15,94781842,2024-07-10,2026-09-30,Better,TRK40411276,Lucas Ltd Pharma
CT-6551-IBW,EU02,EU02,MAT-75647,Member Solution,Order,F892BADA-B88,MRP-25,165,Idea,2024-07-06,Politics,Most,Sullivan LLC,9853B6AB-C01,6199841,2025-07-24,177,Become,420373400,Then,2025-07-23,78860096,2025-08-08,2025-01-31,Economic,TRK26679906,Conner-Thompson Pharma
CT-8015-GMQ,US01,US01,MAT-74459,Memory Solution,Order,216A0628-CE4,MRP-44,421,Bit,2024-02-19,Tree,Care,Price Ltd,BEBE3F6F-617,3533096,2025-07-07,268,Itself,886256485,Treatment,2025-07-05,65127519,2025-03-28,2025-09-24,Move,TRK13039109,Morgan-Henry Pharma
CT-3472-PNG,US01,US01,MAT-22152,Culture Solution,Order,661396B5-BE2,MRP-87,47,Increase,2026-02-17,Score,Already,"Russell, Salazar and Wright",87528E6A-790,1537301,2025-05-26,269,For,551180506,Parent,2025-05-24,24788410,2026-08-11,2024-07-31,Worker,TRK97748754,"Tran, Ford and Church Pharma"
CT-3636-AVP,EU02,EU02,MAT-54383,Agency Injection,Order,C1EDEFA4-014,MRP-92,396,On,2024-11-18,Result,Notice,Green Inc,F038C3DD-DF4,9469782,2025-11-27,237,But,620627230,Everybody,2025-11-26,56230818,2026-09-12,2025-03-14,Wonder,TRK45877057,"Roy, Short and Flores Pharma"
CT-5014-EEP,LAT04,LAT04,MAT-39627,Fund Tablet,Order,6779AAB3-F3B,MRP-70,426,Range,2024-06-04,Set,Glass,Ruiz-Boyer,2A431C19-BD6,3527711,2025-09-04,149,However,777950569,Investment,2025-09-05,46406931,2024-01-12,2024-01-30,Reality,TRK59903954,Graham Group Pharma
CT-5014-EEP,LAT04,LAT04,MAT-53554,They Capsule,Order,C39FF96A-D71,MRP-36,123,Street,2026-08-28,Would,Pattern,Thomas Ltd,7F8EA55C-605,8998108,2025-05-24,182,Enjoy,805872809,Democrat,2025-05-21,87678068,2026-07-05,2024-09-01,Create,TRK78251690,King and Sons Pharma
CT-6551-IBW,EU02,EU02,MAT-75647,Member Solution,Order,23447E8F-F1B,MRP-44,171,Tax,2023-11-26,Ready,Pass,Newton PLC,657B8A24-549,5281362,2025-07-29,133,Window,406714550,Make,2025-07-26,93432493,2026-04-29,2025-03-26,Amount,TRK36647054,"Watts, Phelps and Hurst Pharma"
CT-6592-IDY,LAT04,LAT04,MAT-49508,Able Patch,Order,D620F7F5-660,MRP-48,222,Choose,2024-02-10,Forget,My,"Chan, Morris and Jones",BAFF899E-7D4,8475083,2025-04-16,263,Quickly,191433392,Exactly,2025-04-16,37860019,2026-09-12,2024-02-22,Though,TRK06637221,Scott Inc Pharma
CT-6551-IBW,EU02,EU02,MAT-79992,Anyone Tablet,Order,9D1D8DAF-160,MRP-29,443,Suddenly,2024-01-11,Want,Per,Rasmussen and Sons,56F016D1-42A,3436018,2025-01-03,168,Tend,716144593,Stop,2025-01-07,94446394,2026-10-07,2024-11-20,Ever,TRK54095855,Horne PLC Pharma
CT-3228-ZKT,EU02,EU02,MAT-58266,Tree Injection,Order,CCD65B39-FFB,MRP-19,450,Hair,2026-04-22,Southern,Listen,"Sanchez, Acosta and Cruz",E2E08976-B06,8875864,2025-01-11,36,Agree,326680564,Face,2025-01-13,72927002,2024-11-27,2025-05-08,Yard,TRK18523990,Fuller and Sons Pharma
CT-1696-SCY,US01,US01,MAT-78401,Expect Tablet,Order,D9F20807-A58,MRP-44,469,Over,2024-09-08,Must,Three,"Parrish, Rodriguez and Delgado",04FD0749-0E8,6546429,2025-03-31,110,Hard,956392907,After,2025-03-28,20880809,2025-12-29,2025-12-10,Want,TRK88006967,Gentry-Baxter Pharma
CT-3636-AVP,AP03,AP03,MAT-46171,Though Solution,Order,053A9347-DD8,MRP-13,496,Former,2025-11-21,Voice,Explain,"Sanchez, Ross and Lyons",D4D67F91-29D,1975131,2025-02-25,114,Player,750858261,Its,2025-02-24,75965033,2024-02-04,2024-05-23,Result,TRK13786305,"Davis, Lee and Cochran Pharma"
CT-6910-RDE,US01,US01,MAT-22108,Win Injection,Order,33A5606D-712,MRP-59,131,Including,2025-03-01,Ground,Might,"Allison, Morales and Ruiz",46866D25-F7F,5168440,2025-06-14,254,Study,704568649,People,2025-06-16,92177762,2024-01-13,2025-09-16,Moment,TRK17509746,Evans Inc Pharma
CT-9771-CZL,LAT04,LAT04,MAT-22610,Us Solution,Order,EC2064DF-354,MRP-27,138,Society,2024-02-19,Learn,Various,"Coleman, Long and Ho",ECA8CBD1-E04,9949920,2024-12-13,230,Final,762318586,National,2024-12-10,29758413,2025-07-05,2024-09-28,Pick,TRK15283396,Glenn-Clay Pharma
CT-3230-HFO,US01,US01,MAT-73628,Health Solution,Order,C061C212-E16,MRP-32,486,Change,2026-05-05,Establish,Above,"Cruz, Carroll and Cruz",E1DECF3D-AD6,4527267,2025-09-02,291,Huge,980594359,Attack,2025-08-30,18583983,2023-12-14,2026-02-27,Present,TRK49704546,"Morris, Lutz and Wu Pharma"
CT-7487-KNX,US01,US01,MAT-59372,Issue Patch,Order,333F654A-085,MRP-60,171,Result,2024-05-28,Identify,Score,"Smith, Lewis and Thomas",FDCEFEF5-08F,4332586,2025-08-08,45,Democrat,138550392,Take,2025-08-06,30179632,2025-08-15,2025-11-15,True,TRK54277796,Chavez-Rhodes Pharma
CT-6910-RDE,US01,US01,MAT-22108,Win Injection,Order,91976714-574,MRP-52,42,Concern,2025-06-06,Fly,Cold,Friedman LLC,6BF20FDB-A43,3405552,2025-08-10,235,Since,647625625,Beat,2025-08-14,22867459,2024-12-12,2023-12-23,Skin,TRK33111706,Andersen Ltd Pharma
CT-8872-GKR,LAT04,LAT04,MAT-66331,Step Solution,Order,43A721B6-D4D,MRP-70,15,Different,2023-11-20,Or,Field,Rodriguez-Ramirez,D1C0BAB1-86B,1792202,2025-10-15,248,Thousand,664794547,Whom,2025-10-13,44113561,2026-02-17,2024-10-02,Possible,TRK06783947,Allen-Cox Pharma
CT-3472-PNG,LAT04,LAT04,MAT-45907,Speech Patch,Order,CDED8377-18B,MRP-21,227,History,2024-04-17,City,Bed,"Brown, Mendoza and Castillo",6BF20FDB-A43,3565709,2025-07-28,186,Possible,530399100,Understand,2025-07-29,61454503,2025-10-23,2026-10-17,Often,TRK11154296,Parker Group Pharma
CT-7487-KNX,EU02,EU02,MAT-18458,Reason Tablet,Order,E1DECF3D-AD6,MRP-78,218,Front,2026-10-05,Factor,Account,Oliver Inc,C8E46777-965,7824536,2025-04-15,202,Out,958091984,Financial,2025-04-16,44894709,2024-12-06,2026-10-09,Must,TRK82531597,Valencia LLC Pharma
CT-3230-HFO,US01,US01,MAT-73628,Health Solution,Order,F5EA0FB0-86D,MRP-22,363,Trade,2024-07-30,Whether,Pattern,Reese and Sons,43F442CA-654,6831976,2025-04-18,148,Tax,959739274,Minute,2025-04-18,91849246,2025-06-23,2024-04-26,Turn,TRK39167956,"Gutierrez, Lawrence and Bradley Pharma"
CT-9831-IEW,AP03,AP03,MAT-49651,High Injection,Order,A66ABC3D-ED8,MRP-51,231,Very,2024-01-22,Bed,Tough,"Knight, Duke and Henson",CDED8377-18B,7952543,2025-10-24,172,Office,556593622,Happen,2025-10-22,80947670,2026-06-07,2025-07-01,Month,TRK19718525,Shea-Chapman Pharma
CT-3228-ZKT,US01,US01,MAT-61362,Better Tablet,Order,95696318-323,MRP-39,88,Condition,2025-01-18,Rest,Well,Johnson LLC,53E512B4-F07,1185181,2025-01-29,123,Rest,579553820,Rather,2025-01-30,12231137,2025-06-29,2026-07-24,Fly,TRK75317452,"Powell, Madden and Hawkins Pharma"
CT-5014-EEP,LAT04,LAT04,MAT-53554,They Capsule,Order,A7AEB7DC-2CF,MRP-38,428,Soldier,2024-08-05,Key,Free,Dillon Ltd,75038E9B-BA2,9997784,2025-07-23,208,Thus,527374679,Choice,2025-07-21,91123837,2024-12-21,2024-12-08,Camera,TRK92985600,Crawford PLC Pharma
CT-9831-IEW,LAT04,LAT04,MAT-16078,Stock Patch,Order,D4D67F91-29D,MRP-23,334,Around,2024-10-03,Although,Kitchen,"Jackson, Perez and Hernandez",654F1F56-570,8035659,2025-03-20,98,Occur,826984951,Possible,2025-03-24,16809502,2025-12-07,2025-03-14,Claim,TRK41598361,Nichols-Simon Pharma
CT-8970-PLO,EU02,EU02,MAT-84265,Help Solution,Order,06816510-E5D,MRP-25,311,Evidence,2026-09-24,From,Owner,Chandler Group,DA07F536-CAB,7830629,2025-08-16,98,After,884215906,Blood,2025-08-20,36787600,2025-05-21,2023-11-21,Sense,TRK15551841,Church Ltd Pharma
CT-8015-GMQ,LAT04,LAT04,MAT-91309,Simply Injection,Order,1466B603-499,MRP-39,206,Someone,2026-10-14,Store,Star,Lee LLC,703C84BA-54F,1131635,2024-12-24,229,Take,441606410,Owner,2024-12-23,55733556,2026-10-27,2023-11-26,Shake,TRK68673573,"Jackson, Hernandez and Harper Pharma"
CT-9781-BYC,AP03,AP03,MAT-98864,Positive Injection,Order,092A544D-1B7,MRP-80,311,World,2024-07-28,Bag,Our,Pearson-Martinez,105D5698-13F,4393509,2025-03-23,282,Size,558222748,Stand,2025-03-24,83874121,2025-07-28,2024-10-08,Church,TRK21281827,Smith-Atkins Pharma
CT-7487-KNX,EU02,EU02,MAT-56157,Contain Solution,Order,D991D9F7-CFE,MRP-57,58,Your,2026-08-12,Model,Gas,"Cortez, Bennett and Ross",C061C212-E16,1081043,2025-08-11,206,Occur,154040375,Some,2025-08-10,34268243,2024-03-18,2024-10-01,Hair,TRK98974594,"Hughes, Brooks and Baxter Pharma"
CT-8742-ECD,US01,US01,MAT-47140,Side Capsule,Order,79E2FD5B-55E,MRP-13,208,Now,2026-06-23,Indeed,Difference,Vega-Thomas,577BCE94-FDC,6614744,2025-10-26,37,Strong,747295235,Environmental,2025-10-23,42847740,2026-08-06,2026-04-02,With,TRK24818386,Nelson Ltd Pharma
CT-9771-CZL,LAT04,LAT04,MAT-22610,Us Solution,Order,B8C67610-950,MRP-78,423,Stop,2026-07-17,Street,One,Terry-Mclean,C863EED3-4DE,3455569,2025-07-11,259,North,770400134,Current,2025-07-12,67139823,2024-04-15,2024-01-13,Along,TRK74448996,"Cochran, Johnson and Jackson Pharma"
CT-3472-PNG,US01,US01,MAT-84153,Floor Patch,Order,9E01693A-016,MRP-96,372,Low,2026-02-01,Onto,Actually,Thompson-Williams,215887CE-296,3088659,2025-08-12,250,Seem,853665685,Throughout,2025-08-11,78476340,2023-12-19,2024-09-24,When,TRK74514601,Cummings-Rogers Pharma
CT-5806-JWO,US01,US01,MAT-81584,Set Solution,Order,6C1C5C9C-E11,MRP-40,45,Necessary,2024-05-14,Race,Interesting,Guerrero-Warren,3C28F46E-D2C,8738242,2025-08-22,21,Support,431238017,Last,2025-08-19,50570598,2025-11-28,2025-08-25,Production,TRK99035490,Moore LLC Pharma
CT-7487-KNX,US01,US01,MAT-59372,Issue Patch,Order,43F442CA-654,MRP-85,118,Stock,2026-10-10,Lose,Arrive,"Grant, Watson and Jones",DC052809-D93,7159028,2025-02-05,291,Number,918475796,Eat,2025-02-02,28056153,2026-08-18,2024-12-11,Myself,TRK37713809,Gonzalez-May Pharma
CT-5806-JWO,US01,US01,MAT-81584,Set Solution,Order,19165D8C-A56,MRP-58,323,Suffer,2024-06-04,Fact,Rate,"Le, Taylor and Bird",26C6F3AA-518,5884879,2025-02-07,119,Drug,283784153,Every,2025-02-08,75610648,2025-12-05,2025-12-27,Perhaps,TRK72995115,Jones-Rowe Pharma
CT-5014-EEP,LAT04,LAT04,MAT-39627,Fund Tablet,Order,84747643-3B7,MRP-46,230,Involve,2023-12-29,Hundred,Must,"Parrish, Anderson and Flores",092A544D-1B7,6927130,2025-10-03,27,Middle,520320627,Student,2025-10-07,21517760,2025-12-17,2024-11-11,Of,TRK32986154,"Reyes, Page and Melendez Pharma"
CT-5014-EEP,LAT04,LAT04,MAT-53554,They Capsule,Order,1237E7EE-E08,MRP-21,435,Page,2024-12-08,Something,Affect,Garcia-Gonzalez,082EC977-749,9450528,2025-04-14,30,Certainly,330239099,Responsibility,2025-04-12,29179408,2024-02-06,2026-05-13,Defense,TRK08756841,Leon Inc Pharma
CT-3395-UCM,US01,US01,MAT-40706,Keep Capsule,Order,423FCCAC-9C3,MRP-86,121,Base,2025-12-18,Movie,Important,Thomas-Johnson,7E8BFE7E-71C,7640298,2024-12-16,38,Mrs,910900374,Camera,2024-12-20,86223927,2023-12-27,2026-09-19,Explain,TRK58467545,Smith and Sons Pharma
CT-4229-AWU,AP03,AP03,MAT-47986,Experience Tablet,Order,9313CC9E-3F2,MRP-82,489,Per,2024-07-04,Note,Bag,"Burns, Roberts and Roberts",1C290466-294,7081893,2025-01-04,61,Though,759330179,Number,2025-01-06,25754987,2025-02-07,2024-01-20,Her,TRK61338189,Gonzalez-Gonzales Pharma
CT-7047-GQC,AP03,AP03,MAT-18097,Enter Capsule,Order,6EDC0958-393,MRP-98,1,Quite,2026-02-15,Likely,Hit,Acosta PLC,F892BADA-B88,5270409,2025-02-14,189,Discover,844676861,Security,2025-02-13,85807679,2025-01-22,2024-03-21,Heavy,TRK22020126,Watkins Inc Pharma
CT-6592-IDY,LAT04,LAT04,MAT-49508,Able Patch,Order,3927BB78-AC5,MRP-67,479,Thought,2026-06-15,How,Beautiful,Lynch-Harris,7EA3E715-4EB,7636398,2025-04-03,233,Budget,900191812,Democrat,2025-04-01,78137500,2025-05-14,2024-01-20,News,TRK81233951,Wright Inc Pharma
CT-9831-IEW,LAT04,LAT04,MAT-33775,Something Patch,Order,71D8D50F-7AE,MRP-76,424,Different,2023-11-20,Change,In,"Jimenez, Wilson and Larson",9853B6AB-C01,7991186,2025-07-19,195,Kind,133040547,My,2025-07-24,50030560,2025-12-12,2024-01-14,Various,TRK91036630,Rios and Sons Pharma
CT-3230-HFO,AP03,AP03,MAT-54713,Free Solution,Order,16279966-43F,MRP-16,268,Me,2024-09-24,Walk,Prove,Taylor-Moore,E1DECF3D-AD6,6977006,2024-12-16,154,Already,613176862,Best,2024-12-20,69968687,2024-09-26,2025-11-06,Up,TRK11109177,Robertson LLC Pharma
CT-9831-IEW,LAT04,LAT04,MAT-16078,Stock Patch,Order,3B0FDA9F-884,MRP-20,55,Officer,2026-03-01,Alone,Bill,Davis LLC,CA6F43AD-A7B,1891394,2025-08-13,253,Call,401418669,Tonight,2025-08-18,43806043,2026-05-04,2025-04-03,Better,TRK46832069,Wolf-Reid Pharma
CT-3636-AVP,EU02,EU02,MAT-54383,Agency Injection,Order,A7510327-2D1,MRP-68,437,Issue,2025-03-30,Recently,Wall,Knight Inc,38951FD6-B03,9012185,2025-06-01,168,Direction,324809056,Everybody,2025-06-02,67318728,2026-04-23,2026-07-29,Government,TRK33771421,Kemp-Palmer Pharma
CT-7047-GQC,EU02,EU02,MAT-58634,Impact Patch,Order,CE77A960-CDA,MRP-32,209,Magazine,2026-04-19,Message,Our,"Ruiz, Smith and Bailey",9CBEBD35-414,3186479,2025-05-11,283,Laugh,559525339,Less,2025-05-12,96823008,2023-12-09,2024-10-03,Than,TRK01417793,Perry-Villarreal Pharma
CT-4229-AWU,LAT04,LAT04,MAT-22354,Light Tablet,Order,13D23ECC-032,MRP-98,355,Change,2024-10-03,Wait,Box,Juarez and Sons,96B625BB-687,2029436,2025-09-29,258,They,332078589,Responsibility,2025-10-02,92435406,2024-10-02,2024-03-10,Reduce,TRK94088244,Vaughn LLC Pharma
CT-3228-ZKT,AP03,AP03,MAT-30703,Cold Injection,Order,DB096D51-BDC,MRP-59,303,Question,2026-08-10,Leader,Begin,Berry-Graham,13D53FD1-2EA,8301768,2025-10-28,216,Any,384670492,Way,2025-10-25,53072862,2025-12-17,2026-01-12,Fish,TRK97833879,Mckinney-Reyes Pharma
CT-5014-EEP,LAT04,LAT04,MAT-53554,They Capsule,Order,5B47E6AA-FAF,MRP-98,494,Rise,2024-04-21,Now,Back,"Morris, Nicholson and Graves",95696318-323,2260672,2025-09-04,220,Second,919570037,Field,2025-09-05,14868325,2024-01-26,2024-11-11,Then,TRK36097682,Ward-Rodriguez Pharma
CT-6551-IBW,EU02,EU02,MAT-79992,Anyone Tablet,Order,ECA8CBD1-E04,MRP-70,332,Live,2025-05-12,Above,Himself,"Young, Jenkins and Moon",29A6CFAF-AF6,1139789,2024-12-16,299,Night,481849190,Protect,2024-12-14,60173365,2026-03-23,2024-12-04,Clear,TRK26957198,Herring-Parker Pharma
CT-7487-KNX,US01,US01,MAT-59372,Issue Patch,Order,D5E639AD-82A,MRP-74,342,Parent,2025-12-09,Wide,Group,Martin-Evans,6779AAB3-F3B,5342652,2025-05-21,251,Issue,391573625,Marriage,2025-05-22,58609910,2025-04-30,2026-04-13,Dark,TRK79490129,"Hansen, Valdez and Kramer Pharma"
CT-2004-PSX,EU02,EU02,MAT-97442,Common Patch,Order,7C05434F-BD5,MRP-51,404,Success,2024-06-01,Until,Eight,Smith-Bennett,93E2AB3B-625,9122386,2025-03-17,78,Authority,279929825,East,2025-03-16,90820184,2024-01-23,2026-03-19,Candidate,TRK65760784,"Dunn, Cohen and Mason Pharma"
CT-3395-UCM,US01,US01,MAT-40706,Keep Capsule,Order,75038E9B-BA2,MRP-31,263,Cold,2025-01-21,Road,Write,Daugherty Group,0DB649CA-F40,4601754,2024-12-16,90,Cultural,123136125,Its,2024-12-21,94552943,2025-12-20,2026-01-26,Purpose,TRK48163555,"Davis, Villegas and Campbell Pharma"
CT-5014-EEP,LAT04,LAT04,MAT-39627,Fund Tablet,Order,60F22C34-AA2,MRP-61,16,Notice,2024-06-22,Threat,Successful,Hays Group,79EDC353-4DF,8825000,2025-11-15,197,Morning,752822289,Simple,2025-11-13,71468172,2024-09-10,2026-02-21,Appear,TRK32839571,Meyer-Nichols Pharma
