order_id,material_component,material_component_batch,order_quantity,fing_batch,order_status,ly_number,mrp_controller,mrp_group_desc,fing_material,material_comp_description,material_comp_type,material_description,modified_date,operation_number,operational_sequence_id,pcn_id,package_form,planned_or_process,plant,plant_desc,purchase_doc_number,recipe_id,supply_type,shared_across,trial,trial_alias,trial_alias_description,vendor_id,teco_flag
F52B62BD-E91,MAT-40706,LOT-30151730,122,LOT-62442527,Created,LY3486062,MRP-103,G1 Clinical,MAT-40706,Keep Capsule,Investigational Product,Keep Capsule,2025-09-29 20:01:52.191591,OP16,OP81,PCN-86834,PK-915026,Standard,US01,Christinamouth Plant,680184116,Recipe 49,Leader,Son,CT-3395-UCM,CT-3395-UCM,Majority Trial,V1426688,No
D465FA61-668,MAT-78401,LOT-44491067,197,LOT-46656333,Closed,LY7726303,MRP-103,G1 Clinical,MAT-78401,Expect Tablet,Ancillary Supply,Expect Tablet,2025-10-08 16:40:29.398586,OP37,OP52,PCN-68394,PK-940464,Write,EU02,Terrimouth Plant,725281490,Recipe 12,Lead,During,CT-1696-SCY,CT-1696-SCY,Miss Trial,V9507544,No
BAFF899E-7D4,MAT-49508,LOT-66123852,12,LOT-66123852,Closed,LY4096230,MRP-116,G1 Clinical,MAT-49508,Able Patch,Ancillary Supply,Able Patch,2025-09-08 07:32:58.252788,OP55,OP82,PCN-78836,PK-975679,You,EU02,East Matthew Plant,633180260,Recipe 16,Visit,Top,CT-6592-IDY,CT-6592-IDY,Pay Study,V4578845,Yes
082EC977-749,MAT-22152,LOT-36766763,242,LOT-59019698,Closed,LY5658813,MRP-129,G3 Pilot,MAT-22152,Culture Solution,Ancillary Supply,Culture Solution,2025-09-05 14:09:53.035120,OP19,OP84,PCN-30685,PK-993414,Bag,EU02,Lake Lori Plant,280314090,Recipe 42,Paper,Arrive,CT-3472-PNG,CT-3472-PNG,Put Trial,V1467075,No
1DE4A4D7-80D,MAT-15875,LOT-54560092,171,LOT-54560092,Released,LY1552087,MRP-138,G1 Clinical,MAT-15875,Happy Solution,Ancillary Supply,Happy Solution,2025-09-25 06:15:39.983593,OP60,OP88,PCN-44657,PK-805183,Age,EU02,South Michaelhaven Plant,652889787,Recipe 26,Pull,Drive,CT-8742-ECD,CT-8742-ECD,Compare Study,V5800314,No
4FFC728A-450,MAT-59372,LOT-31152831,23,LOT-31152831,In Progress,LY8976188,MRP-126,G3 Pilot,MAT-59372,Issue Patch,Ancillary Supply,Issue Patch,2025-09-28 11:46:33.497601,OP21,OP96,PCN-69050,PK-946615,Course,US01,Jeremyhaven Plant,533858393,Recipe 9,Most,Stock,CT-7487-KNX,CT-7487-KNX,Recent Trial,V8778796,Yes
BE0807F8-705,MAT-79992,LOT-34574127,175,LOT-89806740,Released,LY2304854,MRP-115,G3 Pilot,MAT-79992,Anyone Tablet,Ancillary Supply,Anyone Tablet,2025-09-29 11:55:12.042598,OP34,OP93,PCN-26590,PK-154668,Foot,AP03,Lopezburgh Plant,199000559,Recipe 21,Enjoy,Use,CT-6551-IBW,CT-6551-IBW,Camera Trial,V2911577,Yes
C863EED3-4DE,MAT-31615,LOT-91403277,107,LOT-91403277,Created,LY9991166,MRP-122,G2 Commercial,MAT-31615,Trouble Capsule,Comparator,Trouble Capsule,2025-10-26 07:11:24.606750,OP37,OP86,PCN-18014,PK-702669,Lay,LAT04,New Christina Plant,997623252,Recipe 14,Here,Focus,CT-9781-BYC,CT-9781-BYC,None Trial,V7292666,Yes
1591A2AC-D6F,MAT-49651,LOT-46257312,16,LOT-46257312,Released,LY6578105,MRP-112,G1 Clinical,MAT-49651,High Injection,Investigational Product,High Injection,2025-09-24 13:47:29.367883,OP25,OP91,PCN-98569,PK-299372,Herself,US01,Daviston Plant,906755911,Recipe 36,Cause,Once,CT-9831-IEW,CT-9831-IEW,Myself Program,V4502234,No
805781A7-E1A,MAT-66257,LOT-26774933,229,LOT-26012891,Completed,LY8807714,MRP-133,G1 Clinical,MAT-66257,Hundred Solution,Comparator,Hundred Solution,2025-10-25 15:12:18.881805,OP43,OP13,PCN-31687,PK-104447,Price,EU02,Masonchester Plant,708393996,Recipe 36,Compare,Sport,CT-7484-BIH,CT-7484-BIH,Member Trial,V2268969,Yes
13D53FD1-2EA,MAT-16848,LOT-45571743,20,LOT-45571743,In Progress,LY4794226,MRP-106,G3 Pilot,MAT-16848,Blue Patch,Comparator,Blue Patch,2025-09-04 10:20:15.234811,OP52,OP61,PCN-21044,PK-191171,Small,EU02,Adamshire Plant,345420653,Recipe 6,These,Learn,CT-8742-ECD,CT-8742-ECD,Compare Study,V5926430,Yes
354C0CEF-9FF,MAT-73628,LOT-10539218,67,LOT-10539218,Completed,LY5136202,MRP-138,G1 Clinical,MAT-73628,Health Solution,Ancillary Supply,Health Solution,2025-11-01 17:51:56.931178,OP50,OP73,PCN-88843,PK-181804,Admit,AP03,New Brianmouth Plant,310735806,Recipe 25,Some,Eye,CT-3230-HFO,CT-3230-HFO,Talk Trial,V1066550,Yes
48F49FFF-6F5,MAT-15875,LOT-61778837,79,LOT-61778837,Released,LY2068947,MRP-138,G1 Clinical,MAT-15875,Happy Solution,Ancillary Supply,Happy Solution,2025-11-12 11:44:25.352048,OP76,OP22,PCN-27489,PK-820321,Experience,US01,East Mary Plant,561625215,Recipe 23,Believe,Mention,CT-8742-ECD,CT-8742-ECD,Compare Study,V1909963,No
37399508-4AE,MAT-97442,LOT-68153288,237,LOT-75185716,Closed,LY9735910,MRP-101,G3 Pilot,MAT-97442,Common Patch,Comparator,Common Patch,2025-08-16 12:52:57.787679,OP51,OP67,PCN-83672,PK-618618,Television,EU02,Campbellfort Plant,118015685,Recipe 14,Investment,Economic,CT-2004-PSX,CT-2004-PSX,Home Trial,V5855496,No
9CBEBD35-414,MAT-86920,LOT-14354504,190,LOT-24616505,Created,LY4181902,MRP-105,G1 Clinical,MAT-86920,Various Solution,Investigational Product,Various Solution,2025-10-06 17:31:47.112774,OP71,OP92,PCN-40270,PK-570735,State,US01,East Amberfurt Plant,470454497,Recipe 27,Art,News,CT-8970-PLO,CT-8970-PLO,Skin Trial,V7821832,Yes
0559EAA9-2EA,MAT-22108,LOT-34198332,54,LOT-34166590,In Progress,LY7054835,MRP-102,G1 Clinical,MAT-22108,Win Injection,Comparator,Win Injection,2025-09-14 08:36:59.896001,OP15,OP13,PCN-90501,PK-210748,Speak,US01,Martinfort Plant,358800600,Recipe 21,Cost,Sister,CT-6910-RDE,CT-6910-RDE,Shake Study,V7157297,No
AAD7229E-CD6,MAT-47254,LOT-94846184,212,LOT-83111741,Created,LY2647164,MRP-136,G1 Clinical,MAT-47254,Article Tablet,Comparator,Article Tablet,2025-08-31 15:35:14.798971,OP61,OP53,PCN-11612,PK-841346,New,EU02,Taylorview Plant,361699615,Recipe 48,Seek,Whatever,CT-8742-ECD,CT-8742-ECD,Compare Study,V2611098,Yes
7ECBBF33-951,MAT-54383,LOT-27778437,98,LOT-27778437,Closed,LY2901726,MRP-108,G2 Commercial,MAT-54383,Agency Injection,Comparator,Agency Injection,2025-11-07 10:01:02.967384,OP81,OP49,PCN-71230,PK-602300,Quality,LAT04,East Brandihaven Plant,750332405,Recipe 32,Treatment,Improve,CT-3636-AVP,CT-3636-AVP,Wear Program,V7414834,No
F892BADA-B88,MAT-75647,LOT-11280930,177,LOT-28144033,In Progress,LY5808459,MRP-124,G3 Pilot,MAT-75647,Member Solution,Ancillary Supply,Member Solution,2025-10-22 15:00:29.968179,OP56,OP32,PCN-39621,PK-211332,Add,AP03,New Anthonyside Plant,456385456,Recipe 26,Say,Level,CT-6551-IBW,CT-6551-IBW,Camera Trial,V9686122,Yes
216A0628-CE4,MAT-74459,LOT-49095565,268,LOT-49095565,Closed,LY3180391,MRP-114,G1 Clinical,MAT-74459,Memory Solution,Investigational Product,Memory Solution,2025-09-24 05:24:34.736867,OP36,OP79,PCN-41509,PK-517092,Realize,AP03,South Toddland Plant,785917453,Recipe 25,Debate,However,CT-8015-GMQ,CT-8015-GMQ,Past Trial,V5206699,Yes
661396B5-BE2,MAT-22152,LOT-59019698,269,LOT-36766763,Released,LY4803523,MRP-129,G3 Pilot,MAT-22152,Culture Solution,Ancillary Supply,Culture Solution,2025-08-30 19:27:39.597818,OP49,OP94,PCN-86064,PK-488643,Question,LAT04,Jillburgh Plant,313789143,Recipe 39,Lead,Modern,CT-3472-PNG,CT-3472-PNG,Put Trial,V7175238,No
C1EDEFA4-014,MAT-54383,LOT-89567405,237,LOT-86551756,Completed,LY7566100,MRP-108,G2 Commercial,MAT-54383,Agency Injection,Comparator,Agency Injection,2025-10-31 18:15:51.754514,OP77,OP31,PCN-20493,PK-142855,Us,AP03,Zacharyfort Plant,187364187,Recipe 37,Talk,Everything,CT-3636-AVP,CT-3636-AVP,Wear Program,V9516734,Yes
6779AAB3-F3B,MAT-39627,LOT-27607761,149,LOT-35809899,Released,LY8838172,MRP-123,G1 Clinical,MAT-39627,Fund Tablet,Comparator,Fund Tablet,2025-08-26 12:20:08.984432,OP85,OP25,PCN-82396,PK-822634,Set,US01,North Brianton Plant,963958844,Recipe 50,Tree,Check,CT-5014-EEP,CT-5014-EEP,Attorney Study,V3622657,Yes
C39FF96A-D71,MAT-53554,LOT-27803441,182,LOT-27803441,Released,LY6383499,MRP-103,G2 Commercial,MAT-53554,They Capsule,Ancillary Supply,They Capsule,2025-09-08 08:35:30.661314,OP54,OP71,PCN-45371,PK-874192,Rather,US01,Normanland Plant,931123681,Recipe 15,Once,Door,CT-5014-EEP,CT-5014-EEP,Attorney Study,V5036210,Yes
23447E8F-F1B,MAT-75647,LOT-28144033,133,LOT-11280930,Created,LY8801578,MRP-124,G3 Pilot,MAT-75647,Member Solution,Ancillary Supply,Member Solution,2025-08-22 10:54:05.516169,OP43,OP64,PCN-98366,PK-766367,Memory,EU02,West Brittanyberg Plant,388416925,Recipe 12,Require,Own,CT-6551-IBW,CT-6551-IBW,Camera Trial,V8966964,No
D620F7F5-660,MAT-49508,LOT-28252003,263,LOT-28252003,Created,LY2227328,MRP-116,G1 Clinical,MAT-49508,Able Patch,Ancillary Supply,Able Patch,2025-10-18 19:16:58.004066,OP51,OP81,PCN-27477,PK-374609,Hear,AP03,Sarahmouth Plant,247230096,Recipe 13,Road,Against,CT-6592-IDY,CT-6592-IDY,Pay Study,V8180335,No
9D1D8DAF-160,MAT-79992,LOT-71401478,168,LOT-89806740,In Progress,LY5543216,MRP-115,G3 Pilot,MAT-79992,Anyone Tablet,Ancillary Supply,Anyone Tablet,2025-11-02 05:10:54.703671,OP33,OP91,PCN-16924,PK-717176,Learn,US01,New Jennyside Plant,736474474,Recipe 4,Another,Raise,CT-6551-IBW,CT-6551-IBW,Camera Trial,V7885963,No
CCD65B39-FFB,MAT-58266,LOT-38707248,36,LOT-38707248,Created,LY3569832,MRP-114,G1 Clinical,MAT-58266,Tree Injection,Ancillary Supply,Tree Injection,2025-09-23 13:13:05.751121,OP41,OP77,PCN-29609,PK-380939,Together,LAT04,New Ashley Plant,527986593,Recipe 42,Action,Rest,CT-3228-ZKT,CT-3228-ZKT,Both Program,V6025446,No
D9F20807-A58,MAT-78401,LOT-44491067,110,LOT-46656333,Created,LY5373779,MRP-103,G2 Commercial,MAT-78401,Expect Tablet,Ancillary Supply,Expect Tablet,2025-08-19 14:33:42.369989,OP34,OP74,PCN-55419,PK-890904,Measure,US01,Lake Brandyview Plant,651366908,Recipe 37,Quality,New,CT-1696-SCY,CT-1696-SCY,Miss Trial,V2917425,No
053A9347-DD8,MAT-46171,LOT-41301239,114,LOT-41301239,Completed,LY3350586,MRP-136,G1 Clinical,MAT-46171,Though Solution,Ancillary Supply,Though Solution,2025-09-12 11:12:36.452725,OP54,OP35,PCN-19081,PK-590740,Most,AP03,Patrickton Plant,305879696,Recipe 7,Course,Trip,CT-3636-AVP,CT-3636-AVP,Wear Program,V7341061,Yes
33A5606D-712,MAT-22108,LOT-34166590,254,LOT-34198332,Released,LY5659407,MRP-102,G3 Pilot,MAT-22108,Win Injection,Comparator,Win Injection,2025-08-24 00:27:22.909833,OP48,OP37,PCN-27271,PK-961150,Morning,LAT04,North Crystal Plant,333305152,Recipe 46,Just,Middle,CT-6910-RDE,CT-6910-RDE,Shake Study,V7715924,Yes
EC2064DF-354,MAT-22610,LOT-73505709,230,LOT-83383410,Released,LY5403222,MRP-108,G2 Commercial,MAT-22610,Us Solution,Ancillary Supply,Us Solution,2025-08-29 14:53:22.056828,OP97,OP99,PCN-22279,PK-685155,Live,US01,Hortonbury Plant,131891704,Recipe 6,Edge,Assume,CT-9771-CZL,CT-9771-CZL,Job Trial,V1756327,No
C061C212-E16,MAT-73628,LOT-32873081,291,LOT-32873081,In Progress,LY9938067,MRP-138,G1 Clinical,MAT-73628,Health Solution,Ancillary Supply,Health Solution,2025-09-12 07:53:52.519817,OP20,OP14,PCN-23767,PK-382667,Alone,AP03,Robertfort Plant,795856159,Recipe 40,Who,Skin,CT-3230-HFO,CT-3230-HFO,Talk Trial,V6512636,Yes
333F654A-085,MAT-59372,LOT-31152831,45,LOT-31152831,Closed,LY4436905,MRP-126,G1 Clinical,MAT-59372,Issue Patch,Ancillary Supply,Issue Patch,2025-10-02 13:36:11.090139,OP63,OP17,PCN-90943,PK-672778,Property,LAT04,Whiteshire Plant,363172406,Recipe 46,Kitchen,Continue,CT-7487-KNX,CT-7487-KNX,Recent Trial,V5455981,Yes
91976714-574,MAT-22108,LOT-34198332,235,LOT-34198332,Created,LY3145764,MRP-102,G3 Pilot,MAT-22108,Win Injection,Comparator,Win Injection,2025-09-20 03:49:01.708152,OP67,OP36,PCN-77449,PK-469808,Always,US01,Smithtown Plant,981261598,Recipe 8,Myself,Notice,CT-6910-RDE,CT-6910-RDE,Shake Study,V2891839,No
43A721B6-D4D,MAT-66331,LOT-60549611,248,LOT-60549611,Released,LY5726068,MRP-111,G2 Commercial,MAT-66331,Step Solution,Investigational Product,Step Solution,2025-10-17 18:24:59.093915,OP42,OP36,PCN-84367,PK-281552,Instead,AP03,Torresmouth Plant,383174574,Recipe 39,Receive,Company,CT-8872-GKR,CT-8872-GKR,Reality Program,V7964570,No
CDED8377-18B,MAT-45907,LOT-88008746,186,LOT-14377768,In Progress,LY4064120,MRP-115,G2 Commercial,MAT-45907,Speech Patch,Ancillary Supply,Speech Patch,2025-08-30 11:54:17.948236,OP82,OP97,PCN-56456,PK-507111,Up,EU02,Lake Carlburgh Plant,128022978,Recipe 31,Require,Professor,CT-3472-PNG,CT-3472-PNG,Put Trial,V1884782,Yes
E1DECF3D-AD6,MAT-18458,LOT-17450919,202,LOT-17450919,Closed,LY9722544,MRP-102,G1 Clinical,MAT-18458,Reason Tablet,Ancillary Supply,Reason Tablet,2025-10-26 20:05:54.070694,OP68,OP31,PCN-67012,PK-418983,Forget,EU02,Port Craig Plant,481586999,Recipe 5,Marriage,Couple,CT-7487-KNX,CT-7487-KNX,Recent Trial,V9997404,Yes
F5EA0FB0-86D,MAT-73628,LOT-32873081,148,LOT-32873081,Closed,LY9522592,MRP-138,G3 Pilot,MAT-73628,Health Solution,Ancillary Supply,Health Solution,2025-10-21 01:18:40.031120,OP90,OP35,PCN-40542,PK-676504,Song,US01,Anthonymouth Plant,483088589,Recipe 2,City,Big,CT-3230-HFO,CT-3230-HFO,Talk Trial,V4283612,No
A66ABC3D-ED8,MAT-49651,LOT-18410275,172,LOT-46257312,In Progress,LY7322964,MRP-112,G1 Clinical,MAT-49651,High Injection,Investigational Product,High Injection,2025-10-19 18:09:31.950391,OP29,OP57,PCN-88678,PK-567516,Around,AP03,Calhounbury Plant,754369390,Recipe 3,Laugh,Opportunity,CT-9831-IEW,CT-9831-IEW,Myself Program,V3389912,Yes
95696318-323,MAT-61362,LOT-82054650,123,LOT-63418468,Created,LY4075779,MRP-134,G3 Pilot,MAT-61362,Better Tablet,Ancillary Supply,Better Tablet,2025-10-28 14:35:33.088179,OP51,OP17,PCN-80520,PK-639660,Amount,LAT04,Vegaburgh Plant,349326008,Recipe 7,Share,Company,CT-3228-ZKT,CT-3228-ZKT,Both Program,V8316628,No
A7AEB7DC-2CF,MAT-53554,LOT-27803441,208,LOT-29384973,In Progress,LY8960368,MRP-103,G2 Commercial,MAT-53554,They Capsule,Ancillary Supply,They Capsule,2025-08-27 21:52:37.524555,OP65,OP35,PCN-79677,PK-167177,Fact,LAT04,Lake Craig Plant,511851754,Recipe 26,Point,Take,CT-5014-EEP,CT-5014-EEP,Attorney Study,V9053021,No
D4D67F91-29D,MAT-16078,LOT-82476241,98,LOT-82476241,Released,LY7996053,MRP-139,G3 Pilot,MAT-16078,Stock Patch,Comparator,Stock Patch,2025-08-23 08:16:47.309270,OP98,OP90,PCN-79505,PK-289408,Feeling,LAT04,East Melissa Plant,633637288,Recipe 47,Drive,Democrat,CT-9831-IEW,CT-9831-IEW,Myself Program,V1656619,No
06816510-E5D,MAT-84265,LOT-43759862,98,LOT-43759862,Closed,LY1266319,MRP-137,G1 Clinical,MAT-84265,Help Solution,Ancillary Supply,Help Solution,2025-09-28 16:19:32.808831,OP67,OP69,PCN-98594,PK-848976,Represent,AP03,South Chelsea Plant,918858163,Recipe 43,Participant,No,CT-8970-PLO,CT-8970-PLO,Skin Trial,V6530353,Yes
1466B603-499,MAT-91309,LOT-92879466,229,LOT-23670572,Released,LY6470950,MRP-118,G2 Commercial,MAT-91309,Simply Injection,Comparator,Simply Injection,2025-08-19 04:21:56.986835,OP51,OP76,PCN-62138,PK-120333,Leg,LAT04,Cruzland Plant,543779363,Recipe 37,Piece,Probably,CT-8015-GMQ,CT-8015-GMQ,Past Trial,V6872142,No
092A544D-1B7,MAT-98864,LOT-27880910,282,LOT-37532398,Completed,LY3568692,MRP-119,G2 Commercial,MAT-98864,Positive Injection,Ancillary Supply,Positive Injection,2025-10-25 07:26:30.501419,OP20,OP96,PCN-16741,PK-861810,Fire,US01,East Joshua Plant,825433373,Recipe 50,Mrs,City,CT-9781-BYC,CT-9781-BYC,None Trial,V6309782,No
D991D9F7-CFE,MAT-56157,LOT-25529234,206,LOT-70758392,Released,LY4411735,MRP-116,G1 Clinical,MAT-56157,Contain Solution,Comparator,Contain Solution,2025-09-29 19:16:21.985813,OP32,OP18,PCN-49414,PK-539844,Policy,EU02,Michelleberg Plant,964980314,Recipe 46,Matter,Travel,CT-7487-KNX,CT-7487-KNX,Recent Trial,V5078112,No
79E2FD5B-55E,MAT-47140,LOT-71950782,37,LOT-97576608,Created,LY6280746,MRP-111,G1 Clinical,MAT-47140,Side Capsule,Comparator,Side Capsule,2025-09-01 12:04:40.401884,OP91,OP40,PCN-35393,PK-909738,Move,US01,West Johnborough Plant,596987491,Recipe 6,Ball,Second,CT-8742-ECD,CT-8742-ECD,Compare Study,V8632628,Yes
B8C67610-950,MAT-22610,LOT-16473868,259,LOT-83383410,Released,LY1165054,MRP-108,G3 Pilot,MAT-22610,Us Solution,Ancillary Supply,Us Solution,2025-09-25 20:02:03.664007,OP47,OP77,PCN-65189,PK-298291,Paper,AP03,North Jack Plant,594672934,Recipe 45,Ground,Approach,CT-9771-CZL,CT-9771-CZL,Job Trial,V5669218,No
9E01693A-016,MAT-84153,LOT-89268420,250,LOT-89268420,Completed,LY5098310,MRP-118,G2 Commercial,MAT-84153,Floor Patch,Comparator,Floor Patch,2025-11-13 09:07:47.540110,OP48,OP44,PCN-51373,PK-199136,If,EU02,Brownton Plant,553917782,Recipe 48,List,Stuff,CT-3472-PNG,CT-3472-PNG,Put Trial,V9861817,No
6C1C5C9C-E11,MAT-81584,LOT-26730959,21,LOT-26730959,Closed,LY9431912,MRP-136,G2 Commercial,MAT-81584,Set Solution,Comparator,Set Solution,2025-11-03 09:01:29.640522,OP26,OP66,PCN-84777,PK-248971,Decision,LAT04,East Carrieview Plant,537002159,Recipe 49,Attorney,World,CT-5806-JWO,CT-5806-JWO,Improve Trial,V1448002,Yes
43F442CA-654,MAT-59372,LOT-99304671,291,LOT-31152831,Closed,LY7811742,MRP-126,G3 Pilot,MAT-59372,Issue Patch,Ancillary Supply,Issue Patch,2025-09-26 21:05:10.267038,OP98,OP73,PCN-70645,PK-639310,House,EU02,Port Stacey Plant,320128113,Recipe 3,Rock,Much,CT-7487-KNX,CT-7487-KNX,Recent Trial,V3834160,No
19165D8C-A56,MAT-81584,LOT-89350866,119,LOT-26730959,Created,LY4694640,MRP-136,G3 Pilot,MAT-81584,Set Solution,Comparator,Set Solution,2025-10-15 23:48:12.259227,OP46,OP51,PCN-61721,PK-532779,Southern,EU02,Hernandezville Plant,409794245,Recipe 48,Thing,Scene,CT-5806-JWO,CT-5806-JWO,Improve Trial,V4307642,No
84747643-3B7,MAT-39627,LOT-35809899,27,LOT-35809899,Created,LY4840901,MRP-123,G3 Pilot,MAT-39627,Fund Tablet,Comparator,Fund Tablet,2025-10-01 13:33:42.901217,OP96,OP76,PCN-62087,PK-941021,Water,LAT04,Smithview Plant,632932445,Recipe 11,Four,Sit,CT-5014-EEP,CT-5014-EEP,Attorney Study,V4649877,No
1237E7EE-E08,MAT-53554,LOT-29384973,30,LOT-27803441,Created,LY2810416,MRP-103,G1 Clinical,MAT-53554,They Capsule,Ancillary Supply,They Capsule,2025-10-10 00:01:42.193347,OP65,OP83,PCN-83052,PK-171063,Miss,LAT04,Allisonview Plant,774891165,Recipe 15,Collection,Note,CT-5014-EEP,CT-5014-EEP,Attorney Study,V2268856,Yes
423FCCAC-9C3,MAT-40706,LOT-62442527,38,LOT-62442527,Released,LY7022547,MRP-103,G1 Clinical,MAT-40706,Keep Capsule,Investigational Product,Keep Capsule,2025-09-08 01:13:25.716025,OP71,OP52,PCN-32514,PK-229940,Hear,US01,Smithside Plant,174436379,Recipe 15,Recent,Long,CT-3395-UCM,CT-3395-UCM,Majority Trial,V6314632,No
9313CC9E-3F2,MAT-47986,LOT-12068529,61,LOT-12068529,Closed,LY6049848,MRP-130,G2 Commercial,MAT-47986,Experience Tablet,Investigational Product,Experience Tablet,2025-11-05 16:47:38.775984,OP19,OP34,PCN-18759,PK-875649,Career,AP03,Davidsonside Plant,921106076,Recipe 12,Look,Near,CT-4229-AWU,CT-4229-AWU,Front Study,V1675553,No
6EDC0958-393,MAT-18097,LOT-70117079,189,LOT-66613397,Released,LY7487286,MRP-114,G3 Pilot,MAT-18097,Enter Capsule,Investigational Product,Enter Capsule,2025-11-08 03:42:01.624942,OP47,OP54,PCN-76808,PK-999798,Mind,AP03,Ramireztown Plant,889357079,Recipe 43,Future,Every,CT-7047-GQC,CT-7047-GQC,Season Trial,V8561939,No
3927BB78-AC5,MAT-49508,LOT-66123852,233,LOT-69596629,In Progress,LY9819439,MRP-116,G2 Commercial,MAT-49508,Able Patch,Ancillary Supply,Able Patch,2025-10-01 06:53:55.835608,OP40,OP49,PCN-62608,PK-808659,Wish,AP03,North Duane Plant,104393811,Recipe 14,Everyone,Suffer,CT-6592-IDY,CT-6592-IDY,Pay Study,V3155750,No
71D8D50F-7AE,MAT-33775,LOT-99664516,195,LOT-26376337,Closed,LY1546492,MRP-113,G1 Clinical,MAT-33775,Something Patch,Ancillary Supply,Something Patch,2025-09-29 06:22:22.435809,OP94,OP41,PCN-26037,PK-114923,Executive,AP03,Racheltown Plant,257480426,Recipe 28,Agreement,Light,CT-9831-IEW,CT-9831-IEW,Myself Program,V4455336,No
