title,material_name,material_description,ly_id,ly_number,status,approved_dates,version_id
Current Compound Specification,Commercial Tablet,Commercial Tablet,LY2350364,LY2350364,Draft,2024-12-30,v2.0
Bring Compound Specification,Tree Injection,Tree Injection,LY4093498,LY4093498,Approved,2025-02-04,v4.0
Marriage Compound Specification,Toward Injection,Toward Injection,LY9398155,LY9398155,Draft,2024-10-20,v5.0
Like Compound Specification,South Capsule,South Capsule,LY7651025,LY7651025,Draft,2025-09-25,v4.0
Impact Compound Specification,Win Injection,Win Injection,LY9970219,LY9970219,Draft,2024-11-09,v2.0
Power Compound Specification,Dog Patch,Dog Patch,LY4905964,LY4905964,Draft,2025-06-17,v4.0
Side Compound Specification,Blue Patch,Blue Patch,LY6761981,LY6761981,Approved,2025-09-02,v4.0
Thought Compound Specification,Article Tablet,Article Tablet,LY9531401,LY9531401,Obsolete,2025-08-17,v3.0
Thing Compound Specification,Happy Solution,Happy Solution,LY2855442,LY2855442,Approved,2024-11-02,v3.0
Character Compound Specification,Side Capsule,Side Capsule,LY4061921,LY4061921,Obsolete,2024-12-21,v5.0
That Compound Specification,Impact Patch,Impact Patch,LY9116017,LY9116017,Obsolete,2025-01-19,v3.0
Check Compound Specification,Enter Capsule,Enter Capsule,LY6077319,LY6077319,Approved,2025-04-14,v2.0
Interesting Compound Specification,Beyond Solution,Beyond Solution,LY9872422,LY9872422,Approved,2025-07-22,v5.0
Arrive Compound Specification,Effort Capsule,Effort Capsule,LY1085477,LY1085477,Approved,2024-12-13,v4.0
Help Compound Specification,New Solution,New Solution,LY3365610,LY3365610,Obsolete,2025-03-03,v2.0
Reduce Compound Specification,Should Tablet,Should Tablet,LY1669382,LY1669382,Draft,2025-04-03,v5.0
Share Compound Specification,Run Solution,Run Solution,LY4618185,LY4618185,Draft,2024-11-05,v3.0
Side Compound Specification,Receive Patch,Receive Patch,LY2914273,LY2914273,Obsolete,2024-11-24,v1.0
Interest Compound Specification,Something Patch,Something Patch,LY8962269,LY8962269,Obsolete,2025-04-22,v5.0
Fill Compound Specification,Stock Patch,Stock Patch,LY4628254,LY4628254,Obsolete,2024-11-13,v3.0
Number Compound Specification,High Injection,High Injection,LY6792697,LY6792697,Approved,2024-12-19,v5.0
Field Compound Specification,Continue Capsule,Continue Capsule,LY6553736,LY6553736,Draft,2025-10-11,v1.0
Trouble Compound Specification,Keep Capsule,Keep Capsule,LY5611793,LY5611793,Draft,2025-04-26,v4.0
Candidate Compound Specification,Reduce Solution,Reduce Solution,LY9994891,LY9994891,Approved,2025-08-15,v2.0
Through Compound Specification,Pull Patch,Pull Patch,LY2727813,LY2727813,Obsolete,2024-10-27,v4.0
Particularly Compound Specification,Experience Tablet,Experience Tablet,LY2566514,LY2566514,Draft,2025-04-24,v4.0
Together Compound Specification,Indicate Patch,Indicate Patch,LY1497009,LY1497009,Draft,2025-07-20,v1.0
Black Compound Specification,Light Tablet,Light Tablet,LY9660119,LY9660119,Approved,2025-10-06,v1.0
Look Compound Specification,Us Solution,Us Solution,LY5142712,LY5142712,Approved,2024-12-17,v1.0
Behavior Compound Specification,Player Solution,Player Solution,LY1748659,LY1748659,Obsolete,2025-06-07,v3.0
Take Compound Specification,Fund Tablet,Fund Tablet,LY9160574,LY9160574,Draft,2025-01-22,v3.0
Eight Compound Specification,They Capsule,They Capsule,LY5745242,LY5745242,Draft,2025-05-06,v1.0
Understand Compound Specification,Though Solution,Though Solution,LY7053594,LY7053594,Obsolete,2025-07-07,v2.0
Company Compound Specification,Agency Injection,Agency Injection,LY9101680,LY9101680,Draft,2024-11-05,v2.0
Change Compound Specification,Hundred Solution,Hundred Solution,LY4897858,LY4897858,Approved,2025-04-30,v1.0
Stage Compound Specification,Oil Tablet,Oil Tablet,LY7575118,LY7575118,Obsolete,2024-10-20,v2.0
Southern Compound Specification,Great Patch,Great Patch,LY3683980,LY3683980,Approved,2025-05-04,v3.0
Occur Compound Specification,Reason Tablet,Reason Tablet,LY2362004,LY2362004,Draft,2025-05-31,v4.0
Sense Compound Specification,Contain Solution,Contain Solution,LY3142197,LY3142197,Approved,2025-05-24,v4.0
The Compound Specification,Issue Patch,Issue Patch,LY5062781,LY5062781,Obsolete,2025-02-17,v5.0
There Compound Specification,Health Solution,Health Solution,LY3486432,LY3486432,Draft,2025-03-09,v1.0
Similar Compound Specification,Treat Tablet,Treat Tablet,LY9637501,LY9637501,Obsolete,2025-07-27,v4.0
Wide Compound Specification,Free Solution,Free Solution,LY2659557,LY2659557,Obsolete,2025-05-07,v1.0
Their Compound Specification,Member Solution,Member Solution,LY6418552,LY6418552,Draft,2025-01-11,v4.0
Question Compound Specification,Anyone Tablet,Anyone Tablet,LY5679059,LY5679059,Draft,2025-03-14,v4.0
Factor Compound Specification,Cell Tablet,Cell Tablet,LY1789589,LY1789589,Obsolete,2025-10-08,v4.0
Beautiful Compound Specification,Culture Solution,Culture Solution,LY6843604,LY6843604,Obsolete,2025-09-02,v3.0
Great Compound Specification,Speech Patch,Speech Patch,LY1576791,LY1576791,Approved,2025-05-08,v3.0
Around Compound Specification,Floor Patch,Floor Patch,LY1763253,LY1763253,Approved,2025-04-28,v2.0
Artist Compound Specification,Trouble Capsule,Trouble Capsule,LY8751831,LY8751831,Approved,2024-12-23,v1.0
Long Compound Specification,Positive Injection,Positive Injection,LY3803094,LY3803094,Draft,2025-04-23,v3.0
Both Compound Specification,That Solution,That Solution,LY7448228,LY7448228,Approved,2025-10-02,v2.0
Interesting Compound Specification,Compare Tablet,Compare Tablet,LY4635917,LY4635917,Draft,2025-04-16,v4.0
