Client,Countries,Created On,CT-Compound,CT-Label Group,CT-Pack Type,CT-PCN Group,Date of Last Change,Material Number,Name of Person Who Changed Object,Time of Creation,Trial Alias
Jones PLC,Sudan,2024-09-04,Necessary Compound,LOC,Carton,Custom,2025-09-03,MAT-30703,Susan Shea,01:36:08,CT-3228-ZKT
Jones PLC,Thailand,2025-05-13,Necessary Compound,LOC,Carton,Standard,2025-09-11,MAT-30703,Nancy Ramirez,22:26:42,CT-3228-ZKT
Jones PLC,Comoros,2025-01-27,Necessary Compound,ENG,Carton,Standard,2025-08-13,MAT-30703,Charles Nichols,10:45:25,CT-3228-ZKT
Jones PLC,South Georgia and the South Sandwich Islands,2024-07-03,Necessary Compound,ENG,Carton,Standard,2025-10-22,MAT-30703,Melinda Gonzales,23:07:17,CT-3228-ZKT
Jones PLC,Sudan,2024-06-26,Food Compound,MUL,Kit,Custom,2025-06-16,MAT-61362,Michael Martin,02:49:24,CT-3228-ZKT
Jones PLC,Thailand,2024-03-13,Food Compound,ENG,Kit,Standard,2025-06-04,MAT-61362,Alexis Powell,14:43:40,CT-3228-ZKT
Jones PLC,Comoros,2025-01-13,Food Compound,MUL,Kit,Custom,2025-11-03,MAT-61362,Ethan Martin,23:41:05,CT-3228-ZKT
Jones PLC,South Georgia and the South Sandwich Islands,2024-05-12,Food Compound,ENG,Kit,Standard,2025-07-01,MAT-61362,Joseph Williams,21:41:35,CT-3228-ZKT
Jones PLC,Sudan,2025-02-27,Current Compound,MUL,Kit,Standard,2025-08-27,MAT-18409,Melissa Hernandez,18:03:53,CT-3228-ZKT
Jones PLC,Thailand,2024-02-25,Current Compound,LOC,Kit,Standard,2025-07-11,MAT-18409,Peggy Reyes,00:20:05,CT-3228-ZKT
Jones PLC,Comoros,2024-11-21,Current Compound,MUL,Kit,Standard,2025-08-09,MAT-18409,Troy Davis,13:02:39,CT-3228-ZKT
Jones PLC,South Georgia and the South Sandwich Islands,2024-09-11,Current Compound,LOC,Kit,Custom,2025-07-30,MAT-18409,Cassandra Reid,18:02:02,CT-3228-ZKT
Jones PLC,Sudan,2024-10-31,Bring Compound,ENG,Bottle,Standard,2025-08-25,MAT-58266,Laurie Smith,20:14:24,CT-3228-ZKT
Jones PLC,Thailand,2024-09-05,Bring Compound,MUL,Bottle,Custom,2025-08-05,MAT-58266,Stacey Rodriguez MD,14:00:11,CT-3228-ZKT
Jones PLC,Comoros,2024-02-16,Bring Compound,ENG,Bottle,Standard,2025-08-03,MAT-58266,Melissa Dudley,23:12:01,CT-3228-ZKT
Jones PLC,South Georgia and the South Sandwich Islands,2025-05-15,Bring Compound,LOC,Bottle,Standard,2025-06-24,MAT-58266,Chad Hernandez,20:21:38,CT-3228-ZKT
Carlson-Marsh,Pakistan,2023-11-26,Marriage Compound,LOC,Blister,Custom,2025-09-15,MAT-23465,Joshua Edwards,23:40:27,CT-6910-RDE
Carlson-Marsh,Hungary,2025-01-25,Marriage Compound,LOC,Blister,Custom,2025-09-02,MAT-23465,Curtis Washington,22:13:27,CT-6910-RDE
Carlson-Marsh,Russian Federation,2024-01-19,Marriage Compound,MUL,Blister,Standard,2025-08-20,MAT-23465,Carolyn Rodriguez,16:20:12,CT-6910-RDE
Carlson-Marsh,Pakistan,2023-12-08,Like Compound,ENG,Bottle,Custom,2025-06-28,MAT-33689,Kelly Thompson,04:13:56,CT-6910-RDE
Carlson-Marsh,Hungary,2024-05-02,Like Compound,ENG,Bottle,Custom,2025-10-20,MAT-33689,Bradley Ward,01:07:33,CT-6910-RDE
Carlson-Marsh,Russian Federation,2025-05-11,Like Compound,LOC,Bottle,Custom,2025-07-29,MAT-33689,Cameron Ramsey,19:22:09,CT-6910-RDE
Carlson-Marsh,Pakistan,2024-09-18,Impact Compound,ENG,Kit,Standard,2025-05-25,MAT-22108,Greg Duffy,01:15:57,CT-6910-RDE
Carlson-Marsh,Hungary,2024-04-03,Impact Compound,MUL,Kit,Custom,2025-06-11,MAT-22108,Barbara Cole,23:04:47,CT-6910-RDE
Carlson-Marsh,Russian Federation,2025-05-12,Impact Compound,MUL,Kit,Custom,2025-09-27,MAT-22108,Stacey Sloan,21:41:37,CT-6910-RDE
Carlson-Marsh,Pakistan,2024-08-04,Power Compound,ENG,Carton,Standard,2025-06-03,MAT-93657,Adam Massey,18:00:19,CT-6910-RDE
Carlson-Marsh,Hungary,2024-12-17,Power Compound,MUL,Carton,Standard,2025-09-23,MAT-93657,Luis Obrien,08:37:52,CT-6910-RDE
Carlson-Marsh,Russian Federation,2024-11-26,Power Compound,MUL,Carton,Standard,2025-09-07,MAT-93657,Perry Parsons,19:29:53,CT-6910-RDE
"Davidson, Allen and Fields",Korea,2024-11-17,Side Compound,MUL,Blister,Standard,2025-07-10,MAT-16848,Christopher Rice,09:53:49,CT-8742-ECD
"Davidson, Allen and Fields",Nauru,2025-02-27,Side Compound,MUL,Blister,Standard,2025-07-11,MAT-16848,Kathryn Rojas,20:54:31,CT-8742-ECD
"Davidson, Allen and Fields",San Marino,2025-02-10,Side Compound,ENG,Blister,Custom,2025-08-30,MAT-16848,Catherine Howard,01:20:10,CT-8742-ECD
"Davidson, Allen and Fields",Korea,2023-12-22,Thought Compound,LOC,Bottle,Standard,2025-08-05,MAT-47254,Ryan Baker III,04:38:51,CT-8742-ECD
"Davidson, Allen and Fields",Nauru,2024-05-03,Thought Compound,MUL,Bottle,Standard,2025-07-26,MAT-47254,Eric Clements,16:09:32,CT-8742-ECD
"Davidson, Allen and Fields",San Marino,2025-02-09,Thought Compound,ENG,Bottle,Standard,2025-08-05,MAT-47254,Scott Marsh,12:54:26,CT-8742-ECD
"Davidson, Allen and Fields",Korea,2025-03-15,Thing Compound,LOC,Bottle,Custom,2025-08-05,MAT-15875,Kelsey Allen,15:43:56,CT-8742-ECD
"Davidson, Allen and Fields",Nauru,2025-05-01,Thing Compound,LOC,Bottle,Standard,2025-09-20,MAT-15875,Jerry Saunders,01:26:51,CT-8742-ECD
"Davidson, Allen and Fields",San Marino,2023-12-13,Thing Compound,ENG,Bottle,Custom,2025-11-02,MAT-15875,Daisy Hernandez,04:00:09,CT-8742-ECD
"Davidson, Allen and Fields",Korea,2024-06-21,Character Compound,MUL,Bottle,Standard,2025-10-28,MAT-47140,Lori Singh,07:09:42,CT-8742-ECD
"Davidson, Allen and Fields",Nauru,2024-09-07,Character Compound,LOC,Bottle,Standard,2025-10-15,MAT-47140,Elizabeth Jones,21:56:43,CT-8742-ECD
"Davidson, Allen and Fields",San Marino,2025-03-28,Character Compound,ENG,Bottle,Standard,2025-09-06,MAT-47140,Connie Miller,04:41:14,CT-8742-ECD
"Wheeler, Richardson and Crawford",Japan,2025-03-23,That Compound,MUL,Carton,Custom,2025-10-30,MAT-58634,Connie Willis,18:47:17,CT-7047-GQC
"Wheeler, Richardson and Crawford",India,2023-12-21,That Compound,LOC,Carton,Standard,2025-10-13,MAT-58634,Allison Barker,12:20:21,CT-7047-GQC
"Wheeler, Richardson and Crawford",Tunisia,2024-05-24,That Compound,LOC,Carton,Standard,2025-10-30,MAT-58634,Amy Hull MD,21:31:38,CT-7047-GQC
"Wheeler, Richardson and Crawford",Indonesia,2023-11-27,That Compound,ENG,Carton,Standard,2025-08-09,MAT-58634,Julia Graves,23:53:23,CT-7047-GQC
"Wheeler, Richardson and Crawford",Czech Republic,2025-03-17,That Compound,ENG,Carton,Standard,2025-07-22,MAT-58634,Anthony Davis,02:13:27,CT-7047-GQC
"Wheeler, Richardson and Crawford",Japan,2024-03-02,Check Compound,MUL,Carton,Standard,2025-09-20,MAT-18097,Alicia Jenkins,01:39:56,CT-7047-GQC
"Wheeler, Richardson and Crawford",India,2024-05-24,Check Compound,LOC,Carton,Custom,2025-07-16,MAT-18097,Cynthia Little,22:42:50,CT-7047-GQC
"Wheeler, Richardson and Crawford",Tunisia,2025-04-30,Check Compound,LOC,Carton,Standard,2025-06-01,MAT-18097,Erica Braun,13:57:58,CT-7047-GQC
"Wheeler, Richardson and Crawford",Indonesia,2024-02-27,Check Compound,ENG,Carton,Custom,2025-06-16,MAT-18097,Matthew Salazar,18:32:48,CT-7047-GQC
"Wheeler, Richardson and Crawford",Czech Republic,2024-12-20,Check Compound,ENG,Carton,Standard,2025-10-24,MAT-18097,Katherine Owen,09:22:01,CT-7047-GQC
"Wheeler, Richardson and Crawford",Japan,2024-04-06,Interesting Compound,ENG,Kit,Custom,2025-10-28,MAT-92337,Dominique Brooks,18:49:28,CT-7047-GQC
"Wheeler, Richardson and Crawford",India,2023-12-31,Interesting Compound,ENG,Kit,Custom,2025-05-30,MAT-92337,Kathy Gray,03:52:59,CT-7047-GQC
"Wheeler, Richardson and Crawford",Tunisia,2023-12-26,Interesting Compound,MUL,Kit,Custom,2025-10-14,MAT-92337,Sarah Stanley,10:09:03,CT-7047-GQC
"Wheeler, Richardson and Crawford",Indonesia,2024-01-22,Interesting Compound,ENG,Kit,Standard,2025-06-05,MAT-92337,Connie Mcclure,06:56:37,CT-7047-GQC
"Wheeler, Richardson and Crawford",Czech Republic,2025-01-08,Interesting Compound,MUL,Kit,Standard,2025-09-08,MAT-92337,Kevin Perry,04:37:08,CT-7047-GQC
Sanchez-Hamilton,United States of America,2025-02-22,Arrive Compound,LOC,Bottle,Custom,2025-07-23,MAT-37872,Joseph Collins,15:39:58,CT-1816-RCG
Sanchez-Hamilton,Barbados,2024-02-19,Arrive Compound,LOC,Bottle,Standard,2025-09-28,MAT-37872,Tracy Phillips,20:02:06,CT-1816-RCG
Sanchez-Hamilton,United States of America,2025-02-22,Help Compound,MUL,Bottle,Standard,2025-07-28,MAT-55297,Jeremy Grant,10:19:43,CT-1816-RCG
Sanchez-Hamilton,Barbados,2024-05-01,Help Compound,MUL,Bottle,Standard,2025-05-31,MAT-55297,Grace Alvarez,02:29:09,CT-1816-RCG
"Brown, Miller and Torres",Guam,2025-04-13,Reduce Compound,MUL,Blister,Standard,2025-10-07,MAT-14039,Christopher Williams,21:27:32,CT-6109-EDZ
"Brown, Miller and Torres",Latvia,2024-05-26,Reduce Compound,LOC,Blister,Custom,2025-10-24,MAT-14039,Oscar Diaz,13:05:24,CT-6109-EDZ
"Brown, Miller and Torres",Belize,2025-01-16,Reduce Compound,MUL,Blister,Custom,2025-06-15,MAT-14039,Leonard Brown,00:03:07,CT-6109-EDZ
"Brown, Miller and Torres",Seychelles,2024-02-28,Reduce Compound,MUL,Blister,Custom,2025-10-30,MAT-14039,Paul Rich,18:06:17,CT-6109-EDZ
"Brown, Miller and Torres",Ecuador,2023-11-24,Reduce Compound,MUL,Blister,Standard,2025-08-17,MAT-14039,Cole Johnson,22:35:00,CT-6109-EDZ
"Brown, Miller and Torres",Cambodia,2024-12-29,Reduce Compound,ENG,Blister,Standard,2025-06-22,MAT-14039,Michael Logan,01:59:59,CT-6109-EDZ
"Brown, Miller and Torres",Guam,2024-08-01,Share Compound,MUL,Blister,Custom,2025-06-12,MAT-86168,Jessica Scott,15:40:59,CT-6109-EDZ
"Brown, Miller and Torres",Latvia,2024-10-12,Share Compound,MUL,Blister,Custom,2025-07-28,MAT-86168,Brittany Williams,19:54:41,CT-6109-EDZ
"Brown, Miller and Torres",Belize,2024-09-28,Share Compound,MUL,Blister,Custom,2025-07-25,MAT-86168,Brenda Rodriguez,10:22:34,CT-6109-EDZ
"Brown, Miller and Torres",Seychelles,2025-01-03,Share Compound,LOC,Blister,Standard,2025-07-24,MAT-86168,Hailey Fuentes,16:23:07,CT-6109-EDZ
"Brown, Miller and Torres",Ecuador,2024-06-18,Share Compound,LOC,Blister,Standard,2025-07-11,MAT-86168,Brandon Smith,01:49:01,CT-6109-EDZ
"Brown, Miller and Torres",Cambodia,2024-03-29,Share Compound,ENG,Blister,Custom,2025-09-25,MAT-86168,Chad Craig,13:22:46,CT-6109-EDZ
"Stout, Walker and Bishop",Azerbaijan,2024-02-10,Side Compound,ENG,Blister,Standard,2025-05-23,MAT-16627,Alicia Hoffman,11:19:53,CT-9831-IEW
"Stout, Walker and Bishop",Jersey,2024-05-06,Side Compound,ENG,Blister,Custom,2025-10-11,MAT-16627,Mr. William Wells,10:24:46,CT-9831-IEW
"Stout, Walker and Bishop",Tanzania,2023-11-16,Side Compound,LOC,Blister,Standard,2025-05-22,MAT-16627,Kathy King DDS,14:43:12,CT-9831-IEW
"Stout, Walker and Bishop",Wallis and Futuna,2023-12-26,Side Compound,ENG,Blister,Custom,2025-10-02,MAT-16627,Nathaniel Hodges,23:40:15,CT-9831-IEW
"Stout, Walker and Bishop",Pitcairn Islands,2024-10-10,Side Compound,ENG,Blister,Standard,2025-08-26,MAT-16627,Janice Ferguson,05:25:58,CT-9831-IEW
"Stout, Walker and Bishop",Turkey,2024-02-08,Side Compound,MUL,Blister,Custom,2025-10-17,MAT-16627,Shane Pierce,06:09:27,CT-9831-IEW
"Stout, Walker and Bishop",Azerbaijan,2024-03-06,Interest Compound,MUL,Kit,Custom,2025-09-13,MAT-33775,Allison Johnson,21:11:48,CT-9831-IEW
"Stout, Walker and Bishop",Jersey,2024-10-20,Interest Compound,LOC,Kit,Custom,2025-08-28,MAT-33775,Tiffany Smith,00:43:17,CT-9831-IEW
"Stout, Walker and Bishop",Tanzania,2025-03-14,Interest Compound,LOC,Kit,Custom,2025-06-21,MAT-33775,Yesenia Clark,19:12:45,CT-9831-IEW
"Stout, Walker and Bishop",Wallis and Futuna,2025-03-09,Interest Compound,MUL,Kit,Standard,2025-05-25,MAT-33775,Lisa Grant,19:48:42,CT-9831-IEW
"Stout, Walker and Bishop",Pitcairn Islands,2023-11-18,Interest Compound,LOC,Kit,Custom,2025-11-06,MAT-33775,Ricardo Mack,04:57:49,CT-9831-IEW
"Stout, Walker and Bishop",Turkey,2025-01-10,Interest Compound,LOC,Kit,Custom,2025-06-14,MAT-33775,Angela Smith,04:42:29,CT-9831-IEW
"Stout, Walker and Bishop",Azerbaijan,2024-12-05,Fill Compound,MUL,Blister,Standard,2025-07-13,MAT-16078,Corey Johnson,11:17:02,CT-9831-IEW
"Stout, Walker and Bishop",Jersey,2023-12-18,Fill Compound,LOC,Blister,Custom,2025-07-23,MAT-16078,Timothy Garner,09:45:01,CT-9831-IEW
"Stout, Walker and Bishop",Tanzania,2024-04-23,Fill Compound,LOC,Blister,Custom,2025-08-19,MAT-16078,Justin Lowe,17:50:54,CT-9831-IEW
