trial_alias,site_id,order_number,ivrs_number,status,order_date,requested_delivery_date,actual_delivery_date
CT-8015-GMQ,SITE-131,1466B603-499,IVRS-2286679,Released,2024-12-02,2024-12-24,2024-12-23
CT-9781-BYC,SITE-311,092A544D-1B7,IVRS-7194096,Completed,2025-03-07,2025-03-23,2025-03-24
CT-7487-KNX,SITE-272,D991D9F7-CFE,IVRS-2346507,Released,2025-07-18,2025-08-11,2025-08-10
CT-8742-ECD,SITE-176,79E2FD5B-55E,IVRS-4406243,Created,2025-10-18,2025-10-26,2025-10-23
CT-9771-CZL,SITE-235,B8C67610-950,IVRS-8632398,Released,2025-06-16,2025-07-11,2025-07-12
CT-3472-PNG,SITE-303,9E01693A-016,IVRS-7542446,Completed,2025-07-24,2025-08-12,2025-08-11
CT-5806-JWO,SITE-121,6C1C5C9C-E11,IVRS-7483794,Closed,2025-08-04,2025-08-22,2025-08-19
CT-7487-KNX,SITE-274,43F442CA-654,IVRS-3366913,Closed,2025-01-29,2025-02-05,2025-02-02
CT-5806-JWO,SITE-128,19165D8C-A56,IVRS-1128881,Created,2025-01-15,2025-02-07,2025-02-08
CT-5014-EEP,SITE-248,84747643-3B7,IVRS-3165738,Created,2025-09-17,2025-10-03,2025-10-07
CT-5014-EEP,SITE-244,1237E7EE-E08,IVRS-5019637,Created,2025-03-26,2025-04-14,2025-04-12
CT-3395-UCM,SITE-215,423FCCAC-9C3,IVRS-6416615,Released,2024-12-08,2024-12-16,2024-12-20
CT-4229-AWU,SITE-223,9313CC9E-3F2,IVRS-5289112,Closed,2024-12-15,2025-01-04,2025-01-06
CT-7047-GQC,SITE-180,6EDC0958-393,IVRS-4428472,Released,2025-01-28,2025-02-14,2025-02-13
CT-6592-IDY,SITE-110,3927BB78-AC5,IVRS-7032577,In Progress,2025-03-22,2025-04-03,2025-04-01
CT-9831-IEW,SITE-209,71D8D50F-7AE,IVRS-5646710,Closed,2025-06-28,2025-07-19,2025-07-24
CT-3230-HFO,SITE-290,16279966-43F,IVRS-7065417,Completed,2024-11-30,2024-12-16,2024-12-20
CT-9831-IEW,SITE-208,3B0FDA9F-884,IVRS-6535747,In Progress,2025-07-30,2025-08-13,2025-08-18
CT-3636-AVP,SITE-261,A7510327-2D1,IVRS-5989166,Created,2025-05-21,2025-06-01,2025-06-02
CT-7047-GQC,SITE-186,CE77A960-CDA,IVRS-8638657,Completed,2025-04-24,2025-05-11,2025-05-12
CT-4229-AWU,SITE-231,13D23ECC-032,IVRS-1707208,Closed,2025-09-20,2025-09-29,2025-10-02
CT-3228-ZKT,SITE-159,DB096D51-BDC,IVRS-8442704,Closed,2025-09-29,2025-10-28,2025-10-25
CT-5014-EEP,SITE-245,5B47E6AA-FAF,IVRS-2626506,Created,2025-08-26,2025-09-04,2025-09-05
CT-6551-IBW,SITE-293,ECA8CBD1-E04,IVRS-7554309,In Progress,2024-11-18,2024-12-16,2024-12-14
CT-7487-KNX,SITE-276,D5E639AD-82A,IVRS-3321409,Released,2025-05-11,2025-05-21,2025-05-22
CT-2004-PSX,SITE-101,7C05434F-BD5,IVRS-6544386,In Progress,2025-03-02,2025-03-17,2025-03-16
CT-3395-UCM,SITE-216,75038E9B-BA2,IVRS-4866295,Completed,2024-11-23,2024-12-16,2024-12-21
CT-5014-EEP,SITE-247,60F22C34-AA2,IVRS-3611461,In Progress,2025-10-23,2025-11-15,2025-11-13
CT-2004-PSX,SITE-101,44597FDE-ED2,IVRS-3330810,Completed,2025-06-15,2025-07-06,2025-07-07
CT-6109-EDZ,SITE-204,9853B6AB-C01,IVRS-1377328,Released,2025-06-21,2025-07-17,2025-07-14
CT-8015-GMQ,SITE-138,2D1D3AF0-A99,IVRS-7507530,Released,2025-10-06,2025-10-16,2025-10-20
CT-2004-PSX,SITE-101,19B119B0-986,IVRS-9129903,In Progress,2025-06-29,2025-07-14,2025-07-11
CT-9781-BYC,SITE-310,8733D49D-751,IVRS-3359472,Completed,2025-07-09,2025-07-31,2025-08-04
CT-6109-EDZ,SITE-205,DC77B20F-464,IVRS-9522770,Created,2025-05-02,2025-06-01,2025-05-30
CT-3395-UCM,SITE-217,7BB74C9C-D85,IVRS-8059996,Released,2025-03-30,2025-04-28,2025-04-25
CT-9781-BYC,SITE-306,3FCA798E-FD6,IVRS-9002383,Released,2025-10-13,2025-11-11,2025-11-12
CT-1696-SCY,SITE-154,B83CFAB5-B68,IVRS-6278582,Closed,2025-03-12,2025-04-09,2025-04-07
CT-8872-GKR,SITE-142,6BF20FDB-A43,IVRS-1685942,Closed,2025-04-06,2025-04-30,2025-04-27
CT-8742-ECD,SITE-175,835C170B-558,IVRS-2813078,Closed,2025-08-02,2025-08-19,2025-08-23
CT-6109-EDZ,SITE-204,88D93C9A-BB6,IVRS-1157676,In Progress,2025-07-04,2025-07-31,2025-08-04
CT-8015-GMQ,SITE-137,81962565-3BA,IVRS-9468788,Completed,2025-07-17,2025-08-03,2025-08-03
CT-3472-PNG,SITE-301,84171620-97D,IVRS-9015870,Created,2025-01-14,2025-02-02,2025-02-03
CT-4229-AWU,SITE-233,276063F6-554,IVRS-1553011,Released,2025-03-16,2025-04-11,2025-04-10
CT-1816-RCG,SITE-190,4D00FA38-F44,IVRS-1940263,Created,2025-01-15,2025-01-23,2025-01-22
CT-3228-ZKT,SITE-157,B9D604CE-B27,IVRS-7209569,Closed,2024-12-03,2025-01-02,2025-01-01
CT-3636-AVP,SITE-252,88381E6F-DB8,IVRS-5532248,In Progress,2024-12-18,2024-12-31,2024-12-29
CT-1696-SCY,SITE-153,F82FA87C-017,IVRS-4871096,Released,2025-10-05,2025-10-23,2025-10-21
CT-9781-BYC,SITE-307,0B269C0B-68B,IVRS-5702379,Closed,2024-11-30,2024-12-12,2024-12-16
CT-7487-KNX,SITE-279,53E512B4-F07,IVRS-4045610,Created,2025-02-12,2025-03-03,2025-03-03
CT-3230-HFO,SITE-283,21ED0BE4-ED0,IVRS-8614655,Completed,2025-06-05,2025-07-04,2025-07-03
CT-7047-GQC,SITE-182,C9553C30-3C9,IVRS-2681634,Released,2025-07-26,2025-08-10,2025-08-08
CT-3472-PNG,SITE-301,C93ED8AD-5FB,IVRS-4705873,Closed,2025-01-20,2025-01-31,2025-02-01
CT-9831-IEW,SITE-208,56F016D1-42A,IVRS-3328703,Created,2025-05-07,2025-05-25,2025-05-22
CT-3395-UCM,SITE-213,DC6732A6-B32,IVRS-2026495,Created,2025-04-19,2025-05-01,2025-04-30
CT-1816-RCG,SITE-192,1C290466-294,IVRS-8779312,Released,2025-06-11,2025-07-06,2025-07-06
CT-1816-RCG,SITE-191,302EBFD8-75D,IVRS-5375404,Created,2025-07-23,2025-08-11,2025-08-14
CT-7484-BIH,SITE-269,137379DF-53E,IVRS-5393176,In Progress,2024-11-28,2024-12-24,2024-12-23
CT-1696-SCY,SITE-148,E70B0CD9-41B,IVRS-5786453,Completed,2025-06-13,2025-07-12,2025-07-15
CT-7484-BIH,SITE-267,C3C4CA8C-DA3,IVRS-8226551,Released,2025-06-05,2025-06-14,2025-06-14
CT-9771-CZL,SITE-239,7D85A9BB-51A,IVRS-9853834,Created,2025-04-08,2025-04-20,2025-04-18
CT-8015-GMQ,SITE-131,9F746DC7-45B,IVRS-2421331,Closed,2025-02-08,2025-02-18,2025-02-23
CT-5014-EEP,SITE-250,F07DEB5E-390,IVRS-3148805,Closed,2025-02-03,2025-03-03,2025-03-08
CT-1696-SCY,SITE-147,DA07F536-CAB,IVRS-2906492,Created,2025-08-06,2025-08-24,2025-08-26
CT-3230-HFO,SITE-287,2F2C7D94-2CE,IVRS-6822073,Closed,2025-09-29,2025-10-22,2025-10-24
CT-2004-PSX,SITE-103,46866D25-F7F,IVRS-2519330,Completed,2025-05-14,2025-05-28,2025-05-28
CT-5014-EEP,SITE-242,657B8A24-549,IVRS-9239763,Created,2025-05-12,2025-06-09,2025-06-10
CT-8970-PLO,SITE-116,721F5CBB-8FF,IVRS-5017791,Released,2025-03-22,2025-04-11,2025-04-08
CT-4229-AWU,SITE-228,3C28F46E-D2C,IVRS-7236789,In Progress,2025-06-20,2025-07-17,2025-07-19
CT-5014-EEP,SITE-248,B4AACE38-46A,IVRS-1681585,Created,2025-02-23,2025-03-10,2025-03-15
CT-7487-KNX,SITE-272,40399FB4-B0C,IVRS-5049421,Closed,2025-02-01,2025-02-13,2025-02-13
CT-3228-ZKT,SITE-159,7B08EEA7-A6C,IVRS-1729379,Created,2025-03-29,2025-04-14,2025-04-11
CT-8742-ECD,SITE-176,7697D79B-3FA,IVRS-1394850,Created,2025-01-24,2025-02-07,2025-02-10
CT-9771-CZL,SITE-241,30986C0B-785,IVRS-8804465,In Progress,2025-01-09,2025-01-19,2025-01-23
CT-4229-AWU,SITE-233,E09D9D69-D6E,IVRS-9107488,Closed,2025-07-21,2025-08-20,2025-08-23
CT-8742-ECD,SITE-175,272CA541-8B2,IVRS-2781027,Completed,2025-10-12,2025-10-30,2025-10-31
CT-1816-RCG,SITE-190,0DB649CA-F40,IVRS-4525052,Created,2025-07-31,2025-08-19,2025-08-22
CT-1816-RCG,SITE-192,E7347777-52D,IVRS-7634757,Completed,2025-06-11,2025-07-08,2025-07-09
CT-8742-ECD,SITE-176,3FF3E6F8-274,IVRS-7090935,Released,2024-12-20,2025-01-08,2025-01-11
CT-1816-RCG,SITE-191,DC052809-D93,IVRS-1595753,In Progress,2025-01-04,2025-01-14,2025-01-16
CT-1816-RCG,SITE-191,26C6F3AA-518,IVRS-4797492,Released,2024-12-05,2024-12-15,2024-12-14
CT-5806-JWO,SITE-121,BEBE3F6F-617,IVRS-1565320,Closed,2025-10-20,2025-11-09,2025-11-10
CT-6592-IDY,SITE-110,72B8F29D-C0E,IVRS-1630790,Completed,2025-01-20,2025-01-29,2025-01-30
CT-3395-UCM,SITE-218,4C575DF3-DBF,IVRS-4687498,Created,2025-10-05,2025-10-15,2025-10-20
CT-9781-BYC,SITE-310,362FCDC7-090,IVRS-7468781,In Progress,2025-10-14,2025-10-25,2025-10-27
CT-6109-EDZ,SITE-198,D822806C-DEC,IVRS-3003068,In Progress,2025-06-10,2025-06-27,2025-06-28
CT-1816-RCG,SITE-191,87528E6A-790,IVRS-6873685,Created,2025-07-24,2025-08-07,2025-08-10
CT-9831-IEW,SITE-211,FF0D6EB9-415,IVRS-8633747,Completed,2025-01-27,2025-02-05,2025-02-06
CT-9831-IEW,SITE-207,CA6F43AD-A7B,IVRS-3058695,Completed,2025-05-18,2025-06-17,2025-06-20
CT-3230-HFO,SITE-288,215887CE-296,IVRS-5095776,Released,2024-12-16,2025-01-01,2025-01-05
CT-8872-GKR,SITE-141,6578EBA2-254,IVRS-5549938,Released,2025-07-31,2025-08-25,2025-08-28
CT-9831-IEW,SITE-206,C8E46777-965,IVRS-8264365,Closed,2025-02-11,2025-02-26,2025-02-27
CT-8742-ECD,SITE-178,FDCEFEF5-08F,IVRS-2330934,Released,2025-06-10,2025-07-02,2025-07-07
CT-4229-AWU,SITE-223,84B7FABF-DFC,IVRS-7624386,Created,2025-09-26,2025-10-21,2025-10-18
CT-5806-JWO,SITE-129,E2E08976-B06,IVRS-7351304,Released,2025-04-08,2025-05-02,2025-05-01
CT-8742-ECD,SITE-178,B346DE58-18B,IVRS-7721284,Created,2025-04-25,2025-05-04,2025-05-08
CT-2004-PSX,SITE-107,24B63DC5-4E0,IVRS-5664642,Completed,2025-03-29,2025-04-26,2025-04-26
CT-3472-PNG,SITE-300,A3929C23-5C7,IVRS-8604008,Released,2025-10-07,2025-10-14,2025-10-12
CT-8970-PLO,SITE-113,57C036FF-7C4,IVRS-2534999,Closed,2025-07-29,2025-08-12,2025-08-12
CT-9831-IEW,SITE-212,C8CA32C6-E9E,IVRS-9232979,Created,2025-10-21,2025-11-08,2025-11-09
CT-3228-ZKT,SITE-157,ACC4DB4C-3ED,IVRS-9018004,Completed,2025-09-08,2025-09-25,2025-09-28
CT-8015-GMQ,SITE-133,577BCE94-FDC,IVRS-1692202,Completed,2025-03-15,2025-04-09,2025-04-06
CT-3230-HFO,SITE-289,72E2F609-A3F,IVRS-1053533,Completed,2025-01-01,2025-01-14,2025-01-18
CT-3395-UCM,SITE-218,5B67D985-194,IVRS-7493663,Created,2025-01-04,2025-02-01,2025-01-31
CT-5014-EEP,SITE-244,A1F0CF54-5A3,IVRS-2714372,Closed,2025-01-25,2025-02-21,2025-02-19
CT-5806-JWO,SITE-120,150CE384-BD4,IVRS-2261006,Closed,2025-06-17,2025-07-14,2025-07-14
CT-1696-SCY,SITE-152,1E2662CC-B8F,IVRS-8175303,Created,2025-08-22,2025-09-13,2025-09-14
CT-7487-KNX,SITE-274,10DC3E02-6DA,IVRS-4782214,Completed,2024-12-19,2024-12-26,2024-12-24
CT-1696-SCY,SITE-148,29A6CFAF-AF6,IVRS-2288665,Created,2025-05-21,2025-06-18,2025-06-20
CT-8970-PLO,SITE-113,04FD0749-0E8,IVRS-2116732,Closed,2025-01-19,2025-02-02,2025-02-04
CT-8970-PLO,SITE-117,18BE1300-48F,IVRS-8779628,Closed,2025-02-06,2025-03-07,2025-03-06
CT-6551-IBW,SITE-293,2A431C19-BD6,IVRS-4289470,Released,2025-01-08,2025-01-16,2025-01-18
CT-6109-EDZ,SITE-201,B91ED3F0-13C,IVRS-6109593,Closed,2024-11-18,2024-12-09,2024-12-13
CT-1816-RCG,SITE-191,E9DC4109-30B,IVRS-2360979,Created,2025-03-21,2025-04-01,2025-04-06
CT-7487-KNX,SITE-279,654F1F56-570,IVRS-8828768,Closed,2025-05-26,2025-06-12,2025-06-09
CT-9781-BYC,SITE-307,ADA890D8-F3F,IVRS-6505724,In Progress,2025-07-23,2025-08-22,2025-08-27
CT-8970-PLO,SITE-117,ECE5617D-411,IVRS-8241028,Created,2024-12-31,2025-01-29,2025-02-01
CT-7484-BIH,SITE-262,044D2FC6-0A1,IVRS-5938629,Completed,2025-10-06,2025-10-31,2025-10-30
CT-3472-PNG,SITE-305,954B5F54-FC0,IVRS-9232857,Completed,2025-01-05,2025-01-15,2025-01-14
CT-5806-JWO,SITE-124,41D466A6-21E,IVRS-8023907,Released,2025-10-25,2025-11-20,2025-11-25
CT-6592-IDY,SITE-110,7C1A47DE-DD1,IVRS-1388455,Created,2025-01-27,2025-02-11,2025-02-09
CT-8015-GMQ,SITE-138,694E96DC-2A6,IVRS-5101199,Closed,2025-05-13,2025-06-12,2025-06-16
CT-9781-BYC,SITE-312,41760EC3-898,IVRS-6639442,Completed,2025-01-08,2025-02-03,2025-02-08
CT-8970-PLO,SITE-115,CCFEC4B3-889,IVRS-1039964,Created,2025-10-16,2025-11-01,2025-10-30
CT-7487-KNX,SITE-277,603EDC76-89F,IVRS-2407190,Closed,2025-08-09,2025-08-31,2025-09-01
CT-1816-RCG,SITE-190,535A2ABA-732,IVRS-5312296,Created,2025-04-20,2025-05-11,2025-05-11
CT-8015-GMQ,SITE-134,060D2D29-5FD,IVRS-5051198,Created,2025-11-03,2025-11-20,2025-11-17
CT-3472-PNG,SITE-304,29C1FE4B-0BF,IVRS-1148185,Completed,2025-03-21,2025-03-28,2025-03-25
CT-3395-UCM,SITE-213,CD20E168-B67,IVRS-2616411,Closed,2025-09-28,2025-10-07,2025-10-09
CT-3636-AVP,SITE-258,F810F57F-82C,IVRS-4390367,Created,2025-02-06,2025-02-26,2025-02-25
CT-8015-GMQ,SITE-138,F58F8FB7-75D,IVRS-7280214,Completed,2025-02-10,2025-03-03,2025-03-02
CT-4229-AWU,SITE-226,A8BF7403-DA8,IVRS-4559145,Released,2025-05-23,2025-06-18,2025-06-16
CT-3472-PNG,SITE-304,22D3A96C-CE5,IVRS-5294318,Released,2025-05-08,2025-06-01,2025-05-31
CT-8015-GMQ,SITE-139,6BBDED17-78C,IVRS-3814421,Created,2024-12-03,2024-12-30,2024-12-27
CT-9781-BYC,SITE-311,D1C0BAB1-86B,IVRS-7948199,Created,2025-06-23,2025-07-20,2025-07-24
CT-1696-SCY,SITE-151,7E8BFE7E-71C,IVRS-4792961,Created,2025-03-02,2025-03-10,2025-03-14
CT-7484-BIH,SITE-265,C8C1DDA2-376,IVRS-5065906,Completed,2025-07-01,2025-07-11,2025-07-14
CT-9831-IEW,SITE-212,F038C3DD-DF4,IVRS-3403507,Closed,2024-11-28,2024-12-20,2024-12-22
CT-2004-PSX,SITE-106,86905D6E-07A,IVRS-8715595,Released,2025-04-25,2025-05-15,2025-05-17
CT-6910-RDE,SITE-166,974CD620-D0E,IVRS-9553611,Closed,2025-10-25,2025-11-05,2025-11-10
CT-6109-EDZ,SITE-193,A124C449-F40,IVRS-1822718,Created,2025-06-29,2025-07-29,2025-07-28
CT-9771-CZL,SITE-237,37B5CD9F-E09,IVRS-3959734,In Progress,2025-04-15,2025-05-05,2025-05-10
CT-3228-ZKT,SITE-160,99D24A00-746,IVRS-1091707,In Progress,2025-06-11,2025-06-23,2025-06-27
CT-8742-ECD,SITE-175,105D5698-13F,IVRS-8555336,Created,2025-09-24,2025-10-07,2025-10-08
CT-7487-KNX,SITE-273,4C90F0B2-38C,IVRS-6466169,Released,2025-02-11,2025-02-23,2025-02-21
CT-8872-GKR,SITE-145,D12FEB9C-3EF,IVRS-9624378,Completed,2025-08-14,2025-08-24,2025-08-21
CT-5806-JWO,SITE-126,703C84BA-54F,IVRS-8468355,Completed,2024-12-14,2025-01-04,2025-01-08
CT-1816-RCG,SITE-192,6AA14615-5B4,IVRS-1258671,In Progress,2025-05-25,2025-06-21,2025-06-24
CT-9781-BYC,SITE-309,79EDC353-4DF,IVRS-3862417,Created,2025-10-04,2025-10-12,2025-10-09
CT-6910-RDE,SITE-169,AD35DE4B-215,IVRS-2829756,Completed,2025-02-22,2025-03-19,2025-03-16
CT-9781-BYC,SITE-309,5BF6AB13-B1D,IVRS-5198878,Closed,2025-10-27,2025-11-26,2025-11-25
CT-2004-PSX,SITE-103,820B4015-B5D,IVRS-3472286,Created,2025-09-27,2025-10-04,2025-10-08
CT-9771-CZL,SITE-236,CC4ACAE6-0A8,IVRS-7382908,Released,2025-01-03,2025-01-26,2025-01-26
CT-8015-GMQ,SITE-139,420B1E11-8DA,IVRS-4316736,Closed,2025-01-12,2025-02-06,2025-02-06
CT-3636-AVP,SITE-254,0ACC4422-7D1,IVRS-8053586,Completed,2025-04-05,2025-05-01,2025-05-02
CT-7487-KNX,SITE-279,AED5210F-538,IVRS-9085990,Created,2025-11-04,2025-12-03,2025-12-03
CT-9771-CZL,SITE-235,F2407184-2CE,IVRS-1590989,Completed,2025-07-11,2025-07-26,2025-07-29
CT-3395-UCM,SITE-213,38951FD6-B03,IVRS-3520100,Completed,2025-01-29,2025-02-14,2025-02-14
CT-6551-IBW,SITE-293,96B625BB-687,IVRS-1445745,Completed,2025-07-04,2025-07-16,2025-07-20
