trial_alias,lpn,location_id,class,lot_number,item_number,description,expiration_date,sap_plant,sap_destroy_after_dt,actual_qty,warehouse_id,warehouse_name,warehouse_country
CT-5014-EEP,LPN2134435103,LOC-53687,Frozen,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,EU02,2026-08-16,41,WH-405,North Christophertown Logistics Center,Cote d'Ivoire
CT-5014-EEP,LPN4607676415,LOC-91477,Ambient,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,US01,2026-08-16,33,WH-370,Jonesshire Logistics Center,Tokelau
CT-5014-EEP,LPN6974467195,LOC-32591,Cold Chain,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,EU02,2026-08-16,9,WH-785,New Laura Logistics Center,Czech Republic
CT-5014-EEP,LPN1779060372,LOC-36900,Cold Chain,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,AP03,2026-08-16,40,WH-657,South Conniebury Logistics Center,Guadeloupe
CT-2004-PSX,LPN6829239213,LOC-77670,Ambient,LOT-45953393,MAT-60599,Traditional Patch,2026-01-08,LAT04,2026-03-09,41,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-2004-PSX,LPN7316808645,LOC-68211,Ambient,LOT-45953393,MAT-60599,Traditional Patch,2026-01-08,AP03,2026-03-09,47,WH-736,Jordanmouth Logistics Center,Swaziland
CT-2004-PSX,LPN2223511435,LOC-28217,Frozen,LOT-45953393,MAT-60599,Traditional Patch,2026-01-08,AP03,2026-03-09,38,WH-361,East Matthewton Logistics Center,Central African Republic
CT-2004-PSX,LPN9366442722,LOC-23810,Ambient,LOT-45953393,MAT-60599,Traditional Patch,2026-01-08,LAT04,2026-03-09,22,WH-856,New Amymouth Logistics Center,Qatar
CT-9831-IEW,LPN7425496926,LOC-72898,Cold Chain,LOT-57874485,MAT-16078,Stock Patch,2025-11-17,US01,2026-01-16,31,WH-414,Sullivanview Logistics Center,Kazakhstan
CT-9831-IEW,LPN9527091367,LOC-32269,Ambient,LOT-57874485,MAT-16078,Stock Patch,2025-11-17,US01,2026-01-16,27,WH-675,North Cameronchester Logistics Center,Holy See (Vatican City State)
CT-7484-BIH,LPN6153373406,LOC-76672,Frozen,LOT-31439488,MAT-66374,Oil Tablet,2025-09-04,US01,2025-11-03,50,WH-779,Derekville Logistics Center,Portugal
CT-7484-BIH,LPN9705992982,LOC-88859,Frozen,LOT-31439488,MAT-66374,Oil Tablet,2025-09-04,LAT04,2025-11-03,12,WH-499,Russellhaven Logistics Center,Lesotho
CT-7484-BIH,LPN7288923315,LOC-59026,Cold Chain,LOT-31439488,MAT-66374,Oil Tablet,2025-09-04,LAT04,2025-11-03,46,WH-864,Port Tiffany Logistics Center,Albania
CT-7484-BIH,LPN4186465824,LOC-53957,Cold Chain,LOT-31439488,MAT-66374,Oil Tablet,2025-09-04,EU02,2025-11-03,5,WH-405,North Christophertown Logistics Center,Cote d'Ivoire
CT-3395-UCM,LPN7873545782,LOC-39248,Cold Chain,LOT-62442527,MAT-40706,Keep Capsule,2025-09-06,EU02,2025-11-05,10,WH-725,Wolfport Logistics Center,Sao Tome and Principe
CT-3395-UCM,LPN1837940614,LOC-23633,Cold Chain,LOT-62442527,MAT-40706,Keep Capsule,2025-09-06,LAT04,2025-11-05,34,WH-970,West Meghanmouth Logistics Center,Turkmenistan
CT-3395-UCM,LPN1125482461,LOC-55356,Cold Chain,LOT-62442527,MAT-40706,Keep Capsule,2025-09-06,AP03,2025-11-05,3,WH-675,North Cameronchester Logistics Center,Holy See (Vatican City State)
CT-3395-UCM,LPN6846386811,LOC-89698,Frozen,LOT-62442527,MAT-40706,Keep Capsule,2025-09-06,US01,2025-11-05,4,WH-932,New David Logistics Center,Italy
CT-1696-SCY,LPN4475226601,LOC-53911,Cold Chain,LOT-46656333,MAT-78401,Expect Tablet,2026-12-03,AP03,2027-02-01,28,WH-264,South Christopher Logistics Center,Afghanistan
CT-1696-SCY,LPN2917168452,LOC-84688,Cold Chain,LOT-46656333,MAT-78401,Expect Tablet,2026-12-03,US01,2027-02-01,9,WH-675,North Cameronchester Logistics Center,Holy See (Vatican City State)
CT-1696-SCY,LPN1565821561,LOC-99914,Frozen,LOT-46656333,MAT-78401,Expect Tablet,2026-12-03,LAT04,2027-02-01,34,WH-361,East Matthewton Logistics Center,Central African Republic
CT-6592-IDY,LPN3272623440,LOC-58307,Ambient,LOT-66123852,MAT-49508,Able Patch,2028-07-06,LAT04,2028-09-04,28,WH-737,Tracyberg Logistics Center,Kenya
CT-6592-IDY,LPN7650504458,LOC-92599,Ambient,LOT-66123852,MAT-49508,Able Patch,2028-07-06,LAT04,2028-09-04,9,WH-483,Lake Taratown Logistics Center,British Virgin Islands
CT-6592-IDY,LPN6126790446,LOC-90891,Frozen,LOT-66123852,MAT-49508,Able Patch,2028-07-06,LAT04,2028-09-04,26,WH-856,New Amymouth Logistics Center,Qatar
CT-3472-PNG,LPN1026492252,LOC-86120,Ambient,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,EU02,2026-09-15,4,WH-860,South Jennifer Logistics Center,Malawi
CT-3472-PNG,LPN4017605393,LOC-60995,Cold Chain,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,AP03,2026-09-15,21,WH-816,Georgeview Logistics Center,United States of America
CT-3472-PNG,LPN7108336880,LOC-44127,Frozen,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,EU02,2026-09-15,13,WH-785,New Laura Logistics Center,Czech Republic
CT-3472-PNG,LPN7266407720,LOC-44194,Ambient,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,EU02,2026-09-15,11,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-8742-ECD,LPN2701422193,LOC-97797,Ambient,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,AP03,2027-01-05,45,WH-229,Hernandezborough Logistics Center,Comoros
CT-8742-ECD,LPN5438929382,LOC-28829,Cold Chain,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,US01,2027-01-05,48,WH-745,Carterton Logistics Center,Zambia
CT-8742-ECD,LPN7170516634,LOC-16439,Frozen,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,LAT04,2027-01-05,12,WH-499,Russellhaven Logistics Center,Lesotho
CT-7487-KNX,LPN6559739766,LOC-21301,Ambient,LOT-31152831,MAT-59372,Issue Patch,2025-09-07,US01,2025-11-06,32,WH-860,South Jennifer Logistics Center,Malawi
CT-6551-IBW,LPN3015587873,LOC-69925,Ambient,LOT-89806740,MAT-79992,Anyone Tablet,2026-07-09,LAT04,2026-09-07,46,WH-414,Sullivanview Logistics Center,Kazakhstan
CT-6551-IBW,LPN7794816590,LOC-89762,Ambient,LOT-89806740,MAT-79992,Anyone Tablet,2026-07-09,AP03,2026-09-07,21,WH-757,Braunberg Logistics Center,Nepal
CT-6551-IBW,LPN6328331871,LOC-65634,Frozen,LOT-89806740,MAT-79992,Anyone Tablet,2026-07-09,AP03,2026-09-07,26,WH-657,South Conniebury Logistics Center,Guadeloupe
CT-9781-BYC,LPN2629124618,LOC-13764,Cold Chain,LOT-91403277,MAT-31615,Trouble Capsule,2025-11-01,LAT04,2025-12-31,23,WH-264,South Christopher Logistics Center,Afghanistan
CT-9831-IEW,LPN1452796377,LOC-44871,Frozen,LOT-46257312,MAT-49651,High Injection,2027-11-30,EU02,2028-01-29,42,WH-712,Ortizfort Logistics Center,American Samoa
CT-9831-IEW,LPN4090576121,LOC-59089,Cold Chain,LOT-46257312,MAT-49651,High Injection,2027-11-30,US01,2028-01-29,40,WH-932,New David Logistics Center,Italy
CT-9831-IEW,LPN2612382802,LOC-15371,Frozen,LOT-46257312,MAT-49651,High Injection,2027-11-30,EU02,2028-01-29,3,WH-842,West Tonya Logistics Center,Palestinian Territory
CT-7484-BIH,LPN3157785947,LOC-22082,Frozen,LOT-26012891,MAT-66257,Hundred Solution,2026-02-19,US01,2026-04-20,29,WH-816,Georgeview Logistics Center,United States of America
CT-7484-BIH,LPN3582655844,LOC-28829,Cold Chain,LOT-26012891,MAT-66257,Hundred Solution,2026-02-19,AP03,2026-04-20,45,WH-331,Margaretville Logistics Center,Belgium
CT-7484-BIH,LPN9475518007,LOC-74552,Frozen,LOT-26012891,MAT-66257,Hundred Solution,2026-02-19,US01,2026-04-20,34,WH-745,Carterton Logistics Center,Zambia
CT-8742-ECD,LPN1732916375,LOC-81757,Frozen,LOT-45571743,MAT-16848,Blue Patch,2025-05-24,US01,2025-07-23,35,WH-737,Tracyberg Logistics Center,Kenya
CT-8742-ECD,LPN3213468028,LOC-68943,Frozen,LOT-45571743,MAT-16848,Blue Patch,2025-05-24,LAT04,2025-07-23,5,WH-258,Meyersmouth Logistics Center,Grenada
CT-8742-ECD,LPN9340712224,LOC-93760,Ambient,LOT-45571743,MAT-16848,Blue Patch,2025-05-24,US01,2025-07-23,26,WH-856,New Amymouth Logistics Center,Qatar
CT-8742-ECD,LPN2376715062,LOC-74361,Ambient,LOT-45571743,MAT-16848,Blue Patch,2025-05-24,US01,2025-07-23,27,WH-643,East Dianeland Logistics Center,Malaysia
CT-3230-HFO,LPN1520473445,LOC-16913,Cold Chain,LOT-10539218,MAT-73628,Health Solution,2028-01-17,LAT04,2028-03-17,19,WH-483,Lake Taratown Logistics Center,British Virgin Islands
CT-8742-ECD,LPN7861524811,LOC-57871,Ambient,LOT-61778837,MAT-15875,Happy Solution,2025-11-20,AP03,2026-01-19,43,WH-864,Jonesville Logistics Center,Mali
CT-8742-ECD,LPN3818071968,LOC-62999,Ambient,LOT-61778837,MAT-15875,Happy Solution,2025-11-20,LAT04,2026-01-19,45,WH-229,Hernandezborough Logistics Center,Comoros
CT-8742-ECD,LPN8918798302,LOC-12561,Cold Chain,LOT-61778837,MAT-15875,Happy Solution,2025-11-20,LAT04,2026-01-19,37,WH-921,Lake Jonathan Logistics Center,Togo
CT-8742-ECD,LPN5818874488,LOC-80160,Cold Chain,LOT-61778837,MAT-15875,Happy Solution,2025-11-20,LAT04,2026-01-19,24,WH-361,East Matthewton Logistics Center,Central African Republic
CT-2004-PSX,LPN2617266077,LOC-62004,Frozen,LOT-75185716,MAT-97442,Common Patch,2026-06-14,LAT04,2026-08-13,45,WH-208,Allenstad Logistics Center,Papua New Guinea
CT-2004-PSX,LPN2818073040,LOC-52955,Ambient,LOT-75185716,MAT-97442,Common Patch,2026-06-14,LAT04,2026-08-13,33,WH-727,South Lance Logistics Center,Bhutan
CT-2004-PSX,LPN2042482601,LOC-84573,Frozen,LOT-75185716,MAT-97442,Common Patch,2026-06-14,LAT04,2026-08-13,1,WH-735,Carterbury Logistics Center,Finland
CT-8970-PLO,LPN6877026484,LOC-41384,Ambient,LOT-24616505,MAT-86920,Various Solution,2027-04-30,US01,2027-06-29,31,WH-641,Meyerview Logistics Center,Russian Federation
CT-6910-RDE,LPN2807204504,LOC-37562,Cold Chain,LOT-34166590,MAT-22108,Win Injection,2027-08-23,EU02,2027-10-22,5,WH-208,Allenstad Logistics Center,Papua New Guinea
CT-6910-RDE,LPN3172089351,LOC-11087,Ambient,LOT-34166590,MAT-22108,Win Injection,2027-08-23,AP03,2027-10-22,26,WH-736,Jordanmouth Logistics Center,Swaziland
CT-8742-ECD,LPN4446342504,LOC-74728,Cold Chain,LOT-83111741,MAT-47254,Article Tablet,2027-07-24,EU02,2027-09-22,38,WH-745,Carterton Logistics Center,Zambia
CT-8742-ECD,LPN1483531889,LOC-91087,Frozen,LOT-83111741,MAT-47254,Article Tablet,2027-07-24,AP03,2027-09-22,28,WH-712,Ortizfort Logistics Center,American Samoa
CT-8742-ECD,LPN7234027287,LOC-10459,Frozen,LOT-83111741,MAT-47254,Article Tablet,2027-07-24,AP03,2027-09-22,5,WH-856,New Amymouth Logistics Center,Qatar
CT-3636-AVP,LPN2429509171,LOC-39332,Cold Chain,LOT-27778437,MAT-54383,Agency Injection,2025-04-09,LAT04,2025-06-08,24,WH-725,Wolfport Logistics Center,Sao Tome and Principe
CT-6551-IBW,LPN1889417811,LOC-70312,Cold Chain,LOT-28144033,MAT-75647,Member Solution,2027-05-02,EU02,2027-07-01,18,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-6551-IBW,LPN8542646360,LOC-54439,Cold Chain,LOT-28144033,MAT-75647,Member Solution,2027-05-02,US01,2027-07-01,48,WH-453,East Katrina Logistics Center,Bahamas
CT-6551-IBW,LPN1481292999,LOC-36227,Cold Chain,LOT-28144033,MAT-75647,Member Solution,2027-05-02,US01,2027-07-01,38,WH-643,East Dianeland Logistics Center,Malaysia
CT-6551-IBW,LPN8738127584,LOC-78602,Ambient,LOT-28144033,MAT-75647,Member Solution,2027-05-02,LAT04,2027-07-01,29,WH-737,Tracyberg Logistics Center,Kenya
CT-8015-GMQ,LPN3593680831,LOC-16932,Frozen,LOT-49095565,MAT-74459,Memory Solution,2026-06-14,AP03,2026-08-13,8,WH-864,Jonesville Logistics Center,Mali
CT-3472-PNG,LPN7365889056,LOC-88920,Cold Chain,LOT-36766763,MAT-22152,Culture Solution,2026-01-11,LAT04,2026-03-12,32,WH-842,West Tonya Logistics Center,Palestinian Territory
CT-3472-PNG,LPN9849026616,LOC-20173,Cold Chain,LOT-36766763,MAT-22152,Culture Solution,2026-01-11,LAT04,2026-03-12,15,WH-745,Carterton Logistics Center,Zambia
CT-3472-PNG,LPN1877976220,LOC-76126,Cold Chain,LOT-36766763,MAT-22152,Culture Solution,2026-01-11,LAT04,2026-03-12,29,WH-745,Carterton Logistics Center,Zambia
CT-3472-PNG,LPN8409212142,LOC-83749,Cold Chain,LOT-36766763,MAT-22152,Culture Solution,2026-01-11,LAT04,2026-03-12,15,WH-921,Lake Jonathan Logistics Center,Togo
CT-3636-AVP,LPN7408981619,LOC-19904,Frozen,LOT-86551756,MAT-54383,Agency Injection,2028-07-28,LAT04,2028-09-26,48,WH-521,Christopherfurt Logistics Center,Gibraltar
CT-5014-EEP,LPN5815305838,LOC-37733,Ambient,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,EU02,2026-08-16,50,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-5014-EEP,LPN7661577103,LOC-87903,Cold Chain,LOT-35809899,MAT-39627,Fund Tablet,2026-06-17,LAT04,2026-08-16,19,WH-970,West Meghanmouth Logistics Center,Turkmenistan
CT-5014-EEP,LPN4838063160,LOC-22177,Cold Chain,LOT-27803441,MAT-53554,They Capsule,2026-11-22,AP03,2027-01-21,24,WH-757,Braunberg Logistics Center,Nepal
CT-5014-EEP,LPN9704892003,LOC-66153,Cold Chain,LOT-27803441,MAT-53554,They Capsule,2026-11-22,LAT04,2027-01-21,31,WH-657,South Conniebury Logistics Center,Guadeloupe
CT-5014-EEP,LPN2069798553,LOC-86207,Ambient,LOT-27803441,MAT-53554,They Capsule,2026-11-22,EU02,2027-01-21,43,WH-727,South Lance Logistics Center,Bhutan
CT-6551-IBW,LPN5778659822,LOC-79074,Cold Chain,LOT-11280930,MAT-75647,Member Solution,2025-06-12,US01,2025-08-11,40,WH-970,West Meghanmouth Logistics Center,Turkmenistan
CT-6551-IBW,LPN3464986739,LOC-81989,Frozen,LOT-11280930,MAT-75647,Member Solution,2025-06-12,US01,2025-08-11,42,WH-245,Whitneybury Logistics Center,Palau
CT-6551-IBW,LPN8206724092,LOC-31145,Ambient,LOT-11280930,MAT-75647,Member Solution,2025-06-12,EU02,2025-08-11,9,WH-675,North Cameronchester Logistics Center,Holy See (Vatican City State)
CT-6551-IBW,LPN3937680000,LOC-79310,Cold Chain,LOT-11280930,MAT-75647,Member Solution,2025-06-12,US01,2025-08-11,15,WH-499,Russellhaven Logistics Center,Lesotho
CT-6592-IDY,LPN7604796762,LOC-47506,Cold Chain,LOT-28252003,MAT-49508,Able Patch,2027-04-18,LAT04,2027-06-17,28,WH-727,South Lance Logistics Center,Bhutan
CT-6592-IDY,LPN8409978845,LOC-42277,Cold Chain,LOT-28252003,MAT-49508,Able Patch,2027-04-18,LAT04,2027-06-17,5,WH-414,Sullivanview Logistics Center,Kazakhstan
CT-6592-IDY,LPN2712976993,LOC-33041,Cold Chain,LOT-28252003,MAT-49508,Able Patch,2027-04-18,AP03,2027-06-17,44,WH-521,Christopherfurt Logistics Center,Gibraltar
CT-6551-IBW,LPN7091689278,LOC-44362,Cold Chain,LOT-89806740,MAT-79992,Anyone Tablet,2026-07-09,US01,2026-09-07,26,WH-264,South Christopher Logistics Center,Afghanistan
CT-3228-ZKT,LPN9064336314,LOC-79007,Frozen,LOT-38707248,MAT-58266,Tree Injection,2027-04-24,EU02,2027-06-23,39,WH-921,Lake Jonathan Logistics Center,Togo
CT-1696-SCY,LPN6253908854,LOC-15897,Ambient,LOT-46656333,MAT-78401,Expect Tablet,2026-12-03,LAT04,2027-02-01,2,WH-641,Meyerview Logistics Center,Russian Federation
CT-3636-AVP,LPN7301425578,LOC-28200,Ambient,LOT-41301239,MAT-46171,Though Solution,2025-12-18,EU02,2026-02-16,14,WH-864,Port Tiffany Logistics Center,Albania
CT-3636-AVP,LPN7226068471,LOC-34463,Ambient,LOT-41301239,MAT-46171,Though Solution,2025-12-18,US01,2026-02-16,48,WH-712,Ortizfort Logistics Center,American Samoa
CT-3636-AVP,LPN2615329390,LOC-98847,Cold Chain,LOT-41301239,MAT-46171,Though Solution,2025-12-18,AP03,2026-02-16,22,WH-699,Smithshire Logistics Center,Austria
CT-6910-RDE,LPN5735181460,LOC-13578,Cold Chain,LOT-34198332,MAT-22108,Win Injection,2026-11-08,LAT04,2027-01-07,22,WH-405,North Christophertown Logistics Center,Cote d'Ivoire
CT-6910-RDE,LPN6985740967,LOC-85464,Ambient,LOT-34198332,MAT-22108,Win Injection,2026-11-08,US01,2027-01-07,20,WH-864,Port Tiffany Logistics Center,Albania
CT-6910-RDE,LPN3927045393,LOC-29769,Cold Chain,LOT-34198332,MAT-22108,Win Injection,2026-11-08,AP03,2027-01-07,40,WH-245,Whitneybury Logistics Center,Palau
CT-6910-RDE,LPN8566752441,LOC-17327,Cold Chain,LOT-34198332,MAT-22108,Win Injection,2026-11-08,US01,2027-01-07,48,WH-694,Irwinmouth Logistics Center,Kiribati
CT-9771-CZL,LPN7785254059,LOC-19641,Frozen,LOT-83383410,MAT-22610,Us Solution,2027-04-27,EU02,2027-06-26,19,WH-378,Freemanmouth Logistics Center,Canada
CT-9771-CZL,LPN7956965307,LOC-84390,Frozen,LOT-83383410,MAT-22610,Us Solution,2027-04-27,AP03,2027-06-26,35,WH-483,Lake Taratown Logistics Center,British Virgin Islands
CT-3230-HFO,LPN3298723747,LOC-41902,Ambient,LOT-32873081,MAT-73628,Health Solution,2027-11-06,EU02,2028-01-05,45,WH-378,Freemanmouth Logistics Center,Canada
CT-3230-HFO,LPN1578234232,LOC-74355,Ambient,LOT-32873081,MAT-73628,Health Solution,2027-11-06,AP03,2028-01-05,46,WH-361,East Matthewton Logistics Center,Central African Republic
CT-3230-HFO,LPN4699593098,LOC-43637,Cold Chain,LOT-32873081,MAT-73628,Health Solution,2027-11-06,US01,2028-01-05,42,WH-208,Allenstad Logistics Center,Papua New Guinea
CT-3230-HFO,LPN2363415633,LOC-11133,Cold Chain,LOT-32873081,MAT-73628,Health Solution,2027-11-06,AP03,2028-01-05,6,WH-856,New Amymouth Logistics Center,Qatar
CT-7487-KNX,LPN9912341593,LOC-71370,Ambient,LOT-31152831,MAT-59372,Issue Patch,2025-09-07,EU02,2025-11-06,39,WH-745,Carterton Logistics Center,Zambia
CT-7487-KNX,LPN6977811630,LOC-95675,Frozen,LOT-31152831,MAT-59372,Issue Patch,2025-09-07,AP03,2025-11-06,19,WH-258,Meyersmouth Logistics Center,Grenada
CT-7487-KNX,LPN5502863094,LOC-20744,Frozen,LOT-31152831,MAT-59372,Issue Patch,2025-09-07,EU02,2025-11-06,17,WH-545,Port Charlene Logistics Center,Argentina
CT-6910-RDE,LPN5279026851,LOC-14587,Frozen,LOT-34198332,MAT-22108,Win Injection,2026-11-08,US01,2027-01-07,10,WH-834,East Hollyport Logistics Center,Mongolia
CT-6910-RDE,LPN2633757981,LOC-75116,Ambient,LOT-34198332,MAT-22108,Win Injection,2026-11-08,US01,2027-01-07,48,WH-509,North Johnburgh Logistics Center,Saudi Arabia
CT-6910-RDE,LPN1695032368,LOC-89810,Frozen,LOT-34198332,MAT-22108,Win Injection,2026-11-08,AP03,2027-01-07,17,WH-846,Greenefort Logistics Center,Indonesia
CT-8872-GKR,LPN2779891680,LOC-74623,Cold Chain,LOT-60549611,MAT-66331,Step Solution,2027-09-25,US01,2027-11-24,28,WH-245,Whitneybury Logistics Center,Palau
CT-8872-GKR,LPN5163524162,LOC-14799,Ambient,LOT-60549611,MAT-66331,Step Solution,2027-09-25,LAT04,2027-11-24,19,WH-208,Allenstad Logistics Center,Papua New Guinea
CT-8872-GKR,LPN1492424956,LOC-77426,Cold Chain,LOT-60549611,MAT-66331,Step Solution,2027-09-25,US01,2027-11-24,6,WH-414,Sullivanview Logistics Center,Kazakhstan
CT-8872-GKR,LPN6039568230,LOC-49640,Cold Chain,LOT-60549611,MAT-66331,Step Solution,2027-09-25,LAT04,2027-11-24,41,WH-236,Timstad Logistics Center,Korea
CT-3472-PNG,LPN6337494272,LOC-64432,Frozen,LOT-14377768,MAT-45907,Speech Patch,2027-01-10,US01,2027-03-11,10,WH-860,South Jennifer Logistics Center,Malawi
CT-3472-PNG,LPN8121352580,LOC-17997,Frozen,LOT-14377768,MAT-45907,Speech Patch,2027-01-10,US01,2027-03-11,36,WH-414,Sullivanview Logistics Center,Kazakhstan
CT-7487-KNX,LPN4910465406,LOC-65593,Ambient,LOT-17450919,MAT-18458,Reason Tablet,2027-02-13,AP03,2027-04-14,44,WH-735,Carterbury Logistics Center,Finland
CT-7487-KNX,LPN3345608300,LOC-50198,Ambient,LOT-17450919,MAT-18458,Reason Tablet,2027-02-13,US01,2027-04-14,27,WH-864,Port Tiffany Logistics Center,Albania
CT-7487-KNX,LPN5610808094,LOC-42722,Frozen,LOT-17450919,MAT-18458,Reason Tablet,2027-02-13,AP03,2027-04-14,38,WH-264,South Christopher Logistics Center,Afghanistan
CT-3230-HFO,LPN2766846494,LOC-32666,Cold Chain,LOT-32873081,MAT-73628,Health Solution,2027-11-06,LAT04,2028-01-05,6,WH-705,New Thomas Logistics Center,Taiwan
CT-3230-HFO,LPN3801853124,LOC-83632,Frozen,LOT-32873081,MAT-73628,Health Solution,2027-11-06,LAT04,2028-01-05,24,WH-675,North Cameronchester Logistics Center,Holy See (Vatican City State)
CT-3230-HFO,LPN4804288946,LOC-57502,Frozen,LOT-32873081,MAT-73628,Health Solution,2027-11-06,EU02,2028-01-05,46,WH-657,South Conniebury Logistics Center,Guadeloupe
CT-3230-HFO,LPN9144507474,LOC-26445,Frozen,LOT-32873081,MAT-73628,Health Solution,2027-11-06,AP03,2028-01-05,44,WH-745,Carterton Logistics Center,Zambia
CT-9831-IEW,LPN1365346953,LOC-55892,Cold Chain,LOT-46257312,MAT-49651,High Injection,2027-11-30,US01,2028-01-29,35,WH-236,Timstad Logistics Center,Korea
CT-9831-IEW,LPN5321309959,LOC-55423,Ambient,LOT-46257312,MAT-49651,High Injection,2027-11-30,AP03,2028-01-29,43,WH-816,Georgeview Logistics Center,United States of America
CT-3228-ZKT,LPN7115513542,LOC-50588,Cold Chain,LOT-63418468,MAT-61362,Better Tablet,2027-01-01,EU02,2027-03-02,36,WH-860,South Jennifer Logistics Center,Malawi
CT-5014-EEP,LPN4659592734,LOC-29749,Frozen,LOT-29384973,MAT-53554,They Capsule,2027-05-26,LAT04,2027-07-25,5,WH-405,North Christophertown Logistics Center,Cote d'Ivoire
CT-5014-EEP,LPN8146951133,LOC-89778,Cold Chain,LOT-29384973,MAT-53554,They Capsule,2027-05-26,US01,2027-07-25,48,WH-736,Jordanmouth Logistics Center,Swaziland
CT-9831-IEW,LPN1734802296,LOC-31835,Cold Chain,LOT-82476241,MAT-16078,Stock Patch,2025-06-26,LAT04,2025-08-25,42,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-8970-PLO,LPN5388388148,LOC-49421,Ambient,LOT-43759862,MAT-84265,Help Solution,2026-10-16,LAT04,2026-12-15,34,WH-229,Hernandezborough Logistics Center,Comoros
CT-8970-PLO,LPN6661507819,LOC-80665,Frozen,LOT-43759862,MAT-84265,Help Solution,2026-10-16,AP03,2026-12-15,27,WH-361,East Matthewton Logistics Center,Central African Republic
CT-8015-GMQ,LPN3545941962,LOC-21886,Frozen,LOT-23670572,MAT-91309,Simply Injection,2026-05-20,EU02,2026-07-19,1,WH-970,West Meghanmouth Logistics Center,Turkmenistan
