Protocol,Part ID,Client Part ID,Description (Unblinded),Facility,Quantity Available,Quantity Total,Unit of Measure,Expiry Date,Lot ID (Client)
CT-8742-ECD,PART-411657,MAT-15875,Happy Solution,South Christopher Logistics Center,249,250,EA,2025-11-20,LOT-61778837
CT-8742-ECD,PART-686255,MAT-47140,Side Capsule,East Hollyport Logistics Center,333,79,EA,2028-01-14,LOT-97576608
CT-7047-GQC,PART-339254,MAT-58634,Impact Patch,Russellhaven Logistics Center,49,328,EA,2026-06-22,LOT-73100049
CT-7047-GQC,PART-652973,MAT-18097,Enter Capsule,New Amymouth Logistics Center,255,495,EA,2027-08-17,LOT-70117079
CT-7047-GQC,PART-777746,MAT-92337,Beyond Solution,South Jennifer Logistics Center,275,469,EA,2027-09-18,LOT-41222298
CT-1816-RCG,PART-198125,MAT-37872,Effort Capsule,Russellhaven Logistics Center,172,184,EA,2027-10-04,LOT-73297905
CT-1816-RCG,PART-256473,MAT-55297,New Solution,Russellhaven Logistics Center,238,575,EA,2026-05-19,LOT-19895402
CT-6109-EDZ,PART-985518,MAT-14039,Should Tablet,Christopherfurt Logistics Center,221,598,EA,2026-07-12,LOT-86190416
CT-6109-EDZ,PART-440965,MAT-86168,Run Solution,North Christophertown Logistics Center,88,340,EA,2026-09-05,LOT-70811881
CT-9831-IEW,PART-646141,MAT-16627,Receive Patch,New Amymouth Logistics Center,360,379,EA,2025-08-26,LOT-17670878
CT-9831-IEW,PART-723045,MAT-33775,Something Patch,Ortizfort Logistics Center,104,106,EA,2026-09-04,LOT-26376337
CT-9831-IEW,PART-171038,MAT-16078,Stock Patch,Carterton Logistics Center,42,287,EA,2025-06-26,LOT-82476241
CT-9831-IEW,PART-702338,MAT-49651,High Injection,Turnerview Logistics Center,15,328,EA,2025-03-21,LOT-70273170
CT-3395-UCM,PART-488079,MAT-34899,Continue Capsule,Derekville Logistics Center,82,179,EA,2026-12-16,LOT-13344610
CT-3395-UCM,PART-510179,MAT-40706,Keep Capsule,Whitneybury Logistics Center,246,347,EA,2027-03-31,LOT-30151730
CT-3395-UCM,PART-259220,MAT-82814,Reduce Solution,New Amymouth Logistics Center,389,379,EA,2026-09-17,LOT-62567327
CT-4229-AWU,PART-651539,MAT-40089,Pull Patch,Meyerview Logistics Center,36,580,EA,2026-11-16,LOT-66136964
CT-4229-AWU,PART-303208,MAT-47986,Experience Tablet,Jonesshire Logistics Center,324,293,EA,2026-01-21,LOT-22597604
CT-4229-AWU,PART-324334,MAT-30745,Indicate Patch,New Thomas Logistics Center,213,191,EA,2027-03-08,LOT-81143076
CT-4229-AWU,PART-675876,MAT-22354,Light Tablet,Allenstad Logistics Center,352,596,EA,2026-09-07,LOT-85774109
CT-9771-CZL,PART-366715,MAT-22610,Us Solution,East Hollyport Logistics Center,36,542,EA,2026-10-19,LOT-85311620
CT-9771-CZL,PART-397076,MAT-93544,Player Solution,Christopherfurt Logistics Center,135,506,EA,2026-06-22,LOT-29648706
CT-5014-EEP,PART-219977,MAT-39627,Fund Tablet,Timstad Logistics Center,321,269,EA,2026-06-17,LOT-35809899
CT-5014-EEP,PART-311329,MAT-53554,They Capsule,Timstad Logistics Center,23,214,EA,2027-05-26,LOT-29384973
CT-3636-AVP,PART-205986,MAT-46171,Though Solution,Lake Jonathan Logistics Center,262,337,EA,2028-02-08,LOT-47865891
CT-3636-AVP,PART-814555,MAT-54383,Agency Injection,Timstad Logistics Center,254,298,EA,2025-08-06,LOT-89567405
CT-7484-BIH,PART-474175,MAT-66257,Hundred Solution,Turnerview Logistics Center,107,534,EA,2026-02-19,LOT-26012891
CT-7484-BIH,PART-974712,MAT-66374,Oil Tablet,Meganchester Logistics Center,251,220,EA,2025-08-29,LOT-34726751
CT-7484-BIH,PART-379291,MAT-74247,Great Patch,South Jennifer Logistics Center,18,447,EA,2026-04-22,LOT-65547337
CT-7487-KNX,PART-458175,MAT-18458,Reason Tablet,New Amymouth Logistics Center,125,311,EA,2025-10-07,LOT-10801382
CT-7487-KNX,PART-809797,MAT-56157,Contain Solution,Port Charlene Logistics Center,178,388,EA,2026-03-28,LOT-90900846
CT-7487-KNX,PART-616891,MAT-59372,Issue Patch,East Matthewton Logistics Center,209,319,EA,2025-09-07,LOT-31152831
CT-3230-HFO,PART-489474,MAT-73628,Health Solution,Ortizfort Logistics Center,194,109,EA,2028-01-17,LOT-10539218
CT-3230-HFO,PART-576850,MAT-68176,Treat Tablet,Georgeview Logistics Center,302,120,EA,2026-02-22,LOT-78676156
CT-3230-HFO,PART-889295,MAT-54713,Free Solution,Christopherfurt Logistics Center,136,557,EA,2027-01-02,LOT-63929636
CT-6551-IBW,PART-188238,MAT-75647,Member Solution,South Jennifer Logistics Center,345,316,EA,2025-06-12,LOT-11280930
CT-6551-IBW,PART-640491,MAT-79992,Anyone Tablet,Allenstad Logistics Center,138,448,EA,2026-07-09,LOT-89806740
CT-6551-IBW,PART-278548,MAT-52579,Cell Tablet,Hernandezborough Logistics Center,174,124,EA,2025-10-04,LOT-91103841
CT-3472-PNG,PART-217351,MAT-22152,Culture Solution,Meyersmouth Logistics Center,392,107,EA,2026-07-17,LOT-59019698
CT-3472-PNG,PART-931348,MAT-45907,Speech Patch,South Lance Logistics Center,86,439,EA,2027-01-08,LOT-88008746
CT-3472-PNG,PART-226738,MAT-84153,Floor Patch,Derekville Logistics Center,201,177,EA,2026-12-16,LOT-89268420
CT-9781-BYC,PART-720235,MAT-31615,Trouble Capsule,Freemanmouth Logistics Center,46,263,EA,2025-10-04,LOT-56495866
CT-9781-BYC,PART-104450,MAT-98864,Positive Injection,Port Tiffany Logistics Center,232,259,EA,2027-05-21,LOT-76547161
CT-9781-BYC,PART-340374,MAT-59079,That Solution,Allenstad Logistics Center,369,207,EA,2026-09-20,LOT-62858960
CT-9781-BYC,PART-613571,MAT-96156,Compare Tablet,Carterton Logistics Center,380,333,EA,2025-12-10,LOT-72341875
