gross_weight (unit-kilogram),goods_rcpt_pr_time,net_weight_of_item,delivery_time,total_repleishment_lead_time,ct_resticker_count,rounding_val_for_purcahse_ordr,safety_time,base_unit_of_measure,mrp_type,division,material_number,material_group,material_type,mrp_controller,plant,product_hierarchy,purchasing_group,unit_of_measure,weight_unit,base_unit_of_measure_2,procurement_type,ct_comparator,dose_form,ct_dose_form_type,dosage_strength,dosage_strength_uom,general_item_category_group,lilly_number,lot_size,pack_type,plant_specific_material_status,ct_primary_pack_type,transportation_group,batch_management_rqrmnt_indctr
2.23,2026-02-14,43.83,2024-07-22,2026-02-08,429,Eye,2026-09-29,Body,VB,Arrive,MAT-81584,MG336,Comparator,MRP-136,US01,2.2.4,PG73,EA,kg,Tend,In-House,Yes,Injection,Work,134.68,mg,Number,563435036,LOT-70117079,Carton,Closed,Physical,LAND,Less
49.42,2026-06-24,37.83,2026-01-24,2026-10-26,44,Per,2025-07-26,Institution,PD,Size,MAT-26378,MG264,Investigational Product,MRP-126,AP03,7.2.5,PG46,EA,kg,Bed,Consignment,No,Capsule,Go,217.44,mcg,Least,168789513,LOT-75893896,Kit,Closed,Suggest,AIR,Price
18.55,2026-02-25,42.72,2024-04-01,2026-09-03,191,Low,2024-07-08,Night,PD,Doctor,MAT-39857,MG349,Ancillary Supply,MRP-131,LAT04,9.2.6,PG78,EA,kg,Interview,In-House,Yes,Solution,Either,134.87,mcg,Deep,828904141,LOT-65133728,Kit,Active,Believe,SEA,World
47.24,2024-01-04,9.87,2024-01-12,2026-02-01,112,Future,2024-07-09,Who,VB,Leader,MAT-91309,MG207,Comparator,MRP-118,LAT04,6.6.4,PG68,EA,kg,Light,Consignment,Yes,Solution,Suffer,7.8,mg,Every,814454828,LOT-41301239,Bottle,Pending,Often,SEA,Glass
14.99,2025-06-25,48.51,2026-04-08,2026-03-15,371,Candidate,2024-04-12,Go,VV,Fall,MAT-74459,MG298,Investigational Product,MRP-114,US01,6.2.1,PG47,EA,kg,Then,External,No,Patch,Fast,196.87,mg,Figure,990245340,LOT-17450919,Blister,Active,Service,AIR,Painting
18.99,2024-06-20,23.01,2024-09-07,2024-05-05,72,Building,2025-11-08,Care,VB,Around,MAT-66331,MG287,Investigational Product,MRP-111,LAT04,6.1.7,PG54,EA,kg,Story,In-House,Yes,Patch,Mouth,12.67,mg,Beautiful,913192627,LOT-99304671,Bottle,Closed,My,LAND,Who
39.94,2024-04-17,31.93,2023-12-30,2025-07-14,100,Thank,2026-02-14,What,VV,Rich,MAT-23246,MG324,Comparator,MRP-119,US01,3.6.9,PG52,EA,kg,Herself,In-House,Yes,Capsule,With,124.47,mg,Expect,804512607,LOT-30151730,Bottle,Pending,Many,AIR,Almost
30.27,2026-09-09,35.16,2024-09-21,2026-04-24,198,Recognize,2026-03-22,Test,VB,Adult,MAT-58804,MG208,Investigational Product,MRP-114,EU02,1.4.9,PG84,EA,kg,Court,Consignment,Yes,Patch,Right,84.7,mcg,Certainly,353283395,LOT-60873216,Kit,Completed,Major,AIR,Focus
47.58,2026-11-08,10.81,2025-11-05,2024-08-23,249,Include,2025-01-25,See,VB,Big,MAT-14115,MG203,Comparator,MRP-135,EU02,2.5.5,PG97,EA,kg,Each,Consignment,Yes,Tablet,Attention,73.5,mL,Daughter,250549246,LOT-54560092,Kit,Pending,About,SEA,Relate
16.65,2026-07-21,22.14,2024-07-25,2023-11-26,364,Religious,2024-04-23,Mind,VV,Sure,MAT-78401,MG315,Ancillary Supply,MRP-103,US01,7.7.1,PG29,EA,kg,Significant,In-House,Yes,Solution,Just,177.92,mcg,Ask,387593729,LOT-63929636,Kit,Active,Kid,LAND,Nearly
17.05,2026-07-18,47.05,2023-12-04,2024-03-27,337,They,2025-12-28,Never,PD,First,MAT-30703,MG398,Investigational Product,MRP-124,AP03,8.6.9,PG54,EA,kg,Cultural,External,No,Tablet,Table,229.19,mcg,Race,147444198,LOT-57559766,Carton,Pending,Wind,LAND,To
12.14,2026-05-09,23.49,2025-03-24,2024-09-13,406,See,2025-10-09,Training,VV,Professor,MAT-61362,MG400,Ancillary Supply,MRP-134,US01,5.5.6,PG18,EA,kg,Artist,Consignment,Yes,Patch,Result,228.15,mcg,Such,682268693,LOT-29648706,Kit,Completed,Start,LAND,Walk
1.88,2026-05-21,29.24,2026-01-03,2026-03-06,266,Agent,2026-10-02,Heart,VV,Follow,MAT-18409,MG251,Investigational Product,MRP-137,AP03,6.4.3,PG41,EA,kg,South,In-House,No,Injection,Animal,195.77,mg,Program,441991190,LOT-12068529,Kit,Active,In,SEA,Respond
23.62,2025-09-05,8.89,2024-06-26,2025-04-11,1,Although,2023-12-01,Themselves,PD,Agreement,MAT-58266,MG344,Ancillary Supply,MRP-114,EU02,8.7.4,PG50,EA,kg,Weight,In-House,Yes,Solution,Condition,31.82,mL,Value,338513314,LOT-83708194,Bottle,Closed,Early,AIR,Attention
30.29,2026-07-18,49.36,2025-06-12,2025-08-22,269,Law,2024-03-08,Sure,VB,Term,MAT-23465,MG308,Comparator,MRP-111,US01,6.4.2,PG61,EA,kg,Usually,External,Yes,Tablet,Throw,111.66,mg,Play,820652457,LOT-94846184,Blister,Pending,Sort,SEA,Society
37.33,2025-04-12,19.79,2025-12-12,2026-05-10,90,Bad,2026-05-01,Per,VV,Low,MAT-33689,MG225,Ancillary Supply,MRP-116,EU02,8.3.8,PG28,EA,kg,Yourself,Consignment,Yes,Tablet,Water,141.84,mL,Stage,381188535,LOT-62567327,Bottle,Completed,Force,SEA,Experience
8.47,2025-06-21,7.66,2026-05-04,2024-04-08,340,Real,2024-07-23,Society,PD,Last,MAT-22108,MG237,Comparator,MRP-102,US01,7.7.2,PG43,EA,kg,Image,Consignment,Yes,Injection,Ask,205.58,mL,Reflect,185259897,LOT-89350866,Kit,Completed,Represent,AIR,House
33.14,2024-08-15,5.12,2026-10-24,2026-08-10,143,Rule,2026-05-30,Production,VV,Across,MAT-93657,MG252,Investigational Product,MRP-109,AP03,8.9.3,PG56,EA,kg,Beat,Consignment,No,Capsule,Line,40.99,mcg,Beautiful,559624080,LOT-56689918,Carton,Pending,Listen,LAND,Trip
3.02,2025-02-09,21.71,2025-06-01,2026-08-30,83,Include,2024-03-11,Though,VB,History,MAT-16848,MG269,Comparator,MRP-106,LAT04,6.5.2,PG89,EA,kg,Within,Consignment,No,Solution,Skin,175.29,mg,Determine,366357997,LOT-54560092,Blister,Active,Behavior,SEA,Ahead
2.49,2025-09-18,36.77,2024-09-21,2025-07-22,269,Save,2026-07-12,Environmental,PD,He,MAT-47254,MG265,Comparator,MRP-136,EU02,3.4.2,PG27,EA,kg,Too,Consignment,No,Capsule,After,122.73,mg,More,225879805,LOT-71950782,Bottle,Closed,Own,AIR,Itself
46.36,2026-01-08,3.89,2025-07-18,2024-04-03,411,Total,2025-10-28,Town,PD,Current,MAT-15875,MG377,Ancillary Supply,MRP-138,EU02,2.1.7,PG43,EA,kg,Always,External,Yes,Injection,Before,29.73,mg,Part,795612810,LOT-91968301,Bottle,Completed,Opportunity,SEA,Guess
10.56,2024-05-24,10.77,2025-06-01,2025-04-13,193,Debate,2025-03-20,Human,VB,Deal,MAT-47140,MG281,Comparator,MRP-111,US01,7.9.5,PG64,EA,kg,Enter,External,No,Solution,Cup,162.74,mg,Support,814111570,LOT-13988492,Bottle,Pending,In,SEA,Paper
5.04,2024-11-01,33.42,2026-01-29,2024-01-31,158,Financial,2024-12-11,Material,VV,Science,MAT-58634,MG304,Ancillary Supply,MRP-109,EU02,6.1.7,PG94,EA,kg,Maybe,External,Yes,Injection,Up,214.39,mL,Fall,516116350,LOT-82054650,Carton,Closed,Former,AIR,Develop
32.74,2025-12-30,9.5,2024-07-30,2024-12-24,307,East,2026-09-26,But,VV,Garden,MAT-18097,MG227,Investigational Product,MRP-114,AP03,4.3.9,PG90,EA,kg,Part,In-House,No,Capsule,Economic,139.47,mL,Usually,851548531,LOT-44540514,Carton,Active,She,SEA,Specific
19.58,2026-06-16,47.32,2025-04-13,2024-12-09,317,Relationship,2025-08-31,News,VB,Especially,MAT-92337,MG231,Investigational Product,MRP-115,LAT04,6.2.5,PG86,EA,kg,Might,In-House,Yes,Capsule,Pressure,86.24,mcg,Form,111171748,LOT-26474824,Kit,Completed,Either,LAND,Camera
33.51,2024-07-30,33.4,2023-11-29,2024-07-28,228,All,2026-02-17,Minute,VV,Subject,MAT-37872,MG269,Comparator,MRP-110,AP03,6.7.3,PG78,EA,kg,Window,In-House,Yes,Capsule,Whom,207.22,mL,Per,504972699,LOT-75185716,Bottle,Active,Public,SEA,Toward
42.23,2024-05-10,14.32,2025-07-27,2026-11-08,212,Fall,2025-01-24,Material,VB,Success,MAT-55297,MG387,Comparator,MRP-134,EU02,6.1.2,PG13,EA,kg,Suddenly,Consignment,No,Capsule,Table,79.01,mL,Little,418667028,LOT-36676116,Bottle,Active,Idea,AIR,Technology
31.61,2025-06-14,11.69,2025-07-29,2024-11-20,187,Within,2026-10-06,Late,PD,Attorney,MAT-14039,MG390,Investigational Product,MRP-115,EU02,5.4.1,PG40,EA,kg,Response,External,Yes,Capsule,Investment,48.75,mcg,Hundred,324692556,LOT-44689282,Blister,Pending,Power,SEA,Class
40.93,2024-12-11,4.46,2023-12-11,2024-02-03,350,Kid,2024-06-29,Under,VV,Although,MAT-86168,MG367,Investigational Product,MRP-119,AP03,5.5.7,PG80,EA,kg,Today,In-House,No,Solution,History,229.24,mg,Also,660118528,LOT-31152831,Blister,Completed,Student,LAND,Act
6.08,2024-10-04,48.11,2024-04-01,2025-08-29,339,Particular,2026-06-15,Heavy,PD,Hold,MAT-16627,MG311,Investigational Product,MRP-125,US01,7.2.4,PG96,EA,kg,Site,In-House,No,Injection,Career,62.61,mg,Protect,303168467,LOT-39007987,Blister,Active,Send,LAND,Program
44.54,2026-10-19,27.54,2024-04-22,2026-04-17,361,Actually,2025-06-19,Make,PD,Land,MAT-33775,MG333,Ancillary Supply,MRP-113,LAT04,6.6.1,PG14,EA,kg,Page,In-House,Yes,Solution,Here,236.19,mcg,Local,735900848,LOT-98018080,Kit,Closed,Court,LAND,Account
1.08,2024-02-17,24.69,2024-11-08,2023-11-17,353,Process,2025-12-17,Family,VV,Budget,MAT-16078,MG300,Comparator,MRP-139,LAT04,4.2.1,PG47,EA,kg,Mind,External,Yes,Capsule,Hot,132.69,mL,Win,107657814,LOT-92761826,Blister,Completed,Arm,SEA,Suddenly
9.33,2024-02-12,28.75,2024-03-13,2025-10-25,242,Miss,2024-02-26,Customer,PD,Charge,MAT-49651,MG232,Investigational Product,MRP-112,AP03,3.2.3,PG55,EA,kg,Seven,External,Yes,Solution,Its,118.43,mcg,Their,356422849,LOT-46366370,Kit,Active,Rise,SEA,Should
3.86,2024-11-10,14.54,2024-10-17,2023-12-30,124,Ready,2026-01-14,Fill,PD,Site,MAT-34899,MG374,Investigational Product,MRP-107,US01,7.9.7,PG23,EA,kg,Plant,Consignment,No,Tablet,School,59.01,mg,Guess,598195532,LOT-26118494,Carton,Active,Investment,AIR,Field
39.35,2023-12-29,49.04,2025-06-20,2024-06-15,16,Decade,2024-03-18,Throughout,VB,Message,MAT-40706,MG215,Investigational Product,MRP-103,US01,3.9.4,PG33,EA,kg,Throw,Consignment,No,Injection,Important,139.1,mcg,Less,124371851,LOT-28144033,Bottle,Completed,Top,SEA,Serve
1.24,2025-10-26,40.75,2026-04-25,2024-11-10,4,Fish,2024-04-19,Everybody,VB,Shake,MAT-82814,MG335,Investigational Product,MRP-110,LAT04,1.5.1,PG47,EA,kg,Need,Consignment,Yes,Patch,Doctor,27.5,mL,Difference,722825537,LOT-94284099,Carton,Closed,Where,LAND,Myself
44.35,2024-03-22,34.84,2024-07-12,2025-02-08,396,Partner,2024-10-17,Which,PD,Finally,MAT-40089,MG216,Investigational Product,MRP-126,EU02,2.3.8,PG16,EA,kg,Guy,In-House,Yes,Solution,A,89.95,mL,Why,118430139,LOT-16679340,Blister,Active,Fine,AIR,Sound
17.26,2025-08-26,39.25,2025-11-27,2024-07-10,260,Business,2024-07-27,Look,VB,Bag,MAT-47986,MG381,Investigational Product,MRP-130,AP03,4.5.1,PG37,EA,kg,Word,In-House,No,Solution,Change,155.13,mg,Everybody,686882075,LOT-14364098,Kit,Pending,Nor,AIR,Crime
22.21,2024-07-09,46.5,2025-09-04,2025-10-28,200,Leg,2025-12-13,Friend,PD,Site,MAT-30745,MG274,Comparator,MRP-133,US01,5.5.8,PG95,EA,kg,Speak,Consignment,Yes,Tablet,Improve,113.44,mL,Mission,439055467,LOT-21437748,Bottle,Active,Close,LAND,Its
47.04,2024-05-23,45.84,2026-02-13,2025-10-17,459,Federal,2025-10-03,Table,VV,With,MAT-22354,MG364,Investigational Product,MRP-135,LAT04,1.7.4,PG63,EA,kg,Six,Consignment,Yes,Tablet,Civil,95.55,mL,Begin,275801188,LOT-16159838,Carton,Closed,His,SEA,Same
17.79,2026-10-11,15.37,2024-05-04,2025-02-12,50,Among,2024-02-12,Senior,PD,Forward,MAT-22610,MG338,Ancillary Supply,MRP-108,LAT04,5.5.7,PG66,EA,kg,Fire,External,No,Patch,Exactly,81.95,mL,Real,233532548,LOT-36766763,Bottle,Active,Detail,AIR,Enter
38.48,2026-09-04,25.58,2025-06-19,2024-12-26,152,Main,2024-03-01,Less,VB,Left,MAT-93544,MG273,Investigational Product,MRP-123,LAT04,2.8.6,PG36,EA,kg,Simply,In-House,Yes,Injection,Each,45.28,mcg,Major,727895011,LOT-63418468,Blister,Closed,Hope,AIR,Serious
23.64,2024-09-01,49.61,2026-09-21,2024-09-19,127,Fight,2025-10-17,Reduce,VV,Take,MAT-39627,MG286,Comparator,MRP-123,LAT04,4.3.3,PG49,EA,kg,Close,External,Yes,Tablet,Consumer,101.56,mcg,Just,814453726,LOT-45619384,Bottle,Closed,Western,AIR,Mouth
2.88,2025-03-28,30.4,2024-10-20,2024-04-21,461,Father,2024-01-02,Call,VV,Where,MAT-53554,MG283,Ancillary Supply,MRP-103,LAT04,4.8.2,PG33,EA,kg,Mother,External,No,Solution,Think,211.98,mcg,Design,679159614,LOT-92214561,Blister,Active,One,AIR,System
45.55,2025-11-15,25.11,2024-05-20,2026-05-09,490,Plant,2025-12-23,East,VV,Prepare,MAT-46171,MG355,Ancillary Supply,MRP-136,AP03,7.8.6,PG38,EA,kg,Goal,In-House,Yes,Injection,Plant,89.53,mcg,Single,427717250,LOT-22463904,Kit,Active,Newspaper,SEA,Both
12.56,2026-02-13,36.18,2024-12-30,2026-01-20,95,Production,2026-09-04,Myself,PD,Add,MAT-54383,MG271,Comparator,MRP-108,EU02,9.4.1,PG90,EA,kg,Radio,External,Yes,Injection,Determine,81.67,mL,Place,320394505,LOT-74130481,Blister,Closed,Sort,LAND,Appear
22.05,2026-09-23,3.83,2025-01-24,2024-06-06,118,Left,2025-02-16,Politics,VB,Peace,MAT-66257,MG346,Comparator,MRP-133,LAT04,2.2.6,PG69,EA,kg,New,In-House,No,Patch,Guess,14.13,mcg,Or,199862604,LOT-85774109,Carton,Closed,Every,AIR,Media
19.48,2025-10-29,38.97,2024-05-11,2026-08-13,311,Democratic,2025-11-17,Some,VB,Shoulder,MAT-66374,MG226,Ancillary Supply,MRP-135,AP03,7.3.4,PG22,EA,kg,According,Consignment,No,Tablet,Best,97.09,mL,Gas,333663787,LOT-38707248,Blister,Completed,Decide,SEA,Minute
21.91,2024-11-30,1.9,2024-01-19,2025-12-25,153,Life,2026-03-24,Major,PD,Her,MAT-74247,MG273,Investigational Product,MRP-131,EU02,1.5.1,PG54,EA,kg,Share,Consignment,No,Tablet,Movie,196.47,mL,Figure,124488496,LOT-60891080,Blister,Completed,Quickly,SEA,Plant
44.82,2023-11-22,5.43,2024-03-28,2024-07-22,94,Then,2025-09-01,Material,VV,Result,MAT-18458,MG307,Ancillary Supply,MRP-102,EU02,5.4.5,PG81,EA,kg,Us,Consignment,Yes,Capsule,Form,188.59,mcg,Machine,816344927,LOT-11996537,Blister,Completed,Call,LAND,Require
44.75,2025-07-07,13.45,2024-04-07,2026-10-20,107,Begin,2024-02-18,Effort,VV,Window,MAT-56157,MG323,Comparator,MRP-116,EU02,1.2.9,PG20,EA,kg,Never,Consignment,No,Tablet,True,236.4,mL,We,711209222,LOT-90900846,Carton,Completed,Worker,LAND,Deal
44.21,2026-07-21,35.26,2026-01-20,2023-12-17,10,Term,2026-07-05,Song,VV,Whole,MAT-59372,MG267,Ancillary Supply,MRP-126,US01,5.7.6,PG44,EA,kg,Indeed,Consignment,No,Capsule,Turn,22.14,mL,Decide,867701437,LOT-65372587,Bottle,Completed,Participant,AIR,Hundred
28.06,2025-12-07,46.82,2025-05-18,2026-10-30,28,Skin,2025-03-21,Drop,VV,Any,MAT-73628,MG201,Ancillary Supply,MRP-138,US01,8.6.5,PG32,EA,kg,Good,In-House,No,Solution,Measure,35.22,mcg,Without,788311443,LOT-73297905,Kit,Pending,Stop,LAND,Carry
27.77,2026-04-03,42.21,2025-03-22,2026-08-13,406,Peace,2023-12-01,Sort,PD,Site,MAT-68176,MG212,Comparator,MRP-137,EU02,2.9.2,PG47,EA,kg,Wonder,Consignment,Yes,Solution,Structure,200.46,mL,Box,844760233,LOT-28229614,Carton,Pending,Smile,LAND,National
47.15,2023-11-28,25.01,2025-11-13,2026-04-21,247,Bad,2024-01-27,First,VV,Throw,MAT-54713,MG288,Ancillary Supply,MRP-134,AP03,7.3.3,PG26,EA,kg,Theory,In-House,Yes,Patch,Born,246.97,mcg,Visit,674297653,LOT-91103841,Bottle,Active,Music,LAND,Computer
32.08,2024-10-27,18.69,2023-12-31,2023-12-14,134,Everybody,2026-03-09,Easy,PD,Explain,MAT-75647,MG234,Ancillary Supply,MRP-124,EU02,1.9.2,PG21,EA,kg,Still,Consignment,No,Patch,Newspaper,184.4,mL,Song,748143004,LOT-77757177,Bottle,Closed,Past,SEA,Exactly
30.97,2025-08-03,10.52,2025-02-15,2026-02-14,246,Ten,2025-07-16,We,VV,Rich,MAT-79992,MG251,Ancillary Supply,MRP-115,EU02,1.2.2,PG79,EA,kg,You,External,No,Tablet,Someone,55.41,mL,Standard,883824408,LOT-36766763,Carton,Pending,Degree,LAND,Economy
35.97,2025-05-12,9.85,2025-10-05,2025-11-07,215,Term,2026-01-21,Measure,VB,Question,MAT-52579,MG243,Comparator,MRP-109,US01,1.4.5,PG35,EA,kg,Maybe,Consignment,Yes,Capsule,Team,80.66,mg,Force,478830709,LOT-31271496,Bottle,Pending,Firm,AIR,Group
7.22,2026-08-13,34.48,2026-06-19,2025-11-02,342,Area,2023-12-18,Next,VV,Quite,MAT-22152,MG224,Ancillary Supply,MRP-129,US01,9.8.5,PG66,EA,kg,Material,External,Yes,Capsule,Air,197.53,mg,Home,327200273,LOT-41222298,Bottle,Active,Listen,AIR,Do
42.04,2024-02-26,48.5,2024-05-12,2025-05-07,497,Whose,2024-02-07,Would,VB,Approach,MAT-45907,MG351,Ancillary Supply,MRP-115,LAT04,7.8.1,PG52,EA,kg,Instead,External,No,Capsule,Girl,88.93,mcg,Establish,603820599,LOT-28144033,Carton,Active,Itself,LAND,Happen
9.58,2025-01-13,2.35,2026-07-31,2025-10-02,254,Contain,2024-10-04,Movement,VB,Economic,MAT-84153,MG315,Comparator,MRP-118,US01,2.7.3,PG43,EA,kg,Try,Consignment,Yes,Patch,Since,108.64,mcg,Interest,338148598,LOT-65133728,Bottle,Completed,Ground,AIR,Seem
24.81,2025-07-13,12.41,2026-03-30,2025-10-05,188,Onto,2025-12-10,Evidence,PD,Identify,MAT-31615,MG244,Comparator,MRP-122,EU02,2.9.8,PG87,EA,kg,Seat,Consignment,Yes,Tablet,Art,171.98,mg,Argue,335653567,LOT-44540514,Kit,Active,Cover,AIR,Picture
40.41,2025-04-23,28.84,2024-08-29,2025-07-11,196,Set,2024-06-21,Small,PD,Wall,MAT-98864,MG392,Ancillary Supply,MRP-119,AP03,8.1.5,PG61,EA,kg,Budget,External,Yes,Patch,Laugh,152.39,mL,Stay,854571311,LOT-28144033,Bottle,Completed,Purpose,LAND,Responsibility
26.16,2026-08-28,33.84,2024-05-04,2026-09-01,177,Capital,2024-05-07,Start,VV,Wish,MAT-59079,MG250,Investigational Product,MRP-118,EU02,6.8.2,PG27,EA,kg,Necessary,In-House,Yes,Injection,Total,130.0,mg,Blood,196806883,LOT-71950782,Bottle,Pending,New,SEA,After
38.49,2024-11-02,25.65,2026-03-11,2024-04-02,9,Event,2025-06-21,Guess,VV,Three,MAT-96156,MG358,Ancillary Supply,MRP-110,AP03,7.8.6,PG86,EA,kg,Situation,Consignment,No,Capsule,Technology,47.45,mL,Chair,611324819,LOT-60873216,Kit,Closed,Matter,LAND,Step
