CC Characteristic_Value_Number,CC Characteristic Value Text,Characteristic description,Characteristic Format,Characteristic Id,Characteristic Name,Delete Flag,Division Id,Material Grp Id,Material Grp Name,Material ID,Material Name,Material Type Description,Material Type Id,Mrp Controller Id,MRP Controller Name,Name,Plant Id,Plant Specific Material Status,Profit Center Full Name,Profit Center Id,Profit Center Name,TXTSH,Value Control,GROSS_WT,NET_WEIGHT,Trial Alias
4947,Double Blind,Set Solution specification,Old,CHAR-13805,Positive Compound,No,975978977,622794430,Quite recent firm health,MAT-81584,Set Solution,Comparator,Comparator,MRP-136,MRP-136,Discover tell response local business,US01,Completed,Identify direction what American,323209612,Outside part whatever,We,1371.5,4.17,2.53,CT-5806-JWO
3049,Comparator,Shake Tablet specification,Western,CHAR-83450,Need Compound,No,880718803,177243013,Way article today,MAT-26378,Shake Tablet,Investigational Product,Investigational Product,MRP-126,MRP-126,Arrive green,AP03,Completed,Get that let,781536386,Total sport Congress government,Arrive,2665.92,3.5,3.08,CT-5806-JWO
3896,Double Blind,Age Tablet specification,Necessary,CHAR-54005,South Compound,Yes,326290827,163582216,Window however movie,MAT-39857,Age Tablet,Ancillary Supply,Ancillary Supply,MRP-131,MRP-131,Although brother nor live,LAT04,Pending,Continue young less him anyone,335118112,Sea before,Fact,3455.0,3.26,2.46,CT-5806-JWO
2353,Comparator,Simply Injection specification,Official,CHAR-66040,Form Compound,No,631236549,976346623,Scientist consider,MAT-91309,Simply Injection,Comparator,Comparator,MRP-118,MRP-118,Woman score,LAT04,Completed,Human sea according share,297525829,Cause interesting somebody note,Join,2910.69,1.4,0.93,CT-8015-GMQ
4785,Double Blind,Memory Solution specification,People,CHAR-22254,Recognize Compound,No,781055482,695200121,Hour art tree however,MAT-74459,Memory Solution,Investigational Product,Investigational Product,MRP-114,MRP-114,Blue show great network,US01,Pending,However audience range,654697806,Act laugh ready,Leg,2277.57,4.81,3.91,CT-8015-GMQ
4558,Double Blind,Step Solution specification,Water,CHAR-20366,Theory Compound,No,948742911,763109338,One expect fast,MAT-66331,Step Solution,Investigational Product,Investigational Product,MRP-111,MRP-111,Responsibility eight,LAT04,Closed,Executive future others,330640328,Protect response high,Choice,3770.44,1.74,1.05,CT-8872-GKR
8241,Double Blind,Type Injection specification,Trip,CHAR-49929,Study Compound,No,475485541,604873679,Magazine military everything spring,MAT-23246,Type Injection,Comparator,Comparator,MRP-119,MRP-119,Enough sense case draw,US01,Pending,Truth laugh entire,530065804,Marriage news dark,System,4137.15,2.49,2.13,CT-8872-GKR
2879,Double Blind,Sense Tablet specification,Beautiful,CHAR-50134,Public Compound,Yes,949140073,545879179,Enter say hour,MAT-58804,Sense Tablet,Investigational Product,Investigational Product,MRP-114,MRP-114,Agreement cold,EU02,Active,Either for fight kind least,320805840,Play page ground black,Employee,1266.86,3.12,2.87,CT-8872-GKR
9221,Double Blind,Property Tablet specification,Where,CHAR-35491,Available Compound,No,459909948,279315406,Admit record difficult perform,MAT-14115,Property Tablet,Comparator,Comparator,MRP-135,MRP-135,Effort sort level,EU02,Pending,Blue truth,682041185,Professor attack help,Theory,2053.15,1.44,2.81,CT-1696-SCY
5377,Sterile,Expect Tablet specification,Small,CHAR-53121,Country Compound,No,756953109,499527491,Size hand,MAT-78401,Expect Tablet,Ancillary Supply,Ancillary Supply,MRP-103,MRP-103,Crime religious large,US01,Completed,Fill national,188160659,Simply front idea,Mind,1344.27,1.48,0.75,CT-1696-SCY
9587,Sterile,Cold Injection specification,Finish,CHAR-73635,Necessary Compound,No,165662240,124587772,Suffer someone goal kitchen,MAT-30703,Cold Injection,Investigational Product,Investigational Product,MRP-124,MRP-124,Apply recent probably where,AP03,Pending,Defense this experience,938243279,Three as find act,Brother,2506.37,2.23,2.79,CT-3228-ZKT
3418,Comparator,Better Tablet specification,Person,CHAR-73162,Food Compound,No,563137354,986907208,Minute child human,MAT-61362,Better Tablet,Ancillary Supply,Ancillary Supply,MRP-134,MRP-134,Describe floor meet through,US01,Completed,Smile people natural name,561175879,Small war,Raise,852.85,2.56,1.09,CT-3228-ZKT
1965,Comparator,Commercial Tablet specification,Central,CHAR-76119,Current Compound,Yes,231917194,843893995,Change player,MAT-18409,Commercial Tablet,Investigational Product,Investigational Product,MRP-137,MRP-137,Financial capital probably,AP03,Pending,Enter report order section,760696175,Name many our,On,3622.5,1.61,3.71,CT-3228-ZKT
6496,Sterile,Tree Injection specification,Assume,CHAR-88686,Bring Compound,No,909155245,161331408,Care enter left character,MAT-58266,Tree Injection,Ancillary Supply,Ancillary Supply,MRP-114,MRP-114,Heavy cold century guy,EU02,Pending,Sense economic,697639257,Surface trip so food herself,Right,4637.27,3.13,1.82,CT-3228-ZKT
7147,Comparator,Toward Injection specification,Find,CHAR-40388,Marriage Compound,Yes,593510171,891586236,Myself list,MAT-23465,Toward Injection,Comparator,Comparator,MRP-111,MRP-111,Community rather board treatment,US01,Active,Happy audience well training natural,474353261,Heart well book research,Door,2658.78,1.26,3.89,CT-6910-RDE
1862,Comparator,South Capsule specification,Their,CHAR-73277,Like Compound,Yes,459780404,912533956,No collection gas wide ten,MAT-33689,South Capsule,Ancillary Supply,Ancillary Supply,MRP-116,MRP-116,Chance staff others view,EU02,Pending,Describe today inside,925475050,Reveal fight teacher,Energy,4625.92,2.43,2.58,CT-6910-RDE
1836,Double Blind,Win Injection specification,Like,CHAR-52619,Impact Compound,Yes,637173986,510426561,Occur daughter piece,MAT-22108,Win Injection,Comparator,Comparator,MRP-102,MRP-102,Wall team six,US01,Pending,Catch by travel score,477608437,Baby sign meeting success,Despite,2936.89,3.19,1.28,CT-6910-RDE
2908,Comparator,Dog Patch specification,Hold,CHAR-94231,Power Compound,Yes,582246620,268770120,Discussion note new clear Democrat,MAT-93657,Dog Patch,Investigational Product,Investigational Product,MRP-109,MRP-109,Half possible national,AP03,Completed,Shoulder long two,794309431,Establish risk them few,Arm,2319.59,1.07,2.25,CT-6910-RDE
2531,Sterile,Blue Patch specification,Indeed,CHAR-30526,Side Compound,No,441910153,696932953,Make drop receive church leader,MAT-16848,Blue Patch,Comparator,Comparator,MRP-106,MRP-106,Book prepare,LAT04,Closed,Radio by,177988941,Reason program,Black,883.5,3.37,3.09,CT-8742-ECD
4618,Comparator,Article Tablet specification,Community,CHAR-56159,Thought Compound,Yes,386995585,895831134,North born cell charge see,MAT-47254,Article Tablet,Comparator,Comparator,MRP-136,MRP-136,One indeed deep,EU02,Completed,Only put hotel receive,842492474,Million myself safe,Individual,4687.99,2.92,3.6,CT-8742-ECD
8157,Comparator,Happy Solution specification,Outside,CHAR-87175,Thing Compound,No,935907957,213326121,Assume out yourself,MAT-15875,Happy Solution,Ancillary Supply,Ancillary Supply,MRP-138,MRP-138,Girl say six,EU02,Completed,Son wind admit professional now,877620432,However money,Win,4819.01,1.81,2.43,CT-8742-ECD
8353,Comparator,Side Capsule specification,Sound,CHAR-59962,Character Compound,Yes,529743466,891492982,Floor white after,MAT-47140,Side Capsule,Comparator,Comparator,MRP-111,MRP-111,Give catch,US01,Closed,Success meet main place,838026335,Tree today,Unit,3130.22,3.49,2.45,CT-8742-ECD
1970,Sterile,Impact Patch specification,Special,CHAR-95412,That Compound,No,553548556,344906463,Figure manage forward,MAT-58634,Impact Patch,Ancillary Supply,Ancillary Supply,MRP-109,MRP-109,Party news effect,EU02,Active,Body cup leg,201982223,Lot attorney point long,Student,4854.13,2.2,1.91,CT-7047-GQC
3346,Double Blind,Enter Capsule specification,Rest,CHAR-54706,Check Compound,Yes,892691999,807719388,Final will,MAT-18097,Enter Capsule,Investigational Product,Investigational Product,MRP-114,MRP-114,Science behind,AP03,Completed,Skill religious audience color official,350285240,Standard national dark,Lawyer,10.62,3.81,1.5,CT-7047-GQC
9928,Comparator,Beyond Solution specification,Behavior,CHAR-78598,Interesting Compound,No,185995556,492975801,Point husband me information old,MAT-92337,Beyond Solution,Investigational Product,Investigational Product,MRP-115,MRP-115,Talk information central fly,LAT04,Active,Whole perhaps return officer cover,184830869,Down middle nothing,Type,2097.27,4.61,2.79,CT-7047-GQC
9876,Double Blind,Effort Capsule specification,Street,CHAR-68515,Arrive Compound,No,412070287,953226449,Other charge far concern necessary,MAT-37872,Effort Capsule,Comparator,Comparator,MRP-110,MRP-110,See serve,AP03,Completed,Pick bill statement above,243471753,Allow understand radio shoulder new,Region,3313.61,2.44,1.65,CT-1816-RCG
6310,Double Blind,New Solution specification,Community,CHAR-87207,Help Compound,Yes,677400906,788609490,Despite five agree fast,MAT-55297,New Solution,Comparator,Comparator,MRP-134,MRP-134,Sell thing your,EU02,Pending,Music use sort,491081407,Reason increase speech,Sell,3844.34,3.63,0.5,CT-1816-RCG
6895,Sterile,Should Tablet specification,Rich,CHAR-99021,Reduce Compound,Yes,768480168,812196167,Democrat agency,MAT-14039,Should Tablet,Investigational Product,Investigational Product,MRP-115,MRP-115,Practice social past,EU02,Active,Send product wide discussion,450087646,Thing lawyer ball might born,Class,3573.08,1.66,2.96,CT-6109-EDZ
8348,Comparator,Run Solution specification,School,CHAR-35461,Share Compound,No,344646086,172510545,Building help sea,MAT-86168,Run Solution,Investigational Product,Investigational Product,MRP-119,MRP-119,Value page authority politics rest,AP03,Active,Carry network season should,627417982,Attorney agent represent professional,Her,3871.79,2.78,3.4,CT-6109-EDZ
7639,Sterile,Receive Patch specification,Cut,CHAR-34290,Side Compound,Yes,151181060,332783017,Political recently attorney attorney agency,MAT-16627,Receive Patch,Investigational Product,Investigational Product,MRP-125,MRP-125,Among let list sort,US01,Pending,Price table factor,887542933,Support before they look,Father,4001.5,4.32,2.46,CT-9831-IEW
2464,Comparator,Something Patch specification,Heart,CHAR-45854,Interest Compound,Yes,624673292,570699628,Parent small,MAT-33775,Something Patch,Ancillary Supply,Ancillary Supply,MRP-113,MRP-113,Himself today suddenly,LAT04,Pending,Include science here,184687964,Pattern tend stop perform,Light,303.29,3.66,3.34,CT-9831-IEW
5299,Sterile,Stock Patch specification,Activity,CHAR-69510,Fill Compound,No,164832888,477412877,Religious hope,MAT-16078,Stock Patch,Comparator,Comparator,MRP-139,MRP-139,Prove hundred Democrat,LAT04,Pending,Develop moment figure strong,590095039,Scientist clear section,Mouth,2261.08,3.62,0.77,CT-9831-IEW
4401,Double Blind,High Injection specification,Style,CHAR-98972,Number Compound,Yes,195987869,257199180,Hand community author outside,MAT-49651,High Injection,Investigational Product,Investigational Product,MRP-112,MRP-112,Argue people,AP03,Closed,Bar plant,313788428,Heavy every accept material doctor,Magazine,35.04,3.48,3.11,CT-9831-IEW
2884,Comparator,Continue Capsule specification,Economic,CHAR-46949,Field Compound,Yes,546493957,519555917,Put figure somebody,MAT-34899,Continue Capsule,Investigational Product,Investigational Product,MRP-107,MRP-107,Century line however also sound,US01,Closed,Get instead,972883212,Become conference ahead,Leave,321.42,2.45,2.69,CT-3395-UCM
4248,Sterile,Keep Capsule specification,Soon,CHAR-47537,Trouble Compound,Yes,762757195,941150476,Surface term agreement education head,MAT-40706,Keep Capsule,Investigational Product,Investigational Product,MRP-103,MRP-103,Something ask,US01,Closed,Become teach fear,485597353,Green mother nature improve,Understand,3106.13,3.71,3.86,CT-3395-UCM
7826,Sterile,Reduce Solution specification,Throw,CHAR-53743,Candidate Compound,No,604526870,579947366,Appear from,MAT-82814,Reduce Solution,Investigational Product,Investigational Product,MRP-110,MRP-110,Many four year,LAT04,Pending,No reveal four five find,891523511,Discussion war director learn,Power,3152.97,4.96,2.73,CT-3395-UCM
9721,Comparator,Pull Patch specification,Beyond,CHAR-93250,Through Compound,Yes,556827672,209198123,Opportunity join entire,MAT-40089,Pull Patch,Investigational Product,Investigational Product,MRP-126,MRP-126,Whom catch,EU02,Pending,Mrs well,982173685,Left color pressure idea,Who,3942.56,4.75,1.68,CT-4229-AWU
9541,Comparator,Experience Tablet specification,Soldier,CHAR-31457,Particularly Compound,No,994585793,347656810,About from prepare could,MAT-47986,Experience Tablet,Investigational Product,Investigational Product,MRP-130,MRP-130,Doctor kid risk,AP03,Active,Degree ever Republican report record,599693972,Tree protect,Chair,2588.56,2.75,0.94,CT-4229-AWU
8177,Comparator,Indicate Patch specification,Build,CHAR-29333,Together Compound,Yes,136111459,454705061,Story main resource,MAT-30745,Indicate Patch,Comparator,Comparator,MRP-133,MRP-133,Foreign season,US01,Active,Democratic street consider,260109760,Specific fight president parent,Physical,3003.48,2.59,2.56,CT-4229-AWU
6663,Sterile,Light Tablet specification,Soldier,CHAR-20701,Black Compound,Yes,135090081,736152232,Continue boy,MAT-22354,Light Tablet,Investigational Product,Investigational Product,MRP-135,MRP-135,Bad oil already entire professor,LAT04,Pending,Road all thought wide,165271090,Collection story husband idea,Drive,1894.52,1.65,2.6,CT-4229-AWU
6197,Comparator,Us Solution specification,Meeting,CHAR-40741,Look Compound,No,905234572,520963098,Thus night do start,MAT-22610,Us Solution,Ancillary Supply,Ancillary Supply,MRP-108,MRP-108,Congress will,LAT04,Closed,Happen week increase most itself,329917613,Character administration last successful,Either,4234.91,2.22,0.56,CT-9771-CZL
4543,Double Blind,Player Solution specification,Onto,CHAR-50338,Behavior Compound,Yes,266211130,173306001,Skill build particular these,MAT-93544,Player Solution,Investigational Product,Investigational Product,MRP-123,MRP-123,Require of why environmental,LAT04,Active,Onto less good,419182780,Discuss whose hand city,Under,622.86,1.44,1.95,CT-9771-CZL
9462,Double Blind,Fund Tablet specification,Give,CHAR-21860,Take Compound,Yes,269488008,181997944,Behavior level you,MAT-39627,Fund Tablet,Comparator,Comparator,MRP-123,MRP-123,Crime board,LAT04,Pending,Remain yet,716226898,We make purpose,Support,4304.01,4.69,3.34,CT-5014-EEP
4283,Sterile,They Capsule specification,Range,CHAR-42119,Eight Compound,No,989241846,682546176,Central keep sing,MAT-53554,They Capsule,Ancillary Supply,Ancillary Supply,MRP-103,MRP-103,State box plant positive,LAT04,Pending,Change cause agency,924470367,Once base edge,Sport,2041.33,3.76,2.96,CT-5014-EEP
8919,Double Blind,Though Solution specification,She,CHAR-43307,Understand Compound,Yes,545216395,897468617,Either deal available,MAT-46171,Though Solution,Ancillary Supply,Ancillary Supply,MRP-136,MRP-136,Medical situation production cause,AP03,Active,Themselves protect camera address end,445054486,Yard hotel open itself,Laugh,4379.81,3.84,3.2,CT-3636-AVP
6483,Sterile,Agency Injection specification,Serve,CHAR-24249,Company Compound,No,781946422,506647777,Visit old against now audience,MAT-54383,Agency Injection,Comparator,Comparator,MRP-108,MRP-108,Democrat customer must,EU02,Completed,Director color nearly democratic relate,824615062,Fast first opportunity power,Suddenly,2591.33,4.99,1.69,CT-3636-AVP
6438,Sterile,Hundred Solution specification,Someone,CHAR-15731,Change Compound,No,166919281,733262833,Page those material technology down,MAT-66257,Hundred Solution,Comparator,Comparator,MRP-133,MRP-133,Whom you world day,LAT04,Pending,Wrong laugh consider,948978583,Wall make natural ago,Mean,990.57,2.61,2.99,CT-7484-BIH
2356,Sterile,Oil Tablet specification,Bill,CHAR-27186,Stage Compound,No,565798237,951243015,Age why,MAT-66374,Oil Tablet,Ancillary Supply,Ancillary Supply,MRP-135,MRP-135,Real response collection interview,AP03,Completed,Attorney hair about course,524812261,Born try,Type,1368.55,4.72,1.99,CT-7484-BIH
6217,Double Blind,Great Patch specification,Need,CHAR-64598,Southern Compound,No,479855399,954579157,Game paper machine,MAT-74247,Great Patch,Investigational Product,Investigational Product,MRP-131,MRP-131,Over thing seem,EU02,Pending,Seek we bed later also,522177382,Individual begin,Together,4827.16,4.47,1.01,CT-7484-BIH
2294,Double Blind,Reason Tablet specification,Field,CHAR-79903,Occur Compound,No,116299080,241926201,Including stock series only movement,MAT-18458,Reason Tablet,Ancillary Supply,Ancillary Supply,MRP-102,MRP-102,Admit help it pressure,EU02,Closed,Develop central,145615306,Wish forget never,Break,724.44,2.72,2.16,CT-7487-KNX
6961,Comparator,Contain Solution specification,Box,CHAR-83366,Sense Compound,Yes,644761849,536110586,While onto recently,MAT-56157,Contain Solution,Comparator,Comparator,MRP-116,MRP-116,Up response interview when,EU02,Closed,Republican stage medical single hear,570912982,Know yeah likely,Organization,654.05,4.06,3.77,CT-7487-KNX
6974,Double Blind,Issue Patch specification,Somebody,CHAR-18799,The Compound,No,996447906,320569930,Debate decade future,MAT-59372,Issue Patch,Ancillary Supply,Ancillary Supply,MRP-126,MRP-126,Citizen experience system guess meeting,US01,Closed,War middle early black,733694001,Huge person,Thank,678.26,4.79,2.54,CT-7487-KNX
1436,Sterile,Health Solution specification,Marriage,CHAR-59209,There Compound,No,939728932,703949996,Word sure measure century address,MAT-73628,Health Solution,Ancillary Supply,Ancillary Supply,MRP-138,MRP-138,Body begin position,US01,Closed,Prevent expect film interesting,158767450,Cultural center population,Quickly,12.84,4.17,3.57,CT-3230-HFO
4612,Comparator,Treat Tablet specification,Friend,CHAR-32910,Similar Compound,No,340406889,679433104,Style cup week,MAT-68176,Treat Tablet,Comparator,Comparator,MRP-137,MRP-137,Season site herself smile number,EU02,Completed,Capital management trip,586111578,Start state cut stage,Here,2296.01,3.73,2.2,CT-3230-HFO
9502,Double Blind,Free Solution specification,Heart,CHAR-36275,Wide Compound,Yes,521584884,994488978,Man answer difference,MAT-54713,Free Solution,Ancillary Supply,Ancillary Supply,MRP-134,MRP-134,Whose in design,AP03,Closed,Trial but,184643479,Everyone feeling especially series,Sometimes,4581.27,3.31,1.67,CT-3230-HFO
9684,Comparator,Member Solution specification,First,CHAR-24417,Their Compound,No,546478448,977048325,Teacher itself several,MAT-75647,Member Solution,Ancillary Supply,Ancillary Supply,MRP-124,MRP-124,Ten may almost building,EU02,Pending,Free reality approach its book,550646531,Left company far,Property,2930.9,2.3,2.75,CT-6551-IBW
6996,Double Blind,Anyone Tablet specification,Get,CHAR-60667,Question Compound,Yes,606574180,692203736,Final idea both let,MAT-79992,Anyone Tablet,Ancillary Supply,Ancillary Supply,MRP-115,MRP-115,Away determine kind,EU02,Active,Green catch piece administration,293071503,Community career answer,Information,4473.12,2.26,1.53,CT-6551-IBW
8177,Sterile,Cell Tablet specification,Operation,CHAR-65376,Factor Compound,No,694096207,296423783,Off say test relate,MAT-52579,Cell Tablet,Comparator,Comparator,MRP-109,MRP-109,Body happy,US01,Completed,Claim computer part million,670214201,Guy heavy put student,Anyone,2201.16,2.12,1.5,CT-6551-IBW
8314,Sterile,Culture Solution specification,Civil,CHAR-44338,Beautiful Compound,Yes,662203348,892078647,Act such story,MAT-22152,Culture Solution,Ancillary Supply,Ancillary Supply,MRP-129,MRP-129,Source special nature buy,US01,Closed,Raise management,110583017,There hold sing or,Likely,4039.01,2.17,1.87,CT-3472-PNG
6105,Sterile,Speech Patch specification,Pattern,CHAR-39452,Great Compound,Yes,873187971,687532915,Add which serve,MAT-45907,Speech Patch,Ancillary Supply,Ancillary Supply,MRP-115,MRP-115,Win crime begin,LAT04,Closed,Drug floor for,868141375,Beautiful investment exist budget,Congress,3682.74,4.46,2.99,CT-3472-PNG
6285,Comparator,Floor Patch specification,Suffer,CHAR-84805,Around Compound,No,607793284,587035358,Maybe people,MAT-84153,Floor Patch,Comparator,Comparator,MRP-118,MRP-118,Senior born fight realize share,US01,Completed,Natural statement choose ground,850261987,Head air check north voice,Office,310.41,1.49,1.85,CT-3472-PNG
5379,Comparator,Trouble Capsule specification,Recently,CHAR-25477,Artist Compound,Yes,571283565,658548329,Leave dinner poor,MAT-31615,Trouble Capsule,Comparator,Comparator,MRP-122,MRP-122,Democrat recent many,EU02,Pending,Up might decide,978181395,Soon window security discover strategy,You,3986.15,1.5,3.86,CT-9781-BYC
9533,Double Blind,Positive Injection specification,Deal,CHAR-53755,Long Compound,Yes,573302961,430224017,Very fact important work,MAT-98864,Positive Injection,Ancillary Supply,Ancillary Supply,MRP-119,MRP-119,Meet always could much,AP03,Pending,Represent name,284636459,Home already city eat,Picture,1415.65,3.21,1.62,CT-9781-BYC
8525,Comparator,That Solution specification,Pattern,CHAR-86917,Both Compound,Yes,805293985,459832323,Table time ask,MAT-59079,That Solution,Investigational Product,Investigational Product,MRP-118,MRP-118,Receive early American,EU02,Closed,Democratic culture generation process movie,714197518,Garden technology stand,Hotel,701.25,1.03,2.31,CT-9781-BYC
3641,Comparator,Compare Tablet specification,Hand,CHAR-40136,Interesting Compound,Yes,213317765,186976413,National little bank level right,MAT-96156,Compare Tablet,Ancillary Supply,Ancillary Supply,MRP-110,MRP-110,Thing fact item,AP03,Active,International adult,971270357,Test bed,Reach,103.55,3.72,1.4,CT-9781-BYC
