study_code,lot_number,wh_id,wh_lpn_number,package_desc,expiration_date,package_status,carton_status,dnsa,package_number
CT-6551-IBW,LOT-89806740,WH-757,LPN7794816590,Anyone Tablet,2026-07-09,Damaged,Opened,66,PKG-24837235
CT-6551-IBW,LOT-89806740,WH-657,LPN6328331871,Anyone Tablet,2026-07-09,Dispensed,Repacked,31,PKG-34967189
CT-9781-BYC,LOT-91403277,WH-264,LPN2629124618,Trouble Capsule,2025-11-01,Damaged,Opened,24,PKG-80932668
CT-9831-IEW,LOT-46257312,WH-712,LPN1452796377,High Injection,2027-11-30,Damaged,Damaged,44,PKG-86549517
CT-9831-IEW,LOT-46257312,WH-932,LPN4090576121,High Injection,2027-11-30,Damaged,Intact,44,PKG-78784210
CT-9831-IEW,LOT-46257312,WH-842,LPN2612382802,High Injection,2027-11-30,Available,Intact,64,PKG-71834553
CT-7484-BIH,LOT-26012891,WH-816,LPN3157785947,Hundred Solution,2026-02-19,Dispensed,Intact,26,PKG-60932923
CT-7484-BIH,LOT-26012891,WH-331,LPN3582655844,Hundred Solution,2026-02-19,Damaged,Opened,35,PKG-98981861
CT-7484-BIH,LOT-26012891,WH-745,LPN9475518007,Hundred Solution,2026-02-19,Quarantined,Repacked,25,PKG-18379905
CT-8742-ECD,LOT-45571743,WH-737,LPN1732916375,Blue Patch,2025-05-24,Dispensed,Repacked,26,PKG-97985871
CT-8742-ECD,LOT-45571743,WH-258,LPN3213468028,Blue Patch,2025-05-24,Quarantined,Damaged,36,PKG-77170772
CT-8742-ECD,LOT-45571743,WH-856,LPN9340712224,Blue Patch,2025-05-24,Available,Intact,23,PKG-85039952
CT-8742-ECD,LOT-45571743,WH-643,LPN2376715062,Blue Patch,2025-05-24,Damaged,Repacked,67,PKG-15146691
CT-3230-HFO,LOT-10539218,WH-483,LPN1520473445,Health Solution,2028-01-17,Dispensed,Damaged,54,PKG-51610931
CT-8742-ECD,LOT-61778837,WH-864,LPN7861524811,Happy Solution,2025-11-20,Dispensed,Intact,26,PKG-50602532
CT-8742-ECD,LOT-61778837,WH-229,LPN3818071968,Happy Solution,2025-11-20,Damaged,Opened,29,PKG-26580904
CT-8742-ECD,LOT-61778837,WH-921,LPN8918798302,Happy Solution,2025-11-20,Available,Opened,69,PKG-67823440
CT-8742-ECD,LOT-61778837,WH-361,LPN5818874488,Happy Solution,2025-11-20,Damaged,Opened,48,PKG-96232640
CT-2004-PSX,LOT-75185716,WH-208,LPN2617266077,Common Patch,2026-06-14,Dispensed,Opened,75,PKG-57053009
CT-2004-PSX,LOT-75185716,WH-727,LPN2818073040,Common Patch,2026-06-14,Damaged,Damaged,29,PKG-99539865
CT-2004-PSX,LOT-75185716,WH-735,LPN2042482601,Common Patch,2026-06-14,Damaged,Opened,20,PKG-64107498
CT-8970-PLO,LOT-24616505,WH-641,LPN6877026484,Various Solution,2027-04-30,Damaged,Opened,16,PKG-80659899
CT-6910-RDE,LOT-34166590,WH-208,LPN2807204504,Win Injection,2027-08-23,Quarantined,Damaged,56,PKG-58085424
CT-6910-RDE,LOT-34166590,WH-736,LPN3172089351,Win Injection,2027-08-23,Dispensed,Damaged,67,PKG-10363298
CT-8742-ECD,LOT-83111741,WH-745,LPN4446342504,Article Tablet,2027-07-24,Available,Damaged,62,PKG-27775201
CT-8742-ECD,LOT-83111741,WH-712,LPN1483531889,Article Tablet,2027-07-24,Available,Damaged,46,PKG-86949378
CT-8742-ECD,LOT-83111741,WH-856,LPN7234027287,Article Tablet,2027-07-24,Available,Intact,18,PKG-88449563
CT-3636-AVP,LOT-27778437,WH-725,LPN2429509171,Agency Injection,2025-04-09,Dispensed,Repacked,29,PKG-67421604
CT-6551-IBW,LOT-28144033,WH-294,LPN1889417811,Member Solution,2027-05-02,Quarantined,Intact,27,PKG-18298767
CT-6551-IBW,LOT-28144033,WH-453,LPN8542646360,Member Solution,2027-05-02,Quarantined,Damaged,28,PKG-74580511
CT-6551-IBW,LOT-28144033,WH-643,LPN1481292999,Member Solution,2027-05-02,Available,Repacked,27,PKG-83886180
CT-6551-IBW,LOT-28144033,WH-737,LPN8738127584,Member Solution,2027-05-02,Quarantined,Opened,39,PKG-16358852
CT-8015-GMQ,LOT-49095565,WH-864,LPN3593680831,Memory Solution,2026-06-14,Quarantined,Repacked,40,PKG-79500894
CT-3472-PNG,LOT-36766763,WH-842,LPN7365889056,Culture Solution,2026-01-11,Dispensed,Repacked,33,PKG-78064015
CT-3472-PNG,LOT-36766763,WH-745,LPN9849026616,Culture Solution,2026-01-11,Quarantined,Repacked,48,PKG-44881989
CT-3472-PNG,LOT-36766763,WH-745,LPN1877976220,Culture Solution,2026-01-11,Damaged,Damaged,27,PKG-42154842
CT-3472-PNG,LOT-36766763,WH-921,LPN8409212142,Culture Solution,2026-01-11,Damaged,Opened,60,PKG-25929896
CT-3636-AVP,LOT-86551756,WH-521,LPN7408981619,Agency Injection,2028-07-28,Quarantined,Opened,48,PKG-32327246
CT-5014-EEP,LOT-35809899,WH-294,LPN5815305838,Fund Tablet,2026-06-17,Quarantined,Repacked,59,PKG-82982634
CT-5014-EEP,LOT-35809899,WH-970,LPN7661577103,Fund Tablet,2026-06-17,Available,Damaged,20,PKG-60981623
CT-5014-EEP,LOT-27803441,WH-757,LPN4838063160,They Capsule,2026-11-22,Dispensed,Repacked,70,PKG-84415383
CT-5014-EEP,LOT-27803441,WH-657,LPN9704892003,They Capsule,2026-11-22,Dispensed,Damaged,35,PKG-89376465
CT-5014-EEP,LOT-27803441,WH-727,LPN2069798553,They Capsule,2026-11-22,Damaged,Damaged,68,PKG-73535648
CT-6551-IBW,LOT-11280930,WH-970,LPN5778659822,Member Solution,2025-06-12,Available,Opened,37,PKG-52681192
CT-6551-IBW,LOT-11280930,WH-245,LPN3464986739,Member Solution,2025-06-12,Dispensed,Repacked,53,PKG-82430552
CT-6551-IBW,LOT-11280930,WH-675,LPN8206724092,Member Solution,2025-06-12,Available,Damaged,16,PKG-22731210
CT-6551-IBW,LOT-11280930,WH-499,LPN3937680000,Member Solution,2025-06-12,Quarantined,Intact,51,PKG-75890582
CT-6592-IDY,LOT-28252003,WH-727,LPN7604796762,Able Patch,2027-04-18,Available,Repacked,46,PKG-41533807
CT-6592-IDY,LOT-28252003,WH-414,LPN8409978845,Able Patch,2027-04-18,Available,Damaged,17,PKG-86179692
CT-6592-IDY,LOT-28252003,WH-521,LPN2712976993,Able Patch,2027-04-18,Dispensed,Repacked,15,PKG-54009084
CT-6551-IBW,LOT-89806740,WH-264,LPN7091689278,Anyone Tablet,2026-07-09,Quarantined,Opened,73,PKG-94500184
CT-3228-ZKT,LOT-38707248,WH-921,LPN9064336314,Tree Injection,2027-04-24,Damaged,Intact,54,PKG-52551255
CT-1696-SCY,LOT-46656333,WH-641,LPN6253908854,Expect Tablet,2026-12-03,Dispensed,Repacked,20,PKG-49261120
CT-3636-AVP,LOT-41301239,WH-864,LPN7301425578,Though Solution,2025-12-18,Dispensed,Opened,48,PKG-16571527
CT-3636-AVP,LOT-41301239,WH-712,LPN7226068471,Though Solution,2025-12-18,Quarantined,Repacked,68,PKG-27404626
CT-3636-AVP,LOT-41301239,WH-699,LPN2615329390,Though Solution,2025-12-18,Dispensed,Intact,31,PKG-48183948
CT-6910-RDE,LOT-34198332,WH-405,LPN5735181460,Win Injection,2026-11-08,Damaged,Intact,15,PKG-17729767
CT-6910-RDE,LOT-34198332,WH-864,LPN6985740967,Win Injection,2026-11-08,Quarantined,Damaged,51,PKG-85952475
CT-6910-RDE,LOT-34198332,WH-245,LPN3927045393,Win Injection,2026-11-08,Quarantined,Intact,41,PKG-75179099
CT-6910-RDE,LOT-34198332,WH-694,LPN8566752441,Win Injection,2026-11-08,Quarantined,Repacked,62,PKG-21982403
CT-9771-CZL,LOT-83383410,WH-378,LPN7785254059,Us Solution,2027-04-27,Available,Intact,30,PKG-59800841
CT-9771-CZL,LOT-83383410,WH-483,LPN7956965307,Us Solution,2027-04-27,Available,Repacked,70,PKG-29217336
CT-3230-HFO,LOT-32873081,WH-378,LPN3298723747,Health Solution,2027-11-06,Dispensed,Intact,73,PKG-75567299
CT-3230-HFO,LOT-32873081,WH-361,LPN1578234232,Health Solution,2027-11-06,Damaged,Opened,18,PKG-32209607
CT-3230-HFO,LOT-32873081,WH-208,LPN4699593098,Health Solution,2027-11-06,Quarantined,Opened,28,PKG-66662040
CT-3230-HFO,LOT-32873081,WH-856,LPN2363415633,Health Solution,2027-11-06,Dispensed,Damaged,19,PKG-47660706
CT-7487-KNX,LOT-31152831,WH-745,LPN9912341593,Issue Patch,2025-09-07,Damaged,Repacked,26,PKG-26968816
CT-7487-KNX,LOT-31152831,WH-258,LPN6977811630,Issue Patch,2025-09-07,Damaged,Damaged,50,PKG-65591884
CT-7487-KNX,LOT-31152831,WH-545,LPN5502863094,Issue Patch,2025-09-07,Available,Intact,28,PKG-41757308
CT-6910-RDE,LOT-34198332,WH-834,LPN5279026851,Win Injection,2026-11-08,Damaged,Damaged,18,PKG-49216128
CT-6910-RDE,LOT-34198332,WH-509,LPN2633757981,Win Injection,2026-11-08,Dispensed,Damaged,54,PKG-86086562
CT-6910-RDE,LOT-34198332,WH-846,LPN1695032368,Win Injection,2026-11-08,Damaged,Intact,65,PKG-83665991
CT-8872-GKR,LOT-60549611,WH-245,LPN2779891680,Step Solution,2027-09-25,Damaged,Intact,36,PKG-26441433
CT-8872-GKR,LOT-60549611,WH-208,LPN5163524162,Step Solution,2027-09-25,Dispensed,Intact,22,PKG-93343534
CT-8872-GKR,LOT-60549611,WH-414,LPN1492424956,Step Solution,2027-09-25,Damaged,Damaged,18,PKG-53425000
CT-8872-GKR,LOT-60549611,WH-236,LPN6039568230,Step Solution,2027-09-25,Dispensed,Damaged,51,PKG-65957971
CT-3472-PNG,LOT-14377768,WH-860,LPN6337494272,Speech Patch,2027-01-10,Available,Intact,47,PKG-31985619
CT-3472-PNG,LOT-14377768,WH-414,LPN8121352580,Speech Patch,2027-01-10,Damaged,Opened,46,PKG-71260879
CT-7487-KNX,LOT-17450919,WH-735,LPN4910465406,Reason Tablet,2027-02-13,Available,Intact,25,PKG-59336133
CT-7487-KNX,LOT-17450919,WH-864,LPN3345608300,Reason Tablet,2027-02-13,Damaged,Damaged,61,PKG-21049768
CT-7487-KNX,LOT-17450919,WH-264,LPN5610808094,Reason Tablet,2027-02-13,Damaged,Opened,59,PKG-55704891
CT-3230-HFO,LOT-32873081,WH-705,LPN2766846494,Health Solution,2027-11-06,Dispensed,Damaged,45,PKG-19845838
CT-3230-HFO,LOT-32873081,WH-675,LPN3801853124,Health Solution,2027-11-06,Dispensed,Opened,73,PKG-73813036
CT-3230-HFO,LOT-32873081,WH-657,LPN4804288946,Health Solution,2027-11-06,Dispensed,Intact,74,PKG-50671863
CT-3230-HFO,LOT-32873081,WH-745,LPN9144507474,Health Solution,2027-11-06,Available,Repacked,66,PKG-60727255
CT-9831-IEW,LOT-46257312,WH-236,LPN1365346953,High Injection,2027-11-30,Dispensed,Damaged,18,PKG-19672333
CT-9831-IEW,LOT-46257312,WH-816,LPN5321309959,High Injection,2027-11-30,Dispensed,Repacked,74,PKG-48398581
CT-3228-ZKT,LOT-63418468,WH-860,LPN7115513542,Better Tablet,2027-01-01,Dispensed,Repacked,31,PKG-57532659
CT-5014-EEP,LOT-29384973,WH-405,LPN4659592734,They Capsule,2027-05-26,Available,Repacked,34,PKG-79192318
CT-5014-EEP,LOT-29384973,WH-736,LPN8146951133,They Capsule,2027-05-26,Dispensed,Damaged,58,PKG-18914505
CT-9831-IEW,LOT-82476241,WH-294,LPN1734802296,Stock Patch,2025-06-26,Damaged,Damaged,45,PKG-15098304
CT-8970-PLO,LOT-43759862,WH-229,LPN5388388148,Help Solution,2026-10-16,Available,Opened,24,PKG-99896963
CT-8970-PLO,LOT-43759862,WH-361,LPN6661507819,Help Solution,2026-10-16,Dispensed,Opened,26,PKG-87146988
CT-8015-GMQ,LOT-23670572,WH-970,LPN3545941962,Simply Injection,2026-05-20,Available,Repacked,28,PKG-86939876
CT-8015-GMQ,LOT-23670572,WH-860,LPN3532461626,Simply Injection,2026-05-20,Available,Damaged,47,PKG-28662507
CT-8015-GMQ,LOT-23670572,WH-705,LPN3048391989,Simply Injection,2026-05-20,Available,Repacked,64,PKG-96535808
CT-9781-BYC,LOT-37532398,WH-245,LPN9240397511,Positive Injection,2026-09-16,Quarantined,Opened,71,PKG-19945119
CT-9781-BYC,LOT-37532398,WH-834,LPN3526562496,Positive Injection,2026-09-16,Quarantined,Intact,69,PKG-48302944
CT-9781-BYC,LOT-37532398,WH-785,LPN9187401413,Positive Injection,2026-09-16,Damaged,Opened,51,PKG-35534323
CT-9781-BYC,LOT-37532398,WH-932,LPN5940675624,Positive Injection,2026-09-16,Available,Opened,20,PKG-41509639
CT-7487-KNX,LOT-70758392,WH-846,LPN6795012941,Contain Solution,2027-07-12,Dispensed,Damaged,74,PKG-69430609
CT-7487-KNX,LOT-70758392,WH-414,LPN3995045633,Contain Solution,2027-07-12,Damaged,Intact,35,PKG-98144755
