trial_alias,order_num,operation_num,operation_description,plant_id,actual_end_date,planned_end_date,days_off,flag_delete
CT-9831-IEW,C2863B49-6B7,003,Release,LAT04,2025-03-29,2025-03-25,-3,No
CT-7484-BIH,7EA3E715-4EB,001,Preparation,AP03,2025-11-11,2025-11-14,1,No
CT-7484-BIH,7EA3E715-4EB,002,Assembly,AP03,2025-11-19,2025-11-14,3,No
CT-7484-BIH,7EA3E715-4EB,003,Release,AP03,2025-11-15,2025-11-07,0,Yes
CT-3395-UCM,F52B62BD-E91,001,Preparation,US01,2025-05-09,2025-05-04,-2,No
CT-3395-UCM,F52B62BD-E91,002,Assembly,US01,2025-05-16,2025-05-12,-3,Yes
CT-3395-UCM,F52B62BD-E91,003,Release,US01,2025-05-11,2025-05-04,5,Yes
CT-1696-SCY,D465FA61-668,001,Preparation,US01,2025-02-24,2025-03-03,-2,Yes
CT-1696-SCY,D465FA61-668,002,Assembly,US01,2025-02-28,2025-03-03,-2,No
CT-1696-SCY,D465FA61-668,003,Release,US01,2025-02-20,2025-02-17,-3,Yes
CT-6592-IDY,BAFF899E-7D4,001,Preparation,LAT04,2024-12-02,2024-11-26,5,Yes
CT-6592-IDY,BAFF899E-7D4,002,Assembly,LAT04,2024-12-05,2024-11-26,-3,Yes
CT-6592-IDY,BAFF899E-7D4,003,Release,LAT04,2024-12-03,2024-12-05,0,Yes
CT-3472-PNG,082EC977-749,001,Preparation,US01,2025-09-26,2025-09-24,-5,Yes
CT-3472-PNG,082EC977-749,002,Assembly,US01,2025-09-25,2025-09-22,4,Yes
CT-3472-PNG,082EC977-749,003,Release,US01,2025-09-23,2025-09-17,3,Yes
CT-8742-ECD,1DE4A4D7-80D,001,Preparation,EU02,2025-11-09,2025-10-30,-5,No
CT-8742-ECD,1DE4A4D7-80D,002,Assembly,EU02,2025-11-02,2025-11-12,3,Yes
CT-8742-ECD,1DE4A4D7-80D,003,Release,EU02,2025-11-05,2025-10-31,-1,Yes
CT-7487-KNX,4FFC728A-450,001,Preparation,US01,2025-10-07,2025-10-10,-1,Yes
CT-7487-KNX,4FFC728A-450,002,Assembly,US01,2025-10-08,2025-10-06,-4,No
CT-7487-KNX,4FFC728A-450,003,Release,US01,2025-10-09,2025-10-13,5,Yes
CT-6551-IBW,BE0807F8-705,001,Preparation,EU02,2025-04-24,2025-04-15,1,No
CT-6551-IBW,BE0807F8-705,002,Assembly,EU02,2025-04-18,2025-04-15,-1,Yes
CT-6551-IBW,BE0807F8-705,003,Release,EU02,2025-04-20,2025-04-20,1,Yes
CT-9781-BYC,C863EED3-4DE,001,Preparation,EU02,2025-03-20,2025-03-11,5,No
CT-9781-BYC,C863EED3-4DE,002,Assembly,EU02,2025-03-23,2025-03-22,1,Yes
CT-9781-BYC,C863EED3-4DE,003,Release,EU02,2025-03-22,2025-03-22,-4,Yes
CT-9831-IEW,1591A2AC-D6F,001,Preparation,AP03,2025-01-20,2025-01-03,-2,No
CT-9831-IEW,1591A2AC-D6F,002,Assembly,AP03,2025-01-14,2025-01-09,0,Yes
CT-9831-IEW,1591A2AC-D6F,003,Release,AP03,2025-01-18,2025-01-03,1,Yes
CT-7484-BIH,805781A7-E1A,001,Preparation,LAT04,2025-05-01,2025-04-18,-1,No
CT-7484-BIH,805781A7-E1A,002,Assembly,LAT04,2025-04-29,2025-04-28,5,No
CT-7484-BIH,805781A7-E1A,003,Release,LAT04,2025-04-28,2025-04-18,-5,No
CT-8742-ECD,13D53FD1-2EA,001,Preparation,LAT04,2025-10-10,2025-10-03,-2,Yes
CT-8742-ECD,13D53FD1-2EA,002,Assembly,LAT04,2025-10-10,2025-10-03,1,Yes
CT-8742-ECD,13D53FD1-2EA,003,Release,LAT04,2025-10-03,2025-09-26,1,No
CT-3230-HFO,354C0CEF-9FF,001,Preparation,US01,2025-03-25,2025-03-29,1,Yes
CT-3230-HFO,354C0CEF-9FF,002,Assembly,US01,2025-03-25,2025-03-21,-3,Yes
CT-3230-HFO,354C0CEF-9FF,003,Release,US01,2025-03-30,2025-04-02,-1,Yes
CT-8742-ECD,48F49FFF-6F5,001,Preparation,EU02,2024-12-24,2024-12-17,-4,Yes
CT-8742-ECD,48F49FFF-6F5,002,Assembly,EU02,2024-12-30,2024-12-19,-4,No
CT-8742-ECD,48F49FFF-6F5,003,Release,EU02,2024-12-27,2024-12-12,1,No
CT-2004-PSX,37399508-4AE,001,Preparation,EU02,2025-10-24,2025-10-27,-4,Yes
CT-2004-PSX,37399508-4AE,002,Assembly,EU02,2025-10-24,2025-10-23,4,Yes
CT-2004-PSX,37399508-4AE,003,Release,EU02,2025-10-24,2025-10-19,1,No
CT-8970-PLO,9CBEBD35-414,001,Preparation,US01,2025-03-21,2025-03-21,-1,No
CT-8970-PLO,9CBEBD35-414,002,Assembly,US01,2025-03-27,2025-03-20,-3,No
CT-8970-PLO,9CBEBD35-414,003,Release,US01,2025-03-19,2025-03-15,-3,No
CT-6910-RDE,0559EAA9-2EA,001,Preparation,US01,2025-04-14,2025-04-14,2,No
CT-6910-RDE,0559EAA9-2EA,002,Assembly,US01,2025-04-15,2025-04-10,0,No
CT-6910-RDE,0559EAA9-2EA,003,Release,US01,2025-04-14,2025-04-19,4,Yes
CT-8742-ECD,AAD7229E-CD6,001,Preparation,EU02,2025-01-02,2024-12-30,0,Yes
CT-8742-ECD,AAD7229E-CD6,002,Assembly,EU02,2025-01-05,2024-12-23,-5,No
CT-8742-ECD,AAD7229E-CD6,003,Release,EU02,2025-01-04,2024-12-27,4,No
CT-3636-AVP,7ECBBF33-951,001,Preparation,EU02,2025-02-06,2025-02-03,3,No
CT-3636-AVP,7ECBBF33-951,002,Assembly,EU02,2025-02-08,2025-02-07,2,No
CT-3636-AVP,7ECBBF33-951,003,Release,EU02,2025-02-12,2025-02-13,5,Yes
CT-6551-IBW,F892BADA-B88,001,Preparation,EU02,2025-07-21,2025-07-13,-4,Yes
CT-6551-IBW,F892BADA-B88,002,Assembly,EU02,2025-07-14,2025-07-21,-5,Yes
CT-6551-IBW,F892BADA-B88,003,Release,EU02,2025-07-16,2025-07-11,5,No
CT-8015-GMQ,216A0628-CE4,001,Preparation,US01,2025-06-29,2025-06-22,-5,No
CT-8015-GMQ,216A0628-CE4,002,Assembly,US01,2025-06-27,2025-07-02,5,No
CT-8015-GMQ,216A0628-CE4,003,Release,US01,2025-07-03,2025-06-27,2,No
CT-3472-PNG,661396B5-BE2,001,Preparation,US01,2025-05-15,2025-05-16,2,No
CT-3472-PNG,661396B5-BE2,002,Assembly,US01,2025-05-15,2025-05-23,-1,Yes
CT-3472-PNG,661396B5-BE2,003,Release,US01,2025-05-19,2025-05-12,-4,No
CT-3636-AVP,C1EDEFA4-014,001,Preparation,EU02,2025-11-22,2025-11-14,-2,Yes
CT-3636-AVP,C1EDEFA4-014,002,Assembly,EU02,2025-11-17,2025-11-22,-4,Yes
CT-3636-AVP,C1EDEFA4-014,003,Release,EU02,2025-11-23,2025-11-14,1,No
CT-5014-EEP,6779AAB3-F3B,001,Preparation,LAT04,2025-08-31,2025-08-26,-3,Yes
CT-5014-EEP,6779AAB3-F3B,002,Assembly,LAT04,2025-09-04,2025-08-24,5,No
CT-5014-EEP,6779AAB3-F3B,003,Release,LAT04,2025-09-03,2025-08-30,2,Yes
CT-5014-EEP,C39FF96A-D71,001,Preparation,LAT04,2025-05-17,2025-05-23,5,No
CT-5014-EEP,C39FF96A-D71,002,Assembly,LAT04,2025-05-16,2025-05-16,-2,Yes
CT-5014-EEP,C39FF96A-D71,003,Release,LAT04,2025-05-17,2025-05-12,2,No
CT-6551-IBW,23447E8F-F1B,001,Preparation,EU02,2025-07-20,2025-07-15,-3,No
CT-6551-IBW,23447E8F-F1B,002,Assembly,EU02,2025-07-22,2025-07-21,-5,Yes
CT-6551-IBW,23447E8F-F1B,003,Release,EU02,2025-07-21,2025-07-14,2,No
CT-6592-IDY,D620F7F5-660,001,Preparation,LAT04,2025-04-13,2025-04-04,1,No
CT-6592-IDY,D620F7F5-660,002,Assembly,LAT04,2025-04-08,2025-04-15,-3,No
CT-6592-IDY,D620F7F5-660,003,Release,LAT04,2025-04-06,2025-04-05,-5,Yes
CT-6551-IBW,9D1D8DAF-160,001,Preparation,EU02,2024-12-31,2024-12-20,-4,Yes
CT-6551-IBW,9D1D8DAF-160,002,Assembly,EU02,2025-01-04,2024-12-22,5,Yes
CT-6551-IBW,9D1D8DAF-160,003,Release,EU02,2025-01-01,2024-12-23,0,No
CT-3228-ZKT,CCD65B39-FFB,001,Preparation,EU02,2025-01-04,2024-12-27,5,No
CT-3228-ZKT,CCD65B39-FFB,002,Assembly,EU02,2025-01-10,2024-12-29,5,Yes
CT-3228-ZKT,CCD65B39-FFB,003,Release,EU02,2025-01-12,2024-12-28,-2,No
CT-1696-SCY,D9F20807-A58,001,Preparation,US01,2025-03-20,2025-03-29,-1,No
CT-1696-SCY,D9F20807-A58,002,Assembly,US01,2025-03-21,2025-03-16,4,Yes
CT-1696-SCY,D9F20807-A58,003,Release,US01,2025-03-24,2025-03-23,-2,No
CT-3636-AVP,053A9347-DD8,001,Preparation,AP03,2025-02-22,2025-02-15,-5,No
CT-3636-AVP,053A9347-DD8,002,Assembly,AP03,2025-02-19,2025-02-24,0,Yes
CT-3636-AVP,053A9347-DD8,003,Release,AP03,2025-02-17,2025-02-14,3,Yes
CT-6910-RDE,33A5606D-712,001,Preparation,US01,2025-06-13,2025-06-06,2,No
CT-6910-RDE,33A5606D-712,002,Assembly,US01,2025-06-08,2025-05-30,-2,No
CT-6910-RDE,33A5606D-712,003,Release,US01,2025-06-07,2025-06-13,-4,Yes
CT-9771-CZL,EC2064DF-354,001,Preparation,LAT04,2024-11-30,2024-12-04,3,Yes
CT-9771-CZL,EC2064DF-354,002,Assembly,LAT04,2024-12-05,2024-11-29,-5,No
CT-9771-CZL,EC2064DF-354,003,Release,LAT04,2024-12-02,2024-12-09,-3,Yes
CT-3230-HFO,C061C212-E16,001,Preparation,US01,2025-08-25,2025-08-24,-2,No
CT-3230-HFO,C061C212-E16,002,Assembly,US01,2025-08-23,2025-08-20,3,No
CT-3230-HFO,C061C212-E16,003,Release,US01,2025-08-20,2025-08-20,4,Yes
CT-7487-KNX,333F654A-085,001,Preparation,US01,2025-07-31,2025-07-31,4,Yes
CT-7487-KNX,333F654A-085,002,Assembly,US01,2025-08-02,2025-07-29,-5,No
CT-7487-KNX,333F654A-085,003,Release,US01,2025-07-31,2025-08-07,2,Yes
CT-6910-RDE,91976714-574,001,Preparation,US01,2025-08-04,2025-07-31,-2,No
CT-6910-RDE,91976714-574,002,Assembly,US01,2025-08-13,2025-07-29,0,Yes
CT-6910-RDE,91976714-574,003,Release,US01,2025-08-05,2025-08-06,-4,Yes
CT-8872-GKR,43A721B6-D4D,001,Preparation,LAT04,2025-10-05,2025-09-30,1,Yes
CT-8872-GKR,43A721B6-D4D,002,Assembly,LAT04,2025-10-11,2025-10-10,-1,Yes
CT-8872-GKR,43A721B6-D4D,003,Release,LAT04,2025-10-05,2025-10-10,3,Yes
CT-3472-PNG,CDED8377-18B,001,Preparation,LAT04,2025-07-25,2025-07-25,0,Yes
CT-3472-PNG,CDED8377-18B,002,Assembly,LAT04,2025-07-22,2025-07-21,0,No
CT-3472-PNG,CDED8377-18B,003,Release,LAT04,2025-07-28,2025-07-25,-3,Yes
CT-7487-KNX,E1DECF3D-AD6,001,Preparation,EU02,2025-04-10,2025-04-11,-1,Yes
CT-7487-KNX,E1DECF3D-AD6,002,Assembly,EU02,2025-04-10,2025-04-02,4,No
CT-7487-KNX,E1DECF3D-AD6,003,Release,EU02,2025-04-09,2025-04-10,-5,No
CT-3230-HFO,F5EA0FB0-86D,001,Preparation,US01,2025-04-10,2025-04-14,1,Yes
CT-3230-HFO,F5EA0FB0-86D,002,Assembly,US01,2025-04-11,2025-04-14,-1,No
CT-3230-HFO,F5EA0FB0-86D,003,Release,US01,2025-04-17,2025-04-11,0,Yes
CT-9831-IEW,A66ABC3D-ED8,001,Preparation,AP03,2025-10-14,2025-10-14,5,No
CT-9831-IEW,A66ABC3D-ED8,002,Assembly,AP03,2025-10-13,2025-10-21,-5,No
CT-9831-IEW,A66ABC3D-ED8,003,Release,AP03,2025-10-21,2025-10-09,1,No
CT-3228-ZKT,95696318-323,001,Preparation,US01,2025-01-27,2025-01-25,4,No
CT-3228-ZKT,95696318-323,002,Assembly,US01,2025-01-24,2025-01-22,-4,Yes
CT-3228-ZKT,95696318-323,003,Release,US01,2025-01-24,2025-01-21,1,Yes
CT-5014-EEP,A7AEB7DC-2CF,001,Preparation,LAT04,2025-07-18,2025-07-15,5,Yes
CT-5014-EEP,A7AEB7DC-2CF,002,Assembly,LAT04,2025-07-16,2025-07-17,0,No
CT-5014-EEP,A7AEB7DC-2CF,003,Release,LAT04,2025-07-13,2025-07-21,5,Yes
CT-9831-IEW,D4D67F91-29D,001,Preparation,LAT04,2025-03-17,2025-03-19,2,No
CT-9831-IEW,D4D67F91-29D,002,Assembly,LAT04,2025-03-15,2025-03-15,3,No
CT-9831-IEW,D4D67F91-29D,003,Release,LAT04,2025-03-22,2025-03-16,-2,Yes
CT-8970-PLO,06816510-E5D,001,Preparation,EU02,2025-08-15,2025-08-01,-1,Yes
CT-8970-PLO,06816510-E5D,002,Assembly,EU02,2025-08-17,2025-08-13,4,Yes
CT-8970-PLO,06816510-E5D,003,Release,EU02,2025-08-10,2025-08-02,0,Yes
CT-8015-GMQ,1466B603-499,001,Preparation,LAT04,2024-12-15,2024-12-15,4,No
CT-8015-GMQ,1466B603-499,002,Assembly,LAT04,2024-12-14,2024-12-22,2,Yes
CT-8015-GMQ,1466B603-499,003,Release,LAT04,2024-12-16,2024-12-11,5,No
CT-9781-BYC,092A544D-1B7,001,Preparation,AP03,2025-03-22,2025-03-21,4,No
CT-9781-BYC,092A544D-1B7,002,Assembly,AP03,2025-03-14,2025-03-19,-3,Yes
CT-9781-BYC,092A544D-1B7,003,Release,AP03,2025-03-16,2025-03-20,1,Yes
CT-7487-KNX,D991D9F7-CFE,001,Preparation,EU02,2025-08-08,2025-07-27,-4,No
CT-7487-KNX,D991D9F7-CFE,002,Assembly,EU02,2025-07-31,2025-08-05,-2,No
CT-7487-KNX,D991D9F7-CFE,003,Release,EU02,2025-08-03,2025-08-08,1,Yes
CT-8742-ECD,79E2FD5B-55E,001,Preparation,US01,2025-10-16,2025-10-21,-2,No
CT-8742-ECD,79E2FD5B-55E,002,Assembly,US01,2025-10-22,2025-10-18,3,Yes
CT-8742-ECD,79E2FD5B-55E,003,Release,US01,2025-10-16,2025-10-11,1,Yes
CT-9771-CZL,B8C67610-950,001,Preparation,LAT04,2025-07-02,2025-06-27,5,Yes
CT-9771-CZL,B8C67610-950,002,Assembly,LAT04,2025-07-05,2025-07-08,4,No
CT-9771-CZL,B8C67610-950,003,Release,LAT04,2025-07-08,2025-07-08,3,No
CT-3472-PNG,9E01693A-016,001,Preparation,US01,2025-08-07,2025-07-30,2,Yes
CT-3472-PNG,9E01693A-016,002,Assembly,US01,2025-08-03,2025-07-31,1,Yes
CT-3472-PNG,9E01693A-016,003,Release,US01,2025-08-03,2025-08-05,5,No
CT-5806-JWO,6C1C5C9C-E11,001,Preparation,US01,2025-08-14,2025-08-08,0,Yes
CT-5806-JWO,6C1C5C9C-E11,002,Assembly,US01,2025-08-13,2025-08-12,-2,Yes
CT-5806-JWO,6C1C5C9C-E11,003,Release,US01,2025-08-15,2025-08-12,0,No
CT-7487-KNX,43F442CA-654,001,Preparation,US01,2025-01-27,2025-01-30,2,No
CT-7487-KNX,43F442CA-654,002,Assembly,US01,2025-01-30,2025-01-27,-4,Yes
CT-7487-KNX,43F442CA-654,003,Release,US01,2025-01-27,2025-01-21,4,Yes
CT-5806-JWO,19165D8C-A56,001,Preparation,US01,2025-02-03,2025-02-02,3,No
CT-5806-JWO,19165D8C-A56,002,Assembly,US01,2025-02-05,2025-01-29,2,Yes
CT-5806-JWO,19165D8C-A56,003,Release,US01,2025-02-01,2025-01-29,0,Yes
CT-5014-EEP,84747643-3B7,001,Preparation,LAT04,2025-10-01,2025-10-01,-5,No
CT-5014-EEP,84747643-3B7,002,Assembly,LAT04,2025-09-29,2025-09-19,-4,Yes
CT-5014-EEP,84747643-3B7,003,Release,LAT04,2025-09-28,2025-09-26,-3,Yes
CT-5014-EEP,1237E7EE-E08,001,Preparation,LAT04,2025-04-07,2025-04-13,0,No
CT-5014-EEP,1237E7EE-E08,002,Assembly,LAT04,2025-04-05,2025-04-07,2,Yes
CT-5014-EEP,1237E7EE-E08,003,Release,LAT04,2025-04-03,2025-04-13,-5,Yes
CT-3395-UCM,423FCCAC-9C3,001,Preparation,US01,2024-12-10,2024-12-05,0,Yes
CT-3395-UCM,423FCCAC-9C3,002,Assembly,US01,2024-12-12,2024-12-08,5,No
CT-3395-UCM,423FCCAC-9C3,003,Release,US01,2024-12-12,2024-12-08,-2,No
CT-4229-AWU,9313CC9E-3F2,001,Preparation,AP03,2024-12-31,2024-12-20,5,No
CT-4229-AWU,9313CC9E-3F2,002,Assembly,AP03,2024-12-27,2024-12-22,-1,Yes
CT-4229-AWU,9313CC9E-3F2,003,Release,AP03,2024-12-30,2024-12-28,-1,Yes
CT-7047-GQC,6EDC0958-393,001,Preparation,AP03,2025-02-11,2025-02-07,-2,Yes
CT-7047-GQC,6EDC0958-393,002,Assembly,AP03,2025-02-04,2025-02-07,-3,No
CT-7047-GQC,6EDC0958-393,003,Release,AP03,2025-02-05,2025-01-31,2,Yes
CT-6592-IDY,3927BB78-AC5,001,Preparation,LAT04,2025-03-26,2025-03-29,5,Yes
CT-6592-IDY,3927BB78-AC5,002,Assembly,LAT04,2025-03-24,2025-03-30,5,Yes
CT-6592-IDY,3927BB78-AC5,003,Release,LAT04,2025-03-27,2025-04-01,5,No
CT-9831-IEW,71D8D50F-7AE,001,Preparation,LAT04,2025-07-17,2025-07-13,-2,No
CT-9831-IEW,71D8D50F-7AE,002,Assembly,LAT04,2025-07-21,2025-07-07,-2,Yes
CT-9831-IEW,71D8D50F-7AE,003,Release,LAT04,2025-07-14,2025-07-13,-4,Yes
CT-3230-HFO,16279966-43F,001,Preparation,AP03,2024-12-10,2024-12-12,-3,No
CT-3230-HFO,16279966-43F,002,Assembly,AP03,2024-12-10,2024-12-04,2,Yes
CT-3230-HFO,16279966-43F,003,Release,AP03,2024-12-17,2024-12-11,4,No
CT-9831-IEW,3B0FDA9F-884,001,Preparation,LAT04,2025-08-14,2025-08-06,1,Yes
CT-9831-IEW,3B0FDA9F-884,002,Assembly,LAT04,2025-08-12,2025-07-29,-5,Yes
CT-9831-IEW,3B0FDA9F-884,003,Release,LAT04,2025-08-11,2025-08-01,-3,No
CT-3636-AVP,A7510327-2D1,001,Preparation,EU02,2025-06-01,2025-05-29,4,Yes
CT-3636-AVP,A7510327-2D1,002,Assembly,EU02,2025-05-27,2025-05-31,-3,No
CT-3636-AVP,A7510327-2D1,003,Release,EU02,2025-05-25,2025-05-29,-3,Yes
CT-7047-GQC,CE77A960-CDA,001,Preparation,EU02,2025-05-09,2025-05-08,5,No
CT-7047-GQC,CE77A960-CDA,002,Assembly,EU02,2025-05-09,2025-05-08,-5,No
CT-7047-GQC,CE77A960-CDA,003,Release,EU02,2025-05-02,2025-04-28,-5,No
CT-4229-AWU,13D23ECC-032,001,Preparation,LAT04,2025-09-23,2025-09-18,1,No
CT-4229-AWU,13D23ECC-032,002,Assembly,LAT04,2025-09-24,2025-09-20,-1,No
CT-4229-AWU,13D23ECC-032,003,Release,LAT04,2025-09-27,2025-09-20,2,Yes
CT-3228-ZKT,DB096D51-BDC,001,Preparation,AP03,2025-10-20,2025-10-14,-4,Yes
CT-3228-ZKT,DB096D51-BDC,002,Assembly,AP03,2025-10-18,2025-10-17,-4,No
CT-3228-ZKT,DB096D51-BDC,003,Release,AP03,2025-10-20,2025-10-13,4,No
CT-5014-EEP,5B47E6AA-FAF,001,Preparation,LAT04,2025-09-03,2025-08-23,3,Yes
CT-5014-EEP,5B47E6AA-FAF,002,Assembly,LAT04,2025-08-29,2025-08-31,-2,Yes
CT-5014-EEP,5B47E6AA-FAF,003,Release,LAT04,2025-08-29,2025-08-21,4,No
CT-6551-IBW,ECA8CBD1-E04,001,Preparation,EU02,2024-12-04,2024-12-02,5,No
CT-6551-IBW,ECA8CBD1-E04,002,Assembly,EU02,2024-12-05,2024-12-15,0,Yes
CT-6551-IBW,ECA8CBD1-E04,003,Release,EU02,2024-12-05,2024-12-04,1,No
CT-7487-KNX,D5E639AD-82A,001,Preparation,US01,2025-05-17,2025-05-09,4,No
CT-7487-KNX,D5E639AD-82A,002,Assembly,US01,2025-05-12,2025-05-12,1,No
CT-7487-KNX,D5E639AD-82A,003,Release,US01,2025-05-18,2025-05-13,2,Yes
CT-2004-PSX,7C05434F-BD5,001,Preparation,EU02,2025-03-11,2025-03-15,-2,Yes
CT-2004-PSX,7C05434F-BD5,002,Assembly,EU02,2025-03-13,2025-03-05,-4,No
CT-2004-PSX,7C05434F-BD5,003,Release,EU02,2025-03-12,2025-03-16,4,No
CT-3395-UCM,75038E9B-BA2,001,Preparation,US01,2024-12-17,2024-12-10,-5,Yes
CT-3395-UCM,75038E9B-BA2,002,Assembly,US01,2024-12-18,2024-12-12,2,Yes
CT-3395-UCM,75038E9B-BA2,003,Release,US01,2024-12-12,2024-12-04,-5,No
CT-5014-EEP,60F22C34-AA2,001,Preparation,LAT04,2025-11-04,2025-11-01,-5,Yes
CT-5014-EEP,60F22C34-AA2,002,Assembly,LAT04,2025-11-08,2025-11-10,-4,No
CT-5014-EEP,60F22C34-AA2,003,Release,LAT04,2025-11-10,2025-11-07,-4,No
CT-2004-PSX,44597FDE-ED2,001,Preparation,EU02,2025-06-28,2025-06-22,0,No
CT-2004-PSX,44597FDE-ED2,002,Assembly,EU02,2025-06-30,2025-06-22,0,No
CT-2004-PSX,44597FDE-ED2,003,Release,EU02,2025-07-04,2025-07-03,1,Yes
CT-6109-EDZ,9853B6AB-C01,001,Preparation,AP03,2025-07-12,2025-07-10,-2,No
CT-6109-EDZ,9853B6AB-C01,002,Assembly,AP03,2025-07-06,2025-07-04,-2,Yes
CT-6109-EDZ,9853B6AB-C01,003,Release,AP03,2025-07-11,2025-07-14,-2,No
CT-8015-GMQ,2D1D3AF0-A99,001,Preparation,US01,2025-10-12,2025-10-09,2,No
CT-8015-GMQ,2D1D3AF0-A99,002,Assembly,US01,2025-10-15,2025-10-05,3,No
CT-8015-GMQ,2D1D3AF0-A99,003,Release,US01,2025-10-14,2025-10-14,-5,No
CT-2004-PSX,19B119B0-986,001,Preparation,EU02,2025-07-10,2025-07-09,2,Yes
CT-2004-PSX,19B119B0-986,002,Assembly,EU02,2025-07-01,2025-07-12,2,Yes
CT-2004-PSX,19B119B0-986,003,Release,EU02,2025-07-01,2025-07-02,-1,No
CT-9781-BYC,8733D49D-751,001,Preparation,AP03,2025-07-29,2025-07-23,-1,No
CT-9781-BYC,8733D49D-751,002,Assembly,AP03,2025-07-28,2025-07-25,0,Yes
CT-9781-BYC,8733D49D-751,003,Release,AP03,2025-07-31,2025-07-19,-1,No
CT-6109-EDZ,DC77B20F-464,001,Preparation,AP03,2025-05-22,2025-05-24,3,No
CT-6109-EDZ,DC77B20F-464,002,Assembly,AP03,2025-05-24,2025-05-31,-4,Yes
CT-6109-EDZ,DC77B20F-464,003,Release,AP03,2025-05-27,2025-05-23,-5,Yes
CT-3395-UCM,7BB74C9C-D85,001,Preparation,US01,2025-04-22,2025-04-27,-4,No
CT-3395-UCM,7BB74C9C-D85,002,Assembly,US01,2025-04-20,2025-04-15,4,No
CT-3395-UCM,7BB74C9C-D85,003,Release,US01,2025-04-15,2025-04-27,3,No
CT-9781-BYC,3FCA798E-FD6,001,Preparation,AP03,2025-11-09,2025-11-05,-3,No
CT-9781-BYC,3FCA798E-FD6,002,Assembly,AP03,2025-11-11,2025-11-02,-1,Yes
CT-9781-BYC,3FCA798E-FD6,003,Release,AP03,2025-11-06,2025-11-07,-1,No
CT-1696-SCY,B83CFAB5-B68,001,Preparation,US01,2025-03-29,2025-04-03,5,No
CT-1696-SCY,B83CFAB5-B68,002,Assembly,US01,2025-04-04,2025-03-30,-1,Yes
CT-1696-SCY,B83CFAB5-B68,003,Release,US01,2025-04-06,2025-03-29,0,No
CT-8872-GKR,6BF20FDB-A43,001,Preparation,US01,2025-04-22,2025-04-22,-3,Yes
CT-8872-GKR,6BF20FDB-A43,002,Assembly,US01,2025-04-23,2025-04-18,3,No
CT-8872-GKR,6BF20FDB-A43,003,Release,US01,2025-04-23,2025-04-21,-1,No
CT-8742-ECD,835C170B-558,001,Preparation,US01,2025-08-18,2025-08-18,4,No
CT-8742-ECD,835C170B-558,002,Assembly,US01,2025-08-13,2025-08-08,-1,No
CT-8742-ECD,835C170B-558,003,Release,US01,2025-08-22,2025-08-18,-4,No
CT-6109-EDZ,88D93C9A-BB6,001,Preparation,AP03,2025-07-27,2025-07-22,2,Yes
