order_number,trial_alias,country_name,actual_qty,carrier_code,order_date,order_confirm_date,actual_ship_date,actual_delivery_date,shipment_addr_type,destination_addr_type,pod_activity_date,wh_id,requested_delivery_date,order_status,hu_id,tracking_number,from_country_name,fit_for_use,class_id,shipping_location,released_date_depot,ip_helper,shipment_prepare_duration,shipment_transit_duration,release_depot_duration,total_timeline
1DE4A4D7-80D,CT-8742-ECD,Saint Kitts and Nevis,169,DHL,2025-10-20,2025-10-21,2025-10-23,2025-10-27,Depot,Site,2025-10-28,WH-294,2025-11-13,Released,HUL319721181,TRK20193885,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-10-20,Coreyshire Logistics Center (Saint Kitts and Nevis),3,4,8,7
4FFC728A-450,CT-7487-KNX,Saint Kitts and Nevis,18,FedEx,2025-10-03,2025-10-04,2025-10-11,2025-10-18,Depot,Site,2025-10-19,WH-294,2025-10-16,In Progress,HUL853417975,TRK59830941,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-10,Coreyshire Logistics Center (Saint Kitts and Nevis),8,7,9,15
BE0807F8-705,CT-6551-IBW,Saint Kitts and Nevis,170,Kuehne+Nagel,2025-04-08,2025-04-09,2025-04-18,2025-04-28,Depot,Site,2025-04-30,WH-294,2025-04-23,Released,HUL111022181,TRK26345981,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-14,Coreyshire Logistics Center (Saint Kitts and Nevis),10,10,16,20
C863EED3-4DE,CT-9781-BYC,Saint Kitts and Nevis,106,DHL,2025-02-23,2025-02-24,2025-02-27,2025-03-13,Depot,Site,2025-03-13,WH-294,2025-03-24,Created,HUL490708756,TRK62947962,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-02-26,Coreyshire Logistics Center (Saint Kitts and Nevis),4,14,15,18
1591A2AC-D6F,CT-9831-IEW,Saint Kitts and Nevis,14,Kuehne+Nagel,2024-12-27,2024-12-28,2024-12-31,2025-01-04,Depot,Site,2025-01-04,WH-294,2025-01-18,Released,HUL156995357,TRK67091302,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-27,Coreyshire Logistics Center (Saint Kitts and Nevis),4,4,8,8
805781A7-E1A,CT-7484-BIH,Saint Kitts and Nevis,225,DHL,2025-04-11,2025-04-12,2025-04-18,2025-04-22,Depot,Site,2025-04-22,WH-294,2025-05-02,Completed,HUL481160342,TRK59828287,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-17,Coreyshire Logistics Center (Saint Kitts and Nevis),7,4,5,11
13D53FD1-2EA,CT-8742-ECD,Saint Kitts and Nevis,15,UPS,2025-09-26,2025-09-27,2025-09-28,2025-10-02,Depot,Site,2025-10-03,WH-294,2025-10-09,In Progress,HUL950994029,TRK77763649,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-25,Coreyshire Logistics Center (Saint Kitts and Nevis),2,4,8,6
354C0CEF-9FF,CT-3230-HFO,Saint Kitts and Nevis,66,WorldCourier,2025-03-14,2025-03-15,2025-03-17,2025-03-20,Depot,Site,2025-03-22,WH-294,2025-04-05,Completed,HUL267459218,TRK56994702,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-14,Coreyshire Logistics Center (Saint Kitts and Nevis),3,3,8,6
48F49FFF-6F5,CT-8742-ECD,Saint Kitts and Nevis,75,FedEx,2024-12-12,2024-12-13,2024-12-22,2025-01-04,Depot,Site,2025-01-04,WH-294,2024-12-27,Released,HUL250694486,TRK91877581,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-18,Coreyshire Logistics Center (Saint Kitts and Nevis),10,13,17,23
37399508-4AE,CT-2004-PSX,Saint Kitts and Nevis,236,FedEx,2025-10-15,2025-10-16,2025-10-21,2025-10-30,Depot,Site,2025-10-31,WH-294,2025-11-02,Closed,HUL307542922,TRK09863461,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-19,Coreyshire Logistics Center (Saint Kitts and Nevis),6,9,12,15
9CBEBD35-414,CT-8970-PLO,Saint Kitts and Nevis,187,FedEx,2025-03-19,2025-03-20,2025-03-24,2025-04-07,Depot,Site,2025-04-09,WH-294,2025-03-30,Created,HUL808757528,TRK74064520,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-22,Coreyshire Logistics Center (Saint Kitts and Nevis),5,14,18,19
0559EAA9-2EA,CT-6910-RDE,Saint Kitts and Nevis,53,DHL,2025-03-29,2025-03-30,2025-03-31,2025-04-13,Depot,Site,2025-04-14,WH-294,2025-04-22,In Progress,HUL968500740,TRK18200610,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-29,Coreyshire Logistics Center (Saint Kitts and Nevis),2,13,16,15
AAD7229E-CD6,CT-8742-ECD,Saint Kitts and Nevis,208,DHL,2024-12-16,2024-12-17,2024-12-18,2024-12-24,Depot,Site,2024-12-26,WH-294,2025-01-07,Created,HUL559253290,TRK92255415,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-16,Coreyshire Logistics Center (Saint Kitts and Nevis),2,6,10,8
7ECBBF33-951,CT-3636-AVP,Saint Kitts and Nevis,97,FedEx,2025-01-22,2025-01-23,2025-01-27,2025-02-07,Depot,Site,2025-02-07,WH-294,2025-02-16,Closed,HUL494155936,TRK76687186,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-01-26,Coreyshire Logistics Center (Saint Kitts and Nevis),5,11,12,16
F892BADA-B88,CT-6551-IBW,Saint Kitts and Nevis,172,FedEx,2025-07-07,2025-07-08,2025-07-11,2025-07-14,Depot,Site,2025-07-16,WH-294,2025-07-24,In Progress,HUL906709050,TRK52103587,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-07,Coreyshire Logistics Center (Saint Kitts and Nevis),4,3,9,7
216A0628-CE4,CT-8015-GMQ,Saint Kitts and Nevis,264,UPS,2025-06-24,2025-06-25,2025-07-03,2025-07-14,Depot,Site,2025-07-15,WH-294,2025-07-07,Closed,HUL350635472,TRK04134731,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-30,Coreyshire Logistics Center (Saint Kitts and Nevis),9,11,15,20
661396B5-BE2,CT-3472-PNG,Saint Kitts and Nevis,264,Kuehne+Nagel,2025-05-14,2025-05-15,2025-05-17,2025-05-27,Depot,Site,2025-05-29,WH-294,2025-05-26,Released,HUL651850783,TRK58873277,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-15,Coreyshire Logistics Center (Saint Kitts and Nevis),3,10,14,13
C1EDEFA4-014,CT-3636-AVP,Saint Kitts and Nevis,235,Kuehne+Nagel,2025-11-02,2025-11-03,2025-11-11,2025-11-21,Depot,Site,2025-11-22,WH-294,2025-11-27,Completed,HUL511972644,TRK82844697,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-11-08,Coreyshire Logistics Center (Saint Kitts and Nevis),9,10,14,19
6779AAB3-F3B,CT-5014-EEP,Saint Kitts and Nevis,148,WorldCourier,2025-08-06,2025-08-07,2025-08-13,2025-08-22,Depot,Site,2025-08-24,WH-294,2025-09-04,Released,HUL253134328,TRK13120468,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-08-11,Coreyshire Logistics Center (Saint Kitts and Nevis),7,9,13,16
C39FF96A-D71,CT-5014-EEP,Saint Kitts and Nevis,180,UPS,2025-05-13,2025-05-14,2025-05-19,2025-06-02,Depot,Site,2025-06-02,WH-294,2025-05-24,Released,HUL253391541,TRK37149722,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-05-15,Coreyshire Logistics Center (Saint Kitts and Nevis),6,14,18,20
23447E8F-F1B,CT-6551-IBW,Saint Kitts and Nevis,128,FedEx,2025-07-17,2025-07-18,2025-07-20,2025-08-02,Depot,Site,2025-08-03,WH-294,2025-07-29,Created,HUL360069240,TRK12508277,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-17,Coreyshire Logistics Center (Saint Kitts and Nevis),3,13,17,16
D620F7F5-660,CT-6592-IDY,Saint Kitts and Nevis,262,DHL,2025-03-20,2025-03-21,2025-03-25,2025-04-04,Depot,Site,2025-04-04,WH-294,2025-04-16,Created,HUL708662146,TRK37394704,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-23,Coreyshire Logistics Center (Saint Kitts and Nevis),5,10,12,15
9D1D8DAF-160,CT-6551-IBW,Saint Kitts and Nevis,163,UPS,2024-12-24,2024-12-25,2024-12-31,2025-01-12,Depot,Site,2025-01-13,WH-294,2025-01-03,In Progress,HUL416021560,TRK67473515,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-27,Coreyshire Logistics Center (Saint Kitts and Nevis),7,12,17,19
CCD65B39-FFB,CT-3228-ZKT,Saint Kitts and Nevis,33,UPS,2024-12-14,2024-12-15,2024-12-24,2024-12-28,Depot,Site,2024-12-30,WH-294,2025-01-11,Created,HUL606161931,TRK63397351,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-22,Coreyshire Logistics Center (Saint Kitts and Nevis),10,4,8,14
D9F20807-A58,CT-1696-SCY,Saint Kitts and Nevis,107,FedEx,2025-03-17,2025-03-18,2025-03-19,2025-04-02,Depot,Site,2025-04-04,WH-294,2025-03-31,Created,HUL689917556,TRK64065429,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-18,Coreyshire Logistics Center (Saint Kitts and Nevis),2,14,17,16
053A9347-DD8,CT-3636-AVP,Saint Kitts and Nevis,113,Kuehne+Nagel,2025-02-08,2025-02-09,2025-02-10,2025-02-23,Depot,Site,2025-02-25,WH-294,2025-02-25,Completed,HUL922590169,TRK98656968,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-02-06,Coreyshire Logistics Center (Saint Kitts and Nevis),2,13,19,15
33A5606D-712,CT-6910-RDE,Saint Kitts and Nevis,249,FedEx,2025-05-15,2025-05-16,2025-05-21,2025-06-03,Depot,Site,2025-06-05,WH-294,2025-06-14,Released,HUL859113627,TRK35611593,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-17,Coreyshire Logistics Center (Saint Kitts and Nevis),6,13,19,19
EC2064DF-354,CT-9771-CZL,Saint Kitts and Nevis,230,FedEx,2024-12-06,2024-12-07,2024-12-11,2024-12-15,Depot,Site,2024-12-16,WH-294,2024-12-13,Released,HUL728494033,TRK85419116,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-09,Coreyshire Logistics Center (Saint Kitts and Nevis),5,4,7,9
C061C212-E16,CT-3230-HFO,Saint Kitts and Nevis,291,Kuehne+Nagel,2025-08-23,2025-08-24,2025-09-01,2025-09-07,Depot,Site,2025-09-08,WH-294,2025-09-02,In Progress,HUL706839613,TRK99397109,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-08-30,Coreyshire Logistics Center (Saint Kitts and Nevis),9,6,9,15
333F654A-085,CT-7487-KNX,Saint Kitts and Nevis,45,FedEx,2025-07-20,2025-07-21,2025-07-23,2025-07-30,Depot,Site,2025-07-30,WH-294,2025-08-08,Closed,HUL779366564,TRK01662585,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-22,Coreyshire Logistics Center (Saint Kitts and Nevis),3,7,8,10
91976714-574,CT-6910-RDE,Saint Kitts and Nevis,235,FedEx,2025-07-26,2025-07-27,2025-07-31,2025-08-03,Depot,Site,2025-08-04,WH-294,2025-08-10,Created,HUL634470053,TRK73052219,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-29,Coreyshire Logistics Center (Saint Kitts and Nevis),5,3,6,8
43A721B6-D4D,CT-8872-GKR,Saint Kitts and Nevis,243,WorldCourier,2025-09-25,2025-09-26,2025-10-01,2025-10-11,Depot,Site,2025-10-12,WH-294,2025-10-15,Released,HUL330644688,TRK04758245,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-09-27,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,15,16
CDED8377-18B,CT-3472-PNG,Saint Kitts and Nevis,181,DHL,2025-06-30,2025-07-01,2025-07-04,2025-07-12,Depot,Site,2025-07-14,WH-294,2025-07-28,In Progress,HUL581941580,TRK34020872,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-03,Coreyshire Logistics Center (Saint Kitts and Nevis),4,8,11,12
E1DECF3D-AD6,CT-7487-KNX,Saint Kitts and Nevis,199,WorldCourier,2025-03-16,2025-03-17,2025-03-24,2025-04-06,Depot,Site,2025-04-08,WH-294,2025-04-15,Closed,HUL703212865,TRK63921748,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-20,Coreyshire Logistics Center (Saint Kitts and Nevis),8,13,19,21
F5EA0FB0-86D,CT-3230-HFO,Saint Kitts and Nevis,143,WorldCourier,2025-04-03,2025-04-04,2025-04-09,2025-04-20,Depot,Site,2025-04-21,WH-294,2025-04-18,Closed,HUL784864186,TRK55779542,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-08,Coreyshire Logistics Center (Saint Kitts and Nevis),6,11,13,17
A66ABC3D-ED8,CT-9831-IEW,Saint Kitts and Nevis,169,FedEx,2025-10-14,2025-10-15,2025-10-22,2025-11-03,Depot,Site,2025-11-04,WH-294,2025-10-24,In Progress,HUL754716936,TRK08674604,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-19,Coreyshire Logistics Center (Saint Kitts and Nevis),8,12,16,20
95696318-323,CT-3228-ZKT,Saint Kitts and Nevis,122,WorldCourier,2025-01-04,2025-01-05,2025-01-10,2025-01-20,Depot,Site,2025-01-20,WH-294,2025-01-29,Created,HUL554051548,TRK75953977,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-06,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,14,16
A7AEB7DC-2CF,CT-5014-EEP,Saint Kitts and Nevis,206,WorldCourier,2025-07-15,2025-07-16,2025-07-23,2025-07-26,Depot,Site,2025-07-26,WH-294,2025-07-23,In Progress,HUL486869459,TRK23537183,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-21,Coreyshire Logistics Center (Saint Kitts and Nevis),8,3,5,11
D4D67F91-29D,CT-9831-IEW,Saint Kitts and Nevis,93,WorldCourier,2025-02-23,2025-02-24,2025-02-25,2025-03-07,Depot,Site,2025-03-07,WH-294,2025-03-20,Released,HUL655404190,TRK98252562,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-02-21,Coreyshire Logistics Center (Saint Kitts and Nevis),2,10,14,12
06816510-E5D,CT-8970-PLO,Saint Kitts and Nevis,93,FedEx,2025-08-03,2025-08-04,2025-08-08,2025-08-16,Depot,Site,2025-08-16,WH-294,2025-08-16,Closed,HUL555537273,TRK89483640,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-08-06,Coreyshire Logistics Center (Saint Kitts and Nevis),5,8,10,13
1466B603-499,CT-8015-GMQ,Saint Kitts and Nevis,227,Kuehne+Nagel,2024-12-02,2024-12-03,2024-12-08,2024-12-18,Depot,Site,2024-12-19,WH-294,2024-12-24,Released,HUL364845323,TRK54635093,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-05,Coreyshire Logistics Center (Saint Kitts and Nevis),6,10,14,16
092A544D-1B7,CT-9781-BYC,Saint Kitts and Nevis,279,FedEx,2025-03-07,2025-03-08,2025-03-13,2025-03-17,Depot,Site,2025-03-17,WH-294,2025-03-23,Completed,HUL940696968,TRK79226793,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-11,Coreyshire Logistics Center (Saint Kitts and Nevis),6,4,6,10
D991D9F7-CFE,CT-7487-KNX,Saint Kitts and Nevis,205,UPS,2025-07-18,2025-07-19,2025-07-25,2025-07-31,Depot,Site,2025-07-31,WH-294,2025-08-11,Released,HUL465039801,TRK80642396,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-22,Coreyshire Logistics Center (Saint Kitts and Nevis),7,6,9,13
79E2FD5B-55E,CT-8742-ECD,Saint Kitts and Nevis,34,DHL,2025-10-18,2025-10-19,2025-10-25,2025-10-28,Depot,Site,2025-10-30,WH-294,2025-10-26,Created,HUL453750227,TRK68317088,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-21,Coreyshire Logistics Center (Saint Kitts and Nevis),7,3,9,10
B8C67610-950,CT-9771-CZL,Saint Kitts and Nevis,259,DHL,2025-06-16,2025-06-17,2025-06-26,2025-07-07,Depot,Site,2025-07-09,WH-294,2025-07-11,Released,HUL339947950,TRK48027343,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-22,Coreyshire Logistics Center (Saint Kitts and Nevis),10,11,17,21
9E01693A-016,CT-3472-PNG,Saint Kitts and Nevis,247,WorldCourier,2025-07-24,2025-07-25,2025-08-01,2025-08-09,Depot,Site,2025-08-11,WH-294,2025-08-12,Completed,HUL207263517,TRK42589592,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-07-31,Coreyshire Logistics Center (Saint Kitts and Nevis),8,8,11,16
6C1C5C9C-E11,CT-5806-JWO,Saint Kitts and Nevis,21,UPS,2025-08-04,2025-08-05,2025-08-10,2025-08-14,Depot,Site,2025-08-16,WH-294,2025-08-22,Closed,HUL800743976,TRK07669337,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-08-07,Coreyshire Logistics Center (Saint Kitts and Nevis),6,4,9,10
43F442CA-654,CT-7487-KNX,Saint Kitts and Nevis,287,Kuehne+Nagel,2025-01-29,2025-01-30,2025-02-02,2025-02-07,Depot,Site,2025-02-09,WH-294,2025-02-05,Closed,HUL722669849,TRK85949399,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-01-30,Coreyshire Logistics Center (Saint Kitts and Nevis),4,5,10,9
19165D8C-A56,CT-5806-JWO,Saint Kitts and Nevis,119,DHL,2025-01-15,2025-01-16,2025-01-22,2025-02-03,Depot,Site,2025-02-05,WH-294,2025-02-07,Created,HUL204836315,TRK06934144,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-21,Coreyshire Logistics Center (Saint Kitts and Nevis),7,12,15,19
84747643-3B7,CT-5014-EEP,Saint Kitts and Nevis,25,Kuehne+Nagel,2025-09-17,2025-09-18,2025-09-22,2025-09-26,Depot,Site,2025-09-28,WH-294,2025-10-03,Created,HUL430984802,TRK50968865,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-18,Coreyshire Logistics Center (Saint Kitts and Nevis),5,4,10,9
1237E7EE-E08,CT-5014-EEP,Saint Kitts and Nevis,27,Kuehne+Nagel,2025-03-26,2025-03-27,2025-04-05,2025-04-12,Depot,Site,2025-04-12,WH-294,2025-04-14,Created,HUL692089877,TRK82984294,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-04-02,Coreyshire Logistics Center (Saint Kitts and Nevis),10,7,10,17
423FCCAC-9C3,CT-3395-UCM,Saint Kitts and Nevis,34,Kuehne+Nagel,2024-12-08,2024-12-09,2024-12-14,2024-12-26,Depot,Site,2024-12-28,WH-294,2024-12-16,Released,HUL706263116,TRK98666046,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-10,Coreyshire Logistics Center (Saint Kitts and Nevis),6,12,18,18
9313CC9E-3F2,CT-4229-AWU,Saint Kitts and Nevis,60,UPS,2024-12-15,2024-12-16,2024-12-19,2024-12-24,Depot,Site,2024-12-24,WH-294,2025-01-04,Closed,HUL752056890,TRK12603064,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-17,Coreyshire Logistics Center (Saint Kitts and Nevis),4,5,7,9
6EDC0958-393,CT-7047-GQC,Saint Kitts and Nevis,189,Kuehne+Nagel,2025-01-28,2025-01-29,2025-02-01,2025-02-06,Depot,Site,2025-02-07,WH-294,2025-02-14,Released,HUL247381579,TRK66564554,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-01-31,Coreyshire Logistics Center (Saint Kitts and Nevis),4,5,7,9
3927BB78-AC5,CT-6592-IDY,Saint Kitts and Nevis,228,FedEx,2025-03-22,2025-03-23,2025-03-31,2025-04-03,Depot,Site,2025-04-05,WH-294,2025-04-03,In Progress,HUL986721536,TRK95913919,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-03-30,Coreyshire Logistics Center (Saint Kitts and Nevis),9,3,6,12
71D8D50F-7AE,CT-9831-IEW,Saint Kitts and Nevis,191,DHL,2025-06-28,2025-06-29,2025-07-06,2025-07-19,Depot,Site,2025-07-19,WH-294,2025-07-19,Closed,HUL197382288,TRK17033976,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-07-05,Coreyshire Logistics Center (Saint Kitts and Nevis),8,13,14,21
16279966-43F,CT-3230-HFO,Saint Kitts and Nevis,152,DHL,2024-11-30,2024-12-01,2024-12-03,2024-12-10,Depot,Site,2024-12-10,WH-294,2024-12-16,Completed,HUL462442421,TRK15595067,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-12-02,Coreyshire Logistics Center (Saint Kitts and Nevis),3,7,8,10
