Alternative BOM Id,Alternative BOM Text,Batch Id,Bill of material,BOM component Id,BomItem Category Description,BOM Item Number,BOM status,BOM text,BOM Usage,Bom Usage Description,Change Date Component,Change Date Header,Component Mat Type Desc,Co-Product flag,Costing Relevancy Flag,Create Date Component,Create Date Header,Item category bill of material,Item ID,Item ID STAS,Material Type,Material Number,Next Inspection Date,Phantom Item flag,Plant,Special procurement type for BOM item,UOM Header,Uom Id Component,Material Component,Trial Alias
854672079,Mouth thing brother price start,BATCH-849235,BOM-80203,MAT-17085,Stock Item,195680981,Obsolete,Couple traditional political,Nor,Tree drive south listen evidence,2024-04-04,2025-02-27,Option,No,919.8,2026-06-08,2026-10-14,Offer,122822962,684623171,Ancillary Supply,MAT-49508,2025-04-13,No,US01,Specific,He,604814479,MAT-17085,CT-6592-IDY
768587404,Here seek,BATCH-179830,BOM-95402,MAT-49508,Phantom Item,277501050,Obsolete,Character space program visit mind,Cell,Can clear fire left expect,2024-08-11,2025-05-11,Current,No,949.99,2026-09-02,2024-02-08,Party,444358237,886068479,Investigational Product,MAT-17085,2025-01-10,Yes,EU02,Election,Fire,122392882,MAT-49508,CT-6592-IDY
599141169,How trouble operation consider major,BATCH-356280,BOM-98884,MAT-17085,Stock Item,309063988,Obsolete,Push ask,Small,Vote seek answer act,2025-12-17,2025-07-20,Both,Yes,2539.67,2025-11-24,2026-02-01,Ask,259855563,578760369,Investigational Product,MAT-17085,2026-01-25,No,US01,People,Public,684480755,MAT-17085,CT-6592-IDY
419619514,Check financial decide,BATCH-745394,BOM-45429,MAT-84265,Phantom Item,934328867,Active,Beyond eight ever morning,Each,Institution soon without happen foreign,2024-04-09,2024-05-10,None,Yes,4368.17,2026-01-20,2025-06-29,Generation,528220081,449936709,Ancillary Supply,MAT-84265,2025-12-23,No,US01,To,Yeah,951102555,MAT-84265,CT-8970-PLO
687982544,Some service,BATCH-301420,BOM-59962,MAT-82398,Phantom Item,639534820,Obsolete,Full place,So,Shake skill,2024-04-18,2024-03-17,Marriage,No,718.21,2025-12-07,2025-10-25,Success,997667101,539404278,Ancillary Supply,MAT-84265,2024-01-20,Yes,US01,Turn,Middle,701819244,MAT-82398,CT-8970-PLO
247395224,North example,BATCH-402216,BOM-62109,MAT-85304,Phantom Item,308624078,Obsolete,Material central,Seem,Message traditional,2024-04-16,2024-11-08,Ability,Yes,3262.46,2024-05-11,2023-11-18,Nor,459183410,364413440,Ancillary Supply,MAT-84265,2025-10-28,Yes,AP03,Safe,Week,364912916,MAT-85304,CT-8970-PLO
277296575,Begin need service near,BATCH-810201,BOM-61609,MAT-86920,Phantom Item,924888127,Active,Language available up concern,Ahead,Outside car know subject,2026-05-12,2023-12-21,Actually,No,3917.6,2024-08-12,2025-10-25,Focus,409719907,596642843,Ancillary Supply,MAT-84265,2025-07-16,Yes,AP03,Smile,Without,315983612,MAT-86920,CT-8970-PLO
805269964,Small raise wide expert,BATCH-333560,BOM-96600,MAT-84265,Phantom Item,406007065,Obsolete,Kid bit challenge,Policy,Become budget school,2024-12-25,2024-10-02,On,No,4279.34,2024-12-10,2025-02-18,Mouth,287030215,555958988,Investigational Product,MAT-82398,2024-07-10,No,EU02,Certainly,Fill,616782473,MAT-84265,CT-8970-PLO
620154568,Right reality Congress,BATCH-651907,BOM-65567,MAT-82398,Stock Item,660912687,Active,Style pull he,Hear,School red coach fact piece,2026-10-01,2024-03-23,Dog,No,1089.29,2025-12-02,2025-06-08,Agency,684898145,792576954,Investigational Product,MAT-82398,2024-11-25,Yes,AP03,Car,Staff,248787913,MAT-82398,CT-8970-PLO
670908785,Hear cut clearly thank,BATCH-284864,BOM-81082,MAT-85304,Stock Item,524868846,Active,Second resource option represent,Worker,Charge station he,2025-09-24,2024-11-01,Plant,No,262.26,2025-02-23,2024-09-27,Tree,180973545,344590725,Investigational Product,MAT-82398,2024-05-16,Yes,US01,Build,Already,289954381,MAT-85304,CT-8970-PLO
268773972,Any arm beautiful,BATCH-356537,BOM-52308,MAT-86920,Phantom Item,578807693,Active,Off PM south Democrat,Idea,Next remember view practice,2024-01-28,2025-05-16,Argue,Yes,343.87,2026-01-09,2026-04-16,Beyond,627746698,303544270,Investigational Product,MAT-82398,2024-04-29,No,EU02,Moment,Least,773571435,MAT-86920,CT-8970-PLO
890708594,Speak involve,BATCH-490939,BOM-13350,MAT-84265,Stock Item,250094108,Obsolete,Congress bad,Chance,Bank economy drive involve wall,2025-07-13,2025-06-01,Fine,No,180.83,2025-01-27,2024-09-24,Military,468801631,108862457,Ancillary Supply,MAT-85304,2026-03-03,No,AP03,Large,Into,933615412,MAT-84265,CT-8970-PLO
983292452,Majority want throughout against,BATCH-343352,BOM-45889,MAT-82398,Stock Item,645507063,Active,Truth increase may attorney popular,You,He detail,2026-03-13,2024-12-02,News,Yes,3723.36,2024-07-29,2026-02-06,Hard,248621118,732388951,Ancillary Supply,MAT-85304,2025-10-29,No,US01,A,She,408830681,MAT-82398,CT-8970-PLO
878483211,Ok travel fish,BATCH-949167,BOM-70332,MAT-85304,Phantom Item,921619092,Active,Any forward reality,Among,Information after should the hope,2024-02-13,2024-12-20,Friend,No,369.23,2024-01-29,2024-07-30,Provide,252566304,556049587,Ancillary Supply,MAT-85304,2025-01-14,No,AP03,See,North,942758767,MAT-85304,CT-8970-PLO
129141540,Risk dinner heavy,BATCH-715844,BOM-73878,MAT-86920,Stock Item,904633432,Obsolete,Court once,Involve,No eat live,2024-04-25,2025-05-20,Themselves,Yes,1001.14,2025-11-30,2024-09-05,What,512313270,274925823,Ancillary Supply,MAT-85304,2026-09-17,No,AP03,Speak,Report,150420626,MAT-86920,CT-8970-PLO
791872136,Beat go determine join rest,BATCH-546148,BOM-88823,MAT-84265,Stock Item,691669359,Obsolete,People century,Member,Buy property five,2026-02-02,2024-06-23,Grow,No,4742.37,2025-02-08,2025-07-19,Because,600386451,543439012,Investigational Product,MAT-86920,2024-12-21,Yes,LAT04,Generation,Third,454230261,MAT-84265,CT-8970-PLO
220086116,Lay the,BATCH-123811,BOM-41873,MAT-82398,Stock Item,387498516,Obsolete,Form all worker,Short,Water reach head industry surface,2024-11-08,2024-04-13,Risk,No,3590.23,2025-01-20,2025-04-17,Particular,718052729,503724467,Investigational Product,MAT-86920,2026-09-27,No,AP03,Peace,Receive,680496522,MAT-82398,CT-8970-PLO
742362361,Election view blue draw body,BATCH-920479,BOM-10250,MAT-85304,Phantom Item,847537168,Active,Human key,Democratic,Former instead area box,2024-04-22,2025-11-07,Stock,No,1358.17,2023-11-20,2025-12-09,Pressure,422439205,779834874,Investigational Product,MAT-86920,2024-08-31,No,US01,Design,Together,137795038,MAT-85304,CT-8970-PLO
592333197,Attorney house time father,BATCH-192441,BOM-38519,MAT-86920,Phantom Item,878102834,Obsolete,Fear soon these green sense,Eight,Structure brother my hot,2026-03-17,2025-01-24,Blood,No,3703.76,2024-07-16,2024-09-01,Last,435737616,500467386,Investigational Product,MAT-86920,2025-03-10,Yes,LAT04,Individual,Small,416930739,MAT-86920,CT-8970-PLO
367124195,Control young true,BATCH-544464,BOM-19590,MAT-42350,Phantom Item,931506686,Obsolete,Nothing firm a factor,Behind,Change hard gas just enter,2025-09-03,2024-07-17,Different,Yes,4192.66,2026-08-02,2024-11-13,Win,625802957,154880514,Comparator,MAT-42350,2025-07-05,No,LAT04,Season,Enjoy,214870623,MAT-42350,CT-5806-JWO
598656813,Room official remain difficult,BATCH-849653,BOM-86790,MAT-81584,Phantom Item,808034680,Active,State behavior note,Behind,Consumer nothing case,2023-12-19,2025-03-17,Skin,No,3235.45,2024-09-18,2025-04-11,Ever,904873966,577531697,Comparator,MAT-42350,2026-05-14,Yes,AP03,Politics,Dark,728656003,MAT-81584,CT-5806-JWO
289582764,Up moment room,BATCH-503137,BOM-23013,MAT-26378,Stock Item,343096313,Active,From pretty poor policy,Discuss,Nearly record,2023-12-09,2023-11-17,Attack,Yes,4076.62,2025-04-29,2026-08-23,Possible,123826265,198690896,Comparator,MAT-42350,2025-11-08,Yes,US01,Kind,Market,312356280,MAT-26378,CT-5806-JWO
737102358,Form avoid industry,BATCH-524434,BOM-63395,MAT-39857,Phantom Item,621234971,Obsolete,Investment within economic magazine,Home,Western part despite yourself,2024-01-29,2024-03-07,Child,Yes,424.89,2026-05-02,2025-06-09,Camera,495944775,443358017,Comparator,MAT-42350,2025-11-19,Yes,EU02,Continue,Three,724752048,MAT-39857,CT-5806-JWO
850904617,Style heavy,BATCH-786573,BOM-38153,MAT-42350,Stock Item,973616649,Obsolete,Try two,Wife,Successful police notice some,2026-07-06,2025-10-06,Hard,No,135.37,2026-03-18,2026-08-10,Past,226129221,796468052,Comparator,MAT-81584,2025-07-09,No,US01,Hospital,Or,150537723,MAT-42350,CT-5806-JWO
557760876,Play wish behind,BATCH-307333,BOM-29528,MAT-81584,Phantom Item,742244921,Obsolete,Daughter social party list,City,Agree clearly,2025-10-01,2024-05-08,Two,Yes,2762.99,2025-07-19,2026-06-16,Cup,904091171,453670402,Comparator,MAT-81584,2025-03-15,Yes,AP03,Ago,Figure,274959080,MAT-81584,CT-5806-JWO
637700810,Item world,BATCH-223064,BOM-82119,MAT-26378,Stock Item,756008820,Obsolete,Enter on around anyone later,His,Doctor ten,2025-03-13,2025-02-17,Body,Yes,1097.4,2025-11-05,2023-12-09,Perform,172876623,339762580,Comparator,MAT-81584,2025-01-31,Yes,LAT04,There,Reach,313533816,MAT-26378,CT-5806-JWO
685335424,While sure manage,BATCH-296491,BOM-38167,MAT-39857,Phantom Item,380312213,Active,Fill matter network,Station,Whose us,2025-11-23,2024-09-08,Agency,Yes,3168.82,2025-11-21,2026-08-07,To,162030665,944282118,Comparator,MAT-81584,2024-11-19,Yes,LAT04,Far,Memory,769354681,MAT-39857,CT-5806-JWO
602406075,Inside improve smile he doctor,BATCH-459389,BOM-25260,MAT-42350,Stock Item,803562582,Active,Ability visit hotel,Suggest,Produce left agree,2026-07-08,2025-06-05,Test,No,1501.37,2025-01-16,2024-09-15,Glass,766765282,292069723,Investigational Product,MAT-26378,2024-07-17,Yes,EU02,Fear,Turn,940289018,MAT-42350,CT-5806-JWO
132582056,Unit authority available,BATCH-802825,BOM-59622,MAT-81584,Phantom Item,672370537,Obsolete,Citizen seem center,Central,Probably trade,2024-05-09,2025-11-09,Likely,No,167.98,2024-01-09,2025-03-03,Offer,684630201,197467790,Investigational Product,MAT-26378,2024-08-29,No,AP03,Human,Address,734227157,MAT-81584,CT-5806-JWO
969006456,Organization special management,BATCH-257412,BOM-88914,MAT-26378,Stock Item,598442556,Obsolete,Society best bring,Dinner,Standard again foot same community,2025-12-19,2025-10-08,President,No,3805.44,2025-02-07,2024-10-07,Option,637120296,736590991,Investigational Product,MAT-26378,2024-01-08,No,US01,Side,Half,713822048,MAT-26378,CT-5806-JWO
414000382,Site dinner watch often fight,BATCH-731406,BOM-49834,MAT-39857,Stock Item,653996518,Obsolete,Yeah suffer message simple range,Two,Kitchen enough face,2026-09-20,2024-10-09,Against,Yes,494.3,2024-10-13,2025-08-19,Time,906256924,735814218,Investigational Product,MAT-26378,2025-10-15,No,AP03,Down,International,557845574,MAT-39857,CT-5806-JWO
762406115,Important amount level,BATCH-747663,BOM-57958,MAT-42350,Phantom Item,304517760,Active,Purpose phone senior,Far,Since as,2026-07-18,2024-09-12,Process,No,4305.59,2025-07-29,2024-10-22,Board,890681417,527663160,Ancillary Supply,MAT-39857,2025-10-16,No,EU02,Small,Federal,480741608,MAT-42350,CT-5806-JWO
896457787,Activity throughout effect southern growth,BATCH-153691,BOM-77958,MAT-81584,Phantom Item,193769743,Active,Store language else,Note,Ago road north really,2024-07-04,2025-01-15,Letter,No,4160.93,2026-04-29,2024-05-27,Tv,213170049,795403374,Ancillary Supply,MAT-39857,2025-06-20,No,AP03,Go,Paper,530493335,MAT-81584,CT-5806-JWO
478832862,Wide wrong ask part,BATCH-859386,BOM-14700,MAT-26378,Phantom Item,651500942,Active,Million child,Pick,Television behind management environment news,2025-08-03,2023-12-31,Professor,No,503.75,2026-03-20,2026-02-28,Scientist,236153805,363297036,Ancillary Supply,MAT-39857,2025-01-14,Yes,US01,Republican,Bed,232796105,MAT-26378,CT-5806-JWO
345768743,Floor prepare professional treat,BATCH-201586,BOM-31289,MAT-39857,Phantom Item,536615985,Obsolete,Seem care public power,Analysis,Morning arrive kitchen wear,2024-04-02,2024-05-09,Center,No,169.87,2024-09-03,2025-03-01,Laugh,655409832,149442518,Ancillary Supply,MAT-39857,2026-03-11,Yes,AP03,Figure,Box,852623531,MAT-39857,CT-5806-JWO
342365070,Single black three any field,BATCH-572045,BOM-74376,MAT-91309,Phantom Item,251805656,Active,Law side,Yourself,Get dark win situation,2025-05-24,2023-11-30,Wall,Yes,1157.25,2024-06-28,2025-04-15,Attack,596938310,729432459,Comparator,MAT-91309,2024-09-01,Yes,LAT04,Tough,Box,601026488,MAT-91309,CT-8015-GMQ
489694701,Light religious game,BATCH-576079,BOM-91756,MAT-74459,Stock Item,336277844,Active,Defense run,Take,Play onto here many,2025-07-19,2025-08-01,Into,Yes,1874.35,2026-02-26,2025-06-19,Bank,127270190,221068835,Comparator,MAT-91309,2024-07-12,No,US01,Center,Become,899242161,MAT-74459,CT-8015-GMQ
790325221,Song officer speech,BATCH-523336,BOM-38909,MAT-91309,Stock Item,328306083,Active,Eat on manager me,Professor,Result high onto,2025-11-02,2024-01-05,Enough,Yes,2980.28,2025-02-07,2025-05-01,Seven,815622399,675931629,Investigational Product,MAT-74459,2025-10-05,No,AP03,Bar,Throw,459587140,MAT-91309,CT-8015-GMQ
653119284,Shoulder social approach us,BATCH-686915,BOM-95326,MAT-74459,Stock Item,254597571,Obsolete,Statement hot hit offer,Real,Then too military,2026-07-23,2024-09-13,I,Yes,2675.16,2024-02-24,2025-09-01,Shake,490557337,494346276,Investigational Product,MAT-74459,2024-09-17,No,EU02,Parent,Wait,298199610,MAT-74459,CT-8015-GMQ
803557987,Vote across,BATCH-417006,BOM-47394,MAT-66331,Stock Item,489893725,Obsolete,Notice hard behavior,She,Recently fight continue perhaps,2024-12-21,2024-10-18,Exist,Yes,3353.5,2025-12-16,2025-04-01,World,685826301,691924720,Investigational Product,MAT-66331,2024-08-22,No,EU02,Why,Movie,584182845,MAT-66331,CT-8872-GKR
578130633,Pretty attack deal century,BATCH-486808,BOM-43243,MAT-23246,Phantom Item,220548778,Obsolete,Practice product yourself,Themselves,Certain east we movie total,2025-10-18,2025-03-19,World,Yes,780.29,2023-11-20,2024-07-27,Big,782131142,117811690,Investigational Product,MAT-66331,2023-12-07,No,EU02,Traditional,Piece,830187805,MAT-23246,CT-8872-GKR
948417553,Sport thank yet,BATCH-296476,BOM-14450,MAT-58804,Stock Item,124615946,Obsolete,Force challenge I,Opportunity,Raise beyond,2026-05-24,2025-10-17,Foreign,No,799.92,2024-10-14,2024-05-18,Course,667402095,603583565,Investigational Product,MAT-66331,2026-08-08,No,AP03,Mission,Discuss,525034693,MAT-58804,CT-8872-GKR
107575801,Same management station,BATCH-460021,BOM-84030,MAT-66331,Phantom Item,948754950,Obsolete,Board blood their,Perform,Though some much third,2024-01-11,2023-11-23,Like,No,632.02,2024-02-12,2024-01-13,Respond,812843293,678080282,Comparator,MAT-23246,2026-02-24,Yes,EU02,Daughter,Authority,796339812,MAT-66331,CT-8872-GKR
581421354,Already drop tend do professional,BATCH-156276,BOM-19779,MAT-23246,Phantom Item,580746839,Obsolete,Down control parent glass,Finally,Production sell list worry picture,2026-10-18,2025-06-29,Buy,Yes,4605.69,2026-06-10,2026-02-27,Word,171784386,828363259,Comparator,MAT-23246,2026-03-24,Yes,AP03,Structure,Security,400281821,MAT-23246,CT-8872-GKR
521707985,Candidate family assume other,BATCH-142069,BOM-39850,MAT-58804,Phantom Item,879625132,Active,Mrs water give,Student,Local lay current media,2025-01-21,2025-05-22,Price,No,3668.63,2025-08-27,2026-06-27,Account,724742593,703687778,Comparator,MAT-23246,2024-01-29,Yes,US01,Size,Voice,896168599,MAT-58804,CT-8872-GKR
583370599,Community real change rise,BATCH-797813,BOM-76559,MAT-66331,Stock Item,263857174,Obsolete,Enjoy fill system,Camera,Them section before deal,2025-10-31,2025-08-25,Run,Yes,2195.83,2026-09-29,2025-01-29,Explain,444023977,606422078,Investigational Product,MAT-58804,2024-03-04,No,EU02,Beautiful,What,849989234,MAT-66331,CT-8872-GKR
584483141,Black nothing take sport heart,BATCH-446963,BOM-87715,MAT-23246,Phantom Item,977543512,Obsolete,Garden fish dinner include,Reduce,Behavior economy be conference,2025-05-18,2024-03-19,Arrive,Yes,912.34,2023-12-03,2024-03-27,Number,138030520,548654396,Investigational Product,MAT-58804,2026-02-20,Yes,EU02,Someone,Artist,394818051,MAT-23246,CT-8872-GKR
265774301,Figure officer her,BATCH-961770,BOM-46477,MAT-58804,Stock Item,586391164,Obsolete,Name myself small,Hit,Consumer likely,2026-03-05,2025-08-17,We,No,3160.53,2025-08-13,2026-04-21,Dark,702200313,948973150,Investigational Product,MAT-58804,2026-10-23,No,AP03,Word,Small,855865619,MAT-58804,CT-8872-GKR
754598651,Garden great,BATCH-630418,BOM-71736,MAT-14115,Stock Item,669618750,Obsolete,Lawyer as,Company,Eye make question heavy,2024-12-10,2025-06-16,Base,No,2451.67,2026-08-01,2026-03-02,Audience,633939822,743568976,Comparator,MAT-14115,2026-04-16,No,AP03,Lawyer,Size,574307413,MAT-14115,CT-1696-SCY
758399950,Television former contain,BATCH-538624,BOM-36818,MAT-78401,Stock Item,563799478,Active,Guy fish make response upon,Remain,Point by,2026-03-08,2024-06-13,Cold,Yes,2412.93,2026-06-10,2025-07-12,Community,392598236,291694727,Comparator,MAT-14115,2024-04-17,No,LAT04,Effort,According,541589411,MAT-78401,CT-1696-SCY
457608187,Artist above court lay,BATCH-815586,BOM-49299,MAT-14115,Phantom Item,858543758,Obsolete,Wish well ok manage future,Blue,Whose worker,2026-08-17,2025-03-09,Economic,No,2506.88,2025-04-16,2026-07-25,Effort,521734368,725984997,Ancillary Supply,MAT-78401,2025-05-03,Yes,US01,Force,Remain,132974842,MAT-14115,CT-1696-SCY
403011088,Think culture,BATCH-113531,BOM-21683,MAT-78401,Stock Item,131565199,Active,Most continue star consider,Fly,Painting ground dream,2024-06-15,2025-03-04,Policy,No,3366.95,2024-03-25,2026-11-04,Senior,870765826,262565729,Ancillary Supply,MAT-78401,2025-12-10,Yes,AP03,Military,Until,761348353,MAT-78401,CT-1696-SCY
117575349,Material beyond kid,BATCH-558179,BOM-27722,MAT-30703,Phantom Item,514168629,Active,Who themselves politics she,Worker,Analysis through white point national,2026-02-18,2025-01-29,None,Yes,1082.04,2024-03-02,2025-03-06,To,385302885,344736506,Investigational Product,MAT-30703,2025-11-13,No,AP03,Begin,Throughout,810927404,MAT-30703,CT-3228-ZKT
497405947,Account help ever,BATCH-225936,BOM-91465,MAT-61362,Phantom Item,746405296,Obsolete,Voice understand political throw nor,Reason,History answer watch,2026-08-09,2025-04-18,Cut,No,3865.58,2024-04-15,2026-06-21,Pay,671309410,464669069,Investigational Product,MAT-30703,2024-04-22,No,AP03,Whom,Recent,781203917,MAT-61362,CT-3228-ZKT
927231619,Themselves find democratic,BATCH-476479,BOM-60988,MAT-18409,Phantom Item,764933919,Active,Create cover identify,Whose,Tough trouble responsibility low,2023-12-26,2024-01-10,Yet,No,1002.78,2026-07-14,2023-12-22,Also,388787438,999572065,Investigational Product,MAT-30703,2023-12-11,No,US01,Add,Billion,422622226,MAT-18409,CT-3228-ZKT
274046148,Test adult paper sea,BATCH-450721,BOM-18281,MAT-58266,Stock Item,143572755,Active,Back arrive sport rather,Join,Manager people thing,2024-11-28,2025-06-08,Tell,No,3519.9,2024-09-24,2024-06-25,Agree,374831512,164241452,Investigational Product,MAT-30703,2024-10-22,No,LAT04,Enter,Player,324617067,MAT-58266,CT-3228-ZKT
693443072,Need price floor sea employee,BATCH-622826,BOM-33674,MAT-30703,Stock Item,477039803,Obsolete,Believe let common tell,Situation,Must set trouble,2026-06-30,2025-11-09,Wait,No,1806.83,2024-03-01,2024-07-28,Letter,895817991,564290029,Ancillary Supply,MAT-61362,2025-03-10,Yes,AP03,Star,About,236523637,MAT-30703,CT-3228-ZKT
199518666,Reason after best,BATCH-480482,BOM-49710,MAT-61362,Stock Item,604751524,Obsolete,Personal receive leg put girl,Likely,Charge black arrive research bar,2024-08-06,2024-08-13,Science,Yes,1470.67,2024-04-29,2025-02-13,My,711941850,794130332,Ancillary Supply,MAT-61362,2024-11-06,Yes,EU02,Message,Test,483420823,MAT-61362,CT-3228-ZKT
991965165,From friend job despite,BATCH-864631,BOM-33683,MAT-18409,Stock Item,476758917,Obsolete,Rather party reach,College,Herself body recently,2025-07-08,2023-12-17,Bit,No,4753.6,2026-11-04,2026-09-09,Argue,485013807,981443046,Ancillary Supply,MAT-61362,2024-01-25,Yes,US01,Half,Represent,864734506,MAT-18409,CT-3228-ZKT
674055054,Sign government side,BATCH-869672,BOM-18461,MAT-58266,Phantom Item,786810193,Active,Modern suffer artist,Page,Ago give,2024-10-11,2024-10-30,Blood,No,3176.37,2025-01-22,2026-08-21,Soldier,674290246,394745246,Ancillary Supply,MAT-61362,2025-09-23,No,LAT04,Detail,Budget,884122536,MAT-58266,CT-3228-ZKT
872142446,Eye team finish arrive,BATCH-250292,BOM-41518,MAT-30703,Phantom Item,528238758,Obsolete,Last though we,Character,Financial member expect artist,2025-12-15,2024-08-30,Enough,No,2896.95,2023-12-15,2025-09-01,Institution,539559275,360417387,Investigational Product,MAT-18409,2024-02-04,No,US01,Media,Cost,190285113,MAT-30703,CT-3228-ZKT
212184040,Condition simple,BATCH-996492,BOM-91311,MAT-61362,Stock Item,606545601,Active,Sea most there eight,Hard,Probably either,2024-08-13,2024-12-08,What,No,2832.84,2024-07-19,2026-02-10,Any,105850388,325226282,Investigational Product,MAT-18409,2026-05-12,Yes,EU02,Image,How,637037672,MAT-61362,CT-3228-ZKT
207335191,Voice fly human,BATCH-489803,BOM-36848,MAT-18409,Stock Item,348057288,Obsolete,Eat reality citizen reason across,Brother,Discussion middle current statement choose,2024-06-19,2025-08-31,Often,Yes,185.78,2024-03-28,2024-04-06,Show,760011917,811971075,Investigational Product,MAT-18409,2025-03-02,Yes,AP03,Way,Also,127973942,MAT-18409,CT-3228-ZKT
630293878,Account radio treat by,BATCH-478030,BOM-21823,MAT-58266,Stock Item,334176391,Obsolete,Major close approach drug apply,Speech,Ball cup imagine,2024-02-18,2025-11-01,These,Yes,3268.12,2025-01-27,2026-09-05,Community,859427537,916928078,Investigational Product,MAT-18409,2024-12-13,No,EU02,After,Pm,964028368,MAT-58266,CT-3228-ZKT
615015342,As some,BATCH-470904,BOM-35275,MAT-30703,Stock Item,298020502,Active,Need statement whether wrong,High,Must effect evening,2025-12-05,2024-07-16,Entire,No,3077.9,2024-10-21,2025-04-24,Area,597938910,172343196,Ancillary Supply,MAT-58266,2025-07-07,No,EU02,Always,Same,345871174,MAT-30703,CT-3228-ZKT
764311383,Operation floor,BATCH-311096,BOM-23294,MAT-61362,Stock Item,468489863,Obsolete,Seem space,Voice,Which article human,2025-02-22,2024-02-03,Customer,No,3288.69,2024-12-11,2026-06-07,Each,419230262,721405056,Ancillary Supply,MAT-58266,2026-11-02,Yes,LAT04,Stock,Half,793262318,MAT-61362,CT-3228-ZKT
368123297,Official behavior order baby,BATCH-856455,BOM-62044,MAT-18409,Phantom Item,888756618,Obsolete,Either chance drug chance,Wind,Seat east usually sometimes,2024-09-04,2024-09-26,You,No,2660.02,2026-03-14,2025-08-24,Important,253126648,632028222,Ancillary Supply,MAT-58266,2025-08-03,Yes,EU02,Least,Money,109267623,MAT-18409,CT-3228-ZKT
