Trial Name,Location,Investigator,Package Type Description,Lot,Expiry Date,Packages Awaiting,Received Packages,Packages Pending FFU,Packages Pending Shipment,Shipped Packages,Min Qty,Max Qty,Initial Qty
Camera Trial,Kazakhstan,Amanda Robertson,Anyone Tablet,LOT-89806740,2026-07-09,4,9,1,4,5,20,95,41
Camera Trial,Nepal,Amanda Robertson,Anyone Tablet,LOT-89806740,2026-07-09,0,1,2,3,5,17,56,65
Camera Trial,Guadeloupe,Amanda Robertson,Anyone Tablet,LOT-89806740,2026-07-09,4,1,2,2,4,19,86,69
None Trial,Afghanistan,Dr. Joseph Maldonado,Trouble Capsule,LOT-91403277,2025-11-01,2,6,3,2,3,14,83,61
Myself Program,American Samoa,Hannah Thompson,High Injection,LOT-46257312,2027-11-30,0,8,0,1,3,16,74,33
Myself Program,Italy,Hannah Thompson,High Injection,LOT-46257312,2027-11-30,0,1,1,2,1,11,104,57
Myself Program,Palestinian Territory,Hannah Thompson,High Injection,LOT-46257312,2027-11-30,4,1,0,2,3,13,69,60
Member Trial,United States of America,Julie Martin,Hundred Solution,LOT-26012891,2026-02-19,2,6,1,1,1,13,65,74
Member Trial,Belgium,Julie Martin,Hundred Solution,LOT-26012891,2026-02-19,2,8,2,4,5,18,107,62
Member Trial,Zambia,Julie Martin,Hundred Solution,LOT-26012891,2026-02-19,5,1,3,0,5,19,53,49
Compare Study,Kenya,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,5,8,2,0,2,10,92,27
Compare Study,Grenada,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,2,3,2,0,2,11,55,53
Compare Study,Qatar,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,2,7,1,0,1,12,73,67
Compare Study,Malaysia,Jenny Hill,Blue Patch,LOT-45571743,2025-05-24,3,8,2,1,5,10,73,77
Talk Trial,British Virgin Islands,Dana Goodman,Health Solution,LOT-10539218,2028-01-17,1,5,1,3,0,16,61,29
Compare Study,Mali,Brian Walls,Happy Solution,LOT-61778837,2025-11-20,1,8,3,2,3,14,104,75
Compare Study,Comoros,Brian Walls,Happy Solution,LOT-61778837,2025-11-20,0,10,3,0,5,14,55,74
Compare Study,Togo,Brian Walls,Happy Solution,LOT-61778837,2025-11-20,1,9,0,3,5,20,80,71
Compare Study,Central African Republic,Brian Walls,Happy Solution,LOT-61778837,2025-11-20,1,10,3,3,2,10,62,26
Home Trial,Papua New Guinea,Jesse Guzman,Common Patch,LOT-75185716,2026-06-14,1,10,1,4,0,14,57,72
Home Trial,Bhutan,Jesse Guzman,Common Patch,LOT-75185716,2026-06-14,5,2,3,1,4,13,104,50
Home Trial,Finland,Jesse Guzman,Common Patch,LOT-75185716,2026-06-14,5,2,0,0,6,19,84,39
Skin Trial,Russian Federation,Kimberly Richards,Various Solution,LOT-24616505,2027-04-30,1,7,0,3,4,17,70,63
Shake Study,Papua New Guinea,Jorge Pena,Win Injection,LOT-34166590,2027-08-23,2,8,0,3,0,15,74,75
Shake Study,Swaziland,Jorge Pena,Win Injection,LOT-34166590,2027-08-23,1,3,0,2,2,10,92,55
Compare Study,Zambia,Melanie Carter,Article Tablet,LOT-83111741,2027-07-24,5,5,3,4,5,15,116,60
Compare Study,American Samoa,Melanie Carter,Article Tablet,LOT-83111741,2027-07-24,2,3,3,3,0,10,67,63
Compare Study,Qatar,Melanie Carter,Article Tablet,LOT-83111741,2027-07-24,5,5,2,4,3,16,89,79
Wear Program,Sao Tome and Principe,Brandon Randolph,Agency Injection,LOT-27778437,2025-04-09,5,3,0,1,3,15,60,28
Camera Trial,Saint Kitts and Nevis,Melissa Morris,Member Solution,LOT-28144033,2027-05-02,1,2,0,1,1,14,61,28
Camera Trial,Bahamas,Melissa Morris,Member Solution,LOT-28144033,2027-05-02,4,3,2,3,0,12,56,40
Camera Trial,Malaysia,Melissa Morris,Member Solution,LOT-28144033,2027-05-02,3,8,1,2,4,18,71,34
Camera Trial,Kenya,Melissa Morris,Member Solution,LOT-28144033,2027-05-02,2,7,2,4,6,13,114,45
Past Trial,Mali,Marvin Alexander,Memory Solution,LOT-49095565,2026-06-14,4,10,3,4,3,19,56,23
Put Trial,Palestinian Territory,Megan Smith,Culture Solution,LOT-36766763,2026-01-11,3,10,0,4,0,20,111,76
Put Trial,Zambia,Megan Smith,Culture Solution,LOT-36766763,2026-01-11,2,10,2,4,3,13,76,64
Put Trial,Zambia,Megan Smith,Culture Solution,LOT-36766763,2026-01-11,3,9,3,1,3,20,96,46
Put Trial,Togo,Megan Smith,Culture Solution,LOT-36766763,2026-01-11,4,1,3,0,1,10,96,20
Wear Program,Gibraltar,Alyssa Guerrero,Agency Injection,LOT-86551756,2028-07-28,4,1,0,2,2,18,55,43
Attorney Study,Saint Kitts and Nevis,Erica Mora,Fund Tablet,LOT-35809899,2026-06-17,0,3,2,2,5,12,107,45
Attorney Study,Turkmenistan,Erica Mora,Fund Tablet,LOT-35809899,2026-06-17,5,1,1,2,6,15,106,50
Attorney Study,Nepal,Katherine Reid,They Capsule,LOT-27803441,2026-11-22,5,2,0,3,4,16,75,79
Attorney Study,Guadeloupe,Katherine Reid,They Capsule,LOT-27803441,2026-11-22,1,9,1,1,1,11,85,40
Attorney Study,Bhutan,Katherine Reid,They Capsule,LOT-27803441,2026-11-22,3,4,2,2,1,14,83,67
Camera Trial,Turkmenistan,Melissa Morris,Member Solution,LOT-11280930,2025-06-12,4,9,3,0,1,11,71,58
Camera Trial,Palau,Melissa Morris,Member Solution,LOT-11280930,2025-06-12,2,10,3,4,2,17,79,70
Camera Trial,Holy See (Vatican City State),Melissa Morris,Member Solution,LOT-11280930,2025-06-12,5,8,2,4,4,13,115,55
Camera Trial,Lesotho,Melissa Morris,Member Solution,LOT-11280930,2025-06-12,1,2,0,0,5,15,69,47
Pay Study,Bhutan,Sherry Murphy,Able Patch,LOT-28252003,2027-04-18,4,3,2,2,0,14,70,24
Pay Study,Kazakhstan,Sherry Murphy,Able Patch,LOT-28252003,2027-04-18,1,2,0,3,3,18,66,34
Pay Study,Gibraltar,Sherry Murphy,Able Patch,LOT-28252003,2027-04-18,2,1,3,4,6,14,92,42
Camera Trial,Afghanistan,Melissa Morris,Anyone Tablet,LOT-89806740,2026-07-09,3,8,0,3,3,18,51,29
Both Program,Togo,Kelly Nguyen,Tree Injection,LOT-38707248,2027-04-24,3,6,0,3,5,16,88,31
Miss Trial,Russian Federation,Kyle Schmidt,Expect Tablet,LOT-46656333,2026-12-03,2,1,2,3,6,16,76,22
Wear Program,Albania,Meagan Johnson,Though Solution,LOT-41301239,2025-12-18,5,1,3,3,1,18,73,76
Wear Program,American Samoa,Meagan Johnson,Though Solution,LOT-41301239,2025-12-18,2,10,2,2,5,16,101,62
Wear Program,Austria,Meagan Johnson,Though Solution,LOT-41301239,2025-12-18,5,6,1,2,2,20,114,78
Shake Study,Cote d'Ivoire,Jorge Pena,Win Injection,LOT-34198332,2026-11-08,4,3,0,4,6,10,67,74
Shake Study,Albania,Jorge Pena,Win Injection,LOT-34198332,2026-11-08,5,4,3,4,1,11,63,41
Shake Study,Palau,Jorge Pena,Win Injection,LOT-34198332,2026-11-08,0,2,3,2,5,14,82,29
Shake Study,Kiribati,Jorge Pena,Win Injection,LOT-34198332,2026-11-08,1,4,0,3,1,17,100,67
Job Trial,Canada,Deborah Lopez,Us Solution,LOT-83383410,2027-04-27,3,7,3,1,0,14,118,64
Job Trial,British Virgin Islands,Deborah Lopez,Us Solution,LOT-83383410,2027-04-27,2,3,3,1,4,17,57,65
Talk Trial,Canada,Dana Goodman,Health Solution,LOT-32873081,2027-11-06,0,1,2,4,1,18,99,23
Talk Trial,Central African Republic,Dana Goodman,Health Solution,LOT-32873081,2027-11-06,1,7,1,0,6,10,101,27
Talk Trial,Papua New Guinea,Dana Goodman,Health Solution,LOT-32873081,2027-11-06,2,2,2,1,4,19,71,55
Talk Trial,Qatar,Dana Goodman,Health Solution,LOT-32873081,2027-11-06,1,5,0,3,5,19,118,39
Recent Trial,Zambia,Ryan Brown,Issue Patch,LOT-31152831,2025-09-07,5,2,2,3,6,12,105,45
Recent Trial,Grenada,Ryan Brown,Issue Patch,LOT-31152831,2025-09-07,1,5,2,2,0,13,98,59
Recent Trial,Argentina,Ryan Brown,Issue Patch,LOT-31152831,2025-09-07,5,8,3,2,1,20,89,59
Shake Study,Mongolia,Walter Clark,Win Injection,LOT-34198332,2026-11-08,2,7,1,1,6,11,119,68
Shake Study,Saudi Arabia,Walter Clark,Win Injection,LOT-34198332,2026-11-08,4,8,0,3,0,13,113,60
Shake Study,Indonesia,Walter Clark,Win Injection,LOT-34198332,2026-11-08,5,1,2,0,1,12,77,49
Reality Program,Palau,Jose Wood,Step Solution,LOT-60549611,2027-09-25,3,10,2,1,1,17,117,67
Reality Program,Papua New Guinea,Jose Wood,Step Solution,LOT-60549611,2027-09-25,3,10,2,3,5,13,84,79
Reality Program,Kazakhstan,Jose Wood,Step Solution,LOT-60549611,2027-09-25,2,10,1,4,6,12,118,64
Reality Program,Korea,Jose Wood,Step Solution,LOT-60549611,2027-09-25,0,5,2,2,4,12,53,57
Put Trial,Malawi,Thomas Morales,Speech Patch,LOT-14377768,2027-01-10,2,4,2,2,3,14,91,47
Put Trial,Kazakhstan,Thomas Morales,Speech Patch,LOT-14377768,2027-01-10,4,2,1,0,6,16,59,42
Recent Trial,Finland,Heather Lewis,Reason Tablet,LOT-17450919,2027-02-13,0,4,2,1,1,10,51,29
Recent Trial,Albania,Heather Lewis,Reason Tablet,LOT-17450919,2027-02-13,3,2,1,4,5,13,64,70
Recent Trial,Afghanistan,Heather Lewis,Reason Tablet,LOT-17450919,2027-02-13,3,8,0,1,4,18,60,64
Talk Trial,Taiwan,Belinda Gibson,Health Solution,LOT-32873081,2027-11-06,2,10,1,4,2,10,74,72
Talk Trial,Holy See (Vatican City State),Belinda Gibson,Health Solution,LOT-32873081,2027-11-06,1,3,1,0,5,15,78,56
Talk Trial,Guadeloupe,Belinda Gibson,Health Solution,LOT-32873081,2027-11-06,4,8,1,2,3,12,117,28
Talk Trial,Zambia,Belinda Gibson,Health Solution,LOT-32873081,2027-11-06,3,8,0,1,6,15,72,44
Myself Program,Korea,Krista Barry,High Injection,LOT-46257312,2027-11-30,5,9,2,3,4,17,110,72
Myself Program,United States of America,Krista Barry,High Injection,LOT-46257312,2027-11-30,1,3,2,3,0,10,70,73
Both Program,Malawi,April Rivera,Better Tablet,LOT-63418468,2027-01-01,3,4,1,2,0,15,84,28
Attorney Study,Cote d'Ivoire,Alexander Cox,They Capsule,LOT-29384973,2027-05-26,2,8,1,4,1,12,83,50
Attorney Study,Swaziland,Alexander Cox,They Capsule,LOT-29384973,2027-05-26,0,1,1,0,6,15,71,41
Myself Program,Saint Kitts and Nevis,Darius Smith,Stock Patch,LOT-82476241,2025-06-26,3,9,2,4,0,13,85,32
Skin Trial,Comoros,Renee Escobar,Help Solution,LOT-43759862,2026-10-16,4,7,2,1,0,17,77,44
Skin Trial,Central African Republic,Renee Escobar,Help Solution,LOT-43759862,2026-10-16,4,8,2,2,1,17,108,46
Past Trial,Turkmenistan,Brandy Poole,Simply Injection,LOT-23670572,2026-05-20,3,5,3,4,3,14,59,43
Past Trial,Malawi,Brandy Poole,Simply Injection,LOT-23670572,2026-05-20,2,6,1,4,1,14,54,27
Past Trial,Taiwan,Brandy Poole,Simply Injection,LOT-23670572,2026-05-20,5,2,2,3,5,16,79,30
None Trial,Palau,Cameron Harris,Positive Injection,LOT-37532398,2026-09-16,4,1,3,2,6,19,93,77
None Trial,Mongolia,Cameron Harris,Positive Injection,LOT-37532398,2026-09-16,0,2,2,4,0,13,67,51
None Trial,Czech Republic,Cameron Harris,Positive Injection,LOT-37532398,2026-09-16,3,5,0,2,1,19,65,29
None Trial,Italy,Cameron Harris,Positive Injection,LOT-37532398,2026-09-16,1,9,0,3,0,20,100,71
Recent Trial,Indonesia,Sean Ayala,Contain Solution,LOT-70758392,2027-07-12,4,10,0,4,2,12,80,63
Recent Trial,Kazakhstan,Sean Ayala,Contain Solution,LOT-70758392,2027-07-12,2,1,2,3,4,14,76,63
Recent Trial,Bahamas,Sean Ayala,Contain Solution,LOT-70758392,2027-07-12,3,4,0,4,1,12,81,41
Recent Trial,Zambia,Sean Ayala,Contain Solution,LOT-70758392,2027-07-12,0,9,0,1,0,13,88,51
Compare Study,Greece,Melanie Carter,Side Capsule,LOT-97576608,2028-01-14,5,8,1,3,5,10,80,45
Compare Study,Swaziland,Melanie Carter,Side Capsule,LOT-97576608,2028-01-14,4,10,2,4,0,13,99,31
Compare Study,Korea,Melanie Carter,Side Capsule,LOT-97576608,2028-01-14,1,1,0,1,6,16,61,42
Compare Study,Togo,Melanie Carter,Side Capsule,LOT-97576608,2028-01-14,0,8,0,1,6,13,65,36
Job Trial,Argentina,Deborah Lopez,Us Solution,LOT-83383410,2027-04-27,4,8,2,1,0,12,95,78
Put Trial,Saudi Arabia,Amanda Martin,Floor Patch,LOT-89268420,2026-12-16,0,9,0,2,2,13,76,32
Put Trial,Italy,Amanda Martin,Floor Patch,LOT-89268420,2026-12-16,5,9,3,1,0,13,71,76
Put Trial,Bahamas,Amanda Martin,Floor Patch,LOT-89268420,2026-12-16,5,4,0,2,6,14,55,20
Improve Trial,Tokelau,Daniel Nichols,Set Solution,LOT-26730959,2026-03-16,5,7,2,0,1,11,85,53
Improve Trial,Finland,Daniel Nichols,Set Solution,LOT-26730959,2026-03-16,3,1,3,2,1,20,109,25
Improve Trial,Mali,Daniel Nichols,Set Solution,LOT-26730959,2026-03-16,1,4,0,2,1,12,100,68
Recent Trial,Saudi Arabia,Sherry Long,Issue Patch,LOT-31152831,2025-09-07,5,3,1,1,0,19,100,24
Recent Trial,Togo,Sherry Long,Issue Patch,LOT-31152831,2025-09-07,2,10,2,4,2,20,118,71
Recent Trial,Turkmenistan,Sherry Long,Issue Patch,LOT-31152831,2025-09-07,3,7,1,2,3,13,81,21
Recent Trial,United States of America,Sherry Long,Issue Patch,LOT-31152831,2025-09-07,2,3,2,2,6,11,87,31
Improve Trial,Afghanistan,John Moore,Set Solution,LOT-26730959,2026-03-16,2,2,0,1,6,13,120,51
Improve Trial,Angola,John Moore,Set Solution,LOT-26730959,2026-03-16,2,3,0,1,6,14,73,49
Improve Trial,Finland,John Moore,Set Solution,LOT-26730959,2026-03-16,4,9,2,4,5,12,58,21
Improve Trial,Afghanistan,John Moore,Set Solution,LOT-26730959,2026-03-16,0,10,2,1,0,15,101,59
Attorney Study,British Virgin Islands,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,0,2,1,4,6,12,70,57
Attorney Study,Belgium,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,3,3,1,2,1,18,98,75
Attorney Study,Grenada,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,1,4,0,0,4,20,89,70
Attorney Study,Qatar,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,4,9,1,2,6,11,118,25
Attorney Study,Palestinian Territory,Erica Mora,They Capsule,LOT-27803441,2026-11-22,3,2,0,0,5,16,68,51
Attorney Study,Indonesia,Erica Mora,They Capsule,LOT-27803441,2026-11-22,5,9,2,0,4,18,85,21
Attorney Study,Belgium,Erica Mora,They Capsule,LOT-27803441,2026-11-22,0,8,0,4,5,17,78,39
Attorney Study,Gibraltar,Erica Mora,They Capsule,LOT-27803441,2026-11-22,0,1,3,0,3,16,50,62
Majority Trial,Togo,Tabitha Walker,Keep Capsule,LOT-62442527,2025-09-06,3,1,3,1,6,10,57,40
Front Study,Guam,Andrea Ford,Experience Tablet,LOT-12068529,2025-11-10,3,8,2,1,0,12,109,66
Season Trial,Kenya,Jessica Gutierrez,Enter Capsule,LOT-66613397,2025-11-03,1,2,0,0,1,13,70,51
Pay Study,Swaziland,Sherry Murphy,Able Patch,LOT-69596629,2026-12-31,3,5,2,4,5,13,55,65
Pay Study,Kenya,Sherry Murphy,Able Patch,LOT-69596629,2026-12-31,3,8,2,4,4,16,88,76
Pay Study,Taiwan,Sherry Murphy,Able Patch,LOT-69596629,2026-12-31,0,4,1,2,0,18,60,56
Pay Study,Guam,Sherry Murphy,Able Patch,LOT-69596629,2026-12-31,3,2,1,1,5,15,69,77
Myself Program,Taiwan,Jacob Brown,Something Patch,LOT-26376337,2026-09-04,3,2,2,1,3,18,59,44
Talk Trial,Bhutan,Catherine Miller,Free Solution,LOT-58463446,2027-04-08,0,8,1,2,6,20,89,25
Talk Trial,Korea,Catherine Miller,Free Solution,LOT-58463446,2027-04-08,3,2,2,4,2,16,71,52
Talk Trial,Palestinian Territory,Catherine Miller,Free Solution,LOT-58463446,2027-04-08,4,7,0,3,0,18,78,41
Myself Program,Mali,Darius Smith,Stock Patch,LOT-82476241,2025-06-26,0,8,0,1,2,13,110,27
Myself Program,Palestinian Territory,Darius Smith,Stock Patch,LOT-82476241,2025-06-26,0,10,3,2,1,20,95,79
Myself Program,Papua New Guinea,Darius Smith,Stock Patch,LOT-82476241,2025-06-26,1,1,3,4,0,10,53,54
Wear Program,Angola,Brandon Randolph,Agency Injection,LOT-27778437,2025-04-09,4,1,0,4,1,18,50,35
Wear Program,Portugal,Brandon Randolph,Agency Injection,LOT-27778437,2025-04-09,5,7,2,0,6,15,90,69
Wear Program,Palau,Brandon Randolph,Agency Injection,LOT-27778437,2025-04-09,1,5,2,2,6,11,105,75
Wear Program,Zambia,Brandon Randolph,Agency Injection,LOT-27778437,2025-04-09,1,1,3,4,5,10,101,68
Season Trial,British Virgin Islands,Eric Garner,Impact Patch,LOT-73100049,2026-06-22,0,3,1,4,5,17,106,55
Season Trial,Bahamas,Eric Garner,Impact Patch,LOT-73100049,2026-06-22,4,5,3,0,1,19,51,45
Front Study,Central African Republic,Steven Robinson,Light Tablet,LOT-85774109,2026-09-07,0,9,1,1,1,13,115,58
Front Study,Lesotho,Steven Robinson,Light Tablet,LOT-85774109,2026-09-07,4,6,2,1,4,14,71,65
Both Program,Guam,Kelly Nguyen,Cold Injection,LOT-63567190,2027-08-13,2,7,3,2,0,11,87,33
Attorney Study,Swaziland,Holly Rich,They Capsule,LOT-27803441,2026-11-22,4,4,0,4,3,13,111,60
Attorney Study,British Virgin Islands,Holly Rich,They Capsule,LOT-27803441,2026-11-22,1,8,0,2,6,16,59,58
Attorney Study,Palau,Holly Rich,They Capsule,LOT-27803441,2026-11-22,5,8,3,1,6,17,120,78
Attorney Study,Taiwan,Holly Rich,They Capsule,LOT-27803441,2026-11-22,0,9,2,1,3,14,103,74
Camera Trial,Korea,Melissa Morris,Anyone Tablet,LOT-34574127,2027-11-14,5,5,2,2,1,17,77,46
Camera Trial,Russian Federation,Melissa Morris,Anyone Tablet,LOT-34574127,2027-11-14,4,2,2,3,3,10,91,39
Camera Trial,Albania,Melissa Morris,Anyone Tablet,LOT-34574127,2027-11-14,1,9,1,2,1,10,63,26
Camera Trial,Malawi,Melissa Morris,Anyone Tablet,LOT-34574127,2027-11-14,0,6,2,4,6,15,96,63
Recent Trial,Tokelau,Ryan Brown,Issue Patch,LOT-31152831,2025-09-07,0,9,2,2,4,11,55,44
Recent Trial,Malawi,Ryan Brown,Issue Patch,LOT-31152831,2025-09-07,1,6,3,4,6,10,74,59
Home Trial,Portugal,Tabitha Aguilar,Common Patch,LOT-75185716,2026-06-14,4,6,2,1,2,16,76,59
Majority Trial,Indonesia,Wendy Boyd,Keep Capsule,LOT-30151730,2027-03-31,4,6,3,2,1,13,95,54
Majority Trial,Afghanistan,Wendy Boyd,Keep Capsule,LOT-30151730,2027-03-31,4,8,3,0,2,13,116,67
Attorney Study,Tokelau,Linda Grimes,Fund Tablet,LOT-35809899,2026-06-17,1,3,3,2,1,20,79,55
Attorney Study,Mali,Linda Grimes,Fund Tablet,LOT-35809899,2026-06-17,3,5,3,0,6,11,98,67
Attorney Study,Malawi,Linda Grimes,Fund Tablet,LOT-35809899,2026-06-17,5,6,0,0,4,17,74,28
Attorney Study,Angola,Linda Grimes,Fund Tablet,LOT-35809899,2026-06-17,1,9,1,2,1,10,87,57
Home Trial,Palau,Tabitha Aguilar,Offer Tablet,LOT-39555641,2027-05-20,3,5,0,1,4,18,76,45
Home Trial,Canada,Tabitha Aguilar,Offer Tablet,LOT-39555641,2027-05-20,0,6,0,0,4,18,76,41
Home Trial,Albania,Tabitha Aguilar,Offer Tablet,LOT-39555641,2027-05-20,1,6,0,2,3,14,85,42
Home Trial,Indonesia,Tabitha Aguilar,Offer Tablet,LOT-39555641,2027-05-20,0,4,2,4,2,11,65,36
City Program,Sao Tome and Principe,Stacy Murray,Run Solution,LOT-70811881,2026-09-05,0,7,3,4,5,16,92,48
City Program,Argentina,Stacy Murray,Run Solution,LOT-70811881,2026-09-05,4,6,0,4,4,17,77,72
City Program,Argentina,Stacy Murray,Run Solution,LOT-70811881,2026-09-05,1,4,0,0,3,17,96,41
City Program,Swaziland,Stacy Murray,Run Solution,LOT-70811881,2026-09-05,0,1,0,2,2,15,114,78
Past Trial,American Samoa,Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,0,3,1,0,6,10,70,38
Past Trial,Swaziland,Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,3,3,0,0,3,15,94,48
Past Trial,Kenya,Allen Mayer,Memory Solution,LOT-21570201,2026-12-22,1,5,3,0,1,19,95,67
Home Trial,Argentina,Tabitha Aguilar,Traditional Patch,LOT-32180264,2025-07-01,2,4,1,3,0,10,68,46
Home Trial,Austria,Tabitha Aguilar,Traditional Patch,LOT-32180264,2025-07-01,3,8,2,3,2,20,112,56
None Trial,Kiribati,Deanna Miller,Positive Injection,LOT-27880910,2026-11-19,1,3,1,3,4,18,80,73
None Trial,Saint Kitts and Nevis,Deanna Miller,Positive Injection,LOT-27880910,2026-11-19,1,8,2,1,1,13,102,25
City Program,United States of America,Michael Parker,Run Solution,LOT-49441641,2026-07-19,4,7,3,1,5,20,107,69
