trial_alias,country_name,enrollment_level,total_enrolled_forecast,total_enrolled_planned,total_enrolled_actual,enrollment_rate_monthly_actual
CT-6109-EDZ,Latvia,Country,194,189,194,9.91
CT-6109-EDZ,Belize,Study,197,194,189,9.66
CT-6109-EDZ,Seychelles,Site,144,130,122,6.24
CT-6109-EDZ,Ecuador,Country,150,136,146,7.46
CT-6109-EDZ,Cambodia,Country,79,86,91,4.65
CT-9831-IEW,Azerbaijan,Study,170,155,138,2.59
CT-9831-IEW,Jersey,Site,87,90,93,1.74
CT-9831-IEW,Tanzania,Study,79,90,83,1.56
CT-9831-IEW,Wallis and Futuna,Country,120,102,88,1.65
CT-9831-IEW,Pitcairn Islands,Site,226,217,219,4.1
CT-9831-IEW,Turkey,Country,74,87,75,1.41
CT-3395-UCM,Belize,Country,126,112,93,5.14
CT-3395-UCM,Comoros,Site,170,175,172,9.5
CT-3395-UCM,Turkey,Study,232,218,220,12.15
CT-4229-AWU,Uzbekistan,Country,211,218,217,3.81
CT-4229-AWU,New Caledonia,Country,181,170,165,2.9
CT-4229-AWU,Ecuador,Country,176,175,184,3.23
CT-4229-AWU,Brunei Darussalam,Site,154,156,136,2.39
CT-4229-AWU,Guyana,Study,71,85,94,1.65
CT-4229-AWU,Bouvet Island (Bouvetoya),Country,78,88,88,1.54
CT-9771-CZL,British Virgin Islands,Country,225,218,201,7.65
CT-9771-CZL,Azerbaijan,Country,116,96,107,4.07
CT-9771-CZL,Central African Republic,Country,133,148,137,5.22
CT-5014-EEP,Sudan,Site,130,140,127,4.53
CT-5014-EEP,Jordan,Study,154,140,146,5.21
CT-5014-EEP,Azerbaijan,Site,103,94,89,3.17
CT-5014-EEP,Mauritius,Country,104,105,85,3.03
CT-3636-AVP,Burundi,Study,174,156,148,5.87
CT-3636-AVP,Pitcairn Islands,Site,98,84,84,3.33
CT-3636-AVP,Belize,Study,218,217,212,8.4
CT-3636-AVP,Nicaragua,Study,181,162,165,6.54
CT-3636-AVP,Estonia,Country,172,175,187,7.41
CT-7484-BIH,Belgium,Country,132,117,105,3.86
CT-7484-BIH,Heard Island and McDonald Islands,Study,228,219,210,7.71
CT-7484-BIH,Niger,Site,108,115,97,3.56
CT-7487-KNX,Burundi,Site,177,171,158,2.72
CT-7487-KNX,Niger,Site,112,106,95,1.63
CT-7487-KNX,Cyprus,Study,96,105,111,1.91
CT-7487-KNX,Cuba,Country,101,86,74,1.27
CT-3230-HFO,Serbia,Study,132,120,135,3.52
CT-3230-HFO,Gibraltar,Site,118,100,114,2.97
CT-3230-HFO,Antarctica (the territory South of 60 deg S),Site,106,100,89,2.32
CT-3230-HFO,Libyan Arab Jamahiriya,Site,235,219,233,6.08
CT-3230-HFO,Switzerland,Site,200,194,185,4.83
CT-6551-IBW,Italy,Study,106,90,79,1.65
CT-6551-IBW,Madagascar,Site,104,107,112,2.34
CT-6551-IBW,Malaysia,Country,138,145,135,2.82
CT-3472-PNG,Puerto Rico,Site,179,162,163,4.9
CT-3472-PNG,Falkland Islands (Malvinas),Country,152,166,179,5.39
CT-3472-PNG,Trinidad and Tobago,Study,196,210,193,5.81
CT-3472-PNG,Haiti,Country,188,193,188,5.66
CT-3472-PNG,Libyan Arab Jamahiriya,Study,189,200,202,6.08
CT-9781-BYC,Albania,Site,200,201,189,11.43
CT-9781-BYC,Anguilla,Country,148,162,161,9.74
CT-9781-BYC,Grenada,Country,181,165,147,8.89
CT-9781-BYC,Moldova,Study,176,164,171,10.34
CT-9781-BYC,New Caledonia,Study,209,216,212,12.82
