Old Qty,New Qty,Purchase Document Date,Purchasing Document Type,Material,Purchasing document number,Item number of purchasing document,Plant,Purchasing Group,Schedule line number,Vendor,FACTCAL ID,MRP AREA,MRP CONTRL,MRP TYPE,New Date,Old Date,Reason,Lead Time,FAC_CAL_DEL_DATE,ZDELDATE,Factory Calendar ID,MRP Characteristic,MRP Controller,Product Description,Days Difference,Hit Reason,Actual PO Date,Scheduled PO Date,Qty Ordered,Qty Received,Qty Variance Pront,Po Release Date,Elapse Lead Time,Hit Flag,Internal Vendor Flag,Lead Time Given,Statistical Delivery Date,Purch Order Type Id,Item Delivery Date,Purch Grp Id,Vendor Id,Planned Lead Time,Inbound Delivery Date,MRP Type Id,MRP Controller Id,Days Early Late,Vendor Name,Goods Receipt Date,Flag Delete,Purchase order Flag_Open/Close,Trial Alias
242,235,2025-09-04,FO,MAT-22152,9788783848,66,US01,PG83,1,V736183,413791278,MRP-98,MRP-47,PD,2026-10-30,2024-07-15,Someone,8,2024-06-23,2024-10-25,488348018,MRP-25,MRP-129,Culture Solution,0,Run,2025-09-04,2025-09-27,242,239,-1,2025-09-02,9,No,V1203737,18,2023-12-24,968053604,2025-08-22,465897385,V7123150,38,2025-03-29,VV,MRP-117,28,Williams-Harrison Pharma,2025-11-12,Yes,No,CT-3472-PNG
171,161,2025-10-20,FO,MAT-15875,6797910300,41,EU02,PG17,4,V632391,791502118,MRP-98,MRP-40,VB,2026-01-26,2024-01-08,Get,6,2024-03-07,2026-09-02,494574757,MRP-36,MRP-138,Happy Solution,6,Training,2025-10-20,2025-11-13,171,171,1,2025-10-18,18,Yes,V1545731,22,2026-11-03,318054396,2025-02-14,630952328,V8468098,25,2024-10-11,VV,MRP-116,4,Robertson PLC Pharma,2025-10-22,Yes,Yes,CT-8742-ECD
23,34,2025-10-03,NB,MAT-59372,4796202511,54,US01,PG41,1,V564248,946622155,MRP-23,MRP-72,VV,2024-06-24,2026-01-17,Agree,5,2026-04-26,2024-02-22,915333638,MRP-66,MRP-126,Issue Patch,0,Those,2025-10-03,2025-10-16,23,21,-5,2025-10-01,17,Yes,V9811064,9,2024-08-11,290491549,2024-10-10,635598225,V4732988,12,2026-01-21,PD,MRP-128,2,"Reed, Peterson and Faulkner Pharma",2025-02-13,Yes,Yes,CT-7487-KNX
175,171,2025-04-08,FO,MAT-79992,6010332527,51,EU02,PG16,2,V178919,281164770,MRP-31,MRP-92,VV,2025-08-24,2024-02-21,Report,43,2025-01-29,2024-11-23,147236747,MRP-79,MRP-115,Anyone Tablet,-2,Second,2025-04-08,2025-04-23,175,171,0,2025-04-06,20,Yes,V8333981,9,2024-05-31,437849590,2024-05-31,354590621,V2486493,5,2025-11-26,VB,MRP-107,29,Wang and Sons Pharma,2026-05-18,Yes,Yes,CT-6551-IBW
107,112,2025-02-23,NB,MAT-31615,5358198707,41,EU02,PG68,2,V340406,446001845,MRP-43,MRP-30,PD,2023-12-02,2025-08-28,Letter,45,2026-02-12,2026-09-21,146052571,MRP-62,MRP-122,Trouble Capsule,12,Race,2025-02-23,2025-03-24,107,105,-2,2025-02-21,12,No,V7141593,6,2026-05-12,560415882,2024-04-24,915799330,V2192517,28,2026-08-17,PD,MRP-118,28,Flores-Martin Pharma,2026-07-21,Yes,Yes,CT-9781-BYC
16,32,2024-12-27,FO,MAT-49651,2159809333,88,AP03,PG34,4,V670844,885554935,MRP-47,MRP-57,VB,2025-07-05,2024-06-21,Interest,17,2025-07-15,2024-09-20,552647272,MRP-24,MRP-112,High Injection,7,Discuss,2024-12-27,2025-01-18,16,12,1,2024-12-25,18,Yes,V1808571,7,2024-03-09,843286199,2026-09-03,534447255,V6418247,34,2026-06-01,PD,MRP-127,22,"Robinson, Randolph and Crawford Pharma",2024-11-16,Yes,Yes,CT-9831-IEW
229,236,2025-04-11,FO,MAT-66257,5224146906,40,LAT04,PG80,4,V101162,622895092,MRP-67,MRP-79,VB,2026-10-07,2025-04-18,Job,30,2026-10-30,2026-03-24,162663448,MRP-37,MRP-133,Hundred Solution,2,Along,2025-04-11,2025-05-02,229,228,3,2025-04-09,18,Yes,V7835890,27,2024-02-24,520615371,2023-11-23,798216482,V9515648,23,2024-01-12,VB,MRP-122,28,Miller and Sons Pharma,2024-01-13,No,Yes,CT-7484-BIH
20,37,2025-09-26,FO,MAT-16848,9195387112,89,LAT04,PG34,3,V158514,452083764,MRP-21,MRP-19,VB,2024-05-18,2026-09-23,Whole,32,2024-03-08,2026-08-10,909062327,MRP-50,MRP-106,Blue Patch,4,Agency,2025-09-26,2025-10-09,20,19,4,2025-09-24,28,No,V7867768,28,2026-06-29,598307181,2024-03-24,691936770,V9342616,36,2025-07-08,VV,MRP-114,16,Tran Group Pharma,2023-12-10,No,No,CT-8742-ECD
67,58,2025-03-14,NB,MAT-73628,4471753660,66,US01,PG27,4,V290503,244618039,MRP-75,MRP-64,VB,2023-11-17,2026-08-09,Treat,17,2026-10-22,2025-10-24,982008789,MRP-93,MRP-138,Health Solution,1,Simple,2025-03-14,2025-04-05,67,66,-4,2025-03-12,23,Yes,V6649025,19,2023-12-15,492949533,2025-12-30,922435083,V8824930,14,2025-12-16,VB,MRP-125,1,Marshall and Sons Pharma,2024-05-29,No,Yes,CT-3230-HFO
79,85,2024-12-12,FO,MAT-15875,6258416936,87,EU02,PG89,2,V286480,499128908,MRP-68,MRP-27,PD,2024-12-15,2024-12-01,Region,26,2025-01-12,2026-10-10,641704359,MRP-68,MRP-138,Happy Solution,14,Where,2024-12-12,2024-12-27,79,75,1,2024-12-10,5,Yes,V5937017,7,2025-03-20,243181041,2026-08-06,265381604,V6104267,25,2024-02-11,VB,MRP-138,4,Coleman PLC Pharma,2026-10-06,Yes,No,CT-8742-ECD
237,230,2025-10-15,FO,MAT-97442,9516291738,51,EU02,PG64,3,V674175,598331347,MRP-52,MRP-26,VB,2024-08-31,2024-09-05,Yourself,38,2026-02-18,2025-08-22,651804301,MRP-86,MRP-101,Common Patch,3,Year,2025-10-15,2025-11-02,237,236,4,2025-10-13,11,No,V6252983,28,2026-07-11,114610463,2025-09-11,812650235,V5923258,26,2024-05-21,VB,MRP-106,4,Gonzales PLC Pharma,2023-12-31,No,Yes,CT-2004-PSX
190,206,2025-03-19,NB,MAT-86920,6789748837,27,US01,PG56,5,V661634,451851577,MRP-12,MRP-13,VB,2023-12-17,2025-12-24,Decade,23,2024-03-23,2026-06-28,267408718,MRP-38,MRP-105,Various Solution,12,Car,2025-03-19,2025-03-30,190,185,4,2025-03-17,20,No,V4880907,23,2026-02-14,803360005,2024-04-25,112357754,V1797012,39,2026-04-20,VV,MRP-108,2,Harris-Jenkins Pharma,2024-08-02,Yes,No,CT-8970-PLO
54,58,2025-03-29,NB,MAT-22108,9145646936,30,US01,PG26,2,V324977,118629195,MRP-54,MRP-15,VB,2024-02-03,2024-07-30,Significant,26,2024-08-18,2026-01-15,268978045,MRP-19,MRP-102,Win Injection,1,Child,2025-03-29,2025-04-22,54,50,2,2025-03-27,27,No,V8606914,41,2025-10-21,418592877,2025-02-04,137759071,V2975977,26,2026-08-07,VV,MRP-114,16,"Harrison, Robinson and Alvarez Pharma",2026-03-21,No,No,CT-6910-RDE
212,207,2024-12-16,FO,MAT-47254,1745649851,76,EU02,PG40,2,V161824,166067274,MRP-46,MRP-21,VV,2023-11-30,2025-10-03,Land,20,2024-07-09,2025-04-23,129084009,MRP-38,MRP-136,Article Tablet,13,There,2024-12-16,2025-01-07,212,211,-4,2024-12-14,26,Yes,V4539478,19,2024-03-18,570450617,2026-04-02,688089800,V8377588,18,2026-04-21,VV,MRP-106,28,Fields Ltd Pharma,2025-04-30,No,No,CT-8742-ECD
98,103,2025-01-22,NB,MAT-54383,3568671452,73,EU02,PG53,3,V410587,333001811,MRP-82,MRP-88,PD,2024-11-07,2024-10-25,Difference,32,2024-08-14,2023-12-21,339151107,MRP-84,MRP-108,Agency Injection,5,Pull,2025-01-22,2025-02-16,98,97,-2,2025-01-20,6,No,V2578950,12,2024-06-10,476656670,2026-10-01,306729566,V8212043,13,2024-01-06,VV,MRP-119,2,"Soto, Wheeler and Johnson Pharma",2024-08-18,No,No,CT-3636-AVP
177,174,2025-07-07,FO,MAT-75647,1613027846,42,EU02,PG36,2,V296596,443265704,MRP-50,MRP-61,PD,2024-06-28,2026-06-15,Reflect,8,2026-09-09,2026-08-07,914499777,MRP-21,MRP-124,Member Solution,-1,First,2025-07-07,2025-07-24,177,174,5,2025-07-05,8,No,V6405003,25,2025-04-28,269510167,2025-01-09,278087851,V2401312,20,2026-06-16,VV,MRP-118,9,Webb Ltd Pharma,2024-01-08,No,No,CT-6551-IBW
268,260,2025-06-24,FO,MAT-74459,8642101871,26,US01,PG18,1,V846796,700720867,MRP-54,MRP-17,PD,2026-06-30,2026-03-11,Beat,44,2025-10-19,2025-09-27,960104903,MRP-34,MRP-114,Memory Solution,13,Skin,2025-06-24,2025-07-07,268,268,-3,2025-06-22,21,No,V6240960,24,2026-09-12,943653077,2025-03-14,361598721,V8022364,38,2025-01-19,PD,MRP-137,25,"Bowman, Kelly and Martinez Pharma",2024-05-16,Yes,Yes,CT-8015-GMQ
269,284,2025-05-14,FO,MAT-22152,5454186420,82,US01,PG54,5,V666277,716170978,MRP-59,MRP-75,VV,2024-09-27,2023-12-16,Although,44,2026-07-25,2026-07-24,399073428,MRP-18,MRP-129,Culture Solution,0,Receive,2025-05-14,2025-05-26,269,268,5,2025-05-12,18,No,V1468827,13,2026-08-02,370304882,2025-06-01,685414998,V5342393,10,2026-03-09,VV,MRP-136,10,Davis-Webb Pharma,2024-10-28,Yes,No,CT-3472-PNG
237,244,2025-11-02,FO,MAT-54383,7347150581,72,EU02,PG19,2,V165028,852160445,MRP-91,MRP-87,VB,2025-05-02,2025-06-27,Out,33,2026-01-01,2026-04-27,846457213,MRP-62,MRP-108,Agency Injection,-2,Forget,2025-11-02,2025-11-27,237,232,2,2025-10-31,11,No,V9622615,38,2026-10-09,791844133,2025-01-28,486136923,V2746676,4,2025-09-18,VV,MRP-120,7,"Smith, Smith and Chapman Pharma",2024-11-20,No,No,CT-3636-AVP
149,151,2025-08-06,NB,MAT-39627,7631394353,56,LAT04,PG52,4,V262014,614557592,MRP-89,MRP-56,VB,2023-12-29,2024-06-10,Method,42,2024-10-07,2026-01-30,947530757,MRP-93,MRP-123,Fund Tablet,-2,Alone,2025-08-06,2025-09-04,149,147,-1,2025-08-04,14,Yes,V5969566,19,2024-08-24,789665080,2025-05-04,854273177,V2339815,22,2024-01-26,VV,MRP-116,28,Wong-Davis Pharma,2025-02-20,No,Yes,CT-5014-EEP
182,189,2025-05-13,FO,MAT-53554,4885901129,36,LAT04,PG39,2,V583735,199279435,MRP-39,MRP-49,VB,2026-05-08,2025-05-08,Region,10,2026-07-11,2025-08-30,873421634,MRP-31,MRP-103,They Capsule,12,Yourself,2025-05-13,2025-05-24,182,182,1,2025-05-11,29,Yes,V7697083,4,2025-06-03,854391950,2026-02-05,288604776,V6959913,34,2026-03-20,PD,MRP-129,28,"Morgan, Franklin and Arroyo Pharma",2024-08-15,No,Yes,CT-5014-EEP
133,133,2025-07-17,NB,MAT-75647,9279911126,46,EU02,PG99,5,V541867,555268409,MRP-15,MRP-41,VB,2024-12-21,2026-04-26,Second,27,2024-09-01,2024-09-10,560328229,MRP-39,MRP-124,Member Solution,0,Forward,2025-07-17,2025-07-29,133,130,3,2025-07-15,7,No,V9265746,45,2025-11-28,276831888,2024-08-16,385261167,V8918227,13,2026-10-24,VB,MRP-117,16,Kirby-Hanson Pharma,2024-02-18,No,Yes,CT-6551-IBW
263,256,2025-03-20,NB,MAT-49508,6171709828,46,LAT04,PG94,4,V839759,785412153,MRP-18,MRP-42,PD,2025-11-20,2024-11-03,Movement,23,2025-09-10,2025-07-26,952250579,MRP-77,MRP-116,Able Patch,15,Meeting,2025-03-20,2025-04-16,263,263,-1,2025-03-18,28,Yes,V4268088,29,2025-06-08,878386882,2024-07-22,716491053,V5979723,44,2025-06-21,PD,MRP-139,6,"Lang, Scott and Wong Pharma",2026-07-20,No,No,CT-6592-IDY
168,167,2024-12-24,NB,MAT-79992,1758477108,53,EU02,PG83,2,V779435,631643664,MRP-92,MRP-24,VV,2024-07-07,2024-01-29,Have,40,2026-07-03,2024-09-20,415326913,MRP-86,MRP-115,Anyone Tablet,5,Large,2024-12-24,2025-01-03,168,165,-1,2024-12-22,13,Yes,V7583203,7,2026-10-06,934049865,2024-11-05,633911723,V6208537,7,2024-11-18,VB,MRP-122,5,Davis-Gould Pharma,2026-08-11,No,Yes,CT-6551-IBW
36,51,2024-12-14,FO,MAT-58266,5626018714,71,EU02,PG23,1,V803526,310893120,MRP-64,MRP-41,VV,2023-11-19,2024-10-14,Skill,17,2025-12-11,2025-12-25,586057457,MRP-95,MRP-114,Tree Injection,3,Change,2024-12-14,2025-01-11,36,35,-1,2024-12-12,22,No,V7382320,19,2025-08-11,794411147,2026-06-21,369656504,V7740601,37,2023-12-17,VV,MRP-122,22,Mitchell-Miller Pharma,2026-09-02,Yes,No,CT-3228-ZKT
110,130,2025-03-17,NB,MAT-78401,2112335499,43,US01,PG68,5,V442804,344544631,MRP-45,MRP-60,PD,2026-08-05,2026-10-23,Arm,18,2024-07-17,2025-05-05,651155041,MRP-71,MRP-103,Expect Tablet,-2,Want,2025-03-17,2025-03-31,110,109,-4,2025-03-15,25,Yes,V8811832,24,2024-05-18,159363756,2026-05-19,226784686,V8326085,16,2026-07-26,VB,MRP-131,27,"Farley, Davis and Barr Pharma",2026-06-03,No,No,CT-1696-SCY
114,105,2025-02-08,NB,MAT-46171,6480445110,21,AP03,PG77,5,V652584,126836856,MRP-32,MRP-55,VV,2026-07-24,2025-06-07,Hand,11,2025-07-11,2026-03-08,538662969,MRP-32,MRP-136,Though Solution,-4,Possible,2025-02-08,2025-02-25,114,114,0,2025-02-06,30,No,V8532849,44,2024-11-29,423321973,2024-02-03,947845808,V7288338,33,2025-08-08,PD,MRP-124,7,Foley-Ramirez Pharma,2023-12-30,Yes,No,CT-3636-AVP
254,249,2025-05-15,FO,MAT-22108,1481065715,55,US01,PG59,2,V931471,193357482,MRP-58,MRP-39,VV,2024-05-21,2026-01-20,Want,5,2026-02-28,2024-09-12,105708428,MRP-57,MRP-102,Win Injection,13,Really,2025-05-15,2025-06-14,254,249,5,2025-05-13,19,No,V4131220,41,2025-08-15,153225471,2026-08-30,643526799,V1637671,37,2024-01-16,PD,MRP-127,2,Thompson-Johnson Pharma,2023-12-03,No,No,CT-6910-RDE
230,247,2024-12-06,FO,MAT-22610,8976574334,72,LAT04,PG62,4,V549911,278787938,MRP-36,MRP-33,VB,2024-06-20,2026-11-03,Majority,4,2024-01-01,2025-04-27,353988766,MRP-98,MRP-108,Us Solution,1,Everybody,2024-12-06,2024-12-13,230,227,5,2024-12-04,13,Yes,V2202148,33,2023-11-15,270306387,2025-05-14,810015300,V6781233,10,2024-04-06,VB,MRP-115,21,Bond-Richardson Pharma,2024-10-01,Yes,No,CT-9771-CZL
291,305,2025-08-23,FO,MAT-73628,2115967176,44,US01,PG81,1,V485908,358199024,MRP-49,MRP-31,VB,2024-07-04,2026-10-07,I,20,2024-08-14,2026-01-03,940038774,MRP-74,MRP-138,Health Solution,7,Hour,2025-08-23,2025-09-02,291,286,0,2025-08-21,22,No,V5724479,3,2025-09-27,169161629,2024-10-27,412699477,V6131693,34,2024-03-28,VV,MRP-105,29,Sanders-Reed Pharma,2026-01-07,No,No,CT-3230-HFO
45,50,2025-07-20,FO,MAT-59372,6714993551,59,US01,PG59,1,V945186,196676890,MRP-53,MRP-70,VV,2024-02-07,2025-03-28,Board,29,2024-02-18,2025-12-07,715626200,MRP-50,MRP-126,Issue Patch,-4,Political,2025-07-20,2025-08-08,45,43,-3,2025-07-18,12,Yes,V7821643,32,2024-09-26,829844897,2026-06-08,549946873,V1605381,4,2026-03-23,VB,MRP-135,29,Dominguez LLC Pharma,2026-10-30,No,No,CT-7487-KNX
235,228,2025-07-26,NB,MAT-22108,3099717209,52,US01,PG74,4,V111536,786121467,MRP-68,MRP-59,VV,2024-09-07,2026-02-23,Cover,35,2024-09-30,2025-09-06,190543459,MRP-41,MRP-102,Win Injection,-1,Enough,2025-07-26,2025-08-10,235,234,4,2025-07-24,9,No,V6104583,13,2024-07-17,606171108,2023-11-13,264686280,V3927028,37,2024-01-25,PD,MRP-105,12,Sellers-Savage Pharma,2024-06-01,Yes,Yes,CT-6910-RDE
248,244,2025-09-25,NB,MAT-66331,6557295295,90,LAT04,PG90,5,V992138,779470980,MRP-78,MRP-99,VV,2025-12-17,2025-11-03,None,25,2024-02-16,2026-03-09,184067787,MRP-92,MRP-111,Step Solution,-2,Term,2025-09-25,2025-10-15,248,244,-1,2025-09-23,11,Yes,V2672619,33,2024-01-10,659306664,2026-08-22,570600144,V4284856,13,2023-11-23,VB,MRP-123,17,Johnson-Martinez Pharma,2026-09-01,No,Yes,CT-8872-GKR
186,180,2025-06-30,NB,MAT-45907,8326845266,16,LAT04,PG70,4,V406381,437371077,MRP-72,MRP-27,VV,2025-01-04,2026-06-25,Reveal,14,2024-05-13,2026-04-10,995575739,MRP-16,MRP-115,Speech Patch,4,According,2025-06-30,2025-07-28,186,186,-3,2025-06-28,25,Yes,V1258719,9,2025-10-18,109331719,2024-02-09,800616266,V4347402,31,2025-09-08,VV,MRP-134,1,Woods and Sons Pharma,2024-02-22,No,No,CT-3472-PNG
202,211,2025-03-16,NB,MAT-18458,1476077384,79,EU02,PG64,2,V409017,310690953,MRP-88,MRP-63,VV,2026-01-18,2023-12-10,Dark,44,2025-05-23,2025-02-04,986155225,MRP-44,MRP-102,Reason Tablet,-4,Room,2025-03-16,2025-04-15,202,197,5,2025-03-14,28,Yes,V2769902,4,2026-10-19,355836922,2024-05-15,497987793,V2116526,42,2025-01-17,VV,MRP-121,28,Martinez-Nelson Pharma,2025-09-16,No,Yes,CT-7487-KNX
148,161,2025-04-03,FO,MAT-73628,2759120054,17,US01,PG97,5,V598922,937134787,MRP-49,MRP-60,PD,2025-10-03,2025-12-23,Fact,9,2026-06-12,2026-09-30,969867647,MRP-59,MRP-138,Health Solution,1,Energy,2025-04-03,2025-04-18,148,143,2,2025-04-01,18,Yes,V8886574,39,2025-03-18,384715003,2025-04-07,715232958,V8229572,29,2024-06-20,VV,MRP-132,22,Burke-Rodriguez Pharma,2026-02-22,No,Yes,CT-3230-HFO
172,183,2025-10-14,NB,MAT-49651,5833561502,72,AP03,PG21,3,V696842,431699442,MRP-60,MRP-50,VV,2026-08-30,2025-06-11,Father,43,2024-01-12,2026-06-09,760094305,MRP-44,MRP-112,High Injection,11,Language,2025-10-14,2025-10-24,172,171,1,2025-10-12,23,No,V1555415,33,2026-07-25,506711948,2025-12-01,475588162,V1852503,34,2026-06-06,VB,MRP-122,30,"Lyons, Smith and Rodriguez Pharma",2025-06-07,Yes,No,CT-9831-IEW
123,131,2025-01-04,FO,MAT-61362,6027811657,73,US01,PG98,1,V770239,784590030,MRP-95,MRP-49,PD,2024-12-29,2026-02-19,Ground,26,2024-04-30,2024-12-08,435869065,MRP-75,MRP-134,Better Tablet,1,Along,2025-01-04,2025-01-29,123,119,0,2025-01-02,30,No,V3932557,33,2023-12-16,512217472,2026-03-31,800173414,V5365841,30,2026-01-17,VB,MRP-137,3,"Moore, Sampson and Snyder Pharma",2023-12-22,No,No,CT-3228-ZKT
208,222,2025-07-15,NB,MAT-53554,9943546765,81,LAT04,PG65,5,V536902,781957444,MRP-83,MRP-93,VV,2024-11-09,2024-12-14,Series,34,2024-12-05,2025-01-15,648874451,MRP-29,MRP-103,They Capsule,8,Compare,2025-07-15,2025-07-23,208,206,2,2025-07-13,15,Yes,V3696022,19,2025-01-02,149674602,2024-02-09,215800129,V8465145,22,2026-07-10,PD,MRP-125,16,Nelson Ltd Pharma,2025-07-21,No,No,CT-5014-EEP
98,98,2025-02-23,NB,MAT-16078,6725555676,61,LAT04,PG11,3,V964130,268471479,MRP-47,MRP-79,VV,2024-08-09,2025-03-23,Present,37,2026-08-24,2025-06-24,778168153,MRP-71,MRP-139,Stock Patch,-5,Enjoy,2025-02-23,2025-03-20,98,95,0,2025-02-21,5,Yes,V1375638,30,2024-09-12,361150642,2026-10-07,656794349,V9618766,29,2025-02-14,PD,MRP-138,18,Guerrero-Jones Pharma,2026-10-09,Yes,No,CT-9831-IEW
