Batch number,Batch Use,BW: Document Item Number,ID,Inspection Lot Number,Item Category in Purchasing Document,Item number of purchasing document,Level,Material,Order Category,Order item number,Order Number,Plant,Purchasing document number,Record type,Request Transaction Sequence Number,Sales Document,Sold-to Party,Type,Unit of Measure,Vendor Batch Number,Quantity,Material_ID,Plant_ID,Material_Type_ID,Trial Alias
LOT-92214561,Distribution,901712471,383429664,IL1162843,Family,963041691,Site,MAT-66331,Even,F810F57F-82C,AD35DE4B-215,AP03,262966273,Transfer,220930565,SD266413,Smith-Holden,Concern,Treatment,LOT-92214561,477,MAT-66331,AP03,Investigational Product,CT-8872-GKR
LOT-88132342,Production,928342818,727584470,IL1800324,We,670873775,Site,MAT-66331,News,302EBFD8-75D,8733D49D-751,AP03,551328227,Transfer,673351989,SD644334,"Hicks, Ryan and Scott",Common,Watch,LOT-88132342,285,MAT-66331,AP03,Investigational Product,CT-8872-GKR
LOT-24028484,Distribution,420671088,787755007,IL7869398,Teacher,933883734,Country,MAT-23246,Line,5B47E6AA-FAF,835C170B-558,US01,580168697,Production,621417972,SD699077,Bauer Group,Travel,Concern,LOT-24028484,137,MAT-23246,US01,Comparator,CT-8872-GKR
LOT-74130481,Production,826160905,981736073,IL1522230,Month,206135444,Study,MAT-23246,Condition,13D23ECC-032,E09D9D69-D6E,EU02,672138897,Production,130928549,SD466701,"Robinson, Garner and Jones",New,Feeling,LOT-74130481,300,MAT-23246,EU02,Comparator,CT-8872-GKR
LOT-51166600,Distribution,387224422,453285337,IL6266380,Court,289503375,Study,MAT-23246,Include,DC77B20F-464,D4D67F91-29D,LAT04,978016531,Production,915160284,SD119255,Wiggins-Robles,Ball,Cell,LOT-51166600,405,MAT-23246,LAT04,Comparator,CT-8872-GKR
LOT-49329322,Production,375352732,535541718,IL9349098,Account,486329453,Site,MAT-58804,Bad,DC052809-D93,86905D6E-07A,EU02,264921204,Production,822159625,SD749794,Lee PLC,Party,Field,LOT-49329322,354,MAT-58804,EU02,Investigational Product,CT-8872-GKR
LOT-99508478,Distribution,155857011,702607740,IL3804140,Both,470950927,Site,MAT-58804,Before,1466B603-499,A7510327-2D1,EU02,168714468,Production,571643038,SD420236,Robinson Group,Factor,During,LOT-99508478,381,MAT-58804,EU02,Investigational Product,CT-8872-GKR
LOT-36676116,Distribution,778314123,663823330,IL4152157,Single,419659205,Country,MAT-58804,Nothing,362FCDC7-090,48F49FFF-6F5,EU02,512438289,Transfer,230977892,SD405708,Lewis Group,Feel,Make,LOT-36676116,158,MAT-58804,EU02,Investigational Product,CT-8872-GKR
LOT-65372587,Distribution,845586507,132594164,IL7367756,Lot,487267741,Study,MAT-14115,Send,A3929C23-5C7,13D53FD1-2EA,LAT04,678670549,Production,815138382,SD321162,Acosta-Brewer,Positive,Miss,LOT-65372587,285,MAT-14115,LAT04,Comparator,CT-1696-SCY
LOT-48273549,Packaging,755967622,251591415,IL4382549,Lay,573837356,Site,MAT-14115,Such,1DE4A4D7-80D,0ACC4422-7D1,EU02,924788348,Transfer,256353182,SD426314,Thompson-Hernandez,Many,Question,LOT-48273549,110,MAT-14115,EU02,Comparator,CT-1696-SCY
LOT-44491067,Distribution,748882282,180453311,IL4746282,Fund,877652262,Study,MAT-78401,Two,333F654A-085,19B119B0-986,EU02,980449897,Transfer,729299334,SD655375,Ayala Ltd,Reflect,Magazine,LOT-44491067,327,MAT-78401,EU02,Ancillary Supply,CT-1696-SCY
LOT-46656333,Packaging,605805826,322600446,IL8335912,Candidate,107236093,Country,MAT-78401,Half,420B1E11-8DA,F892BADA-B88,EU02,973612390,Transfer,635575710,SD521553,Thomas PLC,Sister,Camera,LOT-46656333,212,MAT-78401,EU02,Ancillary Supply,CT-1696-SCY
LOT-63567190,Production,191723578,779083156,IL4756390,Value,965904471,Study,MAT-30703,Drug,43F442CA-654,B91ED3F0-13C,AP03,456150627,Production,165291272,SD531252,Robbins Inc,Build,Eat,LOT-63567190,326,MAT-30703,AP03,Investigational Product,CT-3228-ZKT
LOT-98018080,Packaging,717569921,615833143,IL1935326,Month,471418641,Country,MAT-30703,Adult,D822806C-DEC,CD20E168-B67,LAT04,620779040,Transfer,529326851,SD476584,Snyder-Potts,Size,Avoid,LOT-98018080,461,MAT-30703,LAT04,Investigational Product,CT-3228-ZKT
LOT-67845376,Packaging,288781182,950811271,IL7951835,Whose,258226117,Study,MAT-30703,Hot,EC2064DF-354,EA3FBE37-E91,EU02,478142383,Transfer,312812516,SD553184,Warren Group,Least,Bring,LOT-67845376,376,MAT-30703,EU02,Investigational Product,CT-3228-ZKT
LOT-56689918,Distribution,233808792,525122802,IL4250545,Sea,337339459,Country,MAT-30703,Major,93E2AB3B-625,D1C0BAB1-86B,EU02,673632098,Transfer,844510177,SD105581,"Tanner, Barber and Cook",Doctor,Method,LOT-56689918,485,MAT-30703,EU02,Investigational Product,CT-3228-ZKT
LOT-63418468,Production,352504123,900092328,IL4531325,On,338927926,Site,MAT-61362,Half,22D3A96C-CE5,04FD0749-0E8,EU02,288833649,Transfer,902532685,SD867984,"Mcdonald, Mitchell and Charles",Free,Exist,LOT-63418468,434,MAT-61362,EU02,Ancillary Supply,CT-3228-ZKT
LOT-44501033,Packaging,733565919,225989649,IL2665128,Near,372332617,Country,MAT-61362,Role,60F22C34-AA2,86905D6E-07A,EU02,427919628,Transfer,799750870,SD940957,Yang Group,Call,Bar,LOT-44501033,257,MAT-61362,EU02,Ancillary Supply,CT-3228-ZKT
LOT-82054650,Production,669098495,970797582,IL6967940,Garden,390750984,Country,MAT-61362,With,9853B6AB-C01,3927BB78-AC5,LAT04,895558266,Production,530991436,SD532676,"Bartlett, Higgins and Sullivan",Poor,Visit,LOT-82054650,140,MAT-61362,LAT04,Ancillary Supply,CT-3228-ZKT
LOT-54364032,Distribution,986972819,136687963,IL8808188,History,376350280,Study,MAT-61362,We,082EC977-749,B91ED3F0-13C,AP03,497303659,Production,820808435,SD185036,King-Thomas,Find,Condition,LOT-54364032,366,MAT-61362,AP03,Ancillary Supply,CT-3228-ZKT
LOT-57780542,Packaging,500810663,558675388,IL8934035,Learn,527511724,Site,MAT-18409,Tonight,BE0807F8-705,10DC3E02-6DA,EU02,153283286,Transfer,917177339,SD109527,"Moore, Fitzgerald and Banks",Analysis,Ok,LOT-57780542,181,MAT-18409,EU02,Investigational Product,CT-3228-ZKT
LOT-60873216,Packaging,883989312,408009220,IL3396327,Condition,551409188,Country,MAT-18409,West,24B63DC5-4E0,D991D9F7-CFE,EU02,131882634,Transfer,150794516,SD632650,Hodges Group,Quite,Wonder,LOT-60873216,81,MAT-18409,EU02,Investigational Product,CT-3228-ZKT
LOT-24674076,Production,212020520,675519232,IL6310405,There,982276169,Site,MAT-18409,Method,0DB649CA-F40,3B0FDA9F-884,LAT04,307571827,Production,609404360,SD926484,"Hoffman, Keller and Pollard",Office,Expect,LOT-24674076,462,MAT-18409,LAT04,Investigational Product,CT-3228-ZKT
LOT-97567509,Production,156994561,460747445,IL3378092,Him,112026401,Site,MAT-18409,Ever,C061C212-E16,71D8D50F-7AE,LAT04,664813992,Transfer,911615617,SD927534,Stone Ltd,But,Little,LOT-97567509,488,MAT-18409,LAT04,Investigational Product,CT-3228-ZKT
LOT-38707248,Production,850786376,792096422,IL9222331,Reality,862909103,Country,MAT-58266,Class,81962565-3BA,2D1D3AF0-A99,US01,339074101,Transfer,725676379,SD186680,Morris LLC,Four,Party,LOT-38707248,260,MAT-58266,US01,Ancillary Supply,CT-3228-ZKT
LOT-73483649,Packaging,991385123,511525319,IL5578902,New,922167457,Site,MAT-58266,Enter,22D3A96C-CE5,F038C3DD-DF4,LAT04,676791153,Transfer,970129946,SD148806,Miller LLC,Then,Role,LOT-73483649,459,MAT-58266,LAT04,Ancillary Supply,CT-3228-ZKT
LOT-99078202,Distribution,483421111,363097308,IL3209333,Tree,785555288,Study,MAT-23465,Remember,C8C1DDA2-376,B83CFAB5-B68,US01,149524125,Production,607179602,SD866299,"Kim, Lee and Cox",After,Property,LOT-99078202,136,MAT-23465,US01,Comparator,CT-6910-RDE
LOT-11992270,Production,170500351,223373739,IL8665483,Sense,100081175,Study,MAT-23465,Evening,9853B6AB-C01,F58F8FB7-75D,US01,409853660,Production,514760804,SD990284,Reyes Ltd,Down,Way,LOT-11992270,384,MAT-23465,US01,Comparator,CT-6910-RDE
LOT-57705062,Packaging,512643875,852730752,IL7559953,School,876733089,Site,MAT-23465,Across,657B8A24-549,93E2AB3B-625,AP03,238481336,Transfer,812090698,SD431562,Alexander-Mann,Whatever,Ever,LOT-57705062,347,MAT-23465,AP03,Comparator,CT-6910-RDE
LOT-31271496,Production,907358680,588775471,IL2450393,President,435077213,Site,MAT-33689,Part,06816510-E5D,1466B603-499,LAT04,904261120,Transfer,847920456,SD541875,"Shaw, Henry and Petersen",Director,Majority,LOT-31271496,249,MAT-33689,LAT04,Ancillary Supply,CT-6910-RDE
LOT-34308389,Production,987412794,301326206,IL8566472,Tonight,561488432,Site,MAT-33689,Girl,EC2064DF-354,835C170B-558,US01,962861203,Production,162949536,SD211354,Harmon-Hanson,Cause,Baby,LOT-34308389,92,MAT-33689,US01,Ancillary Supply,CT-6910-RDE
LOT-79555656,Distribution,896373733,444290161,IL6062122,Institution,396731543,Study,MAT-33689,True,19165D8C-A56,C8CA32C6-E9E,LAT04,774246804,Production,511553135,SD620772,Livingston Ltd,But,Consumer,LOT-79555656,211,MAT-33689,LAT04,Ancillary Supply,CT-6910-RDE
LOT-42199452,Production,635682465,574866958,IL1316339,Point,182676234,Site,MAT-33689,City,6779AAB3-F3B,57C036FF-7C4,US01,298480645,Production,165746788,SD871118,Campbell LLC,Wide,Baby,LOT-42199452,221,MAT-33689,US01,Ancillary Supply,CT-6910-RDE
LOT-37189202,Production,413313190,528669763,IL7679931,Team,680121643,Site,MAT-22108,Require,3FCA798E-FD6,974CD620-D0E,US01,609740399,Production,293408330,SD996283,"Hernandez, Carter and Stephens",Unit,Item,LOT-37189202,150,MAT-22108,US01,Comparator,CT-6910-RDE
LOT-34198332,Distribution,654690724,819947181,IL4138158,Order,582771685,Country,MAT-22108,Coach,A124C449-F40,C061C212-E16,US01,216804129,Transfer,632518255,SD832874,Estrada Group,Culture,During,LOT-34198332,411,MAT-22108,US01,Comparator,CT-6910-RDE
LOT-34166590,Distribution,728072989,826519435,IL6758293,Response,194242421,Site,MAT-22108,Choice,9E01693A-016,37399508-4AE,EU02,702226656,Production,462329238,SD126666,Briggs-Johnson,Prove,Work,LOT-34166590,125,MAT-22108,EU02,Comparator,CT-6910-RDE
LOT-16824774,Production,535690687,259739055,IL1541801,Subject,992009900,Site,MAT-93657,East,1591A2AC-D6F,C2863B49-6B7,LAT04,569023395,Transfer,766982216,SD524530,Simmons-Harris,Anyone,Decade,LOT-16824774,264,MAT-93657,LAT04,Investigational Product,CT-6910-RDE
LOT-14364098,Distribution,910107721,586678341,IL2569034,Health,205432678,Site,MAT-93657,Performance,8733D49D-751,41D466A6-21E,AP03,519499996,Production,755890129,SD391689,Nguyen-Martinez,International,Win,LOT-14364098,392,MAT-93657,AP03,Investigational Product,CT-6910-RDE
LOT-45571743,Distribution,452336574,627182225,IL1270369,Democratic,582201426,Study,MAT-16848,Somebody,B83CFAB5-B68,49D908EC-D19,EU02,536897640,Transfer,821703834,SD511090,"Wolf, Foster and Koch",Phone,Open,LOT-45571743,299,MAT-16848,EU02,Comparator,CT-8742-ECD
LOT-48781281,Packaging,399202579,362927511,IL1040034,Often,153099539,Site,MAT-16848,Send,13D23ECC-032,272CA541-8B2,EU02,318537145,Production,952808412,SD423549,Harris Group,Man,Agree,LOT-48781281,160,MAT-16848,EU02,Comparator,CT-8742-ECD
LOT-94846184,Distribution,198722053,309629260,IL6089021,Upon,352032162,Study,MAT-47254,Girl,150CE384-BD4,C9553C30-3C9,EU02,446904884,Production,159083149,SD510321,Stewart Inc,Beyond,Ability,LOT-94846184,245,MAT-47254,EU02,Comparator,CT-8742-ECD
LOT-83111741,Distribution,543509722,389420457,IL6989923,Itself,181027000,Country,MAT-47254,Perform,D9F20807-A58,21ED0BE4-ED0,EU02,779165216,Production,523208012,SD465345,Robles Ltd,Product,Physical,LOT-83111741,438,MAT-47254,EU02,Comparator,CT-8742-ECD
LOT-96926481,Distribution,657140139,397338782,IL9269011,Responsibility,666402976,Site,MAT-15875,Nearly,19B119B0-986,A124C449-F40,EU02,295713165,Production,440146611,SD295064,Davis Ltd,Wear,Admit,LOT-96926481,361,MAT-15875,EU02,Ancillary Supply,CT-8742-ECD
LOT-26310890,Packaging,250478326,770454055,IL3395908,Either,657663746,Site,MAT-15875,Meet,721F5CBB-8FF,F038C3DD-DF4,LAT04,664393260,Production,791499401,SD949160,Miller-Hammond,Beautiful,It,LOT-26310890,233,MAT-15875,LAT04,Ancillary Supply,CT-8742-ECD
LOT-54560092,Production,148000671,289591780,IL6385950,Again,639018140,Study,MAT-15875,Deep,13D23ECC-032,1DE4A4D7-80D,EU02,101306408,Production,522182929,SD805488,Evans Group,Last,Film,LOT-54560092,89,MAT-15875,EU02,Ancillary Supply,CT-8742-ECD
LOT-61778837,Packaging,481021675,276896096,IL1172522,Use,891863873,Country,MAT-15875,Argue,C9553C30-3C9,BAFF899E-7D4,LAT04,699479602,Transfer,837461583,SD753381,"Daugherty, Blevins and Kim",Adult,White,LOT-61778837,203,MAT-15875,LAT04,Ancillary Supply,CT-8742-ECD
LOT-71950782,Packaging,835392727,789165978,IL8380822,Individual,457684601,Country,MAT-47140,Half,8733D49D-751,C1EDEFA4-014,EU02,569038355,Transfer,571852060,SD731634,Blackwell LLC,Mr,Father,LOT-71950782,211,MAT-47140,EU02,Comparator,CT-8742-ECD
LOT-77179223,Packaging,595183894,306262325,IL4578038,Travel,907394069,Site,MAT-47140,Key,F58F8FB7-75D,420B1E11-8DA,US01,182324816,Production,485108554,SD608379,"Bell, Sanders and Rosario",Data,Open,LOT-77179223,419,MAT-47140,US01,Comparator,CT-8742-ECD
LOT-99482219,Packaging,336670426,835001737,IL1095758,Personal,895309452,Study,MAT-47140,Find,B4AACE38-46A,DC77B20F-464,AP03,461097582,Transfer,563556680,SD514069,"Powell, Mccoy and Nichols",Possible,Site,LOT-99482219,497,MAT-47140,AP03,Comparator,CT-8742-ECD
LOT-97576608,Packaging,643803785,683832338,IL8515184,Thing,777446864,Country,MAT-47140,Citizen,B91ED3F0-13C,26C6F3AA-518,AP03,694979273,Production,885238549,SD221223,"Fisher, Hall and Williams",Government,Pull,LOT-97576608,414,MAT-47140,AP03,Comparator,CT-8742-ECD
LOT-73100049,Packaging,112960916,105766444,IL6496796,Great,512723953,Study,MAT-58634,Whether,0DB649CA-F40,F58F8FB7-75D,US01,549197192,Transfer,471654844,SD505243,Ortiz-Ramirez,Claim,Expect,LOT-73100049,88,MAT-58634,US01,Ancillary Supply,CT-7047-GQC
LOT-61967620,Distribution,192084965,196279548,IL1294135,Tell,724152612,Country,MAT-58634,Will,7BB74C9C-D85,4D00FA38-F44,AP03,391865609,Transfer,116441048,SD374379,Beard-Wilson,Free,On,LOT-61967620,257,MAT-58634,AP03,Ancillary Supply,CT-7047-GQC
LOT-51540998,Production,706545909,752227798,IL4838085,Sea,429506656,Country,MAT-58634,Choose,AAD7229E-CD6,13D23ECC-032,LAT04,978988431,Transfer,969971243,SD422498,"Kramer, Carter and Ryan",Second,Lot,LOT-51540998,246,MAT-58634,LAT04,Ancillary Supply,CT-7047-GQC
LOT-66613397,Distribution,556028547,155223047,IL6978750,Down,437892417,Site,MAT-18097,Herself,657B8A24-549,302EBFD8-75D,AP03,549489489,Production,856347718,SD154915,"Robbins, Obrien and Larson",On,Author,LOT-66613397,99,MAT-18097,AP03,Investigational Product,CT-7047-GQC
LOT-70117079,Distribution,666600781,707404068,IL6656596,Whether,885017849,Study,MAT-18097,Point,6BF20FDB-A43,FDCEFEF5-08F,LAT04,413255344,Transfer,599750333,SD380958,Cabrera-Crawford,Trade,Daughter,LOT-70117079,292,MAT-18097,LAT04,Investigational Product,CT-7047-GQC
