Recipe Group,Recipe,Recipe Days,Phase,Phase Text,Ultra Short,Short,Medium,Long,Express,STANDARD,DELUXE
RG-8169,Recipe Leader,25,Inspection,Can commercial alone no.,No,Yes,No,No,No,Yes,Yes
RG-3838,Recipe Student,15,Packaging,Put receive stage where nearly.,No,No,Yes,Yes,No,No,Yes
RG-3648,Recipe Security,19,Packaging,Maintain yet quite mind.,No,Yes,No,No,Yes,Yes,No
RG-5815,Recipe Enter,20,Inspection,Quickly table front human.,No,Yes,No,Yes,Yes,Yes,No
RG-4153,Recipe Establish,6,Packaging,Soldier task modern adult start may.,Yes,No,No,No,Yes,No,Yes
RG-2356,Recipe Protect,18,Packaging,Be possible stop with guy.,No,Yes,No,Yes,No,No,No
RG-7252,Recipe Political,5,Inspection,Actually woman baby.,Yes,No,No,No,No,Yes,Yes
RG-3314,Recipe Congress,24,Compounding,Money certainly only believe.,No,Yes,Yes,Yes,No,Yes,No
RG-5760,Recipe Science,6,Compounding,Artist ball loss where.,Yes,Yes,No,No,No,No,Yes
RG-2020,Recipe See,6,Packaging,Reality well though both science listen.,Yes,Yes,No,No,Yes,Yes,No
RG-4851,Recipe Travel,19,Packaging,Concern represent detail reveal same.,No,Yes,No,No,Yes,No,Yes
RG-3183,Recipe Tax,14,Packaging,Out sister well tend cover business.,Yes,No,Yes,No,No,No,Yes
RG-6209,Recipe Put,5,Compounding,Hard campaign deep nor usually.,No,Yes,No,No,Yes,No,No
RG-4397,Recipe Rather,24,Compounding,So between save individual him.,No,Yes,Yes,No,No,Yes,No
RG-9633,Recipe Professional,5,Packaging,Case project happy evidence give author.,Yes,Yes,No,No,Yes,No,Yes
RG-5572,Recipe Alone,7,Compounding,Get throw share network.,Yes,No,Yes,No,Yes,No,Yes
RG-9960,Recipe Affect,10,Compounding,Market far short.,No,No,No,No,No,No,No
RG-4680,Recipe Some,24,Compounding,Policy walk political.,No,No,No,Yes,Yes,Yes,No
RG-1156,Recipe Allow,25,Inspection,Save determine image fire through organization.,Yes,No,Yes,No,No,No,Yes
RG-5378,Recipe Under,16,Packaging,Yard follow painting represent memory.,Yes,Yes,No,Yes,Yes,Yes,No
RG-6863,Recipe Bit,21,Packaging,Outside true early quality.,No,Yes,No,Yes,Yes,Yes,Yes
RG-6172,Recipe Record,23,Packaging,Raise itself respond company practice.,Yes,Yes,Yes,Yes,No,Yes,Yes
RG-1616,Recipe Final,14,Packaging,Them tonight American.,Yes,Yes,Yes,Yes,Yes,Yes,No
RG-3126,Recipe Magazine,10,Inspection,Best move share.,Yes,Yes,No,No,No,Yes,No
RG-5403,Recipe Tough,19,Compounding,First seek industry.,Yes,No,No,No,Yes,No,Yes
RG-9821,Recipe Win,6,Packaging,Organization Congress dinner friend choice result.,Yes,Yes,Yes,No,No,No,Yes
RG-7135,Recipe Interesting,16,Compounding,Gas decision upon thus.,No,Yes,Yes,No,No,No,No
RG-5156,Recipe Per,5,Packaging,Onto personal take.,No,Yes,Yes,No,No,Yes,No
RG-3960,Recipe Plant,10,Packaging,List visit move adult personal.,No,No,Yes,Yes,Yes,No,No
RG-4541,Recipe Time,16,Inspection,Significant my fall appear season.,No,No,Yes,No,No,Yes,No
RG-9440,Recipe Child,21,Inspection,Agency financial sing.,No,No,No,Yes,No,Yes,Yes
RG-3521,Recipe Account,25,Packaging,Difference let word full fine hair.,Yes,No,No,Yes,No,No,No
RG-3564,Recipe Wear,7,Packaging,Kid goal stock box.,No,Yes,Yes,No,No,No,No
RG-1090,Recipe Serious,8,Compounding,Production pass worker age degree care.,No,No,Yes,Yes,No,Yes,No
RG-6567,Recipe Maybe,21,Packaging,Million deal room season most.,No,Yes,No,No,Yes,Yes,Yes
RG-3672,Recipe Leader,23,Packaging,Animal by worry body body.,Yes,No,No,No,Yes,Yes,Yes
RG-7234,Recipe Beautiful,14,Packaging,Process eye record return nothing sell.,No,No,Yes,No,No,Yes,No
RG-8482,Recipe Article,23,Inspection,Drive high movement particularly loss body.,No,No,Yes,No,No,Yes,No
RG-7897,Recipe Development,24,Compounding,Say debate these example later walk.,Yes,Yes,No,No,No,Yes,Yes
RG-7240,Recipe Nothing,23,Compounding,Trial four usually cultural century set.,Yes,No,No,No,Yes,Yes,Yes
RG-1506,Recipe Such,20,Compounding,Teacher on early get two western.,Yes,No,Yes,Yes,Yes,Yes,Yes
RG-6611,Recipe I,16,Compounding,Claim really ago word kid.,Yes,No,No,No,Yes,Yes,No
RG-7108,Recipe Program,5,Compounding,Career almost part.,No,Yes,Yes,No,Yes,No,Yes
RG-3232,Recipe Tonight,5,Inspection,Step feel environment must.,Yes,No,Yes,No,Yes,Yes,Yes
RG-6352,Recipe Course,21,Inspection,Father peace add less certainly now.,Yes,Yes,Yes,Yes,Yes,No,Yes
RG-3705,Recipe Value,10,Inspection,After and daughter test.,No,Yes,Yes,Yes,Yes,No,Yes
RG-1966,Recipe Account,15,Packaging,Manager organization entire thus employee.,Yes,Yes,Yes,No,No,Yes,Yes
RG-3507,Recipe Condition,11,Inspection,Point important sister.,No,No,Yes,No,No,Yes,Yes
RG-7647,Recipe Only,15,Inspection,Which important such peace strategy record.,Yes,No,No,No,Yes,No,No
RG-3365,Recipe Building,18,Inspection,Great take value serve avoid.,Yes,No,No,Yes,Yes,No,No
RG-3077,Recipe Church,25,Packaging,Write home example area.,No,No,Yes,Yes,Yes,No,Yes
RG-8635,Recipe Mr,21,Packaging,Tend along local individual budget.,Yes,No,Yes,Yes,Yes,No,Yes
RG-3919,Recipe Behavior,8,Packaging,Team through through election arm.,No,No,No,No,Yes,Yes,No
RG-8332,Recipe Sure,21,Packaging,Sort future their fine down.,No,No,Yes,No,Yes,No,Yes
RG-2719,Recipe Help,17,Inspection,Big money either result.,Yes,Yes,No,No,Yes,No,No
RG-1697,Recipe Could,25,Packaging,Apply owner never outside century reality.,Yes,No,No,Yes,No,Yes,No
RG-9719,Recipe Full,15,Packaging,Assume trial black.,Yes,No,Yes,No,Yes,No,No
RG-9287,Recipe High,8,Compounding,Also be any offer theory.,No,No,Yes,Yes,No,No,No
RG-3273,Recipe Girl,15,Packaging,Finish support Republican food.,No,No,No,Yes,No,No,No
RG-7600,Recipe Once,10,Packaging,Short PM try reduce.,No,Yes,No,Yes,Yes,Yes,No
RG-9192,Recipe Ball,22,Compounding,At party feeling.,Yes,Yes,Yes,Yes,No,No,Yes
RG-5378,Recipe Last,12,Inspection,Way skin five option.,No,Yes,Yes,No,Yes,Yes,Yes
RG-2275,Recipe Consider,14,Inspection,Ago between avoid.,Yes,Yes,Yes,No,Yes,No,No
RG-7736,Recipe Present,13,Packaging,Low off cut certain.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RG-6497,Recipe Cold,15,Inspection,Talk space hot thought thank.,No,No,Yes,Yes,No,Yes,No
RG-7816,Recipe Senior,5,Compounding,Boy citizen challenge.,No,Yes,Yes,No,No,Yes,Yes
RG-3508,Recipe Against,16,Inspection,Notice think guess course notice.,No,No,No,No,No,No,Yes
RG-7928,Recipe Effort,17,Inspection,Your second simple.,No,No,No,Yes,Yes,No,No
RG-6424,Recipe Debate,16,Inspection,To kitchen ball eye quite.,Yes,No,No,Yes,No,Yes,No
RG-7934,Recipe Learn,22,Inspection,Usually how available she state partner.,Yes,Yes,No,Yes,No,No,No
RG-4533,Recipe Along,6,Compounding,Scene paper week support life.,No,No,Yes,Yes,No,No,Yes
RG-2939,Recipe Can,16,Compounding,Site just professional success morning someone.,No,No,Yes,No,No,Yes,Yes
RG-4413,Recipe Others,11,Inspection,Either case so.,Yes,No,Yes,Yes,No,No,No
RG-8085,Recipe That,7,Packaging,Keep spring last.,Yes,Yes,Yes,Yes,No,Yes,Yes
RG-9813,Recipe Inside,5,Packaging,His democratic far billion option.,Yes,Yes,Yes,Yes,No,No,No
RG-8314,Recipe Yeah,21,Inspection,Almost nature picture raise could send.,No,No,No,No,Yes,No,No
RG-2510,Recipe Machine,22,Compounding,Today yeah myself move.,No,Yes,No,No,Yes,No,Yes
RG-3852,Recipe Company,21,Inspection,Plant whose clear beyond southern.,Yes,Yes,Yes,Yes,Yes,No,Yes
RG-8382,Recipe Theory,25,Compounding,Employee learn couple build out role.,Yes,Yes,No,Yes,No,No,No
RG-1008,Recipe Trouble,12,Compounding,Than let Mr hope popular.,No,Yes,No,No,No,Yes,No
RG-9394,Recipe Likely,10,Inspection,Science street keep attorney girl.,Yes,Yes,Yes,Yes,No,No,Yes
RG-9169,Recipe Three,6,Packaging,Amount bed lay.,No,No,Yes,No,No,No,No
RG-7409,Recipe Set,10,Packaging,Policy friend participant community.,Yes,No,Yes,No,No,Yes,No
RG-5689,Recipe Lead,19,Inspection,Sell fly trial specific.,No,No,Yes,No,No,No,No
RG-8942,Recipe Job,14,Compounding,Reality break local only play likely.,No,No,Yes,No,Yes,Yes,No
RG-3074,Recipe President,7,Compounding,Mouth watch center across security rule.,No,Yes,No,No,No,No,No
RG-4403,Recipe Key,18,Inspection,Group front field phone.,Yes,No,No,No,No,Yes,No
RG-1979,Recipe Car,17,Packaging,Those garden job sound result.,No,No,Yes,Yes,Yes,Yes,No
RG-5474,Recipe Us,6,Compounding,Network under field exactly stuff style.,Yes,No,No,Yes,No,Yes,No
RG-2565,Recipe Hot,5,Compounding,Contain hair security everything.,Yes,Yes,No,No,Yes,Yes,Yes
RG-8598,Recipe Edge,20,Packaging,Rest tend bar system soon visit.,Yes,Yes,No,Yes,Yes,No,No
RG-9556,Recipe Card,17,Compounding,Future beat child tend.,Yes,Yes,No,No,Yes,Yes,No
RG-2625,Recipe Hard,11,Inspection,Color not for.,No,Yes,Yes,No,Yes,No,Yes
RG-8900,Recipe General,21,Compounding,Or should play information.,No,No,Yes,Yes,Yes,No,No
RG-6577,Recipe Similar,10,Packaging,Father eat letter consider.,No,Yes,Yes,Yes,Yes,No,Yes
RG-3536,Recipe Pass,12,Inspection,Attorney nearly especially use us security.,Yes,No,No,No,Yes,Yes,No
RG-4955,Recipe Must,20,Compounding,Cold why building production what would.,No,No,No,No,No,Yes,No
RG-5709,Recipe Coach,10,Packaging,Provide foot rise.,Yes,No,Yes,No,Yes,No,Yes
RG-9704,Recipe Six,22,Compounding,Cause everybody foreign.,No,Yes,Yes,Yes,Yes,No,No
RG-2551,Recipe Let,21,Packaging,Image already determine rock respond.,Yes,Yes,No,No,No,No,Yes
RG-6587,Recipe Lose,19,Packaging,Democrat candidate somebody fact especially course.,No,No,Yes,Yes,No,Yes,Yes
RG-2769,Recipe Throw,15,Inspection,Item art hospital.,Yes,No,No,No,Yes,Yes,Yes
RG-3052,Recipe Even,22,Inspection,Expect phone ahead.,Yes,No,Yes,No,Yes,No,Yes
RG-7651,Recipe Section,5,Inspection,Let most it American rather various.,No,Yes,No,Yes,Yes,No,No
RG-2610,Recipe Factor,25,Packaging,Leg actually effort around deep.,Yes,Yes,Yes,Yes,Yes,No,Yes
RG-1146,Recipe Effort,14,Packaging,Total left nice medical.,Yes,Yes,No,Yes,Yes,Yes,No
RG-7939,Recipe Ten,11,Packaging,Business agency its happy bar.,No,Yes,No,No,Yes,No,No
RG-3734,Recipe Eye,22,Inspection,Identify organization whole magazine.,Yes,No,Yes,No,No,Yes,No
RG-5442,Recipe Fall,9,Packaging,Hear individual be.,No,Yes,Yes,Yes,No,Yes,Yes
RG-3773,Recipe Compare,5,Compounding,Plan different into surface professional.,Yes,Yes,No,Yes,Yes,No,Yes
RG-6109,Recipe Against,11,Compounding,Agree two establish condition would difference.,No,No,No,No,No,Yes,No
RG-2178,Recipe Capital,13,Inspection,Maybe reason move simply.,No,Yes,Yes,No,No,No,No
RG-7848,Recipe Mission,7,Inspection,Staff history personal member.,No,No,Yes,No,Yes,Yes,No
RG-9707,Recipe Purpose,5,Inspection,Challenge evidence action hold away their.,Yes,No,Yes,Yes,No,Yes,No
RG-3924,Recipe Consider,18,Inspection,Green room prove drop.,No,Yes,No,Yes,No,Yes,No
RG-5088,Recipe Majority,14,Packaging,Nation these use particularly husband.,Yes,Yes,Yes,No,Yes,Yes,No
RG-2980,Recipe Week,20,Compounding,Popular somebody amount.,No,No,Yes,No,No,Yes,No
RG-5111,Recipe Fine,21,Inspection,Provide man course there song impact.,Yes,Yes,Yes,No,No,No,No
RG-6137,Recipe Media,23,Packaging,World area enter.,No,Yes,No,Yes,Yes,Yes,Yes
RG-3566,Recipe Everyone,15,Compounding,Relationship reveal me war laugh number.,No,No,No,No,Yes,Yes,No
RG-1230,Recipe From,17,Packaging,Traditional opportunity believe practice ask.,Yes,No,No,Yes,No,Yes,Yes
RG-3451,Recipe Focus,19,Packaging,Important decide according today.,No,No,Yes,Yes,No,No,Yes
RG-1932,Recipe More,22,Inspection,Accept walk area for.,Yes,Yes,No,Yes,No,Yes,Yes
RG-5056,Recipe Level,6,Compounding,Employee learn game vote much.,No,No,No,No,No,Yes,No
RG-8010,Recipe Station,13,Inspection,Coach see knowledge wide.,Yes,Yes,No,No,Yes,No,Yes
RG-8538,Recipe Through,21,Packaging,Because baby artist.,Yes,No,No,Yes,No,No,No
RG-2801,Recipe Mind,22,Compounding,Center agent admit these.,Yes,Yes,No,Yes,No,No,No
RG-4899,Recipe Language,7,Inspection,Billion main have fall discussion view.,No,Yes,Yes,No,No,Yes,Yes
RG-5925,Recipe At,19,Inspection,Bring day resource strategy.,No,Yes,No,No,No,No,Yes
RG-5929,Recipe Argue,18,Compounding,Company floor away eye environmental.,No,Yes,No,Yes,Yes,No,Yes
RG-3692,Recipe Family,20,Inspection,Skin play what military local decade.,No,Yes,No,Yes,No,Yes,Yes
RG-1932,Recipe Particularly,16,Compounding,Yeah program follow.,Yes,Yes,No,Yes,No,Yes,No
RG-8739,Recipe Those,23,Compounding,Whose seat model.,Yes,Yes,Yes,No,Yes,Yes,Yes
RG-9446,Recipe Expect,6,Packaging,Agreement exist those arm produce.,No,No,No,Yes,Yes,No,Yes
RG-4839,Recipe Without,16,Compounding,Tv behind buy college.,Yes,No,Yes,No,No,Yes,No
RG-7187,Recipe Admit,16,Inspection,Beyond officer easy my possible order.,Yes,Yes,Yes,Yes,No,No,Yes
RG-6559,Recipe Anyone,21,Packaging,Positive but some development.,No,Yes,No,No,No,No,No
RG-8804,Recipe Send,24,Inspection,Give control around begin human reason.,Yes,Yes,Yes,Yes,No,Yes,No
RG-3906,Recipe Bank,19,Compounding,Above goal near bag.,Yes,Yes,No,Yes,Yes,Yes,No
RG-5515,Recipe Actually,6,Compounding,Understand condition reality beat see term.,Yes,No,Yes,Yes,Yes,Yes,No
RG-7967,Recipe Movement,20,Compounding,Left improve set.,No,Yes,No,No,Yes,No,No
RG-4631,Recipe Color,15,Packaging,Form still lot prevent myself focus.,Yes,Yes,No,No,Yes,Yes,Yes
RG-9171,Recipe Hard,16,Inspection,Situation offer manager.,No,No,Yes,No,No,Yes,No
RG-5473,Recipe Break,19,Inspection,Project be political.,Yes,Yes,Yes,No,No,Yes,No
RG-6743,Recipe Least,11,Compounding,Popular last forward help.,No,No,No,No,No,No,Yes
RG-6544,Recipe Late,14,Packaging,Summer allow student quality.,Yes,No,No,No,No,Yes,No
RG-5233,Recipe Billion,8,Inspection,Animal worker foot dark.,Yes,No,Yes,Yes,Yes,No,No
RG-8839,Recipe Strategy,21,Inspection,Court system or.,No,Yes,Yes,No,Yes,No,Yes
RG-3117,Recipe Focus,8,Packaging,Bag off fund enter push study.,No,Yes,Yes,Yes,Yes,No,Yes
RG-7505,Recipe Line,17,Inspection,Style mouth mission.,Yes,No,Yes,Yes,No,Yes,No
RG-8617,Recipe Common,17,Inspection,Country bar along bag our throw.,Yes,Yes,No,No,Yes,Yes,No
RG-6344,Recipe Reality,7,Compounding,Clearly believe gun bill fly.,Yes,Yes,No,No,Yes,Yes,No
RG-2410,Recipe No,24,Inspection,Fill six teacher ability end.,Yes,Yes,Yes,Yes,No,No,No
RG-3751,Recipe Performance,8,Packaging,Manager lot seat lawyer assume.,No,Yes,No,Yes,No,No,Yes
RG-2744,Recipe Campaign,9,Inspection,Six white fight I establish behind.,No,Yes,Yes,Yes,No,No,No
RG-1711,Recipe Music,25,Inspection,Treatment alone second public.,Yes,No,No,No,Yes,Yes,Yes
RG-7059,Recipe Answer,25,Packaging,Explain value operation alone.,Yes,Yes,Yes,Yes,Yes,Yes,No
RG-7330,Recipe Else,20,Inspection,Accept good fight almost part.,No,No,No,No,No,No,No
RG-4971,Recipe Ever,14,Inspection,Visit work member case maybe.,No,No,Yes,Yes,No,Yes,Yes
RG-7305,Recipe Sea,13,Compounding,Already start product.,No,Yes,Yes,Yes,Yes,No,Yes
RG-5509,Recipe For,7,Inspection,Political water next show because here.,Yes,Yes,Yes,No,No,No,Yes
RG-4792,Recipe Last,5,Compounding,Nothing analysis economy.,No,No,No,No,Yes,Yes,Yes
RG-4167,Recipe Couple,11,Packaging,Group goal onto within.,Yes,No,Yes,No,No,Yes,No
RG-1329,Recipe History,22,Inspection,Trade church best piece how.,Yes,No,Yes,Yes,No,No,Yes
RG-2390,Recipe On,24,Compounding,Rise meeting friend involve offer.,Yes,Yes,Yes,Yes,No,No,No
RG-8413,Recipe Understand,25,Packaging,Chance good interview chance around.,Yes,No,No,Yes,No,No,No
RG-5427,Recipe Likely,17,Packaging,Size site newspaper.,Yes,No,Yes,Yes,No,Yes,No
RG-3876,Recipe Small,7,Packaging,Office phone blue sense.,No,Yes,Yes,No,Yes,No,Yes
RG-9948,Recipe Peace,9,Packaging,Miss career increase second range.,Yes,Yes,No,Yes,Yes,Yes,No
RG-9943,Recipe Population,7,Inspection,Social eat by or PM.,Yes,No,No,No,No,No,Yes
RG-9243,Recipe Decision,16,Compounding,Between remain color ask.,No,No,No,No,No,No,No
RG-8310,Recipe Thousand,11,Inspection,Indeed her campaign indeed.,No,No,No,Yes,No,Yes,No
RG-5095,Recipe Within,12,Packaging,Report issue stock.,No,No,Yes,Yes,Yes,No,No
RG-3408,Recipe Wait,10,Compounding,Light soldier rule parent culture.,No,No,No,Yes,Yes,Yes,Yes
RG-4254,Recipe Interview,22,Packaging,The very certain everyone safe can.,No,No,No,Yes,Yes,No,No
RG-1004,Recipe Simply,16,Compounding,Nothing cut site.,Yes,Yes,Yes,No,Yes,No,No
RG-4899,Recipe Everyone,18,Inspection,Such region blue garden culture.,Yes,No,Yes,No,Yes,Yes,No
RG-5898,Recipe Radio,20,Inspection,Force under year.,No,No,No,No,Yes,No,Yes
